,>ENST00000596836.1,>ENST00000482859.1,>ENST00000427470.1,>ENST00000515281.1,>ENST00000396712.2,>ENST00000473326.1,>ENST00000473027.1,>ENST00000426849.1,>ENST00000522058.1,>ENST00000444710.1,>ENST00000504438.1,>ENST00000417003.2,>ENST00000467270.1,>ENST00000506002.1,>ENST00000494149.2,>ENST00000427475.1,>ENST00000562876.1,>ENST00000588924.1,>ENST00000467186.1,>ENST00000504674.1,>ENST00000527459.6,>ENST00000509685.2,>ENST00000445689.1,>ENST00000594883.1,>ENST00000604535.1,>ENST00000417933.1,>ENST00000527936.1,>ENST00000626934.1,>ENST00000457810.2,ENSG00000253094.1,>ENST00000521867.1,>ENST00000451754.1,>ENST00000507181.1,>ENST00000569853.1,>ENST00000473882.1,>ENST00000438453.1,>ENST00000382575.1,>ENST00000419328.2,>ENST00000606426.1,>ENST00000452026.1,>ENST00000620749.1,>ENST00000533869.1
>ENST00000494149.2,8.0,10.0,7.0,9.0,8.0,7.0,8.0,9.0,9.0,11.0,7.0,9.0,13.0,8.0,0.0,10.0,10.0,7.0,10.0,11.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,12.0,9.0,7.0,8.0,9.0,8.0,8.0,8.0,9.0,7.0,11.0,8.0,9.0,10.0,9.0
>ENST00000427475.1,11.0,9.0,8.0,10.0,10.0,8.0,8.0,9.0,9.0,11.0,9.0,11.0,11.0,9.0,10.0,0.0,9.0,9.0,9.0,10.0,12.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,10.0,7.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,11.0,9.0
>ENST00000562876.1,9.0,9.0,7.0,8.0,9.0,10.0,9.0,7.0,8.0,9.0,7.0,11.0,10.0,10.0,10.0,9.0,0.0,9.0,10.0,10.0,9.0,10.0,8.0,14.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,14.0,8.0,9.0,11.0,8.0,11.0,8.0,9.0,9.0,10.0
>ENST00000588924.1,9.0,9.0,9.0,8.0,9.0,7.0,10.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0,7.0,9.0,9.0,0.0,9.0,9.0,7.0,9.0,8.0,9.0,13.0,11.0,11.0,8.0,8.0,7.0,9.0,11.0,7.0,8.0,8.0,10.0,7.0,8.0,8.0,9.0,7.0,9.0
>ENST00000467186.1,9.0,9.0,9.0,9.0,8.0,7.0,8.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,0.0,9.0,8.0,9.0,7.0,10.0,9.0,8.0,9.0,9.0,9.0,7.0,7.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,13.0,10.0,9.0
>ENST00000504674.1,10.0,11.0,9.0,14.0,10.0,9.0,12.0,9.0,11.0,11.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0,9.0,0.0,12.0,11.0,11.0,11.0,13.0,10.0,13.0,10.0,11.0,8.0,9.0,12.0,10.0,10.0,9.0,11.0,11.0,12.0,10.0,13.0,9.0,12.0
>ENST00000527459.6,9.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,12.0,9.0,7.0,8.0,12.0,0.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,8.0,13.0,9.0,8.0,9.0,11.0,7.0,9.0,8.0,8.0,9.0,9.0
>ENST00000509685.2,13.0,9.0,8.0,9.0,12.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,0.0,10.0,10.0,10.0,8.0,13.0,11.0,9.0,9.0,9.0,12.0,7.0,9.0,11.0,11.0,8.0,10.0,9.0,12.0,10.0,8.0
>ENST00000445689.1,13.0,12.0,7.0,9.0,10.0,9.0,10.0,9.0,7.0,9.0,8.0,11.0,8.0,10.0,7.0,8.0,8.0,8.0,7.0,11.0,8.0,10.0,0.0,9.0,11.0,9.0,10.0,13.0,10.0,7.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0
>ENST00000594883.1,9.0,11.0,9.0,11.0,10.0,10.0,11.0,11.0,10.0,11.0,11.0,12.0,10.0,8.0,9.0,10.0,14.0,9.0,10.0,11.0,9.0,10.0,9.0,0.0,14.0,10.0,10.0,12.0,11.0,10.0,11.0,13.0,12.0,11.0,9.0,13.0,9.0,10.0,11.0,12.0,10.0,11.0
>ENST00000604535.1,10.0,10.0,9.0,14.0,11.0,9.0,11.0,10.0,9.0,12.0,10.0,11.0,12.0,8.0,9.0,9.0,9.0,13.0,9.0,13.0,10.0,10.0,11.0,14.0,0.0,11.0,12.0,11.0,10.0,8.0,10.0,11.0,9.0,13.0,10.0,10.0,9.0,11.0,11.0,11.0,10.0,10.0
>ENST00000417933.1,10.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,7.0,10.0,11.0,9.0,9.0,9.0,8.0,8.0,9.0,11.0,8.0,10.0,9.0,8.0,9.0,10.0,11.0,0.0,10.0,8.0,10.0,8.0,8.0,9.0,8.0,7.0,9.0,10.0,9.0,11.0,8.0,12.0,9.0,10.0
>ENST00000527936.1,9.0,9.0,8.0,10.0,9.0,11.0,12.0,10.0,8.0,9.0,10.0,12.0,10.0,8.0,8.0,9.0,10.0,11.0,9.0,13.0,9.0,13.0,10.0,10.0,12.0,10.0,0.0,9.0,14.0,8.0,9.0,14.0,7.0,9.0,9.0,13.0,10.0,9.0,9.0,10.0,10.0,9.0
>ENST00000626934.1,11.0,9.0,7.0,12.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,11.0,12.0,10.0,12.0,10.0,10.0,8.0,9.0,10.0,10.0,11.0,13.0,12.0,11.0,8.0,9.0,0.0,9.0,7.0,9.0,11.0,8.0,9.0,9.0,12.0,10.0,9.0,9.0,11.0,12.0,11.0
>ENST00000457810.2,12.0,10.0,8.0,12.0,12.0,9.0,8.0,8.0,10.0,11.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,11.0,10.0,10.0,14.0,9.0,0.0,11.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,11.0,9.0,10.0,8.0,9.0
ENSG00000253094.1,9.0,7.0,5.0,8.0,8.0,7.0,9.0,7.0,9.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,11.0,9.0,7.0,10.0,8.0,8.0,8.0,7.0,11.0,0.0,6.0,9.0,6.0,8.0,7.0,10.0,8.0,9.0,8.0,8.0,7.0,7.0
>ENST00000521867.1,8.0,12.0,8.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,11.0,10.0,8.0,9.0,9.0,10.0,6.0,0.0,14.0,8.0,8.0,9.0,10.0,7.0,13.0,7.0,9.0,8.0,8.0
>ENST00000451754.1,10.0,10.0,11.0,12.0,12.0,10.0,10.0,9.0,10.0,15.0,9.0,12.0,10.0,10.0,9.0,10.0,8.0,11.0,10.0,12.0,13.0,12.0,10.0,13.0,11.0,9.0,14.0,11.0,9.0,9.0,14.0,0.0,9.0,10.0,9.0,12.0,9.0,12.0,10.0,11.0,9.0,12.0
>ENST00000507181.1,9.0,7.0,7.0,10.0,9.0,8.0,8.0,9.0,7.0,10.0,8.0,9.0,9.0,7.0,8.0,10.0,14.0,7.0,8.0,10.0,9.0,7.0,8.0,12.0,9.0,8.0,7.0,8.0,8.0,6.0,8.0,9.0,0.0,11.0,7.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0
>ENST00000569853.1,8.0,9.0,6.0,10.0,10.0,8.0,10.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,11.0,13.0,7.0,9.0,9.0,10.0,8.0,8.0,10.0,11.0,0.0,9.0,9.0,8.0,14.0,10.0,11.0,10.0,9.0
>ENST00000473882.1,9.0,11.0,8.0,8.0,8.0,9.0,9.0,11.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,7.0,9.0,0.0,11.0,8.0,8.0,9.0,10.0,8.0,10.0
>ENST00000438453.1,10.0,9.0,10.0,10.0,11.0,11.0,13.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,8.0,11.0,11.0,11.0,9.0,13.0,10.0,10.0,13.0,12.0,9.0,10.0,10.0,12.0,9.0,9.0,11.0,0.0,10.0,10.0,11.0,11.0,11.0,10.0
>ENST00000382575.1,10.0,10.0,7.0,8.0,9.0,8.0,11.0,10.0,7.0,8.0,9.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,9.0,11.0,7.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,10.0,0.0,11.0,8.0,9.0,8.0,9.0
>ENST00000419328.2,11.0,10.0,9.0,11.0,10.0,10.0,9.0,8.0,10.0,12.0,9.0,11.0,11.0,9.0,11.0,10.0,11.0,8.0,9.0,12.0,9.0,10.0,9.0,10.0,11.0,11.0,9.0,9.0,11.0,9.0,13.0,12.0,8.0,14.0,8.0,10.0,11.0,0.0,9.0,10.0,10.0,13.0
>ENST00000606426.1,9.0,9.0,7.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,11.0,11.0,8.0,9.0,9.0,9.0,8.0,7.0,10.0,9.0,10.0,9.0,11.0,8.0,9.0,0.0,10.0,10.0,9.0
>ENST00000452026.1,11.0,10.0,8.0,10.0,11.0,12.0,17.0,10.0,9.0,13.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,13.0,13.0,8.0,12.0,10.0,12.0,11.0,12.0,10.0,11.0,10.0,8.0,9.0,11.0,9.0,11.0,10.0,11.0,9.0,10.0,10.0,0.0,10.0,12.0
>ENST00000620749.1,8.0,9.0,9.0,11.0,9.0,12.0,9.0,8.0,9.0,9.0,8.0,11.0,9.0,9.0,10.0,11.0,9.0,7.0,10.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,12.0,8.0,7.0,8.0,9.0,8.0,10.0,8.0,11.0,8.0,10.0,10.0,10.0,0.0,10.0
>ENST00000533869.1,9.0,9.0,8.0,11.0,13.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,12.0,9.0,8.0,10.0,11.0,10.0,10.0,9.0,11.0,9.0,7.0,8.0,12.0,10.0,9.0,10.0,10.0,9.0,13.0,9.0,12.0,10.0,0.0
