,>ENST00000526512.1,>ENST00000426177.1,>ENST00000401578.2,>ENST00000457984.1,>ENST00000622542.1,>ENST00000620370.1,>ENST00000401435.1,>ENST00000575091.1,>ENST00000508226.1,>ENST00000300992.12,>ENST00000433431.1,>ENST00000423792.1,>ENST00000552017.1,>ENST00000448675.1,>ENST00000413175.2,>ENST00000426284.1,>ENST00000472048.1,>ENST00000615334.1,>ENST00000413533.1,>ENST00000517809.1,>ENST00000566880.2,>ENST00000615967.1,>ENST00000605230.1,>ENST00000404972.2,>ENST00000588718.1,>ENST00000451232.1,>ENST00000419124.1,>ENST00000424879.2,>ENST00000454451.1,ENSG00000171711.2,>ENST00000421291.1,>ENST00000509132.1,>ENST00000453847.2,>ENST00000560974.3,>ENST00000402173.1,ENSG00000222490.1,>ENST00000589195.1,>ENST00000510851.1,>ENST00000411585.1,>ENST00000453917.1,>ENST00000451469.1,>ENST00000600039.1,>ENST00000600161.2,>ENST00000519101.1,>ENST00000440057.1,>ENST00000403144.2,>ENST00000437960.1,>ENST00000594522.1,>ENST00000492033.1,ENSG00000221638.2,>ENST00000445421.1,>ENST00000415648.2,>ENST00000558710.2,>ENST00000533267.1,>ENST00000532847.1
>ENST00000413533.1,11.0,12.0,12.0,11.0,10.0,10.0,10.0,9.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,0.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,12.0,11.0,10.0,10.0,13.0,10.0,12.0,11.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,8.0,10.0,11.0,11.0,11.0,9.0,10.0,9.0,9.0,12.0,14.0
>ENST00000517809.1,10.0,10.0,11.0,9.0,9.0,10.0,8.0,8.0,10.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,9.0,0.0,8.0,7.0,11.0,8.0,9.0,7.0,9.0,8.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0
>ENST00000566880.2,11.0,9.0,11.0,14.0,9.0,10.0,8.0,9.0,12.0,12.0,8.0,10.0,12.0,12.0,10.0,11.0,11.0,8.0,10.0,8.0,0.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,8.0,11.0,12.0,7.0,10.0,10.0,10.0,9.0,12.0,11.0,10.0,8.0,8.0,9.0,10.0,11.0,11.0,8.0,10.0,9.0,9.0,12.0,11.0
>ENST00000615967.1,9.0,8.0,9.0,6.0,7.0,8.0,7.0,7.0,10.0,9.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,0.0,8.0,8.0,10.0,6.0,10.0,9.0,7.0,8.0,7.0,7.0,7.0,9.0,10.0,6.0,8.0,7.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,11.0,8.0,7.0,7.0,7.0,7.0,10.0
>ENST00000605230.1,9.0,11.0,13.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,11.0,8.0,10.0,11.0,9.0,8.0,0.0,9.0,9.0,8.0,9.0,11.0,9.0,15.0,9.0,10.0,10.0,10.0,10.0,7.0,11.0,11.0,10.0,8.0,10.0,10.0,10.0,9.0,6.0,8.0,9.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0
>ENST00000404972.2,10.0,10.0,12.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0,7.0,9.0,10.0,11.0,13.0,8.0,9.0,11.0,9.0,8.0,11.0,8.0,9.0,0.0,8.0,8.0,9.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,8.0,10.0,9.0,8.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,7.0,9.0,10.0
>ENST00000588718.1,9.0,9.0,11.0,8.0,7.0,8.0,8.0,8.0,11.0,10.0,6.0,10.0,11.0,9.0,10.0,8.0,8.0,7.0,9.0,9.0,9.0,10.0,9.0,8.0,0.0,8.0,8.0,9.0,11.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,8.0,10.0,8.0,8.0,8.0,10.0,8.0,8.0,10.0,9.0,8.0,7.0,9.0,6.0,10.0,10.0
>ENST00000451232.1,8.0,7.0,11.0,7.0,8.0,6.0,8.0,7.0,9.0,8.0,7.0,10.0,8.0,8.0,9.0,7.0,10.0,6.0,9.0,7.0,9.0,6.0,8.0,8.0,8.0,0.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0,7.0,11.0,9.0,10.0,9.0,7.0,7.0,9.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0
>ENST00000419124.1,10.0,9.0,10.0,8.0,9.0,7.0,8.0,9.0,10.0,9.0,7.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,0.0,9.0,8.0,10.0,8.0,12.0,8.0,9.0,9.0,7.0,10.0,8.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,8.0,10.0,11.0,9.0,8.0,10.0,9.0,10.0,11.0,10.0
>ENST00000424879.2,9.0,9.0,11.0,10.0,11.0,8.0,10.0,9.0,11.0,10.0,7.0,9.0,11.0,10.0,9.0,8.0,9.0,10.0,10.0,8.0,9.0,9.0,11.0,10.0,9.0,11.0,9.0,0.0,9.0,11.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,8.0,12.0,8.0,10.0,8.0,7.0,9.0,9.0,10.0,9.0,10.0,13.0,9.0,9.0,10.0,10.0
>ENST00000454451.1,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,12.0,7.0,9.0,10.0,10.0,10.0,8.0,9.0,8.0,10.0,11.0,9.0,7.0,9.0,8.0,11.0,9.0,8.0,9.0,0.0,10.0,8.0,9.0,10.0,12.0,8.0,8.0,11.0,12.0,9.0,9.0,11.0,8.0,9.0,7.0,7.0,10.0,9.0,10.0,11.0,10.0,11.0,9.0,10.0,9.0,9.0
ENSG00000171711.2,13.0,10.0,12.0,11.0,11.0,12.0,10.0,10.0,13.0,10.0,8.0,10.0,10.0,9.0,12.0,10.0,11.0,12.0,12.0,10.0,11.0,8.0,15.0,10.0,10.0,8.0,10.0,11.0,10.0,0.0,9.0,11.0,9.0,12.0,10.0,10.0,14.0,10.0,11.0,10.0,11.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,12.0,11.0,9.0,11.0,12.0,10.0,12.0
>ENST00000421291.1,9.0,9.0,11.0,9.0,9.0,6.0,10.0,11.0,9.0,10.0,8.0,11.0,8.0,9.0,9.0,8.0,8.0,7.0,11.0,9.0,11.0,7.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,0.0,8.0,9.0,8.0,9.0,7.0,11.0,9.0,8.0,8.0,11.0,11.0,8.0,7.0,6.0,9.0,9.0,8.0,8.0,7.0,10.0,10.0,8.0,8.0,10.0
>ENST00000509132.1,11.0,11.0,10.0,10.0,8.0,9.0,10.0,11.0,10.0,10.0,8.0,11.0,11.0,10.0,11.0,10.0,11.0,11.0,10.0,9.0,10.0,7.0,10.0,9.0,10.0,9.0,12.0,10.0,9.0,11.0,8.0,0.0,8.0,11.0,10.0,8.0,10.0,10.0,13.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,8.0,9.0,12.0,10.0,10.0,9.0
>ENST00000453847.2,10.0,8.0,11.0,9.0,7.0,7.0,8.0,8.0,11.0,10.0,8.0,10.0,10.0,9.0,11.0,9.0,9.0,8.0,10.0,10.0,8.0,7.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,0.0,9.0,7.0,8.0,10.0,8.0,10.0,12.0,9.0,7.0,8.0,6.0,6.0,8.0,9.0,9.0,9.0,7.0,9.0,10.0,8.0,8.0,8.0
>ENST00000560974.3,10.0,11.0,11.0,9.0,10.0,9.0,9.0,9.0,13.0,11.0,9.0,9.0,10.0,9.0,11.0,12.0,11.0,9.0,13.0,10.0,11.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,12.0,12.0,8.0,11.0,9.0,0.0,12.0,9.0,12.0,9.0,10.0,8.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,11.0,12.0,11.0,10.0,10.0
>ENST00000402173.1,10.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,12.0,9.0,7.0,11.0,9.0,8.0,9.0,7.0,9.0,8.0,10.0,9.0,12.0,10.0,10.0,8.0,9.0,7.0,9.0,8.0,8.0,10.0,9.0,10.0,7.0,12.0,0.0,6.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,7.0,9.0,9.0,10.0
ENSG00000222490.1,7.0,9.0,10.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,6.0,10.0,8.0,8.0,7.0,7.0,8.0,7.0,12.0,8.0,7.0,6.0,7.0,8.0,9.0,8.0,7.0,9.0,8.0,10.0,7.0,8.0,8.0,9.0,6.0,0.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,6.0,6.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0
>ENST00000589195.1,12.0,12.0,10.0,9.0,10.0,9.0,13.0,10.0,27.0,10.0,9.0,11.0,10.0,11.0,11.0,10.0,11.0,9.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0,9.0,10.0,10.0,11.0,14.0,11.0,10.0,10.0,12.0,10.0,8.0,0.0,11.0,10.0,11.0,11.0,11.0,10.0,12.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,11.0
>ENST00000510851.1,11.0,10.0,12.0,10.0,9.0,9.0,8.0,10.0,12.0,10.0,8.0,10.0,9.0,11.0,11.0,9.0,11.0,9.0,10.0,10.0,10.0,7.0,11.0,9.0,8.0,8.0,8.0,10.0,12.0,10.0,9.0,10.0,8.0,9.0,9.0,8.0,11.0,0.0,9.0,10.0,10.0,8.0,8.0,9.0,7.0,8.0,9.0,10.0,11.0,8.0,9.0,10.0,10.0,9.0,15.0
>ENST00000411585.1,10.0,11.0,11.0,10.0,8.0,9.0,8.0,8.0,12.0,9.0,7.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0,8.0,11.0,9.0,10.0,10.0,9.0,11.0,8.0,13.0,10.0,10.0,8.0,7.0,10.0,9.0,0.0,10.0,13.0,14.0,9.0,8.0,10.0,11.0,12.0,11.0,11.0,10.0,8.0,10.0,11.0,9.0,10.0
>ENST00000453917.1,9.0,9.0,12.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,12.0,8.0,8.0,7.0,11.0,10.0,10.0,0.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0
>ENST00000451469.1,11.0,11.0,11.0,9.0,9.0,9.0,14.0,10.0,12.0,11.0,8.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,11.0,10.0,12.0,9.0,10.0,10.0,10.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,9.0,10.0,9.0,8.0,11.0,10.0,13.0,9.0,0.0,9.0,9.0,14.0,9.0,11.0,8.0,9.0,12.0,9.0,9.0,11.0,9.0,9.0,12.0
>ENST00000600039.1,9.0,10.0,11.0,10.0,10.0,9.0,9.0,10.0,10.0,11.0,6.0,10.0,10.0,9.0,9.0,7.0,8.0,11.0,9.0,8.0,11.0,7.0,10.0,10.0,8.0,9.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,9.0,10.0,7.0,11.0,8.0,14.0,9.0,9.0,0.0,9.0,8.0,7.0,7.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0
>ENST00000600161.2,9.0,8.0,13.0,12.0,8.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,10.0,10.0,8.0,10.0,8.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,0.0,9.0,10.0,8.0,9.0,12.0,9.0,10.0,8.0,8.0,8.0,8.0,9.0
>ENST00000519101.1,8.0,8.0,9.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,7.0,9.0,6.0,8.0,8.0,6.0,12.0,9.0,8.0,7.0,14.0,8.0,9.0,0.0,7.0,7.0,7.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0
>ENST00000440057.1,10.0,9.0,10.0,6.0,11.0,7.0,7.0,7.0,8.0,12.0,7.0,8.0,7.0,9.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,6.0,8.0,10.0,7.0,9.0,7.0,7.0,9.0,6.0,9.0,6.0,8.0,9.0,6.0,9.0,7.0,10.0,9.0,9.0,7.0,10.0,7.0,0.0,8.0,7.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0
>ENST00000403144.2,9.0,8.0,9.0,9.0,7.0,8.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,10.0,11.0,9.0,9.0,8.0,9.0,9.0,7.0,11.0,8.0,11.0,9.0,11.0,7.0,8.0,7.0,8.0,0.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,11.0
>ENST00000437960.1,10.0,9.0,11.0,10.0,10.0,8.0,10.0,8.0,11.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,11.0,8.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,11.0,7.0,10.0,9.0,12.0,9.0,8.0,9.0,9.0,7.0,7.0,8.0,0.0,11.0,10.0,8.0,9.0,9.0,8.0,8.0,9.0
>ENST00000594522.1,10.0,9.0,10.0,8.0,10.0,11.0,10.0,9.0,13.0,10.0,8.0,10.0,11.0,10.0,9.0,10.0,11.0,9.0,11.0,9.0,11.0,9.0,10.0,10.0,10.0,8.0,11.0,10.0,10.0,11.0,8.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,11.0,10.0,9.0,8.0,12.0,9.0,8.0,10.0,11.0,0.0,10.0,8.0,9.0,13.0,9.0,10.0,12.0
>ENST00000492033.1,12.0,10.0,12.0,9.0,9.0,8.0,9.0,10.0,11.0,8.0,7.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0,8.0,11.0,11.0,10.0,10.0,9.0,8.0,9.0,9.0,11.0,12.0,8.0,11.0,9.0,10.0,9.0,8.0,10.0,11.0,11.0,9.0,12.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,0.0,11.0,9.0,10.0,9.0,9.0,10.0
ENSG00000221638.2,10.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,11.0,7.0,8.0,7.0,9.0,8.0,7.0,9.0,8.0,10.0,8.0,9.0,8.0,10.0,7.0,7.0,8.0,8.0,8.0,11.0,0.0,8.0,11.0,8.0,9.0,11.0
>ENST00000445421.1,8.0,8.0,12.0,12.0,9.0,7.0,10.0,10.0,12.0,11.0,9.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,7.0,10.0,10.0,7.0,7.0,10.0,13.0,11.0,9.0,10.0,9.0,9.0,11.0,9.0,7.0,10.0,9.0,8.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,8.0,0.0,10.0,9.0,9.0,9.0
>ENST00000415648.2,11.0,11.0,12.0,8.0,9.0,8.0,11.0,9.0,11.0,10.0,8.0,9.0,8.0,11.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,11.0,10.0,12.0,10.0,12.0,7.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,8.0,7.0,8.0,8.0,9.0,13.0,10.0,11.0,10.0,0.0,9.0,11.0,10.0
>ENST00000558710.2,9.0,7.0,10.0,7.0,9.0,8.0,8.0,8.0,11.0,12.0,9.0,10.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,8.0,9.0,7.0,8.0,7.0,6.0,9.0,10.0,9.0,10.0,12.0,8.0,10.0,8.0,11.0,9.0,7.0,10.0,10.0,11.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,0.0,8.0,12.0
>ENST00000533267.1,9.0,9.0,13.0,7.0,8.0,8.0,8.0,9.0,9.0,11.0,8.0,9.0,8.0,11.0,8.0,9.0,9.0,8.0,12.0,9.0,12.0,7.0,9.0,9.0,10.0,8.0,11.0,10.0,9.0,10.0,8.0,10.0,8.0,10.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,11.0,8.0,0.0,10.0
>ENST00000532847.1,10.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,12.0,10.0,9.0,10.0,9.0,14.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,12.0,10.0,9.0,8.0,10.0,10.0,7.0,11.0,15.0,10.0,8.0,12.0,10.0,9.0,9.0,9.0,11.0,9.0,12.0,10.0,11.0,9.0,10.0,12.0,10.0,0.0
