,>ENST00000426420.1,>ENST00000604029.1,ENSG00000207439.1,>ENST00000454989.1,ENSG00000172602.9,>ENST00000604619.1,>ENST00000577490.1,>ENST00000502779.2,>ENST00000579952.1,>ENST00000397561.3,>ENST00000510750.1,>ENST00000487417.1,>ENST00000422912.1,>ENST00000533906.1,ENSG00000280021.1,ENSG00000111432.4,>ENST00000441288.2,ENSG00000142168.14,>ENST00000609258.1,>ENST00000445106.1,ENSG00000168124.2,>ENST00000412172.2,ENSG00000243333.3,>ENST00000604542.1,>ENST00000426627.1,>ENST00000614160.1,>ENST00000614840.1,>ENST00000594237.1,>ENST00000411911.1,>ENST00000565969.1,>ENST00000421426.1,ENSG00000207524.1,>ENST00000420113.1,>ENST00000405166.1,>ENST00000596454.1,>ENST00000411836.1,>ENST00000428380.1,ENSG00000252930.1,ENSG00000179934.6,>ENST00000523425.1,>ENST00000434793.1,>ENST00000467217.1,>ENST00000510485.2,>ENST00000437447.1,ENSG00000189043.9,>ENST00000569699.1,>ENST00000549457.1,>ENST00000412164.1
>ENST00000421426.1,10.0,10.0,6.0,11.0,12.0,11.0,10.0,10.0,10.0,9.0,9.0,8.0,7.0,9.0,10.0,11.0,7.0,10.0,10.0,8.0,12.0,11.0,8.0,10.0,10.0,9.0,14.0,9.0,8.0,9.0,0.0,9.0,10.0,9.0,9.0,9.0,10.0,7.0,10.0,11.0,12.0,8.0,10.0,9.0,11.0,12.0,9.0,7.0
ENSG00000207524.1,9.0,8.0,6.0,8.0,8.0,8.0,8.0,9.0,6.0,8.0,7.0,8.0,10.0,8.0,9.0,9.0,7.0,9.0,7.0,9.0,8.0,10.0,7.0,8.0,9.0,6.0,8.0,8.0,7.0,7.0,9.0,0.0,7.0,9.0,6.0,9.0,9.0,11.0,9.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,11.0
>ENST00000420113.1,10.0,9.0,8.0,10.0,13.0,9.0,10.0,11.0,10.0,12.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,14.0,8.0,9.0,9.0,11.0,9.0,10.0,13.0,8.0,11.0,11.0,12.0,10.0,10.0,7.0,0.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0,8.0,9.0,9.0,11.0,14.0,11.0,11.0,8.0
>ENST00000405166.1,10.0,8.0,8.0,8.0,13.0,9.0,13.0,10.0,8.0,10.0,9.0,10.0,8.0,8.0,9.0,11.0,8.0,12.0,10.0,8.0,9.0,12.0,9.0,9.0,10.0,7.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,0.0,8.0,8.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,9.0,12.0,10.0,8.0,9.0
>ENST00000596454.1,9.0,10.0,7.0,8.0,10.0,10.0,9.0,11.0,7.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,11.0,7.0,8.0,7.0,8.0,11.0,9.0,6.0,9.0,8.0,0.0,9.0,9.0,6.0,10.0,8.0,8.0,9.0,10.0,8.0,9.0,7.0,11.0,10.0
>ENST00000411836.1,11.0,10.0,7.0,11.0,12.0,9.0,9.0,10.0,8.0,12.0,9.0,10.0,10.0,8.0,10.0,11.0,9.0,13.0,9.0,9.0,10.0,11.0,10.0,8.0,12.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,8.0,9.0,0.0,9.0,7.0,11.0,8.0,10.0,10.0,8.0,10.0,12.0,10.0,9.0,9.0
>ENST00000428380.1,11.0,13.0,7.0,10.0,13.0,10.0,12.0,12.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,12.0,9.0,12.0,10.0,10.0,11.0,10.0,10.0,12.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,0.0,9.0,13.0,9.0,11.0,8.0,10.0,13.0,11.0,10.0,10.0,9.0
ENSG00000252930.1,8.0,8.0,7.0,7.0,10.0,9.0,7.0,13.0,7.0,9.0,7.0,8.0,8.0,6.0,9.0,9.0,7.0,9.0,10.0,8.0,9.0,10.0,7.0,8.0,8.0,10.0,8.0,8.0,9.0,7.0,7.0,11.0,10.0,9.0,6.0,7.0,9.0,0.0,12.0,10.0,6.0,9.0,8.0,8.0,9.0,6.0,9.0,9.0
ENSG00000179934.6,11.0,71.0,9.0,12.0,94.0,11.0,10.0,12.0,9.0,11.0,10.0,12.0,11.0,13.0,10.0,14.0,10.0,85.0,11.0,9.0,11.0,13.0,14.0,10.0,11.0,10.0,12.0,10.0,11.0,13.0,10.0,9.0,11.0,10.0,10.0,11.0,13.0,12.0,0.0,10.0,12.0,10.0,11.0,10.0,55.0,10.0,11.0,12.0
>ENST00000523425.1,10.0,9.0,7.0,8.0,14.0,8.0,9.0,10.0,9.0,9.0,9.0,11.0,8.0,8.0,9.0,11.0,9.0,14.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,11.0,10.0,9.0,8.0,9.0,11.0,7.0,11.0,10.0,8.0,8.0,9.0,10.0,10.0,0.0,9.0,9.0,9.0,11.0,11.0,11.0,9.0,8.0
>ENST00000434793.1,10.0,9.0,7.0,13.0,12.0,10.0,9.0,11.0,8.0,10.0,9.0,10.0,10.0,8.0,10.0,12.0,7.0,11.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,7.0,10.0,11.0,7.0,7.0,12.0,8.0,8.0,11.0,8.0,10.0,11.0,6.0,12.0,9.0,0.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0
>ENST00000467217.1,10.0,8.0,7.0,8.0,12.0,10.0,8.0,11.0,9.0,11.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,7.0,10.0,7.0,10.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,0.0,10.0,12.0,11.0,8.0,8.0,11.0
>ENST00000510485.2,11.0,10.0,8.0,10.0,13.0,11.0,9.0,10.0,10.0,11.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,12.0,10.0,9.0,10.0,11.0,8.0,11.0,12.0,9.0,13.0,9.0,9.0,10.0,10.0,7.0,9.0,10.0,10.0,8.0,10.0,8.0,11.0,9.0,10.0,10.0,0.0,10.0,11.0,9.0,9.0,10.0
>ENST00000437447.1,9.0,10.0,8.0,10.0,12.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,11.0,10.0,9.0,11.0,12.0,9.0,9.0,11.0,8.0,12.0,12.0,9.0,10.0,9.0,7.0,11.0,9.0,8.0,10.0,13.0,8.0,10.0,11.0,9.0,12.0,10.0,0.0,11.0,11.0,8.0,10.0
ENSG00000189043.9,12.0,53.0,10.0,10.0,114.0,12.0,12.0,11.0,11.0,11.0,10.0,11.0,12.0,10.0,15.0,16.0,10.0,100.0,11.0,9.0,11.0,12.0,15.0,10.0,13.0,11.0,11.0,11.0,12.0,12.0,11.0,8.0,14.0,12.0,9.0,12.0,11.0,9.0,55.0,11.0,10.0,11.0,11.0,11.0,0.0,10.0,13.0,12.0
>ENST00000569699.1,10.0,10.0,8.0,11.0,15.0,9.0,11.0,10.0,7.0,8.0,8.0,11.0,8.0,7.0,11.0,10.0,11.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,11.0,12.0,7.0,8.0,12.0,7.0,11.0,10.0,7.0,10.0,10.0,6.0,10.0,11.0,9.0,8.0,9.0,11.0,10.0,0.0,9.0,7.0
>ENST00000549457.1,12.0,9.0,8.0,8.0,11.0,10.0,8.0,9.0,9.0,12.0,12.0,9.0,10.0,9.0,9.0,12.0,9.0,11.0,10.0,10.0,9.0,12.0,8.0,8.0,11.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,11.0,8.0,11.0,9.0,10.0,9.0,11.0,9.0,8.0,8.0,9.0,8.0,13.0,9.0,0.0,8.0
>ENST00000412164.1,10.0,9.0,8.0,8.0,11.0,9.0,8.0,10.0,8.0,9.0,12.0,8.0,11.0,7.0,8.0,11.0,10.0,11.0,11.0,9.0,9.0,10.0,8.0,9.0,11.0,7.0,10.0,10.0,8.0,9.0,7.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,12.0,8.0,8.0,11.0,10.0,10.0,12.0,7.0,8.0,0.0
