,>ENST00000508039.1,>ENST00000490557.1,>ENST00000438841.1,>ENST00000405292.2,>ENST00000437063.1,>ENST00000552112.1,>ENST00000432323.1,>ENST00000330020.3,>ENST00000478965.1,>ENST00000497299.2,>ENST00000420779.2,>ENST00000596113.1,>ENST00000496731.1,>ENST00000496249.1,>ENST00000455312.1,>ENST00000442856.1,>ENST00000526848.1,>ENST00000502592.1,>ENST00000529428.5,>ENST00000473625.1,>ENST00000520248.1,>ENST00000423587.1,>ENST00000453250.1,>ENST00000567945.1,>ENST00000624398.1,>ENST00000562287.1,>ENST00000523070.1,>ENST00000425429.3,ENSG00000223215.1,>ENST00000418141.2,ENSG00000162771.7,>ENST00000446084.1,>ENST00000624134.1,>ENST00000402237.1,>ENST00000406724.1,>ENST00000399580.2,>ENST00000457904.2,>ENST00000411597.1,>ENST00000431492.2,>ENST00000450418.1,>ENST00000513792.1,>ENST00000568105.1,>ENST00000605515.1
>ENST00000420779.2,8.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,9.0,10.0,0.0,8.0,10.0,8.0,8.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,11.0,8.0,8.0,9.0,10.0,11.0,7.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0
>ENST00000596113.1,6.0,9.0,8.0,8.0,8.0,10.0,11.0,8.0,13.0,10.0,8.0,0.0,14.0,10.0,9.0,10.0,8.0,12.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,9.0,8.0,9.0,7.0,10.0,10.0,8.0,9.0,11.0,12.0,11.0,8.0,7.0,9.0,9.0,9.0,9.0,10.0
>ENST00000496731.1,11.0,9.0,10.0,10.0,13.0,9.0,9.0,10.0,9.0,11.0,10.0,14.0,0.0,10.0,8.0,11.0,11.0,9.0,11.0,14.0,11.0,8.0,9.0,8.0,8.0,12.0,10.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,10.0,11.0,8.0,8.0,11.0,10.0,10.0,9.0,9.0
>ENST00000496249.1,8.0,11.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,10.0,10.0,0.0,8.0,9.0,8.0,10.0,11.0,9.0,11.0,10.0,10.0,9.0,8.0,10.0,9.0,11.0,8.0,10.0,10.0,8.0,10.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0
>ENST00000455312.1,8.0,11.0,7.0,8.0,9.0,10.0,8.0,12.0,9.0,9.0,8.0,9.0,8.0,8.0,0.0,9.0,8.0,10.0,10.0,9.0,10.0,7.0,10.0,9.0,8.0,11.0,8.0,10.0,6.0,11.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,8.0,12.0,10.0,12.0,9.0,10.0
>ENST00000442856.1,10.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,9.0,0.0,9.0,9.0,11.0,11.0,10.0,7.0,11.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,14.0,10.0,11.0,10.0,10.0,10.0,12.0,9.0,9.0,11.0,10.0,11.0,10.0
>ENST00000526848.1,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,11.0,8.0,8.0,9.0,0.0,10.0,11.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0
>ENST00000502592.1,8.0,14.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,12.0,9.0,10.0,10.0,9.0,10.0,0.0,10.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,11.0,9.0,12.0,10.0,11.0,10.0,8.0,7.0,10.0,12.0,8.0,8.0,9.0
>ENST00000529428.5,10.0,13.0,11.0,10.0,12.0,10.0,10.0,11.0,12.0,12.0,10.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,0.0,11.0,12.0,10.0,12.0,10.0,10.0,11.0,11.0,15.0,10.0,13.0,11.0,10.0,11.0,11.0,12.0,13.0,10.0,9.0,11.0,13.0,10.0,10.0,11.0
>ENST00000473625.1,10.0,9.0,10.0,10.0,11.0,11.0,8.0,9.0,11.0,10.0,10.0,10.0,14.0,9.0,9.0,11.0,9.0,9.0,11.0,0.0,10.0,8.0,10.0,11.0,10.0,11.0,9.0,12.0,8.0,11.0,12.0,10.0,9.0,11.0,11.0,10.0,11.0,9.0,12.0,12.0,11.0,12.0,10.0
>ENST00000520248.1,9.0,11.0,10.0,10.0,11.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,12.0,10.0,0.0,11.0,12.0,10.0,9.0,9.0,11.0,11.0,9.0,11.0,13.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,14.0,11.0,10.0,9.0,10.0
>ENST00000423587.1,7.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,12.0,8.0,8.0,8.0,8.0,10.0,7.0,7.0,8.0,7.0,10.0,8.0,11.0,0.0,10.0,7.0,7.0,8.0,7.0,9.0,9.0,10.0,8.0,10.0,9.0,7.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,7.0,9.0
>ENST00000453250.1,9.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,12.0,10.0,12.0,10.0,0.0,9.0,8.0,10.0,9.0,12.0,10.0,10.0,10.0,9.0,11.0,12.0,9.0,13.0,10.0,9.0,11.0,12.0,11.0,10.0,10.0
>ENST00000567945.1,9.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,7.0,9.0,0.0,8.0,10.0,9.0,8.0,6.0,9.0,11.0,9.0,8.0,9.0,8.0,10.0,10.0,8.0,10.0,10.0,8.0,9.0,9.0
>ENST00000624398.1,7.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,10.0,9.0,7.0,8.0,8.0,0.0,9.0,8.0,9.0,6.0,17.0,9.0,7.0,9.0,8.0,9.0,8.0,11.0,7.0,9.0,8.0,8.0,8.0,8.0
>ENST00000562287.1,11.0,13.0,11.0,9.0,11.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,12.0,10.0,11.0,10.0,9.0,9.0,11.0,11.0,9.0,8.0,10.0,10.0,9.0,0.0,10.0,11.0,8.0,12.0,12.0,10.0,11.0,10.0,10.0,9.0,10.0,8.0,13.0,11.0,11.0,11.0,9.0
>ENST00000523070.1,11.0,8.0,9.0,10.0,9.0,10.0,7.0,9.0,9.0,12.0,10.0,8.0,10.0,9.0,8.0,10.0,9.0,8.0,11.0,9.0,11.0,7.0,9.0,9.0,8.0,10.0,0.0,11.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,10.0,8.0,8.0,8.0,11.0,8.0,10.0,11.0
>ENST00000425429.3,11.0,10.0,10.0,9.0,10.0,13.0,9.0,10.0,10.0,10.0,11.0,9.0,9.0,11.0,10.0,11.0,9.0,9.0,15.0,12.0,11.0,9.0,12.0,8.0,9.0,11.0,11.0,0.0,8.0,11.0,13.0,9.0,11.0,11.0,11.0,11.0,11.0,9.0,12.0,11.0,10.0,12.0,11.0
ENSG00000223215.1,7.0,9.0,8.0,10.0,8.0,8.0,9.0,12.0,8.0,8.0,7.0,7.0,10.0,8.0,6.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0,6.0,6.0,8.0,9.0,8.0,0.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,10.0,9.0,8.0,9.0,7.0
>ENST00000418141.2,11.0,9.0,10.0,9.0,10.0,12.0,8.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,13.0,11.0,11.0,10.0,10.0,9.0,17.0,12.0,10.0,11.0,8.0,0.0,10.0,9.0,9.0,14.0,9.0,10.0,11.0,8.0,8.0,10.0,10.0,11.0,10.0
ENSG00000162771.7,11.0,11.0,10.0,11.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,14.0,10.0,11.0,11.0,12.0,13.0,8.0,10.0,11.0,9.0,12.0,10.0,13.0,9.0,10.0,0.0,12.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,11.0,11.0,10.0
>ENST00000446084.1,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,8.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,7.0,10.0,8.0,9.0,8.0,9.0,12.0,0.0,8.0,7.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,8.0,9.0
>ENST00000624134.1,6.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,12.0,10.0,9.0,9.0,8.0,10.0,9.0,11.0,8.0,12.0,11.0,9.0,9.0,9.0,11.0,8.0,9.0,11.0,9.0,11.0,8.0,9.0,10.0,8.0,0.0,10.0,10.0,9.0,8.0,8.0,10.0,10.0,8.0,8.0,10.0
>ENST00000402237.1,10.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,9.0,7.0,12.0,9.0,8.0,10.0,10.0,11.0,8.0,14.0,9.0,7.0,10.0,0.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0
>ENST00000406724.1,10.0,11.0,9.0,9.0,11.0,11.0,7.0,9.0,9.0,9.0,8.0,12.0,10.0,9.0,11.0,10.0,9.0,11.0,12.0,11.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,0.0,13.0,9.0,7.0,9.0,11.0,11.0,9.0,10.0
>ENST00000399580.2,9.0,11.0,9.0,9.0,9.0,10.0,11.0,9.0,13.0,13.0,9.0,11.0,11.0,11.0,10.0,10.0,9.0,10.0,13.0,10.0,11.0,9.0,13.0,10.0,8.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,13.0,0.0,11.0,9.0,10.0,12.0,9.0,9.0,10.0
>ENST00000457904.2,8.0,9.0,9.0,8.0,10.0,10.0,7.0,9.0,13.0,8.0,8.0,8.0,8.0,9.0,9.0,12.0,9.0,8.0,10.0,11.0,9.0,8.0,10.0,10.0,11.0,10.0,8.0,11.0,7.0,11.0,10.0,10.0,8.0,9.0,9.0,11.0,0.0,8.0,10.0,9.0,9.0,10.0,8.0
>ENST00000411597.1,8.0,7.0,7.0,8.0,9.0,7.0,7.0,9.0,10.0,9.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,7.0,9.0,9.0,10.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0,8.0,10.0,7.0,9.0,8.0,0.0,7.0,11.0,8.0,14.0,7.0
>ENST00000431492.2,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,14.0,8.0,9.0,11.0,9.0,12.0,9.0,8.0,10.0,11.0,12.0,14.0,9.0,11.0,10.0,9.0,13.0,8.0,12.0,10.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,7.0,0.0,12.0,9.0,9.0,11.0
>ENST00000450418.1,9.0,10.0,14.0,10.0,11.0,9.0,11.0,9.0,13.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,12.0,13.0,12.0,11.0,9.0,12.0,10.0,8.0,11.0,11.0,11.0,9.0,10.0,11.0,11.0,10.0,10.0,11.0,12.0,9.0,11.0,12.0,0.0,11.0,10.0,10.0
>ENST00000513792.1,10.0,10.0,9.0,10.0,9.0,10.0,7.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,12.0,10.0,9.0,8.0,10.0,11.0,10.0,8.0,11.0,8.0,8.0,11.0,8.0,10.0,8.0,10.0,11.0,9.0,8.0,10.0,11.0,9.0,9.0,8.0,9.0,11.0,0.0,9.0,8.0
>ENST00000568105.1,14.0,9.0,8.0,8.0,11.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,8.0,8.0,10.0,12.0,9.0,7.0,10.0,9.0,8.0,11.0,10.0,12.0,9.0,11.0,11.0,8.0,8.0,9.0,9.0,9.0,10.0,14.0,9.0,10.0,9.0,0.0,9.0
>ENST00000605515.1,11.0,10.0,9.0,10.0,10.0,8.0,9.0,10.0,10.0,11.0,8.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,11.0,11.0,7.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,7.0,11.0,10.0,8.0,9.0,0.0
