,>ENST00000620253.1,>ENST00000425789.1,>ENST00000404155.1,>ENST00000511263.1,>ENST00000612987.1,>ENST00000542626.1,>ENST00000621486.1,>ENST00000444277.1,>ENST00000448030.1,>ENST00000416622.1,>ENST00000434327.1,>ENST00000417985.1,>ENST00000454464.2,>ENST00000605131.1,>ENST00000447000.1,>ENST00000433886.1,>ENST00000524374.1,>ENST00000517313.1,>ENST00000407291.1,>ENST00000397595.2,>ENST00000403109.1,>ENST00000546827.1,>ENST00000431951.1,>ENST00000505577.1,ENSG00000185730.7,>ENST00000421795.1,>ENST00000397777.3,>ENST00000619538.1,>ENST00000433043.1,>ENST00000555980.1,>ENST00000419621.2,>ENST00000422360.2,>ENST00000506494.1,>ENST00000440724.1,>ENST00000423641.1
>ENST00000407291.1,10.0,8.0,9.0,10.0,9.0,7.0,8.0,7.0,9.0,10.0,9.0,11.0,10.0,9.0,7.0,9.0,9.0,8.0,0.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,9.0,7.0,10.0,8.0,153.0,9.0,10.0,9.0,10.0
>ENST00000397595.2,9.0,11.0,12.0,9.0,10.0,8.0,10.0,9.0,8.0,10.0,8.0,10.0,8.0,10.0,8.0,9.0,12.0,10.0,8.0,0.0,8.0,11.0,9.0,11.0,12.0,9.0,10.0,8.0,11.0,8.0,8.0,8.0,9.0,10.0,10.0
>ENST00000403109.1,10.0,9.0,11.0,8.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,0.0,9.0,8.0,10.0,11.0,7.0,9.0,7.0,8.0,9.0,11.0,11.0,9.0,8.0,9.0
>ENST00000546827.1,10.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,8.0,8.0,10.0,10.0,9.0,11.0,9.0,0.0,9.0,10.0,11.0,10.0,12.0,10.0,10.0,9.0,7.0,11.0,9.0,9.0,10.0
>ENST00000431951.1,9.0,9.0,9.0,13.0,10.0,7.0,12.0,8.0,10.0,10.0,8.0,10.0,7.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,0.0,10.0,10.0,8.0,11.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0
>ENST00000505577.1,9.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,10.0,10.0,10.0,10.0,8.0,10.0,9.0,8.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,0.0,13.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0
ENSG00000185730.7,11.0,9.0,12.0,10.0,12.0,10.0,12.0,9.0,11.0,11.0,11.0,12.0,9.0,12.0,12.0,10.0,14.0,11.0,10.0,12.0,11.0,11.0,10.0,13.0,0.0,10.0,12.0,18.0,11.0,11.0,10.0,11.0,11.0,10.0,11.0
>ENST00000421795.1,7.0,9.0,8.0,9.0,10.0,8.0,8.0,7.0,8.0,7.0,8.0,9.0,7.0,7.0,7.0,9.0,9.0,8.0,8.0,9.0,7.0,10.0,8.0,10.0,10.0,0.0,12.0,9.0,7.0,8.0,9.0,8.0,10.0,8.0,9.0
>ENST00000397777.3,9.0,10.0,10.0,9.0,11.0,12.0,10.0,9.0,10.0,9.0,9.0,11.0,7.0,9.0,7.0,9.0,10.0,9.0,9.0,10.0,9.0,12.0,11.0,10.0,12.0,12.0,0.0,9.0,9.0,10.0,9.0,12.0,10.0,10.0,10.0
>ENST00000619538.1,8.0,8.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,10.0,8.0,9.0,7.0,7.0,10.0,7.0,11.0,8.0,7.0,8.0,7.0,10.0,9.0,10.0,18.0,9.0,9.0,0.0,9.0,10.0,8.0,10.0,9.0,8.0,9.0
>ENST00000433043.1,10.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,7.0,9.0,11.0,9.0,9.0,7.0,10.0,11.0,8.0,10.0,10.0,10.0,11.0,7.0,9.0,9.0,0.0,9.0,10.0,9.0,9.0,10.0,10.0
>ENST00000555980.1,9.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,11.0,8.0,10.0,10.0,9.0,0.0,8.0,9.0,10.0,9.0,10.0
>ENST00000419621.2,10.0,8.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,7.0,10.0,8.0,9.0,11.0,8.0,153.0,8.0,11.0,7.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,8.0,0.0,7.0,9.0,8.0,10.0
>ENST00000422360.2,10.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0,11.0,11.0,9.0,9.0,11.0,8.0,12.0,10.0,9.0,9.0,7.0,0.0,9.0,9.0,11.0
>ENST00000506494.1,11.0,8.0,9.0,9.0,11.0,8.0,8.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,11.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,0.0,11.0,10.0
>ENST00000440724.1,9.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,12.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,8.0,10.0,8.0,10.0,9.0,8.0,9.0,11.0,0.0,10.0
>ENST00000423641.1,9.0,12.0,11.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,12.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,0.0
