,>ENST00000466902.1,>ENST00000495431.1,>ENST00000457611.1,>ENST00000582370.1,>ENST00000446757.1,>ENST00000603636.1,ENSG00000207033.1,>ENST00000485829.2,>ENST00000603937.1,>ENST00000444889.1,>ENST00000560510.1,>ENST00000552735.1,>ENST00000419595.1,>ENST00000426026.1,>ENST00000603701.1,>ENST00000616726.1,>ENST00000556941.1,>ENST00000456921.1,>ENST00000411715.1,>ENST00000422965.1,>ENST00000398372.2,ENSG00000198390.4,>ENST00000548873.1,ENSG00000240294.2,>ENST00000444599.2,ENSG00000240116.3,>ENST00000521358.1,>ENST00000550612.1,>ENST00000439836.1,>ENST00000491411.2,>ENST00000612027.1,>ENST00000446498.1,>ENST00000509356.1,>ENST00000543250.1,>ENST00000475545.1
>ENST00000398372.2,12.0,8.0,10.0,12.0,10.0,10.0,8.0,11.0,9.0,11.0,12.0,11.0,10.0,9.0,9.0,12.0,11.0,10.0,10.0,9.0,0.0,10.0,9.0,8.0,11.0,8.0,10.0,11.0,11.0,11.0,10.0,9.0,9.0,10.0,10.0
ENSG00000198390.4,10.0,11.0,10.0,11.0,10.0,9.0,8.0,10.0,9.0,11.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0,0.0,12.0,9.0,10.0,8.0,9.0,13.0,11.0,11.0,9.0,9.0,10.0,8.0,8.0
>ENST00000548873.1,11.0,10.0,10.0,10.0,13.0,10.0,10.0,10.0,8.0,13.0,10.0,8.0,9.0,10.0,10.0,11.0,9.0,9.0,10.0,13.0,9.0,12.0,0.0,9.0,9.0,11.0,9.0,11.0,13.0,9.0,10.0,9.0,10.0,9.0,9.0
ENSG00000240294.2,9.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,7.0,6.0,8.0,8.0,9.0,10.0,8.0,11.0,8.0,8.0,8.0,9.0,9.0,0.0,10.0,9.0,8.0,7.0,10.0,7.0,6.0,10.0,9.0,10.0,8.0
>ENST00000444599.2,9.0,9.0,9.0,10.0,10.0,11.0,8.0,9.0,9.0,10.0,10.0,7.0,8.0,9.0,10.0,10.0,9.0,11.0,9.0,11.0,11.0,10.0,9.0,10.0,0.0,9.0,8.0,9.0,9.0,8.0,10.0,11.0,9.0,11.0,10.0
ENSG00000240116.3,9.0,8.0,9.0,8.0,10.0,9.0,6.0,7.0,8.0,10.0,9.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,11.0,9.0,9.0,0.0,9.0,8.0,8.0,7.0,9.0,7.0,9.0,9.0,11.0
>ENST00000521358.1,9.0,8.0,8.0,11.0,9.0,8.0,7.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,0.0,8.0,8.0,10.0,13.0,9.0,10.0,9.0,9.0
>ENST00000550612.1,9.0,9.0,10.0,9.0,12.0,9.0,7.0,8.0,9.0,11.0,9.0,8.0,8.0,8.0,8.0,12.0,11.0,9.0,10.0,9.0,11.0,13.0,11.0,7.0,9.0,8.0,8.0,0.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0
>ENST00000439836.1,9.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,7.0,9.0,10.0,11.0,10.0,11.0,11.0,8.0,9.0,11.0,11.0,13.0,10.0,9.0,8.0,8.0,10.0,0.0,9.0,8.0,9.0,8.0,10.0,10.0
>ENST00000491411.2,10.0,8.0,7.0,11.0,9.0,9.0,7.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,15.0,8.0,9.0,9.0,8.0,8.0,11.0,11.0,9.0,7.0,8.0,7.0,10.0,8.0,9.0,0.0,10.0,8.0,13.0,9.0,8.0
>ENST00000612027.1,14.0,9.0,10.0,9.0,10.0,9.0,7.0,10.0,9.0,10.0,9.0,7.0,9.0,8.0,9.0,9.0,10.0,12.0,9.0,8.0,10.0,9.0,10.0,6.0,10.0,9.0,13.0,9.0,8.0,10.0,0.0,13.0,8.0,10.0,10.0
>ENST00000446498.1,10.0,9.0,9.0,9.0,11.0,10.0,8.0,11.0,9.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,7.0,9.0,9.0,9.0,8.0,13.0,0.0,8.0,11.0,11.0
>ENST00000509356.1,11.0,8.0,10.0,11.0,8.0,9.0,7.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,13.0,8.0,8.0,0.0,11.0,8.0
>ENST00000543250.1,10.0,9.0,11.0,11.0,12.0,9.0,8.0,8.0,9.0,11.0,8.0,7.0,9.0,10.0,10.0,11.0,10.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,0.0,10.0
>ENST00000475545.1,10.0,10.0,9.0,9.0,10.0,11.0,7.0,9.0,9.0,10.0,11.0,7.0,9.0,8.0,9.0,7.0,9.0,11.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,11.0,9.0,9.0,10.0,8.0,10.0,11.0,8.0,10.0,0.0
