,>ENST00000466133.1,>ENST00000514471.1,>ENST00000443795.1,>ENST00000450190.1,>ENST00000529954.1,>ENST00000393988.2,>ENST00000521893.1,>ENST00000441064.1,>ENST00000557717.1,>ENST00000405720.1,>ENST00000550213.2,>ENST00000440986.1,>ENST00000429552.1,>ENST00000436610.3,>ENST00000500444.2,>ENST00000575927.1,>ENST00000444561.2,>ENST00000528904.1,>ENST00000404151.1,>ENST00000572529.1,>ENST00000417106.1,>ENST00000470997.1,>ENST00000445825.1,ENSG00000197557.6,>ENST00000328239.8,>ENST00000443844.3,>ENST00000424582.1,>ENST00000513466.5,ENSG00000146618.3,>ENST00000439895.1,>ENST00000419195.1,>ENST00000402231.1,>ENST00000503184.1,>ENST00000514465.1
>ENST00000550213.2,8.0,11.0,8.0,7.0,11.0,9.0,8.0,10.0,8.0,9.0,0.0,11.0,9.0,9.0,8.0,11.0,10.0,8.0,9.0,7.0,9.0,10.0,7.0,10.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0,10.0,10.0
>ENST00000440986.1,11.0,9.0,7.0,8.0,9.0,10.0,8.0,11.0,10.0,8.0,11.0,0.0,9.0,8.0,9.0,11.0,9.0,10.0,10.0,8.0,11.0,10.0,9.0,11.0,8.0,9.0,8.0,13.0,10.0,10.0,9.0,11.0,11.0,11.0
>ENST00000429552.1,11.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,0.0,8.0,9.0,8.0,8.0,10.0,11.0,8.0,11.0,8.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0
>ENST00000436610.3,10.0,9.0,7.0,9.0,8.0,9.0,8.0,8.0,7.0,7.0,9.0,8.0,8.0,0.0,14.0,8.0,8.0,7.0,9.0,10.0,8.0,8.0,10.0,10.0,7.0,8.0,7.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0
>ENST00000500444.2,10.0,9.0,7.0,8.0,9.0,11.0,9.0,11.0,10.0,8.0,8.0,9.0,9.0,14.0,0.0,8.0,9.0,8.0,9.0,8.0,11.0,12.0,10.0,11.0,10.0,9.0,8.0,10.0,10.0,11.0,8.0,9.0,10.0,9.0
>ENST00000575927.1,10.0,10.0,7.0,8.0,10.0,10.0,8.0,10.0,10.0,10.0,11.0,11.0,8.0,8.0,8.0,0.0,9.0,8.0,10.0,7.0,9.0,8.0,9.0,10.0,8.0,9.0,7.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0
>ENST00000444561.2,9.0,8.0,7.0,8.0,10.0,9.0,8.0,7.0,8.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,0.0,9.0,9.0,7.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0
>ENST00000528904.1,9.0,8.0,7.0,8.0,13.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,9.0,0.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,10.0,8.0,10.0,8.0,10.0
>ENST00000404151.1,9.0,10.0,7.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,9.0,0.0,9.0,14.0,10.0,10.0,11.0,10.0,10.0,8.0,10.0,10.0,11.0,10.0,10.0,10.0,8.0
>ENST00000572529.1,9.0,10.0,7.0,7.0,8.0,8.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,10.0,8.0,7.0,7.0,8.0,9.0,0.0,10.0,10.0,9.0,11.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0
>ENST00000417106.1,12.0,12.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,11.0,11.0,8.0,11.0,9.0,10.0,8.0,14.0,10.0,0.0,10.0,10.0,13.0,10.0,11.0,9.0,9.0,12.0,12.0,10.0,11.0,10.0,10.0
>ENST00000470997.1,10.0,10.0,13.0,9.0,8.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,12.0,8.0,8.0,9.0,10.0,10.0,10.0,0.0,10.0,11.0,9.0,11.0,8.0,10.0,10.0,10.0,9.0,11.0,10.0,12.0
>ENST00000445825.1,12.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,7.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,0.0,11.0,11.0,11.0,10.0,12.0,9.0,9.0,10.0,10.0,9.0,10.0
ENSG00000197557.6,11.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,9.0,9.0,11.0,11.0,13.0,11.0,11.0,0.0,11.0,12.0,12.0,15.0,11.0,11.0,10.0,11.0,12.0,12.0
>ENST00000328239.8,10.0,8.0,8.0,11.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,7.0,10.0,8.0,8.0,8.0,10.0,8.0,10.0,9.0,11.0,11.0,0.0,9.0,9.0,9.0,7.0,12.0,9.0,12.0,10.0,9.0
>ENST00000443844.3,11.0,11.0,6.0,10.0,9.0,10.0,8.0,10.0,12.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,11.0,11.0,11.0,12.0,9.0,0.0,9.0,15.0,9.0,11.0,9.0,9.0,8.0,12.0
>ENST00000424582.1,8.0,9.0,7.0,8.0,10.0,10.0,7.0,15.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,12.0,9.0,9.0,0.0,10.0,7.0,8.0,11.0,9.0,7.0,8.0
>ENST00000513466.5,11.0,9.0,8.0,8.0,10.0,12.0,9.0,9.0,11.0,11.0,7.0,13.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,12.0,15.0,9.0,15.0,10.0,0.0,9.0,10.0,8.0,10.0,9.0,9.0
ENSG00000146618.3,11.0,11.0,7.0,9.0,9.0,11.0,8.0,9.0,11.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,10.0,8.0,12.0,10.0,9.0,11.0,7.0,9.0,7.0,9.0,0.0,9.0,10.0,10.0,9.0,11.0
>ENST00000439895.1,11.0,11.0,11.0,9.0,13.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,11.0,8.0,12.0,10.0,9.0,11.0,12.0,11.0,8.0,10.0,9.0,0.0,10.0,10.0,11.0,10.0
>ENST00000419195.1,10.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,8.0,10.0,10.0,0.0,11.0,9.0,9.0
>ENST00000402231.1,12.0,10.0,10.0,8.0,10.0,12.0,9.0,10.0,10.0,10.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,11.0,10.0,11.0,12.0,9.0,9.0,10.0,10.0,10.0,11.0,0.0,10.0,10.0
>ENST00000503184.1,10.0,10.0,6.0,9.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,11.0,8.0,10.0,10.0,10.0,10.0,9.0,12.0,10.0,8.0,7.0,9.0,9.0,11.0,9.0,10.0,0.0,13.0
>ENST00000514465.1,11.0,10.0,7.0,9.0,10.0,13.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,8.0,9.0,10.0,12.0,10.0,12.0,9.0,12.0,8.0,9.0,11.0,10.0,9.0,10.0,13.0,0.0
