,>ENST00000590892.1,>ENST00000498774.1,>ENST00000504253.1,>ENST00000634557.1,>ENST00000443304.1,>ENST00000420754.2,>ENST00000412010.1,>ENST00000552016.1,>ENST00000443759.1,>ENST00000430604.1,ENSG00000206900.1,>ENST00000416893.2,>ENST00000508335.2,>ENST00000506964.1,>ENST00000453977.2,>ENST00000448495.1,>ENST00000554987.1,>ENST00000441078.1,>ENST00000427941.1,>ENST00000382628.3,>ENST00000402444.2,>ENST00000538772.1,>ENST00000554881.1,>ENST00000531871.3,>ENST00000397318.4,>ENST00000430231.1,>ENST00000425988.1,>ENST00000593450.1,>ENST00000603089.1,>ENST00000454486.4,ENSG00000274467.1,>ENST00000454116.1,>ENST00000526582.1,>ENST00000502609.2,>ENST00000471686.1,>ENST00000431238.7,>ENST00000533611.1,>ENST00000463814.1,>ENST00000604686.1,ENSG00000222792.1,>ENST00000450396.1,>ENST00000413805.2,>ENST00000317102.3,>ENST00000493832.1,>ENST00000599707.2,>ENST00000454398.1,>ENST00000418085.1,>ENST00000311910.6,>ENST00000604851.1,>ENST00000613563.1
ENSG00000206900.1,9.0,10.0,9.0,8.0,7.0,8.0,8.0,8.0,6.0,7.0,0.0,8.0,9.0,6.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,8.0,11.0,9.0,9.0,7.0,8.0,9.0,7.0,11.0,8.0,8.0,8.0,7.0,6.0,8.0,9.0,9.0,7.0,8.0
>ENST00000416893.2,8.0,11.0,8.0,7.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,0.0,10.0,9.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,7.0,8.0,11.0,9.0,8.0,11.0,11.0,9.0,9.0,7.0,10.0,10.0,12.0,8.0,7.0,9.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0
>ENST00000508335.2,9.0,10.0,10.0,9.0,11.0,11.0,11.0,12.0,11.0,12.0,9.0,10.0,0.0,9.0,10.0,9.0,12.0,9.0,10.0,10.0,10.0,9.0,10.0,13.0,12.0,10.0,10.0,11.0,11.0,11.0,8.0,11.0,12.0,11.0,9.0,7.0,11.0,11.0,10.0,8.0,8.0,9.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,9.0
>ENST00000506964.1,9.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,6.0,9.0,9.0,0.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,12.0,9.0,10.0,9.0,9.0,8.0,12.0,7.0,9.0,8.0,10.0,8.0,9.0,10.0,10.0,7.0,8.0,10.0,8.0,10.0,9.0,10.0,8.0,10.0,9.0,8.0,8.0
>ENST00000453977.2,7.0,10.0,9.0,10.0,8.0,10.0,11.0,11.0,8.0,9.0,7.0,10.0,10.0,9.0,0.0,10.0,8.0,8.0,10.0,8.0,8.0,9.0,10.0,11.0,10.0,8.0,10.0,10.0,9.0,14.0,7.0,9.0,10.0,10.0,8.0,8.0,8.0,11.0,8.0,8.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0
>ENST00000448495.1,10.0,10.0,9.0,7.0,7.0,10.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,0.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,8.0,10.0,11.0,10.0,12.0,7.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,8.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,10.0,9.0,10.0
>ENST00000554987.1,9.0,11.0,7.0,8.0,10.0,11.0,10.0,9.0,9.0,10.0,7.0,10.0,12.0,10.0,8.0,8.0,0.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,12.0,9.0,6.0,7.0,8.0,8.0,11.0,9.0,8.0,9.0,10.0,9.0,14.0
>ENST00000441078.1,8.0,14.0,9.0,6.0,9.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,0.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,11.0,9.0,9.0,11.0,8.0,8.0,8.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,13.0
>ENST00000427941.1,10.0,10.0,11.0,9.0,12.0,9.0,9.0,11.0,10.0,11.0,7.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,0.0,10.0,12.0,11.0,9.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,7.0,10.0,12.0,12.0,8.0,9.0,10.0,12.0,10.0,8.0,9.0,8.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0
>ENST00000382628.3,11.0,12.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,0.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0,10.0,10.0,11.0,8.0,9.0,10.0,11.0,9.0,12.0,1315.0,10.0,12.0,8.0,10.0,9.0,10.0,9.0,12.0,9.0,10.0,10.0,9.0,11.0
>ENST00000402444.2,8.0,10.0,9.0,8.0,8.0,10.0,10.0,8.0,10.0,10.0,7.0,10.0,10.0,8.0,8.0,10.0,8.0,8.0,12.0,11.0,0.0,10.0,8.0,12.0,10.0,11.0,10.0,10.0,11.0,10.0,8.0,9.0,11.0,11.0,9.0,9.0,11.0,10.0,10.0,8.0,8.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0
>ENST00000538772.1,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,7.0,10.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,10.0,0.0,10.0,11.0,10.0,8.0,9.0,10.0,10.0,8.0,7.0,11.0,10.0,10.0,8.0,10.0,9.0,10.0,11.0,7.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,12.0,8.0,11.0
>ENST00000554881.1,7.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,11.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,0.0,12.0,11.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,7.0,9.0,11.0,8.0,6.0,7.0,8.0,8.0,9.0,10.0,7.0,9.0,9.0,11.0,9.0
>ENST00000531871.3,11.0,13.0,11.0,9.0,9.0,11.0,11.0,12.0,12.0,13.0,10.0,11.0,13.0,12.0,11.0,10.0,10.0,10.0,12.0,11.0,12.0,11.0,12.0,0.0,11.0,12.0,12.0,12.0,11.0,12.0,10.0,14.0,13.0,11.0,11.0,10.0,11.0,10.0,11.0,9.0,9.0,14.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,13.0
>ENST00000397318.4,10.0,11.0,9.0,9.0,10.0,11.0,8.0,11.0,7.0,11.0,9.0,9.0,12.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,0.0,9.0,9.0,8.0,9.0,10.0,8.0,11.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0
>ENST00000430231.1,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,7.0,9.0,8.0,8.0,10.0,10.0,8.0,8.0,10.0,11.0,9.0,9.0,11.0,8.0,10.0,12.0,9.0,0.0,8.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,12.0
>ENST00000425988.1,11.0,11.0,9.0,9.0,9.0,12.0,8.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,10.0,12.0,9.0,8.0,0.0,11.0,10.0,10.0,8.0,10.0,10.0,9.0,11.0,7.0,11.0,10.0,8.0,9.0,7.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0
>ENST00000593450.1,9.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,9.0,11.0,11.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,12.0,8.0,11.0,11.0,0.0,9.0,13.0,8.0,12.0,11.0,11.0,10.0,8.0,11.0,13.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0
>ENST00000603089.1,9.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,11.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,0.0,10.0,8.0,9.0,12.0,11.0,10.0,9.0,10.0,9.0,7.0,7.0,8.0,11.0,9.0,10.0,10.0,8.0,11.0,10.0,8.0,10.0
>ENST00000454486.4,10.0,13.0,12.0,10.0,9.0,11.0,9.0,11.0,8.0,9.0,8.0,9.0,11.0,12.0,14.0,12.0,9.0,8.0,9.0,11.0,10.0,8.0,10.0,12.0,10.0,10.0,10.0,13.0,10.0,0.0,8.0,11.0,10.0,11.0,11.0,9.0,11.0,9.0,10.0,9.0,11.0,11.0,10.0,9.0,10.0,9.0,12.0,10.0,10.0,10.0
ENSG00000274467.1,7.0,9.0,7.0,6.0,8.0,8.0,7.0,8.0,6.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,10.0,8.0,10.0,8.0,8.0,8.0,8.0,0.0,10.0,8.0,9.0,9.0,7.0,8.0,8.0,7.0,6.0,7.0,7.0,9.0,7.0,8.0,9.0,9.0,9.0,7.0,8.0
>ENST00000454116.1,10.0,13.0,9.0,9.0,8.0,11.0,10.0,11.0,10.0,11.0,8.0,10.0,11.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,11.0,10.0,14.0,11.0,10.0,10.0,12.0,9.0,11.0,10.0,0.0,10.0,12.0,10.0,9.0,11.0,12.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,12.0,11.0,9.0,11.0
>ENST00000526582.1,9.0,11.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,12.0,8.0,10.0,9.0,9.0,9.0,12.0,10.0,11.0,10.0,9.0,13.0,9.0,10.0,10.0,11.0,12.0,10.0,8.0,10.0,0.0,11.0,11.0,8.0,10.0,13.0,9.0,8.0,8.0,10.0,11.0,10.0,10.0,9.0,10.0,13.0,10.0,12.0
>ENST00000502609.2,11.0,12.0,9.0,10.0,10.0,12.0,10.0,9.0,10.0,10.0,9.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,11.0,10.0,9.0,11.0,10.0,10.0,9.0,11.0,11.0,11.0,9.0,12.0,11.0,0.0,12.0,11.0,11.0,11.0,10.0,9.0,10.0,10.0,12.0,10.0,12.0,15.0,12.0,11.0,10.0,13.0
>ENST00000471686.1,10.0,10.0,9.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,11.0,8.0,12.0,11.0,10.0,10.0,11.0,9.0,10.0,11.0,12.0,0.0,7.0,9.0,9.0,9.0,8.0,7.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,12.0,10.0
>ENST00000431238.7,8.0,9.0,9.0,8.0,7.0,9.0,12.0,12.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,9.0,8.0,10.0,9.0,12.0,9.0,10.0,7.0,10.0,8.0,11.0,7.0,8.0,9.0,9.0,7.0,9.0,8.0,11.0,7.0,0.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,7.0,7.0,10.0
>ENST00000533611.1,11.0,12.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0,1315.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0,11.0,10.0,11.0,8.0,11.0,10.0,11.0,9.0,9.0,0.0,11.0,12.0,8.0,10.0,9.0,10.0,9.0,12.0,9.0,10.0,10.0,9.0,11.0
>ENST00000463814.1,9.0,11.0,11.0,9.0,8.0,11.0,9.0,9.0,7.0,9.0,9.0,10.0,11.0,10.0,11.0,11.0,12.0,9.0,12.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0,10.0,13.0,9.0,9.0,8.0,12.0,13.0,11.0,9.0,8.0,11.0,0.0,9.0,8.0,10.0,8.0,15.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0
>ENST00000604686.1,8.0,11.0,8.0,7.0,8.0,10.0,7.0,9.0,7.0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,9.0,9.0,10.0,12.0,10.0,11.0,8.0,11.0,8.0,8.0,8.0,10.0,7.0,10.0,7.0,8.0,9.0,10.0,9.0,9.0,12.0,9.0,0.0,7.0,7.0,8.0,12.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0
ENSG00000222792.1,8.0,10.0,7.0,8.0,7.0,8.0,10.0,8.0,7.0,8.0,11.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,7.0,6.0,9.0,7.0,9.0,9.0,8.0,7.0,9.0,6.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,0.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,9.0
>ENST00000450396.1,11.0,9.0,9.0,64.0,9.0,11.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,7.0,7.0,9.0,10.0,8.0,9.0,7.0,9.0,9.0,9.0,7.0,9.0,8.0,11.0,7.0,9.0,8.0,10.0,7.0,9.0,10.0,10.0,7.0,8.0,0.0,9.0,8.0,7.0,8.0,9.0,9.0,8.0,7.0,11.0
>ENST00000413805.2,10.0,11.0,10.0,9.0,10.0,9.0,8.0,13.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,8.0,14.0,8.0,9.0,9.0,9.0,11.0,11.0,7.0,11.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,9.0,0.0,8.0,11.0,8.0,10.0,8.0,10.0,9.0,9.0
>ENST00000317102.3,10.0,10.0,10.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0,8.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,11.0,10.0,11.0,10.0,8.0,11.0,11.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,12.0,9.0,9.0,10.0,15.0,12.0,8.0,8.0,8.0,0.0,10.0,11.0,9.0,9.0,11.0,9.0,10.0
>ENST00000493832.1,8.0,9.0,10.0,7.0,8.0,9.0,10.0,11.0,8.0,8.0,7.0,9.0,11.0,9.0,10.0,9.0,11.0,9.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0,8.0,9.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,7.0,7.0,11.0,10.0,0.0,10.0,9.0,13.0,11.0,13.0,9.0
>ENST00000599707.2,9.0,10.0,9.0,11.0,9.0,11.0,11.0,11.0,10.0,8.0,6.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,11.0,11.0,10.0,11.0,10.0,8.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,12.0,10.0,9.0,12.0,10.0,10.0,8.0,8.0,8.0,11.0,10.0,0.0,9.0,13.0,10.0,9.0,12.0
>ENST00000454398.1,8.0,9.0,8.0,9.0,10.0,9.0,7.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,7.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,15.0,9.0,7.0,9.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,9.0,0.0,9.0,11.0,8.0,10.0
>ENST00000418085.1,9.0,10.0,9.0,8.0,8.0,9.0,9.0,16.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,10.0,11.0,12.0,9.0,12.0,10.0,12.0,10.0,8.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,13.0,13.0,9.0,0.0,9.0,10.0,10.0
>ENST00000311910.6,9.0,13.0,10.0,8.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,12.0,9.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,13.0,11.0,10.0,7.0,10.0,10.0,8.0,8.0,8.0,10.0,11.0,11.0,10.0,11.0,9.0,0.0,11.0,12.0
>ENST00000604851.1,7.0,14.0,8.0,7.0,8.0,10.0,8.0,9.0,9.0,8.0,7.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,11.0,11.0,9.0,8.0,9.0,11.0,8.0,10.0,7.0,9.0,10.0,10.0,12.0,7.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,13.0,9.0,8.0,10.0,11.0,0.0,9.0
>ENST00000613563.1,10.0,14.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,14.0,13.0,9.0,11.0,10.0,11.0,9.0,13.0,9.0,12.0,9.0,10.0,10.0,10.0,8.0,11.0,12.0,13.0,10.0,10.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,12.0,10.0,10.0,12.0,9.0,0.0
