,>ENST00000450245.1,ENSG00000252287.1,>ENST00000405341.1,ENSG00000274385.1,>ENST00000454544.2,ENSG00000263556.2,>ENST00000482027.1,ENSG00000164708.5,ENSG00000199851.2,>ENST00000452887.2,>ENST00000590455.1,>ENST00000477341.2,>ENST00000451209.1,>ENST00000446424.1,>ENST00000450182.1,>ENST00000429536.1,>ENST00000611455.1,>ENST00000432924.2,>ENST00000420603.1,>ENST00000424312.2,>ENST00000478287.1,>ENST00000546688.1,ENSG00000200959.1,>ENST00000369586.2,>ENST00000615022.1,ENSG00000221705.1,ENSG00000254402.6,>ENST00000437460.1,>ENST00000422626.1,>ENST00000587055.1,>ENST00000540724.2,ENSG00000126947.11,>ENST00000446421.2,>ENST00000477911.1,>ENST00000401636.1
>ENST00000590455.1,9.0,9.0,9.0,6.0,10.0,7.0,8.0,12.0,8.0,10.0,0.0,10.0,8.0,8.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,9.0,8.0,11.0,10.0,8.0,10.0,7.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0
>ENST00000477341.2,11.0,8.0,8.0,8.0,10.0,8.0,10.0,11.0,7.0,9.0,10.0,0.0,8.0,7.0,11.0,8.0,8.0,8.0,9.0,11.0,8.0,9.0,9.0,10.0,8.0,7.0,12.0,8.0,10.0,9.0,11.0,11.0,8.0,10.0,10.0
>ENST00000451209.1,10.0,7.0,9.0,7.0,10.0,9.0,9.0,9.0,7.0,7.0,8.0,8.0,0.0,7.0,10.0,8.0,9.0,8.0,8.0,12.0,10.0,9.0,8.0,9.0,8.0,7.0,9.0,6.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0
>ENST00000446424.1,9.0,6.0,7.0,6.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,0.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,6.0,9.0,7.0,10.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0
>ENST00000450182.1,10.0,7.0,9.0,8.0,10.0,9.0,11.0,10.0,12.0,8.0,9.0,11.0,10.0,8.0,0.0,9.0,11.0,10.0,9.0,10.0,10.0,13.0,9.0,10.0,9.0,9.0,13.0,9.0,13.0,9.0,11.0,12.0,10.0,9.0,10.0
>ENST00000429536.1,10.0,8.0,8.0,10.0,12.0,9.0,11.0,12.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,0.0,7.0,8.0,10.0,9.0,11.0,9.0,10.0,10.0,15.0,8.0,12.0,9.0,11.0,9.0,12.0,12.0,9.0,9.0,10.0
>ENST00000611455.1,9.0,7.0,7.0,6.0,8.0,9.0,12.0,10.0,6.0,7.0,7.0,8.0,9.0,9.0,11.0,7.0,0.0,7.0,8.0,9.0,10.0,8.0,6.0,9.0,8.0,7.0,11.0,7.0,8.0,8.0,9.0,9.0,9.0,10.0,8.0
>ENST00000432924.2,9.0,7.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,7.0,0.0,8.0,11.0,9.0,9.0,9.0,8.0,9.0,7.0,11.0,8.0,11.0,9.0,11.0,10.0,9.0,9.0,9.0
>ENST00000420603.1,9.0,7.0,8.0,8.0,12.0,8.0,9.0,10.0,7.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,8.0,0.0,9.0,8.0,10.0,8.0,8.0,12.0,9.0,9.0,7.0,16.0,9.0,10.0,11.0,9.0,9.0,13.0
>ENST00000424312.2,9.0,8.0,8.0,8.0,10.0,11.0,9.0,15.0,8.0,10.0,8.0,11.0,12.0,8.0,10.0,9.0,9.0,11.0,9.0,0.0,10.0,10.0,9.0,10.0,8.0,8.0,12.0,9.0,10.0,11.0,10.0,12.0,9.0,9.0,11.0
>ENST00000478287.1,10.0,6.0,9.0,7.0,9.0,9.0,10.0,11.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,11.0,10.0,9.0,8.0,10.0,0.0,8.0,8.0,8.0,11.0,8.0,10.0,9.0,16.0,9.0,10.0,11.0,9.0,8.0,9.0
>ENST00000546688.1,11.0,10.0,11.0,9.0,11.0,9.0,9.0,12.0,11.0,10.0,9.0,9.0,9.0,9.0,13.0,9.0,8.0,9.0,10.0,10.0,8.0,0.0,10.0,9.0,10.0,8.0,12.0,8.0,12.0,9.0,11.0,11.0,10.0,11.0,9.0
ENSG00000200959.1,8.0,7.0,8.0,6.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,6.0,9.0,8.0,9.0,8.0,10.0,0.0,8.0,10.0,7.0,12.0,11.0,9.0,9.0,10.0,10.0,7.0,9.0,9.0
>ENST00000369586.2,10.0,8.0,9.0,7.0,9.0,7.0,10.0,10.0,7.0,7.0,11.0,10.0,9.0,6.0,10.0,10.0,9.0,8.0,8.0,10.0,8.0,9.0,8.0,0.0,9.0,6.0,10.0,6.0,8.0,8.0,9.0,10.0,9.0,7.0,8.0
>ENST00000615022.1,10.0,8.0,10.0,7.0,10.0,8.0,11.0,12.0,8.0,8.0,10.0,8.0,8.0,9.0,9.0,15.0,8.0,9.0,12.0,8.0,11.0,10.0,10.0,9.0,0.0,9.0,11.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,10.0
ENSG00000221705.1,9.0,8.0,7.0,9.0,9.0,7.0,9.0,11.0,6.0,10.0,8.0,7.0,7.0,7.0,9.0,8.0,7.0,7.0,9.0,8.0,8.0,8.0,7.0,6.0,9.0,0.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0
ENSG00000254402.6,10.0,9.0,9.0,10.0,10.0,9.0,11.0,12.0,10.0,10.0,10.0,12.0,9.0,10.0,13.0,12.0,11.0,11.0,9.0,12.0,10.0,12.0,12.0,10.0,11.0,9.0,0.0,9.0,13.0,10.0,16.0,13.0,11.0,11.0,12.0
>ENST00000437460.1,9.0,6.0,8.0,6.0,8.0,8.0,8.0,11.0,8.0,7.0,7.0,8.0,6.0,8.0,9.0,9.0,7.0,8.0,7.0,9.0,9.0,8.0,11.0,6.0,7.0,7.0,9.0,0.0,8.0,8.0,10.0,9.0,7.0,10.0,8.0
>ENST00000422626.1,13.0,7.0,9.0,8.0,11.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,8.0,13.0,11.0,8.0,11.0,16.0,10.0,16.0,12.0,9.0,8.0,10.0,9.0,13.0,8.0,0.0,10.0,12.0,11.0,10.0,10.0,9.0
>ENST00000587055.1,9.0,8.0,8.0,7.0,10.0,8.0,11.0,15.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,10.0,0.0,9.0,12.0,9.0,10.0,11.0
>ENST00000540724.2,10.0,8.0,9.0,7.0,10.0,10.0,11.0,12.0,10.0,9.0,10.0,11.0,10.0,9.0,11.0,12.0,9.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,11.0,9.0,16.0,10.0,12.0,9.0,0.0,12.0,10.0,10.0,10.0
ENSG00000126947.11,10.0,8.0,10.0,11.0,10.0,12.0,12.0,12.0,10.0,9.0,10.0,11.0,9.0,10.0,12.0,12.0,9.0,10.0,11.0,12.0,11.0,11.0,10.0,10.0,11.0,9.0,13.0,9.0,11.0,12.0,12.0,0.0,13.0,9.0,12.0
>ENST00000446421.2,9.0,7.0,8.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,9.0,9.0,9.0,11.0,7.0,10.0,9.0,10.0,13.0,0.0,10.0,9.0
>ENST00000477911.1,9.0,8.0,7.0,9.0,10.0,8.0,13.0,11.0,7.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,9.0,7.0,8.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,0.0,10.0
>ENST00000401636.1,9.0,7.0,12.0,9.0,11.0,9.0,10.0,10.0,11.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,13.0,11.0,9.0,9.0,9.0,8.0,10.0,9.0,12.0,8.0,9.0,11.0,10.0,12.0,9.0,10.0,0.0
