,ENSG00000128482.15,>ENST00000418221.1,>ENST00000505751.1,ENSG00000179580.9,>ENST00000617737.1,>ENST00000423896.1,>ENST00000605097.1,>ENST00000423387.2,>ENST00000430851.1,>ENST00000532527.1,>ENST00000496370.1,>ENST00000553864.1,>ENST00000597106.1,>ENST00000514059.1,>ENST00000600054.1,ENSG00000280459.1,>ENST00000514750.2,>ENST00000406795.2,>ENST00000417885.1,>ENST00000610958.1,>ENST00000603353.1,>ENST00000513885.1,>ENST00000523153.2,>ENST00000423757.1,>ENST00000540190.1,>ENST00000449019.2,>ENST00000454092.1,>ENST00000457790.1,>ENST00000449839.1,>ENST00000418454.2,>ENST00000518144.1,>ENST00000578374.1,>ENST00000407942.1,>ENST00000491419.1,>ENST00000457066.1,ENSG00000115507.9,>ENST00000377164.1,>ENST00000448237.2,>ENST00000434406.1,>ENST00000605309.1,>ENST00000455552.2,>ENST00000599675.2,>ENST00000582863.1,>ENST00000591187.1,>ENST00000615653.1,>ENST00000548175.1,>ENST00000471720.1,>ENST00000422457.2,>ENST00000407347.2,>ENST00000610316.1,>ENST00000442354.1,>ENST00000484754.1,>ENST00000621061.1,>ENST00000447474.1,>ENST00000559631.1,>ENST00000413333.1,>ENST00000548858.1,ENSG00000222706.1,>ENST00000617314.1,>ENST00000604257.1,>ENST00000414887.1,>ENST00000376459.3
ENSG00000115507.9,14.0,10.0,11.0,13.0,10.0,9.0,9.0,11.0,12.0,11.0,10.0,12.0,12.0,13.0,10.0,10.0,12.0,12.0,10.0,11.0,12.0,10.0,14.0,11.0,12.0,10.0,10.0,10.0,10.0,11.0,12.0,11.0,10.0,9.0,13.0,0.0,11.0,9.0,11.0,12.0,13.0,12.0,11.0,11.0,11.0,13.0,14.0,12.0,11.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,12.0,13.0
>ENST00000377164.1,11.0,11.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,11.0,10.0,8.0,8.0,10.0,7.0,9.0,8.0,9.0,9.0,11.0,10.0,11.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,11.0,0.0,8.0,8.0,11.0,8.0,8.0,9.0,8.0,9.0,10.0,11.0,8.0,11.0,11.0,11.0,8.0,8.0,10.0,8.0,9.0,12.0,8.0,9.0,11.0,8.0,12.0
>ENST00000448237.2,9.0,8.0,9.0,10.0,8.0,8.0,10.0,10.0,7.0,9.0,10.0,8.0,7.0,9.0,9.0,8.0,9.0,8.0,6.0,9.0,9.0,8.0,11.0,8.0,8.0,7.0,40.0,7.0,10.0,8.0,18.0,9.0,7.0,8.0,10.0,9.0,8.0,0.0,8.0,13.0,7.0,6.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,12.0,7.0,11.0
>ENST00000434406.1,9.0,10.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,8.0,7.0,7.0,9.0,11.0,9.0,8.0,10.0,7.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,11.0,8.0,8.0,0.0,10.0,8.0,7.0,7.0,8.0,9.0,11.0,9.0,8.0,10.0,10.0,10.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0
>ENST00000605309.1,12.0,12.0,11.0,11.0,9.0,10.0,10.0,9.0,11.0,11.0,10.0,12.0,9.0,10.0,9.0,11.0,12.0,12.0,8.0,8.0,12.0,10.0,15.0,13.0,11.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,12.0,11.0,12.0,12.0,11.0,13.0,10.0,0.0,9.0,9.0,8.0,10.0,11.0,11.0,10.0,9.0,9.0,12.0,12.0,11.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0
>ENST00000455552.2,13.0,10.0,10.0,9.0,12.0,8.0,10.0,8.0,9.0,8.0,10.0,9.0,10.0,10.0,8.0,10.0,12.0,8.0,7.0,8.0,9.0,9.0,11.0,14.0,11.0,9.0,9.0,11.0,9.0,10.0,7.0,10.0,9.0,8.0,10.0,13.0,8.0,7.0,8.0,9.0,0.0,11.0,8.0,10.0,13.0,9.0,11.0,11.0,9.0,11.0,10.0,10.0,9.0,94.0,7.0,13.0,9.0,8.0,9.0,12.0,10.0,11.0
>ENST00000599675.2,11.0,8.0,11.0,9.0,13.0,8.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,11.0,8.0,10.0,9.0,7.0,8.0,7.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,12.0,8.0,6.0,7.0,9.0,11.0,0.0,8.0,10.0,10.0,12.0,9.0,8.0,10.0,9.0,8.0,9.0,7.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,8.0,10.0
>ENST00000582863.1,10.0,8.0,10.0,9.0,8.0,9.0,12.0,7.0,8.0,9.0,10.0,8.0,8.0,8.0,9.0,8.0,11.0,9.0,10.0,6.0,8.0,7.0,11.0,8.0,7.0,8.0,7.0,10.0,7.0,9.0,8.0,9.0,10.0,9.0,11.0,11.0,9.0,8.0,7.0,8.0,8.0,8.0,0.0,10.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,8.0,8.0,9.0,8.0,11.0,8.0,8.0,8.0,8.0,7.0,10.0
>ENST00000591187.1,10.0,8.0,9.0,10.0,9.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,10.0,10.0,8.0,10.0,10.0,12.0,10.0,10.0,8.0,11.0,10.0,8.0,9.0,9.0,7.0,10.0,8.0,9.0,9.0,11.0,8.0,9.0,8.0,10.0,10.0,10.0,10.0,0.0,10.0,9.0,8.0,8.0,9.0,9.0,12.0,11.0,8.0,10.0,9.0,10.0,10.0,7.0,10.0,10.0,7.0,12.0
>ENST00000615653.1,11.0,10.0,10.0,13.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,16.0,15.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,12.0,11.0,10.0,10.0,11.0,9.0,10.0,9.0,11.0,13.0,10.0,9.0,10.0,0.0,11.0,9.0,9.0,11.0,10.0,12.0,11.0,9.0,13.0,8.0,24.0,11.0,9.0,10.0,8.0,7.0,10.0
>ENST00000548175.1,12.0,11.0,11.0,12.0,9.0,11.0,9.0,9.0,10.0,11.0,10.0,8.0,9.0,11.0,9.0,10.0,11.0,10.0,9.0,7.0,10.0,11.0,10.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,13.0,10.0,8.0,11.0,11.0,9.0,12.0,10.0,9.0,11.0,0.0,9.0,12.0,10.0,10.0,11.0,10.0,10.0,11.0,9.0,10.0,10.0,8.0,9.0,13.0,8.0,12.0
>ENST00000471720.1,10.0,9.0,9.0,12.0,11.0,8.0,10.0,11.0,11.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,7.0,10.0,9.0,10.0,10.0,11.0,9.0,8.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,14.0,11.0,8.0,9.0,10.0,11.0,9.0,9.0,8.0,9.0,9.0,0.0,9.0,12.0,11.0,9.0,12.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0
>ENST00000422457.2,11.0,9.0,8.0,10.0,12.0,10.0,8.0,9.0,11.0,8.0,173.0,8.0,9.0,9.0,9.0,7.0,10.0,8.0,8.0,7.0,10.0,9.0,11.0,9.0,8.0,8.0,10.0,8.0,7.0,9.0,7.0,8.0,10.0,9.0,9.0,12.0,8.0,8.0,8.0,9.0,11.0,8.0,10.0,8.0,9.0,12.0,9.0,0.0,10.0,10.0,10.0,8.0,7.0,10.0,7.0,11.0,10.0,9.0,11.0,8.0,7.0,10.0
