,>ENST00000406493.1,>ENST00000448842.1,>ENST00000459641.1,>ENST00000513916.1,>ENST00000313760.4,>ENST00000521854.1,>ENST00000552545.1,>ENST00000510094.2,>ENST00000480688.3,>ENST00000440382.1,>ENST00000520373.1,>ENST00000429441.1,>ENST00000520009.1,>ENST00000511111.1,>ENST00000458399.2,>ENST00000517477.1,>ENST00000518788.1,>ENST00000458417.1,>ENST00000505334.1,ENSG00000281147.1,>ENST00000543168.1,>ENST00000451871.1,>ENST00000599234.2,>ENST00000425516.1,>ENST00000493565.1,>ENST00000423438.1,>ENST00000603571.1,>ENST00000448191.1,>ENST00000529659.1,>ENST00000469929.1,>ENST00000603536.1,>ENST00000416201.1,>ENST00000454758.1,>ENST00000611162.1,>ENST00000467154.1,>ENST00000529061.5,>ENST00000412442.1,>ENST00000394268.2,>ENST00000425123.1,>ENST00000529267.2
>ENST00000599234.2,12.0,9.0,8.0,8.0,8.0,9.0,11.0,10.0,10.0,9.0,12.0,9.0,10.0,7.0,13.0,8.0,10.0,11.0,9.0,7.0,9.0,10.0,0.0,11.0,10.0,9.0,11.0,8.0,9.0,8.0,11.0,9.0,10.0,9.0,8.0,8.0,8.0,11.0,9.0,10.0
>ENST00000425516.1,9.0,11.0,12.0,9.0,10.0,9.0,12.0,11.0,9.0,11.0,10.0,10.0,11.0,10.0,11.0,7.0,9.0,9.0,9.0,7.0,10.0,10.0,11.0,0.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,12.0,10.0,11.0,12.0
>ENST00000493565.1,10.0,9.0,11.0,9.0,9.0,8.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,8.0,10.0,12.0,10.0,13.0,10.0,10.0,10.0,10.0,0.0,8.0,10.0,10.0,10.0,15.0,11.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
>ENST00000423438.1,9.0,9.0,10.0,12.0,7.0,9.0,11.0,7.0,11.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,7.0,9.0,9.0,9.0,9.0,8.0,0.0,9.0,9.0,8.0,11.0,8.0,10.0,8.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0
>ENST00000603571.1,10.0,10.0,9.0,9.0,9.0,11.0,11.0,8.0,9.0,8.0,13.0,9.0,8.0,8.0,10.0,8.0,8.0,9.0,13.0,7.0,9.0,11.0,11.0,9.0,10.0,9.0,0.0,7.0,10.0,9.0,10.0,11.0,10.0,7.0,10.0,11.0,10.0,10.0,10.0,9.0
>ENST00000448191.1,10.0,7.0,11.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,11.0,9.0,8.0,8.0,10.0,11.0,9.0,8.0,11.0,8.0,10.0,10.0,9.0,7.0,0.0,9.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,11.0
>ENST00000529659.1,10.0,10.0,10.0,8.0,8.0,9.0,11.0,7.0,9.0,9.0,9.0,10.0,8.0,10.0,11.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,8.0,10.0,9.0,0.0,12.0,10.0,10.0,9.0,12.0,10.0,10.0,9.0,9.0,10.0,9.0
>ENST00000469929.1,9.0,8.0,10.0,10.0,10.0,9.0,11.0,8.0,10.0,10.0,10.0,8.0,10.0,13.0,9.0,7.0,10.0,10.0,9.0,12.0,9.0,10.0,8.0,9.0,15.0,11.0,9.0,9.0,12.0,0.0,11.0,10.0,9.0,9.0,8.0,9.0,10.0,8.0,11.0,10.0
>ENST00000603536.1,11.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,9.0,10.0,9.0,12.0,9.0,9.0,10.0,9.0,8.0,8.0,13.0,11.0,10.0,11.0,8.0,10.0,8.0,10.0,11.0,0.0,10.0,11.0,7.0,9.0,10.0,10.0,10.0,9.0,10.0
>ENST00000416201.1,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,11.0,11.0,11.0,11.0,9.0,10.0,13.0,9.0,10.0,11.0,11.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0,0.0,10.0,9.0,9.0,9.0,11.0,12.0,11.0,12.0
>ENST00000454758.1,11.0,10.0,9.0,11.0,8.0,11.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,9.0,8.0,8.0,9.0,8.0,9.0,6.0,9.0,11.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,10.0,0.0,8.0,10.0,12.0,9.0,11.0,9.0,9.0
>ENST00000611162.1,10.0,8.0,11.0,8.0,7.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,7.0,9.0,12.0,9.0,7.0,9.0,8.0,0.0,9.0,9.0,8.0,9.0,10.0,9.0
>ENST00000467154.1,9.0,8.0,10.0,9.0,8.0,8.0,11.0,8.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,7.0,8.0,8.0,11.0,7.0,9.0,11.0,8.0,10.0,10.0,8.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,9.0,0.0,9.0,8.0,10.0,8.0,9.0
>ENST00000529061.5,10.0,8.0,9.0,14.0,10.0,9.0,11.0,11.0,10.0,11.0,11.0,10.0,8.0,9.0,11.0,9.0,11.0,10.0,11.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,12.0,9.0,9.0,0.0,10.0,9.0,13.0,12.0
>ENST00000412442.1,9.0,11.0,11.0,9.0,8.0,10.0,11.0,10.0,11.0,12.0,9.0,9.0,11.0,8.0,11.0,8.0,8.0,9.0,11.0,7.0,8.0,10.0,8.0,12.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,8.0,8.0,10.0,0.0,9.0,12.0,11.0
>ENST00000394268.2,10.0,9.0,12.0,10.0,11.0,9.0,12.0,11.0,11.0,10.0,10.0,11.0,9.0,11.0,12.0,8.0,9.0,12.0,11.0,8.0,9.0,11.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,12.0,11.0,9.0,10.0,9.0,9.0,0.0,9.0,10.0
>ENST00000425123.1,12.0,10.0,10.0,9.0,8.0,10.0,13.0,11.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,11.0,8.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,8.0,10.0,11.0,9.0,11.0,9.0,10.0,8.0,13.0,12.0,9.0,0.0,13.0
>ENST00000529267.2,10.0,9.0,10.0,9.0,10.0,11.0,12.0,9.0,12.0,11.0,11.0,11.0,11.0,9.0,12.0,9.0,10.0,11.0,9.0,8.0,11.0,11.0,10.0,12.0,10.0,9.0,9.0,11.0,9.0,10.0,10.0,12.0,9.0,9.0,9.0,12.0,11.0,10.0,13.0,0.0
