,>ENST00000374520.1,>ENST00000528257.1,>ENST00000606380.2,>ENST00000515347.2,>ENST00000469026.2,>ENST00000472309.1,>ENST00000423240.1,>ENST00000451226.1,>ENST00000434232.1,>ENST00000556395.1,>ENST00000412542.1,>ENST00000605764.1,>ENST00000605088.1,>ENST00000529668.1,>ENST00000429866.1,>ENST00000414479.1,>ENST00000449334.2,>ENST00000415024.1,>ENST00000484315.1,>ENST00000469409.1,>ENST00000425487.2,>ENST00000446554.1,>ENST00000435770.1,ENSG00000254834.3,>ENST00000418278.1
>ENST00000529668.1,8.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,10.0,11.0,10.0,8.0,0.0,11.0,8.0,7.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0
>ENST00000429866.1,11.0,13.0,11.0,12.0,10.0,11.0,8.0,10.0,14.0,10.0,10.0,9.0,11.0,11.0,0.0,10.0,10.0,10.0,11.0,8.0,10.0,10.0,10.0,10.0,10.0
>ENST00000414479.1,9.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,0.0,9.0,8.0,9.0,7.0,9.0,9.0,10.0,9.0,9.0
>ENST00000449334.2,13.0,10.0,10.0,11.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,7.0,10.0,9.0,0.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
>ENST00000415024.1,8.0,10.0,10.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,11.0,12.0,9.0,8.0,10.0,8.0,9.0,0.0,11.0,8.0,9.0,9.0,9.0,10.0,11.0
>ENST00000484315.1,8.0,9.0,11.0,9.0,10.0,8.0,8.0,9.0,9.0,11.0,8.0,8.0,9.0,8.0,11.0,9.0,9.0,11.0,0.0,7.0,9.0,8.0,22.0,10.0,11.0
>ENST00000469409.1,9.0,8.0,11.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,7.0,0.0,9.0,7.0,9.0,8.0,9.0
>ENST00000425487.2,9.0,12.0,11.0,12.0,11.0,11.0,10.0,7.0,9.0,12.0,11.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,0.0,8.0,8.0,9.0,12.0
>ENST00000446554.1,9.0,11.0,11.0,10.0,11.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,7.0,8.0,0.0,9.0,10.0,10.0
>ENST00000435770.1,8.0,11.0,10.0,10.0,10.0,10.0,8.0,7.0,10.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,8.0,9.0,22.0,9.0,8.0,9.0,0.0,10.0,10.0
ENSG00000254834.3,8.0,11.0,13.0,10.0,12.0,10.0,8.0,9.0,11.0,9.0,9.0,8.0,12.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,10.0,0.0,8.0
>ENST00000418278.1,9.0,9.0,12.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,11.0,11.0,9.0,12.0,10.0,10.0,8.0,0.0
