,>ENST00000452144.6,>ENST00000509767.1,>ENST00000433817.2,>ENST00000614726.1,ENSG00000075886.10,>ENST00000503377.1,>ENST00000569261.2,>ENST00000564327.1,>ENST00000541415.1,>ENST00000437380.1,>ENST00000534173.1,>ENST00000518435.1,>ENST00000456309.1,>ENST00000519723.1,>ENST00000412857.1,>ENST00000595391.1,>ENST00000344851.4,>ENST00000540082.1,>ENST00000567602.1,>ENST00000620894.1,>ENST00000532712.1,>ENST00000446114.1,>ENST00000509673.2,>ENST00000508316.2,>ENST00000459748.1,>ENST00000498085.1,ENSG00000212354.1,>ENST00000611524.1,>ENST00000605604.1,>ENST00000453482.1,>ENST00000492517.1,>ENST00000569264.1,>ENST00000554337.1,>ENST00000450676.1,>ENST00000622228.1,>ENST00000577786.1,>ENST00000562068.1,>ENST00000424293.4,>ENST00000449232.1,>ENST00000411800.1,>ENST00000611030.1,>ENST00000514977.1,>ENST00000439608.1,>ENST00000523947.1,>ENST00000422303.1,>ENST00000451503.1,>ENST00000344844.3,ENSG00000166707.10,>ENST00000400311.3,>ENST00000556676.1,>ENST00000435270.2,>ENST00000602999.1
>ENST00000456309.1,10.0,10.0,8.0,9.0,10.0,12.0,9.0,11.0,9.0,10.0,10.0,9.0,0.0,9.0,9.0,10.0,11.0,10.0,9.0,11.0,11.0,10.0,9.0,11.0,11.0,11.0,14.0,9.0,13.0,7.0,9.0,7.0,9.0,10.0,8.0,11.0,10.0,11.0,9.0,10.0,12.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0
>ENST00000519723.1,9.0,10.0,8.0,8.0,11.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,9.0,0.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,11.0,7.0,8.0,7.0,10.0,11.0,7.0,8.0,11.0,10.0,8.0,8.0,9.0,8.0,11.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,11.0,9.0
>ENST00000412857.1,11.0,10.0,11.0,10.0,11.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,0.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,8.0,10.0,11.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,11.0,10.0,9.0,11.0,9.0,9.0,11.0,10.0,8.0,12.0,11.0,9.0,10.0,9.0,8.0
>ENST00000595391.1,9.0,10.0,9.0,11.0,13.0,9.0,10.0,8.0,10.0,12.0,10.0,9.0,10.0,9.0,9.0,0.0,11.0,8.0,10.0,9.0,10.0,11.0,10.0,13.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,8.0,15.0,9.0,9.0,10.0,7.0,10.0,10.0,12.0,9.0,10.0,10.0,9.0
>ENST00000344851.4,12.0,12.0,11.0,12.0,11.0,13.0,9.0,10.0,10.0,11.0,14.0,9.0,11.0,10.0,11.0,11.0,0.0,11.0,9.0,10.0,11.0,10.0,11.0,12.0,10.0,9.0,9.0,10.0,11.0,8.0,10.0,11.0,10.0,11.0,11.0,11.0,11.0,12.0,10.0,10.0,11.0,11.0,10.0,12.0,11.0,9.0,11.0,12.0,9.0,9.0,11.0,10.0
>ENST00000540082.1,9.0,11.0,8.0,8.0,10.0,9.0,8.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,11.0,0.0,7.0,8.0,9.0,8.0,9.0,11.0,10.0,10.0,8.0,10.0,10.0,6.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,13.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,8.0,9.0,13.0,10.0
>ENST00000567602.1,9.0,8.0,11.0,9.0,11.0,9.0,9.0,10.0,8.0,10.0,9.0,7.0,9.0,10.0,10.0,10.0,9.0,7.0,0.0,7.0,8.0,8.0,8.0,8.0,7.0,9.0,7.0,9.0,8.0,7.0,8.0,7.0,9.0,11.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,8.0,8.0,8.0,8.0,7.0,9.0,11.0,8.0,9.0,8.0,8.0
>ENST00000620894.1,9.0,8.0,9.0,10.0,14.0,11.0,7.0,8.0,12.0,12.0,10.0,11.0,11.0,9.0,9.0,9.0,10.0,8.0,7.0,0.0,12.0,10.0,11.0,9.0,8.0,9.0,7.0,10.0,9.0,7.0,10.0,7.0,12.0,8.0,8.0,9.0,10.0,10.0,8.0,10.0,11.0,10.0,10.0,9.0,7.0,7.0,9.0,10.0,10.0,8.0,10.0,11.0
>ENST00000532712.1,8.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,12.0,12.0,10.0,9.0,11.0,9.0,9.0,10.0,11.0,9.0,8.0,12.0,0.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,13.0,9.0,10.0,10.0,11.0,12.0,9.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0
>ENST00000446114.1,8.0,10.0,10.0,10.0,13.0,8.0,8.0,9.0,9.0,12.0,10.0,8.0,10.0,10.0,9.0,11.0,10.0,8.0,8.0,10.0,8.0,0.0,9.0,11.0,12.0,8.0,8.0,10.0,10.0,9.0,9.0,7.0,12.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,12.0,8.0,11.0,9.0
>ENST00000509673.2,9.0,10.0,8.0,10.0,11.0,11.0,10.0,9.0,12.0,11.0,9.0,9.0,9.0,9.0,11.0,10.0,11.0,9.0,8.0,11.0,9.0,9.0,0.0,10.0,9.0,8.0,8.0,10.0,10.0,7.0,10.0,8.0,12.0,9.0,9.0,13.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0
>ENST00000508316.2,10.0,11.0,10.0,12.0,12.0,12.0,9.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,13.0,12.0,11.0,8.0,9.0,11.0,11.0,10.0,0.0,10.0,11.0,8.0,12.0,10.0,10.0,9.0,9.0,12.0,11.0,11.0,12.0,11.0,12.0,11.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,12.0,12.0,9.0,9.0,10.0,10.0
>ENST00000459748.1,8.0,9.0,10.0,8.0,12.0,10.0,9.0,9.0,8.0,9.0,9.0,7.0,11.0,9.0,9.0,10.0,10.0,10.0,7.0,8.0,10.0,12.0,9.0,10.0,0.0,10.0,8.0,9.0,9.0,8.0,8.0,7.0,9.0,8.0,7.0,10.0,14.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,10.0,9.0,8.0,11.0,7.0
>ENST00000498085.1,8.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,10.0,11.0,8.0,11.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,11.0,10.0,0.0,7.0,11.0,8.0,8.0,9.0,7.0,10.0,10.0,9.0,9.0,10.0,12.0,9.0,10.0,13.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,8.0,9.0,12.0,9.0
ENSG00000212354.1,8.0,10.0,7.0,9.0,11.0,9.0,7.0,6.0,11.0,9.0,9.0,7.0,14.0,11.0,8.0,9.0,9.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,0.0,8.0,12.0,7.0,7.0,6.0,9.0,8.0,8.0,9.0,8.0,12.0,7.0,9.0,8.0,6.0,9.0,8.0,7.0,8.0,8.0,9.0,7.0,6.0,9.0,8.0
>ENST00000611524.1,8.0,11.0,11.0,11.0,12.0,11.0,10.0,9.0,13.0,11.0,11.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,12.0,9.0,11.0,8.0,0.0,11.0,8.0,11.0,9.0,10.0,9.0,9.0,11.0,12.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,9.0,9.0,11.0,12.0,11.0,8.0,11.0,10.0
>ENST00000605604.1,10.0,9.0,12.0,10.0,13.0,10.0,8.0,11.0,11.0,11.0,11.0,8.0,13.0,11.0,11.0,9.0,11.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,12.0,11.0,0.0,7.0,8.0,9.0,11.0,9.0,8.0,10.0,11.0,12.0,10.0,11.0,11.0,11.0,11.0,9.0,8.0,9.0,9.0,11.0,10.0,8.0,10.0,10.0
>ENST00000453482.1,7.0,7.0,7.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,6.0,7.0,7.0,8.0,9.0,7.0,10.0,8.0,8.0,7.0,8.0,7.0,0.0,9.0,6.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,7.0,7.0,8.0,10.0,7.0,7.0,8.0,7.0
>ENST00000492517.1,7.0,9.0,10.0,9.0,14.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,7.0,11.0,8.0,9.0,0.0,8.0,10.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,9.0,11.0,9.0,10.0,7.0,7.0,9.0,8.0
>ENST00000569264.1,7.0,9.0,8.0,9.0,9.0,9.0,7.0,8.0,7.0,9.0,9.0,7.0,7.0,7.0,8.0,9.0,11.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.0,7.0,6.0,9.0,9.0,6.0,8.0,0.0,8.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,13.0,8.0,7.0,8.0,7.0,7.0,9.0,9.0,8.0,8.0,8.0,6.0
>ENST00000554337.1,9.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,12.0,9.0,12.0,12.0,12.0,9.0,10.0,9.0,10.0,11.0,8.0,10.0,8.0,0.0,9.0,8.0,10.0,10.0,10.0,12.0,11.0,11.0,9.0,11.0,11.0,9.0,13.0,9.0,13.0,9.0,9.0,10.0,9.0
>ENST00000450676.1,9.0,10.0,10.0,10.0,11.0,11.0,8.0,10.0,9.0,9.0,7.0,10.0,10.0,11.0,9.0,11.0,11.0,9.0,11.0,8.0,10.0,8.0,9.0,11.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,7.0,9.0,0.0,10.0,9.0,13.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,10.0,8.0,11.0,8.0
>ENST00000622228.1,9.0,8.0,12.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0,9.0,11.0,10.0,8.0,8.0,8.0,8.0,9.0,11.0,7.0,9.0,8.0,9.0,8.0,7.0,7.0,7.0,8.0,10.0,0.0,7.0,9.0,10.0,10.0,9.0,12.0,8.0,8.0,8.0,8.0,7.0,8.0,12.0,8.0,7.0,10.0,9.0
>ENST00000577786.1,9.0,8.0,9.0,10.0,11.0,10.0,10.0,15.0,13.0,10.0,8.0,9.0,11.0,8.0,9.0,9.0,11.0,10.0,8.0,9.0,13.0,9.0,13.0,12.0,10.0,9.0,9.0,11.0,10.0,8.0,9.0,8.0,10.0,9.0,7.0,0.0,9.0,11.0,8.0,11.0,12.0,10.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,13.0,8.0
>ENST00000562068.1,9.0,10.0,9.0,10.0,12.0,11.0,10.0,10.0,11.0,11.0,9.0,11.0,10.0,11.0,9.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0,11.0,14.0,10.0,8.0,12.0,11.0,8.0,9.0,7.0,10.0,13.0,9.0,9.0,0.0,10.0,9.0,12.0,12.0,9.0,10.0,8.0,7.0,9.0,10.0,11.0,10.0,8.0,12.0,15.0
>ENST00000424293.4,10.0,10.0,10.0,11.0,18.0,11.0,10.0,9.0,11.0,13.0,10.0,9.0,11.0,10.0,11.0,10.0,12.0,9.0,8.0,10.0,10.0,9.0,10.0,12.0,9.0,12.0,12.0,10.0,12.0,8.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,0.0,9.0,9.0,12.0,10.0,10.0,8.0,8.0,10.0,12.0,10.0,9.0,9.0,10.0,11.0
>ENST00000449232.1,9.0,11.0,10.0,9.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,8.0,9.0,8.0,10.0,10.0,10.0,9.0,8.0,8.0,10.0,8.0,10.0,11.0,8.0,9.0,7.0,9.0,10.0,8.0,8.0,8.0,12.0,9.0,10.0,8.0,9.0,9.0,0.0,10.0,11.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0
>ENST00000411800.1,9.0,9.0,9.0,10.0,12.0,9.0,11.0,8.0,10.0,11.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,11.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,8.0,11.0,10.0,9.0,11.0,12.0,9.0,10.0,0.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,12.0,10.0,8.0,9.0,8.0
>ENST00000611030.1,10.0,11.0,11.0,13.0,12.0,11.0,10.0,11.0,9.0,11.0,10.0,11.0,12.0,9.0,11.0,15.0,11.0,13.0,10.0,11.0,12.0,10.0,10.0,11.0,9.0,13.0,8.0,11.0,11.0,9.0,10.0,13.0,11.0,11.0,12.0,12.0,12.0,12.0,11.0,10.0,0.0,12.0,11.0,11.0,10.0,10.0,12.0,12.0,11.0,10.0,10.0,12.0
>ENST00000514977.1,7.0,10.0,11.0,11.0,11.0,10.0,8.0,9.0,9.0,9.0,7.0,9.0,10.0,8.0,9.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,6.0,11.0,11.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,8.0,10.0,12.0,0.0,9.0,10.0,9.0,8.0,10.0,11.0,9.0,8.0,9.0,10.0
>ENST00000439608.1,8.0,9.0,8.0,10.0,14.0,9.0,8.0,10.0,9.0,11.0,9.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,11.0,7.0,10.0,7.0,11.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,0.0,9.0,9.0,11.0,8.0,10.0,9.0,8.0,9.0,9.0
>ENST00000523947.1,9.0,10.0,9.0,9.0,11.0,11.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,12.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,9.0,8.0,8.0,8.0,11.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,11.0,10.0,9.0,0.0,8.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0
>ENST00000422303.1,8.0,9.0,10.0,9.0,11.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,7.0,11.0,11.0,8.0,7.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,9.0,9.0,8.0,9.0,7.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,0.0,7.0,9.0,9.0,8.0,9.0,9.0,7.0
>ENST00000451503.1,10.0,9.0,10.0,9.0,10.0,9.0,8.0,7.0,9.0,12.0,16.0,8.0,8.0,8.0,8.0,10.0,9.0,11.0,7.0,7.0,8.0,8.0,9.0,10.0,9.0,11.0,8.0,9.0,9.0,7.0,11.0,7.0,13.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,7.0,0.0,8.0,12.0,9.0,8.0,9.0,7.0
>ENST00000344844.3,10.0,12.0,10.0,10.0,13.0,13.0,9.0,10.0,16.0,11.0,8.0,10.0,9.0,8.0,12.0,10.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,12.0,8.0,9.0,8.0,11.0,9.0,8.0,9.0,9.0,9.0,11.0,8.0,11.0,10.0,12.0,9.0,11.0,12.0,10.0,8.0,10.0,9.0,8.0,0.0,11.0,140.0,9.0,11.0,9.0
ENSG00000166707.10,10.0,12.0,10.0,13.0,12.0,10.0,12.0,10.0,11.0,13.0,13.0,10.0,10.0,9.0,11.0,12.0,12.0,11.0,11.0,10.0,11.0,10.0,10.0,12.0,10.0,10.0,9.0,12.0,11.0,10.0,10.0,9.0,13.0,11.0,12.0,10.0,11.0,10.0,10.0,12.0,12.0,11.0,10.0,10.0,9.0,12.0,11.0,0.0,10.0,11.0,11.0,10.0
>ENST00000400311.3,8.0,9.0,9.0,10.0,11.0,10.0,8.0,9.0,14.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,12.0,9.0,9.0,9.0,8.0,7.0,11.0,10.0,7.0,7.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,8.0,9.0,140.0,10.0,0.0,9.0,9.0,8.0
>ENST00000556676.1,7.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,10.0,11.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,6.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,7.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,8.0,11.0,9.0,8.0,9.0,11.0,9.0,0.0,9.0,7.0
>ENST00000435270.2,11.0,11.0,11.0,10.0,12.0,11.0,8.0,9.0,11.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,11.0,13.0,8.0,10.0,10.0,11.0,9.0,10.0,11.0,12.0,9.0,11.0,10.0,8.0,9.0,8.0,10.0,11.0,10.0,13.0,12.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,11.0,9.0,9.0,0.0,10.0
>ENST00000602999.1,9.0,9.0,9.0,9.0,10.0,10.0,8.0,7.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,8.0,10.0,7.0,9.0,8.0,10.0,10.0,7.0,8.0,6.0,9.0,8.0,9.0,8.0,15.0,11.0,8.0,8.0,12.0,10.0,9.0,9.0,7.0,7.0,9.0,10.0,8.0,7.0,10.0,0.0
