,>ENST00000584105.1,>ENST00000570470.2,>ENST00000601996.1,>ENST00000417130.1,>ENST00000528532.1,>ENST00000418260.2,>ENST00000492267.1,>ENST00000413365.1,>ENST00000428904.1,>ENST00000413731.1,>ENST00000454921.1,>ENST00000455251.1,>ENST00000600623.1,>ENST00000596023.1,>ENST00000634467.1,ENSG00000202469.1,>ENST00000530110.1,>ENST00000612950.1,>ENST00000432201.1,>ENST00000631455.1,>ENST00000432656.2,>ENST00000572236.1,>ENST00000605109.2,>ENST00000428811.2,>ENST00000607558.1,>ENST00000611403.1,>ENST00000505098.1,>ENST00000422682.1,ENSG00000273788.1,>ENST00000397592.3,>ENST00000507585.1,>ENST00000560401.5,>ENST00000435672.1,>ENST00000451357.1,>ENST00000437347.1,>ENST00000521969.2,>ENST00000412769.1,>ENST00000467158.1
>ENST00000454921.1,9.0,11.0,8.0,7.0,9.0,7.0,9.0,8.0,8.0,9.0,0.0,7.0,7.0,10.0,10.0,7.0,10.0,8.0,9.0,8.0,9.0,11.0,9.0,8.0,9.0,11.0,8.0,11.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0
>ENST00000455251.1,11.0,10.0,9.0,9.0,9.0,10.0,10.0,11.0,8.0,11.0,7.0,0.0,9.0,8.0,11.0,7.0,8.0,8.0,11.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,8.0,7.0,8.0,9.0,10.0,8.0,8.0,8.0,11.0,7.0
>ENST00000600623.1,11.0,13.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,11.0,7.0,9.0,0.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,8.0,9.0,9.0,9.0,7.0,7.0,8.0,8.0,10.0,7.0
>ENST00000596023.1,10.0,9.0,8.0,8.0,9.0,8.0,11.0,8.0,10.0,11.0,10.0,8.0,9.0,0.0,8.0,10.0,8.0,11.0,9.0,10.0,10.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0,9.0,10.0,8.0,10.0,7.0
>ENST00000634467.1,9.0,13.0,9.0,9.0,9.0,8.0,11.0,8.0,13.0,9.0,10.0,11.0,9.0,8.0,0.0,9.0,8.0,9.0,12.0,10.0,9.0,9.0,11.0,8.0,8.0,11.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0
ENSG00000202469.1,8.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,10.0,8.0,7.0,7.0,8.0,10.0,9.0,0.0,8.0,7.0,9.0,9.0,9.0,8.0,8.0,8.0,6.0,8.0,7.0,7.0,7.0,8.0,7.0,11.0,8.0,6.0,7.0,8.0,8.0,7.0
>ENST00000530110.1,9.0,9.0,7.0,8.0,8.0,9.0,10.0,7.0,9.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,0.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,12.0,9.0,9.0,7.0,9.0,8.0
>ENST00000612950.1,9.0,11.0,8.0,10.0,10.0,8.0,11.0,9.0,10.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,7.0,0.0,9.0,10.0,9.0,11.0,11.0,8.0,8.0,10.0,8.0,9.0,10.0,8.0,10.0,10.0,9.0,8.0,7.0,10.0,11.0,7.0
>ENST00000432201.1,9.0,10.0,9.0,9.0,10.0,8.0,11.0,9.0,11.0,9.0,9.0,11.0,10.0,9.0,12.0,9.0,8.0,9.0,0.0,9.0,9.0,10.0,10.0,11.0,8.0,10.0,8.0,11.0,9.0,9.0,9.0,10.0,8.0,7.0,10.0,7.0,9.0,8.0
>ENST00000631455.1,10.0,10.0,10.0,10.0,10.0,12.0,11.0,9.0,10.0,12.0,8.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,0.0,10.0,13.0,12.0,10.0,9.0,12.0,10.0,15.0,11.0,10.0,9.0,12.0,9.0,8.0,10.0,10.0,9.0,9.0
>ENST00000432656.2,8.0,10.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,0.0,10.0,8.0,12.0,9.0,10.0,8.0,11.0,7.0,9.0,8.0,10.0,7.0,8.0,10.0,9.0,9.0,9.0
>ENST00000572236.1,13.0,10.0,9.0,10.0,13.0,11.0,12.0,10.0,11.0,11.0,11.0,10.0,9.0,11.0,9.0,8.0,9.0,11.0,10.0,13.0,10.0,0.0,10.0,12.0,10.0,13.0,9.0,12.0,9.0,10.0,9.0,12.0,10.0,8.0,10.0,9.0,11.0,11.0
>ENST00000605109.2,11.0,11.0,9.0,9.0,12.0,14.0,14.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,8.0,9.0,11.0,10.0,12.0,8.0,10.0,0.0,10.0,9.0,13.0,9.0,11.0,10.0,9.0,13.0,12.0,12.0,9.0,10.0,9.0,11.0,9.0
>ENST00000428811.2,10.0,9.0,7.0,8.0,8.0,9.0,10.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,11.0,10.0,12.0,12.0,10.0,0.0,7.0,12.0,8.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0
>ENST00000607558.1,7.0,11.0,11.0,10.0,8.0,7.0,11.0,6.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,6.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,7.0,0.0,9.0,8.0,9.0,7.0,11.0,7.0,9.0,8.0,7.0,7.0,7.0,10.0,8.0
>ENST00000611403.1,11.0,10.0,11.0,9.0,11.0,13.0,11.0,10.0,11.0,12.0,11.0,10.0,10.0,9.0,11.0,8.0,9.0,10.0,10.0,12.0,10.0,13.0,13.0,12.0,9.0,0.0,11.0,10.0,9.0,10.0,10.0,14.0,12.0,10.0,11.0,11.0,11.0,9.0
>ENST00000505098.1,9.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,12.0,8.0,9.0,9.0,9.0,10.0,7.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,8.0,11.0,0.0,10.0,8.0,8.0,8.0,13.0,8.0,9.0,8.0,7.0,10.0,8.0
>ENST00000422682.1,10.0,21.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,11.0,10.0,11.0,10.0,11.0,7.0,8.0,9.0,11.0,15.0,11.0,12.0,11.0,9.0,9.0,10.0,10.0,0.0,8.0,9.0,9.0,10.0,9.0,10.0,8.0,11.0,11.0,9.0
ENSG00000273788.1,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,11.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,10.0,9.0,11.0,7.0,9.0,10.0,8.0,7.0,9.0,8.0,8.0,0.0,8.0,7.0,9.0,8.0,7.0,9.0,7.0,9.0,8.0
>ENST00000397592.3,9.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,10.0,10.0,8.0,7.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,10.0,8.0,9.0,8.0,0.0,8.0,11.0,9.0,7.0,9.0,10.0,9.0,7.0
>ENST00000507585.1,10.0,9.0,9.0,8.0,11.0,8.0,9.0,8.0,9.0,16.0,8.0,8.0,9.0,11.0,10.0,7.0,8.0,10.0,9.0,9.0,8.0,9.0,13.0,9.0,7.0,10.0,8.0,9.0,7.0,8.0,0.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0
>ENST00000560401.5,11.0,11.0,12.0,10.0,10.0,10.0,11.0,9.0,9.0,12.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,10.0,12.0,10.0,12.0,12.0,10.0,9.0,14.0,13.0,10.0,9.0,11.0,9.0,0.0,11.0,9.0,10.0,10.0,11.0,10.0
>ENST00000435672.1,10.0,10.0,11.0,9.0,8.0,10.0,10.0,8.0,7.0,10.0,8.0,10.0,7.0,9.0,10.0,8.0,12.0,9.0,8.0,9.0,7.0,10.0,12.0,9.0,8.0,12.0,8.0,9.0,8.0,9.0,9.0,11.0,0.0,9.0,8.0,9.0,9.0,9.0
>ENST00000451357.1,9.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,6.0,9.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,7.0,10.0,9.0,10.0,7.0,7.0,10.0,9.0,9.0,0.0,7.0,8.0,9.0,7.0
>ENST00000437347.1,10.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,11.0,10.0,9.0,8.0,8.0,10.0,9.0,7.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,9.0,7.0,11.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,7.0,0.0,8.0,10.0,8.0
>ENST00000521969.2,11.0,12.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,10.0,7.0,10.0,9.0,9.0,9.0,8.0,7.0,11.0,7.0,11.0,7.0,10.0,9.0,10.0,9.0,8.0,8.0,0.0,8.0,10.0
>ENST00000412769.1,10.0,11.0,8.0,9.0,11.0,9.0,11.0,8.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,11.0,10.0,11.0,9.0,9.0,11.0,11.0,9.0,9.0,10.0,8.0,0.0,10.0
>ENST00000467158.1,10.0,9.0,8.0,8.0,9.0,8.0,10.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,11.0,7.0,8.0,7.0,8.0,9.0,9.0,11.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,10.0,9.0,7.0,8.0,10.0,10.0,0.0
