,>ENST00000470444.1,>ENST00000456507.1,>ENST00000515628.1,>ENST00000448259.1,>ENST00000603933.1,>ENST00000376401.4,>ENST00000322792.5,>ENST00000398565.2,>ENST00000611326.1,>ENST00000444622.1,>ENST00000455120.1,>ENST00000456243.1,>ENST00000549699.1,>ENST00000544259.1,>ENST00000432890.1,>ENST00000401057.7,>ENST00000519670.1,>ENST00000467688.1,>ENST00000505757.2,ENSG00000212022.1,>ENST00000452496.1,>ENST00000421358.1,>ENST00000571766.2,>ENST00000465655.2,>ENST00000559945.1,>ENST00000457211.1,>ENST00000413542.1,>ENST00000442543.1,>ENST00000425761.1,>ENST00000369387.4,>ENST00000454795.1,>ENST00000536310.1,>ENST00000635667.1,>ENST00000560204.1,>ENST00000497190.2,>ENST00000437647.1,>ENST00000439929.1,>ENST00000461005.1,>ENST00000459808.1,ENSG00000276757.1,>ENST00000559594.1,>ENST00000553226.1,>ENST00000613297.1,>ENST00000622087.1,>ENST00000436904.1,>ENST00000605382.1,>ENST00000435545.1,>ENST00000504217.1,>ENST00000454081.1,>ENST00000547580.1,>ENST00000520057.1,>ENST00000584918.1,ENSG00000188396.3,ENSG00000280901.1,>ENST00000554933.1,>ENST00000402024.2,>ENST00000620504.1,ENSG00000252268.1
>ENST00000455120.1,11.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,0.0,9.0,10.0,10.0,11.0,12.0,8.0,8.0,10.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,8.0,11.0,8.0,11.0,13.0,10.0,11.0,8.0,8.0,10.0,9.0,11.0,10.0,8.0,9.0,11.0,11.0,10.0,10.0,11.0,9.0,8.0,10.0,10.0,7.0,9.0,12.0,9.0,7.0
>ENST00000456243.1,8.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,12.0,8.0,9.0,0.0,6.0,8.0,9.0,8.0,11.0,10.0,9.0,8.0,8.0,11.0,9.0,7.0,8.0,10.0,9.0,8.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,7.0,8.0,10.0,7.0,9.0,8.0,9.0,7.0,8.0,10.0,11.0,9.0,12.0,8.0,8.0,8.0,10.0,7.0,10.0,11.0,9.0,8.0
>ENST00000549699.1,5.0,8.0,9.0,9.0,8.0,9.0,6.0,7.0,7.0,6.0,10.0,6.0,0.0,9.0,9.0,9.0,7.0,7.0,7.0,6.0,8.0,7.0,9.0,6.0,7.0,8.0,10.0,6.0,7.0,7.0,8.0,7.0,8.0,7.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0,7.0,9.0,7.0,9.0,7.0,10.0,9.0,6.0,8.0,6.0,9.0,6.0,8.0,7.0,8.0,7.0
>ENST00000544259.1,7.0,9.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,0.0,8.0,10.0,8.0,8.0,9.0,6.0,12.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,7.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,12.0,7.0,11.0,10.0,8.0,8.0
>ENST00000432890.1,9.0,9.0,11.0,11.0,8.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,8.0,0.0,9.0,9.0,11.0,9.0,8.0,11.0,12.0,9.0,8.0,8.0,12.0,8.0,8.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,8.0,7.0,9.0,8.0,8.0,12.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,8.0,7.0
>ENST00000401057.7,9.0,10.0,11.0,11.0,9.0,9.0,10.0,11.0,9.0,12.0,12.0,8.0,9.0,10.0,9.0,0.0,8.0,9.0,11.0,9.0,11.0,10.0,10.0,11.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,10.0,7.0,9.0,8.0,11.0,10.0,11.0,10.0,8.0,8.0,8.0,7.0,9.0,10.0,10.0,7.0
>ENST00000519670.1,7.0,8.0,10.0,11.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,11.0,7.0,8.0,9.0,8.0,0.0,8.0,9.0,6.0,9.0,7.0,9.0,10.0,10.0,10.0,8.0,7.0,10.0,8.0,8.0,12.0,10.0,9.0,8.0,7.0,9.0,7.0,8.0,8.0,10.0,9.0,9.0,8.0,11.0,9.0,8.0,10.0,10.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,11.0,7.0
>ENST00000467688.1,10.0,10.0,12.0,13.0,8.0,9.0,9.0,7.0,8.0,9.0,8.0,10.0,7.0,8.0,11.0,9.0,8.0,0.0,9.0,7.0,9.0,8.0,9.0,11.0,8.0,8.0,9.0,9.0,11.0,9.0,10.0,9.0,12.0,9.0,9.0,9.0,8.0,9.0,13.0,8.0,9.0,9.0,7.0,11.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,7.0
>ENST00000505757.2,9.0,11.0,10.0,12.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,7.0,9.0,9.0,11.0,9.0,9.0,0.0,8.0,12.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,12.0,9.0,12.0,11.0,9.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,11.0,8.0,10.0,10.0,12.0,9.0,9.0,7.0,11.0,9.0,9.0,12.0,9.0,8.0
ENSG00000212022.1,6.0,7.0,7.0,9.0,7.0,6.0,6.0,6.0,8.0,9.0,8.0,8.0,6.0,6.0,8.0,9.0,6.0,7.0,8.0,0.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,8.0,8.0,9.0,15.0,8.0,7.0,8.0,6.0,6.0,6.0,9.0,6.0,8.0,6.0,7.0,6.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,6.0,7.0,7.0,9.0,10.0,7.0,6.0
>ENST00000452496.1,10.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,11.0,9.0,10.0,8.0,8.0,12.0,11.0,11.0,9.0,9.0,12.0,7.0,0.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,10.0,10.0,8.0,10.0,8.0,9.0,10.0,7.0,9.0,10.0,11.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,12.0,11.0,11.0,9.0,11.0,8.0,11.0,10.0,9.0,10.0
>ENST00000421358.1,7.0,8.0,7.0,11.0,7.0,8.0,8.0,9.0,8.0,9.0,10.0,11.0,7.0,8.0,12.0,10.0,7.0,8.0,9.0,6.0,9.0,0.0,11.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,8.0,6.0,9.0,9.0,9.0,11.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,7.0,7.0,8.0,8.0,7.0,9.0,8.0,10.0,9.0
>ENST00000571766.2,8.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,7.0,10.0,11.0,0.0,9.0,9.0,9.0,11.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,8.0,10.0,7.0,11.0,9.0,10.0,10.0,8.0,10.0,8.0,10.0,9.0,8.0,10.0,11.0,9.0,9.0,9.0,10.0,7.0,15.0,10.0,10.0,8.0
>ENST00000465655.2,7.0,7.0,8.0,8.0,9.0,7.0,7.0,7.0,8.0,10.0,10.0,7.0,6.0,8.0,8.0,11.0,10.0,11.0,10.0,6.0,9.0,8.0,9.0,0.0,7.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,8.0,7.0,10.0,7.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,9.0,7.0,8.0,9.0,9.0,8.0,8.0
>ENST00000559945.1,8.0,8.0,9.0,10.0,6.0,9.0,9.0,7.0,9.0,8.0,10.0,8.0,7.0,9.0,8.0,9.0,10.0,8.0,9.0,6.0,9.0,9.0,9.0,7.0,0.0,8.0,8.0,9.0,8.0,10.0,10.0,8.0,10.0,8.0,7.0,8.0,9.0,9.0,8.0,9.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,9.0,10.0,7.0,8.0,6.0,9.0,7.0,9.0,9.0,8.0,7.0
>ENST00000457211.1,7.0,9.0,9.0,11.0,7.0,9.0,8.0,10.0,9.0,11.0,10.0,10.0,8.0,9.0,12.0,9.0,10.0,8.0,10.0,7.0,9.0,9.0,9.0,8.0,8.0,0.0,9.0,8.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,8.0,13.0,8.0,8.0,8.0,11.0,11.0,8.0,9.0,10.0,10.0,8.0,9.0,10.0,8.0,10.0,12.0,9.0,8.0
>ENST00000413542.1,8.0,8.0,11.0,8.0,7.0,8.0,8.0,8.0,11.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,6.0,10.0,9.0,11.0,8.0,8.0,9.0,0.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,6.0,110.0,8.0,9.0,9.0,8.0,7.0,7.0,8.0,8.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,6.0,9.0,8.0,8.0,6.0
>ENST00000442543.1,9.0,8.0,9.0,9.0,6.0,9.0,8.0,9.0,7.0,11.0,8.0,8.0,6.0,9.0,8.0,8.0,7.0,9.0,9.0,6.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,0.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,9.0,7.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,8.0,14.0,10.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,8.0
>ENST00000425761.1,8.0,8.0,10.0,9.0,7.0,8.0,10.0,8.0,9.0,10.0,9.0,10.0,7.0,9.0,10.0,9.0,10.0,11.0,9.0,8.0,11.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,0.0,8.0,9.0,9.0,10.0,8.0,11.0,8.0,7.0,7.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,10.0,11.0,10.0,8.0,9.0,9.0,7.0,12.0,9.0,10.0,7.0
>ENST00000369387.4,9.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,0.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,11.0,9.0,7.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,7.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0
>ENST00000454795.1,10.0,9.0,11.0,11.0,8.0,8.0,9.0,9.0,11.0,10.0,11.0,9.0,8.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0
>ENST00000536310.1,10.0,8.0,9.0,11.0,8.0,8.0,8.0,9.0,11.0,9.0,8.0,10.0,7.0,10.0,8.0,9.0,12.0,9.0,10.0,15.0,8.0,11.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,10.0,0.0,9.0,10.0,8.0,9.0,7.0,9.0,9.0,10.0,8.0,9.0,9.0,7.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,8.0,6.0,9.0,8.0,8.0,7.0
>ENST00000635667.1,9.0,8.0,13.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,8.0,9.0,10.0,9.0,10.0,12.0,12.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,0.0,10.0,8.0,11.0,8.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,13.0,9.0,10.0,12.0,11.0,11.0,8.0,9.0,9.0,7.0,9.0,10.0,9.0,8.0
>ENST00000560204.1,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,13.0,9.0,7.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,8.0,10.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,0.0,12.0,9.0,9.0,7.0,10.0,8.0,9.0,7.0,7.0,7.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,7.0,9.0,6.0,10.0,10.0,10.0,7.0
>ENST00000497190.2,8.0,10.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,12.0,8.0,9.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0,8.0,12.0,0.0,12.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,11.0,9.0,8.0,7.0,11.0,10.0,8.0,8.0,8.0,13.0,9.0,9.0,11.0,11.0,8.0
>ENST00000437647.1,8.0,10.0,9.0,11.0,8.0,9.0,8.0,8.0,12.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0,7.0,9.0,11.0,6.0,10.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,11.0,9.0,11.0,9.0,12.0,0.0,7.0,9.0,9.0,8.0,10.0,7.0,7.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,6.0,9.0,10.0,9.0,6.0
>ENST00000439929.1,8.0,7.0,9.0,7.0,8.0,9.0,7.0,7.0,6.0,8.0,8.0,7.0,10.0,9.0,8.0,8.0,9.0,8.0,9.0,6.0,7.0,6.0,7.0,8.0,9.0,7.0,6.0,7.0,7.0,8.0,9.0,7.0,8.0,9.0,9.0,7.0,0.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,10.0,8.0,7.0,7.0,7.0,9.0,7.0,9.0,10.0,7.0,6.0
>ENST00000461005.1,8.0,8.0,10.0,7.0,7.0,8.0,8.0,8.0,11.0,10.0,8.0,8.0,10.0,7.0,7.0,9.0,7.0,9.0,8.0,6.0,9.0,9.0,11.0,7.0,9.0,8.0,110.0,8.0,7.0,9.0,10.0,9.0,9.0,7.0,9.0,9.0,8.0,0.0,9.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0
>ENST00000459808.1,10.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,8.0,10.0,9.0,10.0,8.0,13.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,10.0,8.0,9.0,9.0,11.0,10.0,10.0,9.0,7.0,9.0,0.0,9.0,9.0,11.0,11.0,11.0,8.0,9.0,10.0,11.0,13.0,9.0,10.0,10.0,12.0,8.0,12.0,11.0,8.0,7.0
ENSG00000276757.1,7.0,9.0,8.0,9.0,9.0,8.0,7.0,10.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,6.0,11.0,9.0,10.0,7.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,0.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,12.0,8.0,8.0,11.0,7.0,8.0,6.0,8.0,9.0,7.0,7.0
>ENST00000559594.1,8.0,9.0,10.0,10.0,8.0,9.0,9.0,11.0,9.0,11.0,11.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,10.0,11.0,10.0,9.0,7.0,13.0,9.0,9.0,9.0,11.0,10.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,0.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,7.0,10.0,7.0,9.0,10.0,8.0,7.0
>ENST00000553226.1,9.0,7.0,9.0,8.0,7.0,8.0,7.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,12.0,8.0,9.0,9.0,9.0,6.0,9.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,10.0,7.0,8.0,7.0,11.0,8.0,8.0,0.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,7.0,10.0,11.0,7.0
>ENST00000613297.1,9.0,8.0,9.0,9.0,7.0,8.0,8.0,12.0,7.0,9.0,8.0,9.0,7.0,8.0,9.0,10.0,9.0,7.0,8.0,7.0,8.0,8.0,10.0,8.0,7.0,8.0,7.0,9.0,9.0,7.0,10.0,9.0,10.0,7.0,9.0,7.0,8.0,8.0,11.0,8.0,8.0,8.0,0.0,11.0,9.0,9.0,7.0,11.0,12.0,10.0,8.0,8.0,8.0,7.0,10.0,9.0,9.0,7.0
>ENST00000622087.1,7.0,9.0,7.0,8.0,10.0,9.0,6.0,7.0,6.0,9.0,9.0,7.0,9.0,9.0,9.0,7.0,8.0,11.0,10.0,6.0,10.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,9.0,7.0,9.0,7.0,11.0,9.0,8.0,7.0,11.0,8.0,9.0,8.0,11.0,0.0,11.0,10.0,6.0,8.0,11.0,7.0,7.0,9.0,9.0,7.0,7.0,10.0,8.0,7.0
>ENST00000436904.1,8.0,8.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,11.0,8.0,7.0,9.0,10.0,9.0,11.0,10.0,11.0,8.0,9.0,9.0,10.0,8.0,8.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,13.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,11.0,0.0,8.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0,9.0,10.0,9.0,8.0
>ENST00000605382.1,9.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,9.0,11.0,10.0,9.0,7.0,10.0,8.0,9.0,8.0,8.0,7.0,8.0,9.0,9.0,8.0,7.0,11.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,10.0,7.0,8.0,9.0,7.0,9.0,7.0,9.0,10.0,8.0,0.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0
>ENST00000435545.1,8.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,11.0,10.0,10.0,11.0,7.0,8.0,9.0,11.0,8.0,9.0,10.0,7.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,11.0,8.0,9.0,10.0,10.0,9.0,7.0,9.0,9.0,8.0,10.0,7.0,8.0,8.0,7.0,6.0,9.0,8.0,0.0,10.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,9.0,8.0,8.0
>ENST00000504217.1,8.0,11.0,10.0,9.0,9.0,11.0,11.0,15.0,10.0,11.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,10.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,8.0,10.0,9.0,10.0,10.0,12.0,9.0,11.0,8.0,10.0,10.0,11.0,12.0,10.0,9.0,11.0,8.0,9.0,8.0,10.0,0.0,10.0,9.0,10.0,9.0,9.0,7.0,9.0,12.0,11.0,10.0
>ENST00000454081.1,11.0,11.0,11.0,11.0,8.0,11.0,9.0,8.0,11.0,11.0,11.0,12.0,9.0,8.0,10.0,11.0,10.0,9.0,12.0,8.0,12.0,10.0,11.0,9.0,10.0,10.0,10.0,14.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,8.0,10.0,13.0,8.0,10.0,9.0,12.0,11.0,8.0,9.0,8.0,10.0,0.0,11.0,11.0,9.0,9.0,8.0,10.0,11.0,9.0,8.0
>ENST00000547580.1,7.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,6.0,8.0,9.0,10.0,9.0,8.0,9.0,7.0,11.0,7.0,9.0,7.0,7.0,10.0,7.0,10.0,10.0,8.0,9.0,8.0,11.0,8.0,8.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,10.0,7.0,9.0,9.0,9.0,9.0,11.0,0.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,7.0
>ENST00000520057.1,7.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,11.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,10.0,11.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,10.0,11.0,9.0,0.0,7.0,9.0,7.0,10.0,10.0,8.0,9.0
>ENST00000584918.1,7.0,8.0,9.0,10.0,7.0,9.0,9.0,8.0,6.0,10.0,10.0,8.0,6.0,8.0,8.0,8.0,7.0,9.0,7.0,6.0,9.0,8.0,9.0,9.0,6.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,8.0,8.0,7.0,8.0,10.0,7.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,9.0,9.0,9.0,7.0,0.0,8.0,7.0,10.0,8.0,8.0,6.0
