,>ENST00000604867.1,>ENST00000453438.1,>ENST00000427516.2,>ENST00000401561.2,>ENST00000455540.2,>ENST00000468361.1,>ENST00000274516.5,>ENST00000467293.2,>ENST00000344638.4,>ENST00000504006.1,>ENST00000511110.1,>ENST00000458407.1,>ENST00000589661.2,>ENST00000583907.1,>ENST00000463545.1,>ENST00000430973.1,>ENST00000619705.1,>ENST00000455211.1,>ENST00000600089.1,>ENST00000396021.2,>ENST00000403775.1,>ENST00000430526.1,>ENST00000622049.1,>ENST00000498753.1,>ENST00000527244.1,>ENST00000445491.1,ENSG00000199784.1,>ENST00000456723.1,>ENST00000413797.1,>ENST00000437526.1,>ENST00000426640.2,>ENST00000462840.2
>ENST00000511110.1,9.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,0.0,8.0,9.0,10.0,11.0,8.0,10.0,9.0,9.0,10.0,12.0,10.0,7.0,9.0,11.0,9.0,8.0,10.0,9.0,11.0,9.0,9.0
>ENST00000458407.1,8.0,9.0,9.0,11.0,7.0,7.0,10.0,12.0,8.0,7.0,8.0,0.0,12.0,8.0,9.0,8.0,10.0,9.0,9.0,11.0,9.0,8.0,7.0,9.0,7.0,7.0,6.0,8.0,9.0,10.0,8.0,8.0
>ENST00000589661.2,8.0,7.0,10.0,9.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,12.0,0.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,7.0,9.0,7.0,8.0,10.0,11.0,6.0,7.0
>ENST00000583907.1,8.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,9.0,0.0,12.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,10.0,9.0,8.0,9.0
>ENST00000463545.1,10.0,12.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,8.0,12.0,0.0,10.0,11.0,12.0,10.0,11.0,12.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,12.0
>ENST00000430973.1,8.0,8.0,8.0,9.0,8.0,9.0,8.0,11.0,7.0,8.0,8.0,8.0,10.0,8.0,10.0,0.0,10.0,8.0,9.0,10.0,10.0,10.0,9.0,12.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0
>ENST00000619705.1,9.0,10.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,0.0,10.0,11.0,11.0,11.0,8.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0,13.0,10.0,12.0
>ENST00000455211.1,9.0,8.0,10.0,11.0,8.0,9.0,8.0,11.0,10.0,10.0,9.0,9.0,10.0,9.0,12.0,8.0,10.0,0.0,9.0,9.0,9.0,9.0,8.0,9.0,12.0,8.0,9.0,10.0,11.0,9.0,10.0,8.0
>ENST00000600089.1,11.0,11.0,10.0,10.0,9.0,10.0,11.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0,9.0,0.0,8.0,10.0,9.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0
>ENST00000396021.2,9.0,10.0,9.0,12.0,9.0,10.0,12.0,11.0,8.0,11.0,10.0,11.0,9.0,8.0,11.0,10.0,11.0,9.0,8.0,0.0,9.0,9.0,10.0,14.0,8.0,8.0,8.0,11.0,11.0,13.0,10.0,10.0
>ENST00000403775.1,7.0,11.0,11.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,12.0,9.0,8.0,10.0,12.0,10.0,11.0,9.0,10.0,9.0,0.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,11.0,9.0,10.0
>ENST00000430526.1,8.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,0.0,6.0,10.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,10.0
>ENST00000622049.1,7.0,8.0,10.0,8.0,7.0,7.0,8.0,8.0,6.0,8.0,7.0,7.0,9.0,8.0,10.0,9.0,8.0,8.0,7.0,10.0,10.0,6.0,0.0,9.0,8.0,7.0,6.0,8.0,9.0,7.0,6.0,9.0
>ENST00000498753.1,10.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,11.0,12.0,10.0,9.0,8.0,14.0,10.0,10.0,9.0,0.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0
>ENST00000527244.1,9.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,11.0,7.0,7.0,8.0,10.0,8.0,9.0,12.0,8.0,8.0,10.0,7.0,8.0,10.0,0.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0
>ENST00000445491.1,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,9.0,8.0,0.0,7.0,8.0,9.0,8.0,8.0,8.0
ENSG00000199784.1,7.0,7.0,8.0,8.0,7.0,10.0,8.0,8.0,11.0,6.0,8.0,6.0,7.0,7.0,10.0,8.0,10.0,9.0,8.0,8.0,9.0,7.0,6.0,8.0,8.0,7.0,0.0,8.0,9.0,8.0,8.0,8.0
>ENST00000456723.1,7.0,9.0,9.0,10.0,8.0,11.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,10.0,8.0,8.0,9.0,7.0,8.0,8.0,0.0,12.0,9.0,8.0,8.0
>ENST00000413797.1,10.0,12.0,11.0,10.0,12.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,10.0,11.0,8.0,11.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,12.0,0.0,9.0,7.0,9.0
>ENST00000437526.1,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,14.0,11.0,10.0,11.0,9.0,9.0,9.0,13.0,9.0,8.0,13.0,11.0,8.0,7.0,10.0,9.0,8.0,8.0,9.0,9.0,0.0,9.0,9.0
>ENST00000426640.2,8.0,10.0,8.0,9.0,10.0,10.0,7.0,9.0,7.0,9.0,9.0,8.0,6.0,8.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,8.0,6.0,8.0,9.0,8.0,8.0,8.0,7.0,9.0,0.0,9.0
>ENST00000462840.2,8.0,10.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,12.0,10.0,12.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,0.0
