,>ENST00000553832.2,>ENST00000468320.1,>ENST00000514950.1,>ENST00000592517.1,ENSG00000206853.1,ENSG00000239748.3,>ENST00000447781.2,>ENST00000517767.1,>ENST00000447087.1,>ENST00000451173.1,>ENST00000448627.1,>ENST00000406574.1,>ENST00000634617.1,>ENST00000413270.2,>ENST00000305754.2,>ENST00000534985.1,>ENST00000441175.1,>ENST00000413296.1,>ENST00000445286.3,>ENST00000473356.1,>ENST00000414328.2,>ENST00000523876.1,ENSG00000252369.1,>ENST00000413322.1,>ENST00000604443.1,>ENST00000627662.1,>ENST00000409132.2,>ENST00000556476.1,ENSG00000166426.7,>ENST00000622273.1,>ENST00000429048.2,ENSG00000201957.1,>ENST00000590734.2,>ENST00000429428.1,>ENST00000508153.1,>ENST00000434012.2,>ENST00000604801.1,>ENST00000605066.1,>ENST00000511360.1,>ENST00000502364.2,>ENST00000403475.2,>ENST00000430209.1,>ENST00000560574.2
>ENST00000448627.1,10.0,7.0,11.0,9.0,8.0,10.0,9.0,9.0,11.0,9.0,0.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,8.0,7.0,11.0,10.0,10.0,11.0,11.0,11.0,12.0,10.0,9.0,9.0,12.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,11.0
>ENST00000406574.1,9.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,0.0,11.0,11.0,9.0,11.0,9.0,8.0,9.0,13.0,11.0,7.0,7.0,8.0,9.0,8.0,8.0,10.0,10.0,11.0,8.0,8.0,8.0,10.0,10.0,10.0,8.0,10.0,9.0,13.0,9.0,8.0,9.0
>ENST00000634617.1,11.0,8.0,9.0,13.0,9.0,7.0,8.0,12.0,11.0,10.0,9.0,11.0,0.0,11.0,9.0,11.0,11.0,15.0,13.0,9.0,10.0,8.0,7.0,9.0,11.0,9.0,8.0,12.0,11.0,10.0,9.0,11.0,9.0,8.0,11.0,10.0,11.0,9.0,9.0,10.0,9.0,11.0,9.0
>ENST00000413270.2,10.0,9.0,10.0,10.0,9.0,10.0,12.0,10.0,10.0,11.0,10.0,11.0,11.0,0.0,10.0,11.0,13.0,12.0,11.0,12.0,10.0,12.0,8.0,11.0,10.0,10.0,10.0,14.0,10.0,16.0,11.0,9.0,10.0,8.0,9.0,9.0,10.0,11.0,10.0,11.0,12.0,10.0,10.0
>ENST00000305754.2,10.0,8.0,11.0,8.0,8.0,8.0,8.0,10.0,13.0,10.0,9.0,9.0,9.0,10.0,0.0,10.0,9.0,11.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,10.0,11.0,13.0,10.0,11.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0
>ENST00000534985.1,10.0,9.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,0.0,9.0,11.0,11.0,13.0,12.0,8.0,8.0,12.0,11.0,11.0,10.0,10.0,12.0,12.0,10.0,10.0,9.0,9.0,13.0,10.0,11.0,11.0,9.0,10.0,11.0,10.0,10.0
>ENST00000441175.1,10.0,8.0,9.0,11.0,8.0,8.0,9.0,9.0,11.0,10.0,9.0,9.0,11.0,13.0,9.0,9.0,0.0,11.0,12.0,9.0,10.0,8.0,8.0,8.0,10.0,10.0,8.0,10.0,11.0,11.0,9.0,9.0,10.0,9.0,11.0,11.0,10.0,9.0,9.0,9.0,11.0,11.0,11.0
>ENST00000413296.1,10.0,7.0,10.0,11.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,8.0,15.0,12.0,11.0,11.0,11.0,0.0,10.0,14.0,11.0,8.0,7.0,9.0,9.0,12.0,9.0,10.0,11.0,9.0,9.0,7.0,9.0,8.0,9.0,10.0,11.0,8.0,10.0,11.0,10.0,9.0,9.0
>ENST00000445286.3,14.0,9.0,13.0,10.0,8.0,10.0,12.0,9.0,11.0,10.0,11.0,9.0,13.0,11.0,10.0,11.0,12.0,10.0,0.0,10.0,12.0,8.0,7.0,9.0,12.0,12.0,11.0,12.0,12.0,10.0,11.0,8.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,13.0,11.0,10.0,9.0
>ENST00000473356.1,10.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,11.0,12.0,11.0,13.0,9.0,12.0,12.0,13.0,9.0,14.0,10.0,0.0,9.0,8.0,8.0,11.0,10.0,8.0,9.0,12.0,10.0,11.0,9.0,8.0,9.0,8.0,10.0,10.0,8.0,12.0,9.0,9.0,9.0,8.0,9.0
>ENST00000414328.2,10.0,7.0,12.0,11.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,9.0,12.0,10.0,11.0,12.0,9.0,0.0,10.0,7.0,12.0,10.0,12.0,10.0,11.0,11.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,11.0,14.0,11.0,11.0,8.0
>ENST00000523876.1,8.0,7.0,10.0,8.0,8.0,7.0,9.0,7.0,10.0,10.0,8.0,7.0,8.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,0.0,6.0,8.0,9.0,6.0,7.0,10.0,9.0,9.0,7.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,7.0,9.0,10.0,8.0,7.0
ENSG00000252369.1,8.0,7.0,7.0,7.0,6.0,6.0,8.0,7.0,8.0,10.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,6.0,0.0,8.0,7.0,8.0,6.0,8.0,9.0,7.0,9.0,6.0,6.0,7.0,6.0,8.0,8.0,6.0,6.0,8.0,7.0,7.0,7.0
>ENST00000413322.1,9.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,9.0,10.0,11.0,8.0,9.0,11.0,9.0,12.0,8.0,9.0,9.0,11.0,12.0,8.0,8.0,0.0,12.0,10.0,9.0,9.0,12.0,10.0,8.0,10.0,7.0,8.0,9.0,9.0,10.0,10.0,9.0,11.0,11.0,8.0,7.0
>ENST00000604443.1,10.0,8.0,10.0,8.0,9.0,9.0,9.0,10.0,13.0,9.0,10.0,9.0,11.0,10.0,11.0,11.0,10.0,9.0,12.0,10.0,10.0,9.0,7.0,12.0,0.0,9.0,9.0,10.0,13.0,10.0,9.0,9.0,7.0,9.0,8.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0
>ENST00000627662.1,11.0,8.0,15.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,11.0,10.0,12.0,12.0,8.0,12.0,6.0,8.0,10.0,9.0,0.0,10.0,10.0,11.0,12.0,10.0,9.0,8.0,8.0,8.0,11.0,9.0,9.0,12.0,10.0,11.0,10.0,10.0
>ENST00000409132.2,9.0,9.0,11.0,9.0,7.0,9.0,9.0,8.0,10.0,11.0,11.0,8.0,8.0,10.0,10.0,10.0,8.0,9.0,11.0,9.0,10.0,7.0,6.0,9.0,9.0,10.0,0.0,11.0,12.0,10.0,10.0,8.0,10.0,8.0,8.0,9.0,8.0,11.0,11.0,10.0,10.0,8.0,8.0
>ENST00000556476.1,10.0,11.0,11.0,10.0,8.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,12.0,14.0,11.0,10.0,10.0,10.0,12.0,12.0,11.0,10.0,8.0,9.0,10.0,10.0,11.0,0.0,11.0,10.0,10.0,9.0,9.0,8.0,11.0,9.0,10.0,9.0,10.0,13.0,11.0,10.0,10.0
ENSG00000166426.7,11.0,11.0,13.0,11.0,11.0,39.0,12.0,11.0,12.0,15.0,11.0,10.0,11.0,10.0,13.0,12.0,11.0,11.0,12.0,10.0,11.0,9.0,9.0,12.0,13.0,11.0,12.0,11.0,0.0,13.0,13.0,10.0,9.0,9.0,9.0,11.0,13.0,11.0,13.0,11.0,11.0,12.0,10.0
>ENST00000622273.1,10.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,46.0,12.0,11.0,10.0,16.0,10.0,12.0,11.0,9.0,10.0,11.0,10.0,9.0,7.0,10.0,10.0,12.0,10.0,10.0,13.0,0.0,14.0,9.0,8.0,9.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0
>ENST00000429048.2,10.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,10.0,17.0,10.0,8.0,9.0,11.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,7.0,9.0,8.0,9.0,10.0,10.0,10.0,13.0,14.0,0.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,11.0,11.0,9.0,9.0,10.0
ENSG00000201957.1,10.0,8.0,9.0,8.0,6.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,11.0,9.0,8.0,10.0,9.0,7.0,8.0,8.0,9.0,9.0,6.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,0.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,9.0,8.0,11.0,7.0
>ENST00000590734.2,8.0,8.0,8.0,9.0,7.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,6.0,7.0,7.0,8.0,10.0,9.0,9.0,8.0,7.0,8.0,0.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,10.0,11.0,7.0
>ENST00000429428.1,11.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,10.0,7.0,12.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,7.0,0.0,8.0,7.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0
>ENST00000508153.1,10.0,8.0,9.0,9.0,7.0,7.0,8.0,10.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,13.0,11.0,9.0,10.0,10.0,10.0,7.0,6.0,9.0,8.0,8.0,8.0,11.0,9.0,10.0,8.0,7.0,7.0,8.0,0.0,9.0,10.0,8.0,7.0,9.0,9.0,8.0,9.0
>ENST00000434012.2,9.0,9.0,9.0,11.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,11.0,9.0,9.0,11.0,11.0,9.0,8.0,8.0,7.0,9.0,0.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0
>ENST00000604801.1,10.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,11.0,10.0,11.0,8.0,11.0,10.0,9.0,11.0,10.0,11.0,10.0,8.0,9.0,8.0,8.0,10.0,10.0,9.0,8.0,10.0,13.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,0.0,10.0,11.0,9.0,10.0,10.0,8.0
>ENST00000605066.1,9.0,6.0,9.0,9.0,8.0,8.0,13.0,8.0,10.0,12.0,10.0,10.0,9.0,11.0,9.0,11.0,9.0,8.0,11.0,12.0,10.0,7.0,6.0,10.0,10.0,9.0,11.0,9.0,11.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,10.0,0.0,10.0,10.0,9.0,9.0,9.0
>ENST00000511360.1,10.0,9.0,11.0,9.0,7.0,9.0,9.0,13.0,9.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,7.0,6.0,9.0,10.0,12.0,11.0,10.0,13.0,10.0,11.0,8.0,8.0,8.0,7.0,9.0,11.0,10.0,0.0,12.0,9.0,8.0,9.0
>ENST00000502364.2,10.0,11.0,11.0,11.0,9.0,10.0,11.0,9.0,11.0,9.0,10.0,13.0,10.0,11.0,11.0,10.0,9.0,11.0,13.0,9.0,14.0,9.0,8.0,11.0,11.0,10.0,10.0,13.0,11.0,10.0,11.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,12.0,0.0,13.0,13.0,10.0
>ENST00000403475.2,11.0,9.0,10.0,10.0,8.0,9.0,14.0,9.0,10.0,9.0,10.0,9.0,9.0,12.0,10.0,11.0,11.0,10.0,11.0,9.0,11.0,10.0,7.0,11.0,10.0,11.0,10.0,11.0,11.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,13.0,0.0,8.0,8.0
>ENST00000430209.1,11.0,8.0,11.0,9.0,7.0,7.0,9.0,9.0,9.0,9.0,11.0,8.0,11.0,10.0,9.0,10.0,11.0,9.0,10.0,8.0,11.0,8.0,7.0,8.0,10.0,10.0,8.0,10.0,12.0,10.0,9.0,11.0,11.0,8.0,8.0,9.0,10.0,9.0,8.0,13.0,8.0,0.0,9.0
>ENST00000560574.2,8.0,7.0,9.0,8.0,7.0,8.0,8.0,11.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,8.0,7.0,7.0,7.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,7.0,7.0,8.0,9.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,0.0
