,ENSG00000266500.1,ENSG00000207310.1,ENSG00000162595.4,ENSG00000222982.1,ENSG00000222727.1,ENSG00000273706.4,ENSG00000278775.1,ENSG00000223003.1,ENSG00000201733.1,ENSG00000100884.9,ENSG00000276597.1,ENSG00000222095.1,ENSG00000239175.1,ENSG00000159348.12,ENSG00000268738.2,ENSG00000211623.2,ENSG00000274450.1,ENSG00000252017.1,ENSG00000222626.1,ENSG00000222643.1,ENSG00000199959.1,ENSG00000185926.1,ENSG00000196812.4,ENSG00000222123.1,ENSG00000266807.1,ENSG00000277323.1,ENSG00000251993.1,ENSG00000238764.1,ENSG00000252574.2,ENSG00000265498.1,ENSG00000222429.1,ENSG00000252215.1,ENSG00000228567.3,ENSG00000123095.5,ENSG00000252000.1,ENSG00000207491.1,ENSG00000279301.1,ENSG00000252475.1,ENSG00000222302.1,ENSG00000200612.1,ENSG00000223274.6,ENSG00000212421.1,ENSG00000222533.1,ENSG00000238427.1,ENSG00000273709.1,ENSG00000252469.1,ENSG00000275362.1,ENSG00000199575.1,ENSG00000140474.12,ENSG00000264976.1,ENSG00000200366.1,ENSG00000200051.1,ENSG00000273696.4
ENSG00000239175.1,8.0,29.0,12.0,7.0,8.0,10.0,7.0,7.0,7.0,9.0,7.0,8.0,0.0,11.0,8.0,9.0,9.0,15.0,8.0,6.0,6.0,9.0,9.0,6.0,7.0,8.0,6.0,6.0,7.0,7.0,15.0,14.0,8.0,10.0,8.0,19.0,9.0,22.0,6.0,7.0,6.0,9.0,15.0,7.0,7.0,6.0,7.0,7.0,10.0,6.0,36.0,6.0,11.0
ENSG00000159348.12,9.0,9.0,22.0,10.0,11.0,14.0,10.0,11.0,14.0,13.0,11.0,9.0,11.0,0.0,14.0,11.0,9.0,10.0,10.0,10.0,10.0,11.0,13.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,12.0,13.0,12.0,10.0,11.0,10.0,11.0,8.0,10.0,11.0,10.0,9.0,11.0,8.0,14.0,11.0,13.0,9.0,11.0,9.0,34.0
ENSG00000268738.2,9.0,9.0,12.0,9.0,9.0,13.0,9.0,8.0,10.0,13.0,10.0,9.0,8.0,14.0,0.0,10.0,8.0,8.0,8.0,9.0,8.0,11.0,14.0,9.0,8.0,10.0,10.0,11.0,8.0,9.0,9.0,8.0,10.0,12.0,9.0,9.0,12.0,8.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,14.0,9.0,8.0,8.0,12.0
ENSG00000211623.2,7.0,8.0,12.0,8.0,9.0,13.0,7.0,7.0,10.0,12.0,13.0,7.0,9.0,11.0,10.0,0.0,8.0,10.0,8.0,7.0,8.0,9.0,11.0,7.0,6.0,8.0,8.0,9.0,8.0,7.0,7.0,8.0,12.0,13.0,9.0,8.0,11.0,8.0,9.0,7.0,8.0,8.0,10.0,8.0,8.0,10.0,11.0,9.0,12.0,6.0,8.0,9.0,11.0
ENSG00000274450.1,8.0,11.0,9.0,7.0,7.0,11.0,6.0,7.0,8.0,9.0,7.0,6.0,9.0,9.0,8.0,8.0,0.0,8.0,6.0,5.0,6.0,8.0,10.0,6.0,6.0,6.0,6.0,7.0,9.0,6.0,7.0,7.0,7.0,9.0,7.0,8.0,10.0,9.0,7.0,6.0,7.0,7.0,9.0,8.0,6.0,5.0,8.0,6.0,9.0,6.0,11.0,8.0,11.0
ENSG00000252017.1,6.0,11.0,8.0,8.0,7.0,10.0,6.0,6.0,11.0,9.0,7.0,6.0,15.0,10.0,8.0,10.0,8.0,0.0,7.0,6.0,7.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,7.0,10.0,9.0,6.0,14.0,10.0,20.0,6.0,6.0,7.0,7.0,22.0,9.0,7.0,6.0,8.0,7.0,11.0,6.0,17.0,7.0,10.0
ENSG00000222626.1,8.0,8.0,9.0,9.0,9.0,11.0,7.0,7.0,7.0,11.0,7.0,7.0,8.0,10.0,8.0,8.0,6.0,7.0,0.0,8.0,6.0,8.0,14.0,7.0,6.0,7.0,7.0,6.0,5.0,6.0,10.0,8.0,10.0,12.0,7.0,8.0,8.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,120.0,8.0,8.0,6.0,11.0,7.0,8.0,7.0,11.0
ENSG00000222643.1,27.0,6.0,10.0,6.0,6.0,10.0,7.0,8.0,7.0,10.0,9.0,8.0,6.0,10.0,9.0,7.0,5.0,6.0,8.0,0.0,7.0,8.0,11.0,7.0,15.0,31.0,5.0,7.0,10.0,36.0,6.0,8.0,11.0,10.0,7.0,8.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,5.0,9.0,43.0,6.0,7.0,10.0
ENSG00000199959.1,7.0,6.0,10.0,7.0,6.0,10.0,5.0,7.0,7.0,10.0,8.0,6.0,6.0,10.0,8.0,8.0,6.0,7.0,6.0,7.0,0.0,9.0,10.0,7.0,6.0,6.0,8.0,8.0,7.0,9.0,7.0,7.0,8.0,11.0,6.0,7.0,9.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,8.0,6.0,9.0,6.0,7.0,5.0,10.0
ENSG00000185926.1,7.0,11.0,11.0,8.0,8.0,11.0,7.0,11.0,9.0,11.0,8.0,7.0,9.0,11.0,11.0,9.0,8.0,8.0,8.0,8.0,9.0,0.0,11.0,10.0,10.0,8.0,7.0,10.0,7.0,8.0,8.0,8.0,12.0,12.0,8.0,7.0,12.0,8.0,7.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,9.0,7.0,12.0,7.0,9.0,7.0,11.0
ENSG00000196812.4,9.0,11.0,33.0,11.0,12.0,12.0,10.0,9.0,9.0,12.0,10.0,9.0,9.0,13.0,14.0,11.0,10.0,8.0,14.0,11.0,10.0,11.0,0.0,11.0,8.0,11.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,13.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,9.0,11.0,9.0,11.0,10.0,13.0,9.0,11.0,9.0,20.0
ENSG00000222123.1,6.0,6.0,10.0,8.0,6.0,10.0,5.0,11.0,7.0,11.0,8.0,6.0,6.0,9.0,9.0,7.0,6.0,8.0,7.0,7.0,7.0,10.0,11.0,0.0,6.0,7.0,12.0,6.0,6.0,7.0,6.0,7.0,8.0,10.0,6.0,6.0,8.0,6.0,22.0,5.0,14.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,11.0,7.0,7.0,7.0,10.0
ENSG00000266807.1,16.0,5.0,11.0,7.0,5.0,9.0,7.0,6.0,6.0,8.0,6.0,6.0,7.0,9.0,8.0,6.0,6.0,7.0,6.0,15.0,6.0,10.0,8.0,6.0,0.0,14.0,6.0,6.0,6.0,23.0,4.0,6.0,7.0,11.0,6.0,5.0,7.0,6.0,5.0,7.0,5.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0,8.0,14.0,5.0,6.0,10.0
ENSG00000277323.1,23.0,6.0,10.0,6.0,6.0,10.0,7.0,5.0,6.0,9.0,9.0,5.0,8.0,9.0,10.0,8.0,6.0,6.0,7.0,31.0,6.0,8.0,11.0,7.0,14.0,0.0,8.0,7.0,9.0,30.0,7.0,7.0,8.0,11.0,6.0,7.0,8.0,7.0,6.0,6.0,6.0,5.0,7.0,6.0,7.0,6.0,7.0,6.0,9.0,23.0,6.0,6.0,9.0
ENSG00000251993.1,8.0,7.0,9.0,7.0,6.0,10.0,6.0,16.0,7.0,9.0,8.0,7.0,6.0,10.0,10.0,8.0,6.0,8.0,7.0,5.0,8.0,7.0,9.0,12.0,6.0,8.0,0.0,7.0,5.0,6.0,6.0,9.0,8.0,10.0,7.0,7.0,8.0,6.0,14.0,5.0,9.0,9.0,8.0,6.0,7.0,6.0,7.0,5.0,9.0,5.0,7.0,6.0,10.0
ENSG00000238764.1,6.0,6.0,9.0,6.0,8.0,9.0,6.0,8.0,6.0,10.0,8.0,7.0,6.0,10.0,11.0,9.0,7.0,8.0,6.0,7.0,8.0,10.0,10.0,6.0,6.0,7.0,7.0,0.0,5.0,7.0,6.0,7.0,9.0,9.0,6.0,7.0,9.0,6.0,6.0,7.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,8.0,10.0,6.0,6.0,7.0,11.0
ENSG00000252574.2,6.0,7.0,10.0,7.0,5.0,9.0,5.0,6.0,7.0,9.0,7.0,6.0,7.0,10.0,8.0,8.0,9.0,6.0,5.0,10.0,7.0,7.0,11.0,6.0,6.0,9.0,5.0,5.0,0.0,7.0,6.0,7.0,9.0,8.0,6.0,6.0,9.0,7.0,5.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,9.0,6.0,6.0,6.0,14.0
ENSG00000265498.1,24.0,5.0,10.0,7.0,6.0,10.0,7.0,7.0,6.0,10.0,9.0,5.0,7.0,9.0,9.0,7.0,6.0,7.0,6.0,36.0,9.0,8.0,9.0,7.0,23.0,30.0,6.0,7.0,7.0,0.0,5.0,6.0,8.0,9.0,6.0,7.0,7.0,7.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,6.0,8.0,5.0,8.0,29.0,7.0,6.0,9.0
ENSG00000222429.1,8.0,16.0,11.0,6.0,6.0,9.0,5.0,7.0,6.0,10.0,7.0,6.0,15.0,9.0,9.0,7.0,7.0,7.0,10.0,6.0,7.0,8.0,9.0,6.0,4.0,7.0,6.0,6.0,6.0,5.0,0.0,7.0,9.0,12.0,6.0,29.0,8.0,20.0,6.0,7.0,6.0,6.0,8.0,7.0,8.0,8.0,6.0,6.0,11.0,5.0,24.0,8.0,10.0
ENSG00000252215.1,7.0,10.0,11.0,7.0,9.0,10.0,6.0,6.0,7.0,10.0,10.0,5.0,14.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,10.0,7.0,6.0,7.0,9.0,7.0,7.0,6.0,7.0,0.0,8.0,11.0,7.0,8.0,8.0,9.0,7.0,5.0,7.0,6.0,9.0,6.0,8.0,7.0,7.0,5.0,12.0,6.0,6.0,8.0,11.0
ENSG00000228567.3,7.0,7.0,12.0,9.0,10.0,11.0,9.0,8.0,8.0,13.0,9.0,8.0,8.0,12.0,10.0,12.0,7.0,10.0,10.0,11.0,8.0,12.0,11.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,0.0,12.0,8.0,9.0,10.0,10.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,11.0,7.0,8.0,8.0,13.0
ENSG00000123095.5,11.0,13.0,14.0,11.0,9.0,14.0,10.0,9.0,9.0,13.0,11.0,10.0,10.0,13.0,12.0,13.0,9.0,9.0,12.0,10.0,11.0,12.0,13.0,10.0,11.0,11.0,10.0,9.0,8.0,9.0,12.0,11.0,12.0,0.0,9.0,12.0,11.0,12.0,9.0,10.0,10.0,9.0,8.0,14.0,9.0,10.0,10.0,10.0,14.0,10.0,9.0,9.0,13.0
ENSG00000252000.1,6.0,6.0,9.0,10.0,8.0,11.0,6.0,10.0,6.0,10.0,8.0,7.0,8.0,12.0,9.0,9.0,7.0,6.0,7.0,7.0,6.0,8.0,11.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,9.0,0.0,6.0,8.0,6.0,6.0,7.0,6.0,8.0,9.0,6.0,7.0,6.0,7.0,6.0,11.0,6.0,5.0,5.0,11.0
ENSG00000207491.1,7.0,18.0,10.0,6.0,7.0,8.0,6.0,7.0,6.0,10.0,8.0,7.0,19.0,10.0,9.0,8.0,8.0,14.0,8.0,8.0,7.0,7.0,10.0,6.0,5.0,7.0,7.0,7.0,6.0,7.0,29.0,8.0,9.0,12.0,6.0,0.0,8.0,25.0,6.0,5.0,6.0,6.0,12.0,6.0,6.0,6.0,8.0,7.0,10.0,8.0,36.0,6.0,12.0
ENSG00000279301.1,7.0,9.0,11.0,9.0,8.0,11.0,8.0,8.0,9.0,12.0,10.0,8.0,9.0,11.0,12.0,11.0,10.0,10.0,8.0,7.0,9.0,12.0,11.0,8.0,7.0,8.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,11.0,8.0,8.0,0.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,7.0,7.0,9.0,7.0,11.0,7.0,9.0,7.0,13.0
ENSG00000252475.1,7.0,31.0,10.0,8.0,6.0,9.0,6.0,7.0,7.0,8.0,7.0,7.0,22.0,10.0,8.0,8.0,9.0,20.0,7.0,7.0,6.0,8.0,10.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,20.0,9.0,10.0,12.0,6.0,25.0,8.0,0.0,6.0,8.0,6.0,7.0,42.0,5.0,7.0,5.0,8.0,7.0,9.0,6.0,29.0,5.0,9.0
ENSG00000222302.1,6.0,6.0,8.0,7.0,6.0,10.0,7.0,12.0,9.0,15.0,7.0,5.0,6.0,11.0,9.0,9.0,7.0,6.0,7.0,6.0,7.0,7.0,10.0,22.0,5.0,6.0,14.0,6.0,5.0,6.0,6.0,7.0,7.0,9.0,6.0,6.0,8.0,6.0,0.0,6.0,12.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,9.0,6.0,9.0,6.0,9.0
ENSG00000200612.1,6.0,6.0,8.0,7.0,6.0,13.0,9.0,5.0,5.0,9.0,8.0,10.0,7.0,8.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,10.0,5.0,7.0,6.0,5.0,7.0,7.0,6.0,7.0,5.0,8.0,10.0,7.0,5.0,9.0,8.0,6.0,0.0,7.0,5.0,5.0,6.0,6.0,7.0,8.0,23.0,10.0,7.0,6.0,7.0,10.0
ENSG00000223274.6,6.0,7.0,10.0,7.0,6.0,10.0,6.0,11.0,8.0,9.0,7.0,8.0,6.0,10.0,9.0,8.0,7.0,7.0,7.0,6.0,7.0,8.0,10.0,14.0,5.0,6.0,9.0,6.0,6.0,5.0,6.0,7.0,8.0,10.0,6.0,6.0,8.0,6.0,12.0,7.0,0.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,10.0,6.0,5.0,7.0,11.0
ENSG00000212421.1,7.0,9.0,10.0,7.0,6.0,10.0,5.0,6.0,6.0,11.0,7.0,8.0,9.0,11.0,9.0,8.0,7.0,7.0,6.0,7.0,7.0,8.0,11.0,7.0,7.0,5.0,9.0,8.0,7.0,7.0,6.0,6.0,9.0,9.0,8.0,6.0,8.0,7.0,6.0,5.0,6.0,0.0,7.0,7.0,6.0,6.0,8.0,6.0,11.0,7.0,9.0,6.0,10.0
ENSG00000222533.1,7.0,11.0,9.0,7.0,7.0,10.0,5.0,6.0,7.0,10.0,7.0,6.0,15.0,10.0,9.0,10.0,9.0,22.0,7.0,6.0,6.0,8.0,10.0,6.0,5.0,7.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,12.0,10.0,42.0,6.0,5.0,7.0,7.0,0.0,5.0,6.0,6.0,7.0,6.0,9.0,6.0,14.0,7.0,9.0
ENSG00000238427.1,6.0,7.0,9.0,7.0,6.0,8.0,5.0,8.0,6.0,9.0,7.0,5.0,7.0,9.0,8.0,8.0,8.0,9.0,6.0,7.0,6.0,6.0,9.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,7.0,6.0,8.0,14.0,6.0,6.0,8.0,5.0,6.0,6.0,6.0,7.0,5.0,0.0,6.0,21.0,8.0,5.0,10.0,6.0,7.0,7.0,9.0
ENSG00000273709.1,8.0,8.0,9.0,9.0,7.0,11.0,7.0,7.0,6.0,10.0,7.0,8.0,7.0,11.0,8.0,8.0,6.0,7.0,120.0,7.0,6.0,8.0,11.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,8.0,8.0,9.0,9.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,0.0,7.0,8.0,6.0,10.0,6.0,6.0,5.0,11.0
ENSG00000252469.1,6.0,5.0,10.0,7.0,6.0,8.0,5.0,6.0,6.0,10.0,8.0,5.0,6.0,8.0,7.0,10.0,5.0,6.0,8.0,6.0,6.0,8.0,9.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,8.0,7.0,8.0,10.0,6.0,6.0,7.0,5.0,6.0,7.0,6.0,6.0,6.0,21.0,7.0,0.0,8.0,6.0,10.0,6.0,5.0,10.0,10.0
ENSG00000275362.1,7.0,7.0,22.0,7.0,9.0,10.0,7.0,7.0,7.0,11.0,8.0,8.0,7.0,14.0,9.0,11.0,8.0,8.0,8.0,7.0,8.0,9.0,11.0,7.0,7.0,7.0,7.0,6.0,7.0,8.0,6.0,7.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0,8.0,6.0,8.0,7.0,8.0,8.0,8.0,0.0,8.0,11.0,7.0,6.0,6.0,20.0
ENSG00000199575.1,6.0,6.0,8.0,7.0,7.0,10.0,9.0,5.0,7.0,8.0,7.0,16.0,7.0,11.0,9.0,9.0,6.0,7.0,6.0,5.0,6.0,7.0,10.0,6.0,6.0,6.0,5.0,8.0,6.0,5.0,6.0,5.0,8.0,10.0,6.0,7.0,7.0,7.0,6.0,23.0,6.0,6.0,6.0,5.0,6.0,6.0,8.0,0.0,11.0,6.0,6.0,7.0,10.0
ENSG00000140474.12,8.0,9.0,13.0,10.0,9.0,16.0,9.0,9.0,10.0,15.0,11.0,10.0,10.0,13.0,14.0,12.0,9.0,11.0,11.0,9.0,9.0,12.0,13.0,11.0,8.0,9.0,9.0,10.0,9.0,8.0,11.0,12.0,11.0,14.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,11.0,11.0,0.0,7.0,10.0,10.0,13.0
ENSG00000264976.1,19.0,6.0,9.0,7.0,7.0,10.0,7.0,7.0,6.0,8.0,7.0,6.0,6.0,9.0,9.0,6.0,6.0,6.0,7.0,43.0,6.0,7.0,9.0,7.0,14.0,23.0,5.0,6.0,6.0,29.0,5.0,6.0,7.0,10.0,6.0,8.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,0.0,6.0,7.0,10.0
ENSG00000200366.1,8.0,42.0,9.0,7.0,5.0,10.0,6.0,8.0,6.0,9.0,7.0,9.0,36.0,11.0,8.0,8.0,11.0,17.0,8.0,6.0,7.0,9.0,11.0,7.0,5.0,6.0,7.0,6.0,6.0,7.0,24.0,6.0,8.0,9.0,5.0,36.0,9.0,29.0,9.0,6.0,5.0,9.0,14.0,7.0,6.0,5.0,6.0,6.0,10.0,6.0,0.0,7.0,10.0
ENSG00000200051.1,8.0,7.0,9.0,6.0,8.0,12.0,4.0,6.0,7.0,8.0,8.0,8.0,6.0,9.0,8.0,9.0,8.0,7.0,7.0,7.0,5.0,7.0,9.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,8.0,8.0,8.0,9.0,5.0,6.0,7.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0,5.0,10.0,6.0,7.0,10.0,7.0,7.0,0.0,9.0
ENSG00000273696.4,10.0,9.0,20.0,11.0,10.0,17.0,9.0,9.0,10.0,13.0,11.0,10.0,11.0,34.0,12.0,11.0,11.0,10.0,11.0,10.0,10.0,11.0,20.0,10.0,10.0,9.0,10.0,11.0,14.0,9.0,10.0,11.0,13.0,13.0,11.0,12.0,13.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,11.0,10.0,20.0,10.0,13.0,10.0,10.0,9.0,0.0
