,>ENST00000452554.2,>ENST00000454567.1,>ENST00000629111.1,>ENST00000602271.1,>ENST00000617064.1,>ENST00000454995.1,>ENST00000437586.1,>ENST00000342073.4,>ENST00000563948.1,>ENST00000509500.1,>ENST00000430304.1,>ENST00000388829.3,>ENST00000454103.1,>ENST00000431994.5,>ENST00000427448.1,>ENST00000549363.2,>ENST00000590231.1,>ENST00000416320.1,>ENST00000448312.2,>ENST00000540551.2,>ENST00000442321.1,>ENST00000435438.1,>ENST00000451028.1,>ENST00000416056.2,>ENST00000354927.4,>ENST00000448325.1,>ENST00000510138.2,>ENST00000623183.1,>ENST00000469993.1,ENSG00000200852.1
>ENST00000430304.1,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,0.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,7.0,8.0,9.0,8.0,9.0,9.0,9.0,11.0,8.0,9.0
>ENST00000388829.3,9.0,8.0,12.0,10.0,7.0,10.0,8.0,11.0,8.0,12.0,9.0,0.0,9.0,11.0,10.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0
>ENST00000454103.1,8.0,9.0,10.0,9.0,9.0,9.0,11.0,12.0,9.0,11.0,8.0,9.0,0.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,8.0,11.0,10.0,8.0,10.0,8.0,9.0,11.0,8.0,7.0
>ENST00000431994.5,11.0,10.0,12.0,11.0,10.0,10.0,10.0,11.0,10.0,12.0,9.0,11.0,9.0,0.0,11.0,11.0,12.0,10.0,10.0,9.0,11.0,10.0,8.0,9.0,12.0,11.0,11.0,11.0,9.0,12.0
>ENST00000427448.1,10.0,10.0,11.0,9.0,8.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,0.0,11.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0
>ENST00000549363.2,10.0,10.0,10.0,11.0,11.0,12.0,10.0,11.0,11.0,11.0,9.0,8.0,9.0,11.0,11.0,0.0,8.0,9.0,9.0,7.0,8.0,10.0,10.0,9.0,11.0,10.0,10.0,13.0,11.0,9.0
>ENST00000590231.1,9.0,6.0,10.0,8.0,7.0,7.0,8.0,10.0,8.0,9.0,8.0,7.0,8.0,12.0,8.0,8.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,8.0,5.0
>ENST00000416320.1,10.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,7.0,0.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,12.0,11.0,10.0,10.0
>ENST00000448312.2,11.0,9.0,12.0,10.0,10.0,11.0,9.0,9.0,12.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,7.0,10.0,0.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0,8.0
>ENST00000540551.2,10.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,7.0,10.0,9.0,9.0,8.0,7.0,7.0,9.0,8.0,0.0,8.0,8.0,7.0,9.0,12.0,8.0,10.0,9.0,10.0,7.0
>ENST00000442321.1,10.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,7.0,9.0,8.0,11.0,10.0,8.0,7.0,9.0,9.0,8.0,0.0,8.0,8.0,8.0,9.0,9.0,8.0,12.0,8.0,8.0
>ENST00000435438.1,12.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,9.0,15.0,8.0,9.0,11.0,10.0,9.0,10.0,7.0,10.0,11.0,8.0,8.0,0.0,11.0,8.0,11.0,10.0,10.0,10.0,8.0,7.0
>ENST00000451028.1,9.0,9.0,11.0,8.0,9.0,11.0,9.0,9.0,9.0,12.0,9.0,8.0,10.0,8.0,9.0,10.0,7.0,10.0,10.0,7.0,8.0,11.0,0.0,8.0,10.0,9.0,11.0,9.0,9.0,8.0
>ENST00000416056.2,9.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,7.0,11.0,9.0,9.0,8.0,8.0,8.0,0.0,11.0,9.0,8.0,9.0,7.0,7.0
>ENST00000354927.4,12.0,8.0,16.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,10.0,11.0,9.0,10.0,10.0,12.0,9.0,11.0,10.0,11.0,0.0,10.0,10.0,11.0,9.0,10.0
>ENST00000448325.1,10.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,11.0,9.0,8.0,8.0,11.0,10.0,10.0,8.0,11.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,0.0,8.0,9.0,8.0,10.0
>ENST00000510138.2,12.0,10.0,11.0,10.0,9.0,11.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,8.0,12.0,11.0,10.0,8.0,10.0,11.0,8.0,10.0,8.0,0.0,10.0,9.0,10.0
>ENST00000623183.1,11.0,8.0,10.0,10.0,9.0,12.0,10.0,9.0,9.0,11.0,11.0,9.0,11.0,11.0,10.0,13.0,8.0,11.0,11.0,9.0,12.0,10.0,9.0,9.0,11.0,9.0,10.0,0.0,8.0,7.0
>ENST00000469993.1,8.0,8.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,11.0,8.0,9.0,8.0,9.0,8.0,11.0,8.0,10.0,9.0,10.0,8.0,8.0,9.0,7.0,9.0,8.0,9.0,8.0,0.0,8.0
ENSG00000200852.1,9.0,7.0,9.0,10.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,7.0,12.0,8.0,9.0,5.0,10.0,8.0,7.0,8.0,7.0,8.0,7.0,10.0,10.0,10.0,7.0,8.0,0.0
