,>ENST00000418090.2,>ENST00000431241.1,>ENST00000607990.1,>ENST00000554784.2,>ENST00000600430.1,>ENST00000447303.1,>ENST00000340424.4,>ENST00000415230.1,ENSG00000147604.13,>ENST00000420539.1,>ENST00000456516.1,>ENST00000506546.1,>ENST00000534816.1,ENSG00000189241.6,>ENST00000514456.1,>ENST00000448085.1,>ENST00000445047.1,>ENST00000428983.2,>ENST00000420965.1,>ENST00000609912.1,>ENST00000416086.1,>ENST00000513850.1,>ENST00000451177.1,>ENST00000505641.2,>ENST00000424932.2,>ENST00000502889.1,>ENST00000305623.12,>ENST00000561990.3,>ENST00000562938.5,>ENST00000519713.1,ENSG00000252408.1,>ENST00000619934.1,>ENST00000431406.1,>ENST00000403909.2,>ENST00000395517.2,>ENST00000416625.1,>ENST00000427546.1,ENSG00000255112.2,>ENST00000525414.1,>ENST00000599065.1,>ENST00000528546.1,>ENST00000431980.1,>ENST00000603072.1,>ENST00000423928.2,>ENST00000469748.1,>ENST00000486753.1,>ENST00000603702.1,>ENST00000444403.1,>ENST00000605837.1,>ENST00000575421.1,>ENST00000515135.1,>ENST00000600955.1,>ENST00000513168.1,>ENST00000434827.1,>ENST00000452680.3,>ENST00000568888.1
>ENST00000416086.1,8.0,12.0,10.0,9.0,9.0,8.0,13.0,11.0,12.0,9.0,9.0,12.0,11.0,10.0,9.0,9.0,10.0,13.0,9.0,10.0,0.0,10.0,10.0,10.0,8.0,13.0,11.0,11.0,11.0,9.0,8.0,9.0,11.0,14.0,9.0,12.0,12.0,11.0,12.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,12.0,13.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0
>ENST00000513850.1,9.0,9.0,10.0,12.0,9.0,10.0,10.0,9.0,13.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,8.0,9.0,9.0,9.0,10.0,0.0,9.0,9.0,11.0,10.0,11.0,9.0,11.0,10.0,7.0,9.0,10.0,12.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,8.0,9.0,12.0,10.0,11.0,9.0,9.0,9.0,8.0,9.0,11.0,8.0,10.0,11.0,9.0
>ENST00000451177.1,8.0,10.0,12.0,12.0,10.0,9.0,9.0,13.0,11.0,13.0,9.0,11.0,11.0,11.0,10.0,8.0,8.0,10.0,9.0,8.0,10.0,9.0,0.0,10.0,8.0,10.0,12.0,9.0,11.0,11.0,12.0,9.0,11.0,11.0,10.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,8.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0
>ENST00000505641.2,9.0,9.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,10.0,8.0,8.0,10.0,9.0,10.0,0.0,8.0,10.0,10.0,9.0,10.0,7.0,6.0,8.0,10.0,9.0,8.0,8.0,9.0,11.0,9.0,8.0,6.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,6.0
>ENST00000424932.2,7.0,8.0,8.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,10.0,8.0,10.0,8.0,11.0,8.0,8.0,0.0,10.0,12.0,9.0,9.0,9.0,6.0,8.0,9.0,8.0,13.0,8.0,8.0,9.0,9.0,7.0,11.0,9.0,8.0,9.0,8.0,13.0,7.0,7.0,8.0,8.0,9.0,13.0,9.0,8.0,9.0,8.0
>ENST00000502889.1,10.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,12.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,12.0,10.0,10.0,13.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,9.0,10.0,9.0,13.0,9.0,9.0,8.0,9.0,13.0,11.0,11.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,12.0,8.0
>ENST00000305623.12,8.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,13.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,11.0,11.0,11.0,9.0,11.0,11.0,12.0,10.0,12.0,10.0,0.0,10.0,11.0,10.0,8.0,10.0,12.0,12.0,11.0,9.0,9.0,11.0,10.0,8.0,9.0,9.0,9.0,12.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0
>ENST00000561990.3,7.0,9.0,8.0,10.0,8.0,9.0,13.0,9.0,11.0,8.0,9.0,9.0,9.0,11.0,10.0,8.0,8.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,0.0,9.0,66.0,7.0,8.0,10.0,10.0,9.0,8.0,10.0,11.0,9.0,8.0,8.0,8.0,9.0,11.0,8.0,9.0,10.0,9.0,7.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0
>ENST00000562938.5,10.0,13.0,10.0,11.0,9.0,12.0,14.0,10.0,12.0,9.0,10.0,13.0,10.0,13.0,11.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,9.0,10.0,11.0,9.0,0.0,9.0,9.0,9.0,13.0,16.0,10.0,9.0,10.0,11.0,11.0,11.0,9.0,10.0,12.0,10.0,10.0,10.0,9.0,10.0,14.0,10.0,11.0,10.0,13.0,13.0,10.0,9.0
>ENST00000519713.1,7.0,10.0,11.0,10.0,9.0,7.0,11.0,9.0,10.0,8.0,9.0,8.0,10.0,11.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,11.0,7.0,9.0,10.0,10.0,66.0,9.0,0.0,7.0,8.0,10.0,10.0,10.0,8.0,9.0,11.0,11.0,9.0,8.0,8.0,11.0,8.0,9.0,8.0,8.0,9.0,7.0,10.0,9.0,10.0,8.0,8.0,10.0,8.0
ENSG00000252408.1,7.0,8.0,7.0,7.0,6.0,8.0,7.0,7.0,9.0,7.0,7.0,8.0,7.0,9.0,7.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,12.0,6.0,6.0,10.0,8.0,7.0,9.0,7.0,0.0,7.0,8.0,9.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,8.0,7.0,8.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,7.0,8.0,10.0,8.0,7.0
>ENST00000619934.1,10.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,8.0,9.0,8.0,7.0,0.0,10.0,11.0,12.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,11.0,10.0,11.0,7.0,12.0,6.0,9.0,10.0,11.0,8.0,10.0,10.0,7.0
>ENST00000431406.1,11.0,11.0,10.0,12.0,11.0,13.0,11.0,10.0,12.0,10.0,10.0,11.0,9.0,14.0,10.0,12.0,10.0,10.0,10.0,9.0,11.0,10.0,11.0,10.0,9.0,12.0,12.0,10.0,13.0,10.0,8.0,10.0,0.0,10.0,12.0,10.0,9.0,12.0,10.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,11.0,12.0,10.0,9.0,13.0,10.0,11.0,10.0,11.0,9.0
>ENST00000403909.2,9.0,10.0,10.0,10.0,9.0,13.0,10.0,9.0,11.0,9.0,10.0,10.0,12.0,12.0,10.0,9.0,9.0,10.0,11.0,11.0,14.0,12.0,11.0,9.0,8.0,10.0,12.0,10.0,16.0,10.0,9.0,11.0,10.0,0.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,11.0,9.0,11.0,8.0,9.0,8.0,9.0,10.0,12.0,10.0,10.0,10.0,9.0
>ENST00000395517.2,108.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,11.0,10.0,8.0,11.0,10.0,9.0,12.0,8.0,9.0,11.0,11.0,10.0,9.0,9.0,10.0,8.0,13.0,9.0,11.0,9.0,10.0,10.0,7.0,12.0,12.0,9.0,0.0,8.0,8.0,10.0,10.0,8.0,8.0,9.0,10.0,9.0,11.0,334.0,8.0,8.0,8.0,8.0,10.0,334.0,9.0,10.0,10.0,8.0
>ENST00000416625.1,7.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,11.0,11.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,13.0,8.0,8.0,12.0,10.0,9.0,8.0,8.0,10.0,9.0,8.0,9.0,8.0,7.0,9.0,10.0,10.0,8.0,0.0,13.0,11.0,11.0,9.0,8.0,10.0,8.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0
>ENST00000427546.1,8.0,10.0,9.0,12.0,9.0,9.0,8.0,11.0,10.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,12.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,7.0,8.0,9.0,10.0,8.0,13.0,0.0,10.0,8.0,8.0,8.0,7.0,10.0,10.0,8.0,8.0,8.0,9.0,7.0,9.0,9.0,8.0,11.0,10.0,9.0,8.0
ENSG00000255112.2,9.0,11.0,10.0,12.0,11.0,9.0,10.0,10.0,17.0,12.0,12.0,11.0,12.0,116.0,10.0,10.0,10.0,17.0,11.0,12.0,11.0,11.0,11.0,11.0,9.0,13.0,11.0,11.0,11.0,11.0,8.0,10.0,12.0,10.0,10.0,11.0,10.0,0.0,9.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,8.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0
>ENST00000525414.1,8.0,13.0,9.0,11.0,10.0,9.0,11.0,9.0,11.0,8.0,10.0,12.0,11.0,11.0,10.0,9.0,9.0,13.0,11.0,10.0,12.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,11.0,7.0,8.0,10.0,10.0,10.0,11.0,8.0,9.0,0.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,7.0,11.0,9.0,10.0,8.0,9.0,11.0,7.0
>ENST00000599065.1,7.0,8.0,10.0,11.0,9.0,7.0,8.0,7.0,9.0,8.0,9.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,11.0,9.0,6.0,8.0,10.0,8.0,8.0,9.0,8.0,11.0,9.0,0.0,7.0,7.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,11.0,8.0,9.0,7.0,10.0,7.0
>ENST00000528546.1,8.0,9.0,9.0,10.0,7.0,8.0,8.0,9.0,11.0,8.0,10.0,14.0,9.0,10.0,10.0,10.0,9.0,11.0,7.0,9.0,9.0,9.0,8.0,6.0,11.0,8.0,9.0,8.0,9.0,8.0,6.0,8.0,9.0,9.0,8.0,8.0,8.0,11.0,8.0,7.0,0.0,8.0,8.0,9.0,10.0,9.0,7.0,7.0,7.0,9.0,8.0,7.0,8.0,9.0,10.0,7.0
>ENST00000431980.1,9.0,8.0,8.0,10.0,7.0,8.0,8.0,8.0,11.0,8.0,9.0,9.0,8.0,11.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,7.0,12.0,8.0,7.0,8.0,0.0,8.0,10.0,10.0,9.0,8.0,7.0,6.0,11.0,8.0,9.0,8.0,13.0,11.0,11.0
>ENST00000603072.1,9.0,11.0,8.0,10.0,7.0,9.0,9.0,8.0,12.0,10.0,8.0,12.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,12.0,10.0,9.0,9.0,8.0,8.0,13.0,9.0,9.0,12.0,11.0,7.0,8.0,11.0,10.0,10.0,8.0,10.0,11.0,9.0,9.0,8.0,8.0,0.0,12.0,9.0,10.0,8.0,10.0,7.0,9.0,13.0,10.0,8.0,9.0,10.0,7.0
>ENST00000423928.2,10.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,12.0,10.0,10.0,12.0,10.0,15.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,12.0,10.0,9.0,9.0,11.0,12.0,11.0,10.0,8.0,8.0,11.0,10.0,11.0,9.0,9.0,10.0,11.0,10.0,8.0,9.0,10.0,12.0,0.0,9.0,11.0,9.0,10.0,7.0,10.0,9.0,11.0,11.0,10.0,11.0,9.0
>ENST00000469748.1,8.0,9.0,9.0,10.0,11.0,8.0,9.0,10.0,10.0,9.0,12.0,10.0,12.0,11.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,11.0,10.0,8.0,10.0,9.0,7.0,10.0,11.0,9.0,11.0,10.0,8.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,0.0,11.0,8.0,9.0,8.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0
>ENST00000486753.1,103.0,9.0,11.0,9.0,11.0,9.0,9.0,10.0,10.0,11.0,9.0,11.0,9.0,12.0,8.0,10.0,9.0,11.0,10.0,9.0,9.0,11.0,10.0,9.0,13.0,10.0,10.0,9.0,10.0,8.0,7.0,11.0,10.0,11.0,334.0,9.0,8.0,11.0,10.0,8.0,9.0,9.0,10.0,11.0,11.0,0.0,8.0,9.0,8.0,10.0,10.0,388.0,10.0,10.0,10.0,8.0
>ENST00000603702.1,7.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,8.0,10.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,10.0,9.0,8.0,6.0,7.0,11.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,0.0,9.0,6.0,8.0,8.0,9.0,8.0,9.0,10.0,10.0
>ENST00000444403.1,8.0,10.0,10.0,9.0,7.0,8.0,9.0,11.0,14.0,9.0,10.0,11.0,9.0,11.0,10.0,8.0,11.0,10.0,9.0,9.0,12.0,9.0,11.0,8.0,7.0,9.0,10.0,9.0,10.0,9.0,6.0,12.0,12.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,7.0,7.0,10.0,10.0,9.0,9.0,9.0,0.0,7.0,9.0,11.0,9.0,8.0,10.0,9.0,8.0
>ENST00000605837.1,6.0,9.0,9.0,9.0,7.0,7.0,8.0,9.0,11.0,6.0,9.0,7.0,8.0,10.0,8.0,7.0,7.0,10.0,8.0,7.0,13.0,9.0,8.0,10.0,8.0,9.0,9.0,7.0,14.0,7.0,6.0,6.0,10.0,8.0,8.0,8.0,7.0,9.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,6.0,7.0,0.0,8.0,9.0,8.0,7.0,8.0,8.0,6.0
>ENST00000575421.1,8.0,9.0,12.0,11.0,10.0,8.0,10.0,8.0,11.0,10.0,10.0,9.0,10.0,11.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,10.0,8.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,11.0,8.0,9.0,11.0,9.0,10.0,9.0,10.0,8.0,9.0,8.0,0.0,12.0,9.0,10.0,9.0,9.0,10.0
>ENST00000515135.1,8.0,9.0,10.0,9.0,8.0,8.0,11.0,9.0,15.0,8.0,8.0,10.0,8.0,12.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,11.0,9.0,8.0,10.0,13.0,10.0,10.0,9.0,9.0,11.0,9.0,11.0,8.0,8.0,13.0,9.0,9.0,10.0,8.0,11.0,9.0,12.0,0.0,10.0,10.0,9.0,10.0,9.0
>ENST00000600955.1,104.0,9.0,11.0,9.0,11.0,9.0,9.0,10.0,10.0,12.0,11.0,11.0,9.0,9.0,13.0,10.0,9.0,11.0,10.0,9.0,10.0,11.0,10.0,8.0,13.0,10.0,9.0,9.0,10.0,10.0,7.0,11.0,10.0,12.0,334.0,9.0,8.0,10.0,10.0,8.0,7.0,9.0,10.0,11.0,11.0,388.0,9.0,9.0,8.0,9.0,10.0,0.0,10.0,10.0,10.0,8.0
>ENST00000513168.1,8.0,9.0,9.0,11.0,10.0,9.0,12.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,8.0,13.0,8.0,8.0,8.0,11.0,10.0,9.0,10.0,11.0,10.0,8.0,9.0,8.0,8.0,8.0,11.0,10.0,10.0,8.0,8.0,7.0,10.0,10.0,10.0,0.0,10.0,9.0,9.0
>ENST00000434827.1,10.0,11.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,11.0,8.0,11.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,11.0,9.0,10.0,13.0,8.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,7.0,9.0,13.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,0.0,11.0,9.0
