,>ENST00000569937.2,>ENST00000563903.1,ENSG00000200605.1,>ENST00000423044.2,>ENST00000605697.1,>ENST00000449329.2,>ENST00000582394.1,>ENST00000429143.1,>ENST00000406229.2,>ENST00000441188.2,>ENST00000452600.1,>ENST00000432774.1,>ENST00000422627.1,>ENST00000432876.1,>ENST00000449028.1,>ENST00000445859.1,>ENST00000398059.3,>ENST00000446186.1,>ENST00000458108.1,>ENST00000567559.1,>ENST00000403118.2,>ENST00000382243.4,>ENST00000560250.2,>ENST00000437555.1,>ENST00000454078.1,>ENST00000449659.1,>ENST00000547527.2,>ENST00000603189.1,>ENST00000524605.1,>ENST00000453726.1,>ENST00000439110.1,>ENST00000518682.1,>ENST00000486095.1,>ENST00000362030.3,>ENST00000411569.1,>ENST00000505622.1,>ENST00000604278.1,>ENST00000436327.1,>ENST00000414338.2,>ENST00000457461.1,>ENST00000428264.1,>ENST00000535821.1,>ENST00000438382.2,>ENST00000459634.1,>ENST00000427789.3,>ENST00000411857.2,>ENST00000426392.1,>ENST00000402250.1,>ENST00000418718.1,>ENST00000428790.1,>ENST00000602586.1,>ENST00000589352.1,>ENST00000428087.1,>ENST00000524184.1,>ENST00000558927.2,>ENST00000424916.1,>ENST00000506407.1,>ENST00000447693.1,>ENST00000552169.1,>ENST00000438852.1,>ENST00000527724.1,>ENST00000444540.3,>ENST00000592451.1,>ENST00000553844.2
>ENST00000452600.1,13.0,10.0,9.0,14.0,10.0,10.0,11.0,10.0,10.0,12.0,0.0,10.0,9.0,9.0,10.0,11.0,10.0,12.0,14.0,10.0,11.0,11.0,10.0,10.0,11.0,13.0,11.0,11.0,10.0,11.0,10.0,10.0,12.0,9.0,10.0,14.0,10.0,12.0,11.0,11.0,11.0,8.0,10.0,10.0,12.0,11.0,10.0,8.0,12.0,11.0,12.0,12.0,10.0,10.0,12.0,10.0,9.0,12.0,11.0,10.0,11.0,11.0,13.0,13.0
>ENST00000432774.1,9.0,10.0,8.0,10.0,12.0,10.0,12.0,8.0,9.0,12.0,10.0,0.0,10.0,10.0,9.0,10.0,10.0,10.0,12.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,11.0,11.0,10.0,9.0,11.0,9.0,10.0,12.0,10.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,13.0,12.0,12.0,10.0
>ENST00000422627.1,10.0,8.0,8.0,8.0,9.0,9.0,11.0,8.0,9.0,11.0,9.0,10.0,0.0,9.0,9.0,8.0,9.0,8.0,10.0,7.0,9.0,9.0,7.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,10.0,8.0,9.0,8.0
>ENST00000432876.1,10.0,10.0,8.0,10.0,9.0,9.0,12.0,9.0,11.0,10.0,9.0,10.0,9.0,0.0,9.0,9.0,12.0,10.0,9.0,10.0,11.0,8.0,8.0,10.0,11.0,9.0,11.0,9.0,8.0,9.0,9.0,10.0,9.0,7.0,9.0,10.0,8.0,12.0,8.0,11.0,9.0,13.0,11.0,9.0,11.0,11.0,9.0,9.0,13.0,9.0,10.0,10.0,10.0,12.0,11.0,10.0,10.0,8.0,8.0,10.0,11.0,11.0,14.0,10.0
>ENST00000449028.1,8.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,12.0,10.0,9.0,9.0,9.0,0.0,8.0,8.0,11.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,12.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,13.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,7.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,8.0,8.0,10.0,9.0
>ENST00000445859.1,8.0,9.0,6.0,10.0,9.0,9.0,9.0,9.0,9.0,12.0,11.0,10.0,8.0,9.0,8.0,0.0,11.0,10.0,9.0,9.0,8.0,11.0,10.0,9.0,10.0,8.0,10.0,9.0,8.0,11.0,9.0,8.0,8.0,7.0,7.0,11.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,12.0,15.0,11.0,8.0,10.0,8.0,11.0,9.0,11.0,8.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,8.0
>ENST00000398059.3,11.0,8.0,9.0,10.0,9.0,12.0,12.0,9.0,9.0,11.0,10.0,10.0,9.0,12.0,8.0,11.0,0.0,10.0,11.0,9.0,11.0,11.0,12.0,9.0,10.0,8.0,12.0,10.0,9.0,10.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,9.0,11.0,14.0,10.0,8.0,10.0,11.0,10.0,13.0,10.0,10.0,11.0,11.0,11.0,13.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,8.0,10.0,12.0,11.0,12.0
>ENST00000446186.1,10.0,9.0,8.0,11.0,10.0,10.0,12.0,10.0,8.0,10.0,12.0,10.0,8.0,10.0,11.0,10.0,10.0,0.0,10.0,10.0,9.0,10.0,10.0,8.0,12.0,10.0,11.0,12.0,8.0,10.0,9.0,9.0,10.0,11.0,11.0,10.0,12.0,11.0,11.0,12.0,11.0,10.0,12.0,10.0,12.0,12.0,11.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,13.0,9.0,11.0,10.0
>ENST00000458108.1,10.0,10.0,8.0,10.0,10.0,9.0,12.0,10.0,8.0,11.0,14.0,12.0,10.0,9.0,10.0,9.0,11.0,10.0,0.0,11.0,10.0,11.0,11.0,10.0,11.0,10.0,12.0,9.0,9.0,10.0,10.0,11.0,13.0,10.0,9.0,10.0,10.0,10.0,11.0,13.0,11.0,9.0,11.0,10.0,11.0,14.0,9.0,8.0,10.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,10.0,9.0,9.0,10.0,11.0,11.0,11.0,12.0
>ENST00000567559.1,10.0,9.0,7.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,7.0,10.0,9.0,9.0,9.0,10.0,11.0,0.0,8.0,10.0,8.0,11.0,8.0,9.0,10.0,10.0,9.0,8.0,12.0,8.0,11.0,9.0,9.0,9.0,11.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,14.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,12.0,9.0,8.0,10.0,11.0,11.0,9.0,10.0,11.0,8.0,8.0
>ENST00000403118.2,9.0,10.0,7.0,8.0,10.0,12.0,9.0,9.0,7.0,10.0,11.0,9.0,9.0,11.0,9.0,8.0,11.0,9.0,10.0,8.0,0.0,10.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,8.0,8.0,11.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,11.0,9.0,12.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,12.0,8.0,10.0,8.0,10.0,9.0,9.0,11.0,10.0,9.0
>ENST00000382243.4,11.0,9.0,9.0,9.0,8.0,10.0,11.0,9.0,7.0,11.0,11.0,9.0,9.0,8.0,8.0,11.0,11.0,10.0,11.0,10.0,10.0,0.0,9.0,9.0,10.0,8.0,10.0,8.0,10.0,7.0,12.0,9.0,10.0,8.0,8.0,9.0,11.0,9.0,10.0,12.0,10.0,7.0,12.0,11.0,13.0,13.0,10.0,8.0,9.0,10.0,10.0,12.0,10.0,10.0,12.0,9.0,10.0,12.0,9.0,8.0,11.0,10.0,11.0,9.0
>ENST00000560250.2,9.0,9.0,7.0,7.0,9.0,8.0,10.0,11.0,7.0,10.0,10.0,9.0,7.0,8.0,8.0,10.0,12.0,10.0,11.0,8.0,9.0,9.0,0.0,9.0,10.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,14.0,8.0,11.0,10.0,8.0,7.0,10.0,8.0,9.0,13.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,12.0,11.0
>ENST00000437555.1,9.0,10.0,7.0,8.0,10.0,10.0,9.0,8.0,8.0,10.0,10.0,10.0,8.0,10.0,8.0,9.0,9.0,8.0,10.0,11.0,8.0,9.0,9.0,0.0,10.0,8.0,10.0,9.0,8.0,8.0,8.0,10.0,11.0,8.0,8.0,9.0,59.0,8.0,10.0,9.0,9.0,7.0,9.0,8.0,10.0,11.0,11.0,10.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,8.0,7.0,10.0,10.0,9.0,9.0,10.0
>ENST00000454078.1,10.0,13.0,7.0,9.0,13.0,10.0,13.0,9.0,9.0,12.0,11.0,9.0,9.0,11.0,10.0,10.0,10.0,12.0,11.0,8.0,9.0,10.0,10.0,10.0,0.0,9.0,12.0,12.0,10.0,12.0,11.0,12.0,8.0,12.0,9.0,10.0,9.0,10.0,10.0,11.0,11.0,7.0,11.0,9.0,10.0,11.0,10.0,9.0,10.0,11.0,11.0,12.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,9.0
>ENST00000449659.1,9.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,11.0,13.0,10.0,8.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,11.0,8.0,8.0,8.0,9.0,0.0,10.0,9.0,9.0,8.0,9.0,7.0,7.0,10.0,9.0,9.0,7.0,11.0,9.0,9.0,9.0,7.0,9.0,8.0,9.0,12.0,10.0,7.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,8.0,12.0,10.0,11.0,10.0,10.0
>ENST00000547527.2,11.0,9.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,9.0,9.0,11.0,10.0,10.0,12.0,11.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,0.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,13.0,10.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,11.0,11.0,14.0,9.0,11.0,12.0,12.0,11.0,11.0,12.0,13.0,11.0,10.0,10.0,8.0,11.0,10.0,11.0,11.0,10.0
>ENST00000603189.1,11.0,9.0,8.0,11.0,9.0,10.0,10.0,8.0,8.0,11.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,12.0,9.0,10.0,9.0,8.0,8.0,9.0,12.0,9.0,9.0,0.0,9.0,10.0,11.0,13.0,9.0,10.0,8.0,10.0,10.0,11.0,8.0,10.0,10.0,9.0,10.0,11.0,10.0,13.0,10.0,8.0,9.0,10.0,12.0,10.0,10.0,10.0,11.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0
>ENST00000524605.1,10.0,7.0,7.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,7.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,0.0,10.0,8.0,8.0,8.0,8.0,10.0,8.0,10.0,8.0,10.0,11.0,9.0,8.0,10.0,9.0,9.0,11.0,8.0,8.0,10.0,10.0,9.0,11.0,8.0,7.0,10.0,11.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0
>ENST00000453726.1,8.0,9.0,7.0,11.0,10.0,10.0,8.0,9.0,10.0,11.0,11.0,10.0,9.0,9.0,12.0,11.0,10.0,10.0,10.0,8.0,8.0,7.0,8.0,8.0,12.0,8.0,9.0,10.0,10.0,0.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,7.0,10.0,8.0,12.0,13.0,10.0,8.0,8.0,13.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,8.0,8.0
>ENST00000439110.1,11.0,9.0,7.0,12.0,8.0,8.0,9.0,9.0,8.0,10.0,10.0,11.0,8.0,9.0,8.0,9.0,11.0,9.0,10.0,12.0,8.0,12.0,8.0,8.0,11.0,9.0,9.0,11.0,8.0,9.0,0.0,9.0,12.0,8.0,8.0,12.0,7.0,8.0,9.0,11.0,11.0,7.0,10.0,9.0,11.0,12.0,9.0,8.0,9.0,9.0,10.0,15.0,8.0,9.0,11.0,8.0,9.0,9.0,12.0,9.0,10.0,10.0,9.0,9.0
>ENST00000518682.1,10.0,114.0,7.0,8.0,10.0,8.0,11.0,11.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,11.0,8.0,11.0,9.0,8.0,10.0,12.0,7.0,11.0,13.0,8.0,8.0,9.0,0.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,11.0,10.0,7.0,10.0,11.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0
>ENST00000486095.1,9.0,8.0,10.0,13.0,8.0,8.0,10.0,8.0,7.0,10.0,12.0,10.0,7.0,9.0,8.0,8.0,11.0,10.0,13.0,11.0,9.0,10.0,7.0,11.0,8.0,7.0,9.0,9.0,8.0,8.0,12.0,8.0,0.0,9.0,7.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,12.0,11.0,12.0,11.0,12.0,7.0,9.0,9.0,10.0,10.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,11.0,7.0
>ENST00000362030.3,9.0,9.0,6.0,9.0,7.0,8.0,10.0,9.0,9.0,12.0,9.0,8.0,8.0,7.0,9.0,7.0,9.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,12.0,10.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,0.0,11.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,12.0,9.0,8.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0,10.0,10.0,8.0
>ENST00000411569.1,9.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,7.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,7.0,11.0,0.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,9.0,11.0,11.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0
>ENST00000505622.1,9.0,10.0,9.0,10.0,8.0,8.0,10.0,10.0,9.0,11.0,14.0,9.0,8.0,10.0,8.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,13.0,10.0,8.0,8.0,12.0,10.0,9.0,8.0,8.0,0.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,10.0,13.0,10.0,8.0,9.0,11.0,11.0,10.0,9.0,8.0,10.0,9.0,9.0,11.0,9.0,10.0,10.0,13.0,9.0,9.0
>ENST00000604278.1,10.0,10.0,9.0,9.0,11.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,12.0,10.0,11.0,9.0,11.0,8.0,59.0,9.0,7.0,10.0,10.0,10.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,8.0,10.0,12.0,8.0,9.0,9.0,12.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,12.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0
>ENST00000436327.1,9.0,12.0,10.0,10.0,8.0,10.0,10.0,9.0,8.0,11.0,12.0,10.0,9.0,12.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,11.0,9.0,11.0,8.0,9.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,0.0,8.0,10.0,10.0,9.0,9.0,10.0,12.0,11.0,8.0,9.0,10.0,8.0,10.0,9.0,9.0,14.0,10.0,10.0,9.0,8.0,10.0,10.0,11.0,9.0,10.0,8.0
>ENST00000414338.2,9.0,8.0,7.0,7.0,9.0,11.0,8.0,11.0,11.0,12.0,11.0,11.0,7.0,8.0,9.0,9.0,11.0,11.0,11.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,0.0,9.0,10.0,9.0,11.0,10.0,11.0,12.0,10.0,8.0,9.0,9.0,12.0,14.0,8.0,7.0,11.0,9.0,10.0,10.0,8.0,11.0,9.0,10.0,11.0,11.0
>ENST00000457461.1,10.0,10.0,9.0,8.0,11.0,12.0,11.0,9.0,9.0,13.0,11.0,11.0,9.0,11.0,10.0,10.0,14.0,12.0,13.0,10.0,10.0,12.0,9.0,9.0,11.0,9.0,11.0,10.0,11.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,0.0,12.0,9.0,11.0,10.0,10.0,12.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,10.0,9.0,10.0,11.0,11.0,10.0,14.0,11.0,12.0
>ENST00000428264.1,13.0,10.0,9.0,11.0,10.0,9.0,11.0,8.0,10.0,11.0,11.0,10.0,9.0,9.0,13.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,12.0,10.0,10.0,12.0,0.0,10.0,9.0,11.0,9.0,23.0,10.0,8.0,9.0,9.0,11.0,10.0,11.0,9.0,9.0,10.0,11.0,8.0,11.0,10.0,9.0,10.0,10.0,10.0
>ENST00000535821.1,11.0,9.0,8.0,11.0,9.0,7.0,9.0,7.0,7.0,8.0,8.0,9.0,9.0,13.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,7.0,8.0,7.0,7.0,7.0,9.0,9.0,8.0,7.0,7.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,0.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,11.0,11.0,7.0,8.0,8.0,9.0,10.0,7.0,8.0,8.0,9.0,9.0,9.0,10.0
>ENST00000438382.2,10.0,11.0,8.0,11.0,12.0,10.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,11.0,8.0,9.0,10.0,12.0,11.0,9.0,10.0,12.0,14.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,9.0,8.0,0.0,10.0,11.0,12.0,10.0,9.0,12.0,9.0,11.0,11.0,9.0,8.0,12.0,8.0,10.0,11.0,8.0,11.0,11.0,10.0,12.0,10.0
>ENST00000459634.1,9.0,9.0,7.0,8.0,9.0,9.0,11.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,9.0,9.0,11.0,10.0,10.0,8.0,11.0,11.0,8.0,8.0,9.0,8.0,10.0,11.0,9.0,8.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,0.0,11.0,11.0,10.0,11.0,9.0,11.0,11.0,10.0,11.0,10.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,11.0
>ENST00000427789.3,11.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,13.0,12.0,10.0,8.0,11.0,9.0,12.0,10.0,12.0,11.0,14.0,9.0,13.0,11.0,10.0,10.0,9.0,11.0,10.0,9.0,12.0,11.0,10.0,12.0,10.0,11.0,10.0,12.0,12.0,11.0,10.0,9.0,10.0,11.0,11.0,0.0,12.0,9.0,9.0,12.0,14.0,13.0,14.0,12.0,9.0,13.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0
>ENST00000411857.2,16.0,12.0,11.0,12.0,13.0,11.0,12.0,10.0,9.0,13.0,11.0,12.0,9.0,11.0,10.0,15.0,13.0,12.0,14.0,11.0,12.0,13.0,10.0,11.0,11.0,12.0,11.0,13.0,11.0,13.0,12.0,11.0,11.0,12.0,11.0,13.0,12.0,11.0,12.0,12.0,23.0,10.0,12.0,11.0,12.0,0.0,11.0,11.0,13.0,11.0,12.0,13.0,13.0,12.0,13.0,14.0,11.0,11.0,11.0,12.0,12.0,10.0,12.0,11.0
>ENST00000426392.1,10.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,8.0,11.0,10.0,10.0,14.0,10.0,8.0,10.0,9.0,10.0,12.0,9.0,11.0,10.0,11.0,8.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,11.0,0.0,8.0,10.0,10.0,11.0,10.0,9.0,9.0,11.0,12.0,8.0,8.0,9.0,9.0,9.0,11.0,10.0,9.0
