,>ENST00000456786.2,>ENST00000635696.1,>ENST00000543943.1,>ENST00000585891.1,>ENST00000422172.1,>ENST00000620476.1,>ENST00000443666.2,>ENST00000598428.2,ENSG00000201634.1,>ENST00000510179.1,>ENST00000484189.1,>ENST00000423686.1,>ENST00000624675.1,>ENST00000600588.1,>ENST00000412257.2,>ENST00000631601.1,>ENST00000617989.1,>ENST00000566467.2,>ENST00000446117.1,>ENST00000437556.2,>ENST00000419509.1,>ENST00000467010.2,>ENST00000595282.2,>ENST00000443361.1,>ENST00000528221.1,>ENST00000521453.1,>ENST00000396160.4,>ENST00000451423.1,>ENST00000591021.1,>ENST00000431514.2,>ENST00000472214.1,>ENST00000605804.1,>ENST00000593820.1,>ENST00000450125.2,>ENST00000429623.1,>ENST00000424200.1,>ENST00000595284.1,>ENST00000553347.1,>ENST00000520621.1,>ENST00000434334.1,>ENST00000456647.1
>ENST00000484189.1,8.0,11.0,10.0,10.0,10.0,8.0,11.0,10.0,6.0,9.0,0.0,10.0,11.0,11.0,10.0,9.0,12.0,10.0,13.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,10.0,10.0,8.0,7.0,9.0,8.0,10.0,9.0,9.0,11.0,29.0,11.0,9.0,9.0,9.0
>ENST00000423686.1,11.0,13.0,10.0,10.0,12.0,8.0,10.0,10.0,12.0,10.0,10.0,0.0,10.0,10.0,11.0,11.0,8.0,10.0,10.0,10.0,10.0,11.0,9.0,11.0,9.0,10.0,11.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,10.0,10.0,9.0,10.0
>ENST00000624675.1,11.0,12.0,10.0,10.0,10.0,9.0,12.0,9.0,9.0,10.0,11.0,10.0,0.0,9.0,10.0,11.0,11.0,10.0,11.0,10.0,9.0,11.0,11.0,12.0,11.0,9.0,11.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,11.0,11.0,11.0,10.0
>ENST00000600588.1,11.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,11.0,10.0,9.0,0.0,10.0,9.0,8.0,11.0,10.0,10.0,11.0,10.0,9.0,12.0,12.0,10.0,9.0,10.0,9.0,7.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,12.0,9.0,9.0
>ENST00000412257.2,9.0,10.0,9.0,12.0,10.0,9.0,9.0,10.0,7.0,10.0,10.0,11.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,8.0,10.0,11.0,10.0,11.0,11.0,9.0,7.0,9.0,9.0,10.0,7.0,10.0,8.0,10.0,11.0,8.0,9.0,9.0
>ENST00000631601.1,10.0,10.0,11.0,10.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,11.0,11.0,9.0,10.0,0.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,11.0,10.0,9.0,8.0,21.0,9.0,8.0,11.0,9.0,8.0,9.0,8.0,8.0,10.0,10.0,12.0,9.0,9.0
>ENST00000617989.1,8.0,8.0,10.0,10.0,9.0,7.0,8.0,13.0,6.0,8.0,12.0,8.0,11.0,8.0,10.0,9.0,0.0,11.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,6.0,9.0,8.0,9.0,7.0,8.0,12.0,8.0,11.0,10.0,10.0,9.0
>ENST00000566467.2,12.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,7.0,12.0,10.0,10.0,10.0,11.0,10.0,9.0,11.0,0.0,12.0,11.0,9.0,11.0,9.0,14.0,10.0,10.0,9.0,11.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,8.0,10.0,11.0,11.0,10.0,9.0
>ENST00000446117.1,12.0,9.0,11.0,11.0,9.0,10.0,9.0,11.0,7.0,9.0,13.0,10.0,11.0,10.0,10.0,10.0,10.0,12.0,0.0,10.0,9.0,10.0,11.0,11.0,9.0,9.0,9.0,9.0,8.0,8.0,12.0,9.0,9.0,11.0,10.0,10.0,12.0,11.0,11.0,9.0,9.0
>ENST00000437556.2,9.0,8.0,9.0,11.0,9.0,7.0,9.0,9.0,6.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,11.0,10.0,0.0,10.0,13.0,10.0,11.0,12.0,10.0,10.0,9.0,9.0,7.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,11.0,10.0,9.0,9.0
>ENST00000419509.1,13.0,8.0,12.0,9.0,10.0,8.0,9.0,9.0,7.0,10.0,9.0,10.0,9.0,11.0,8.0,10.0,9.0,9.0,9.0,10.0,0.0,10.0,9.0,11.0,9.0,13.0,9.0,11.0,9.0,7.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,11.0,8.0
>ENST00000467010.2,9.0,8.0,9.0,10.0,10.0,9.0,10.0,11.0,8.0,11.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,11.0,10.0,13.0,10.0,0.0,9.0,12.0,12.0,10.0,8.0,11.0,9.0,8.0,12.0,13.0,10.0,9.0,10.0,7.0,12.0,10.0,10.0,11.0,9.0
>ENST00000595282.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,11.0,9.0,8.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,0.0,11.0,8.0,9.0,7.0,11.0,9.0,8.0,9.0,7.0,8.0,9.0,6.0,9.0,9.0,9.0,8.0,7.0,9.0
>ENST00000443361.1,12.0,10.0,13.0,10.0,13.0,10.0,13.0,10.0,10.0,12.0,11.0,11.0,12.0,12.0,10.0,11.0,9.0,14.0,11.0,11.0,11.0,12.0,11.0,0.0,12.0,11.0,12.0,12.0,10.0,10.0,12.0,11.0,10.0,11.0,11.0,10.0,11.0,10.0,11.0,14.0,11.0
>ENST00000528221.1,10.0,11.0,10.0,11.0,11.0,8.0,12.0,10.0,7.0,10.0,11.0,9.0,11.0,12.0,11.0,10.0,9.0,10.0,9.0,12.0,9.0,12.0,8.0,12.0,0.0,14.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,11.0,11.0,10.0,10.0
>ENST00000521453.1,11.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,7.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,13.0,10.0,9.0,11.0,14.0,0.0,9.0,10.0,8.0,9.0,8.0,10.0,11.0,10.0,11.0,8.0,9.0,9.0,9.0,10.0,10.0
>ENST00000396160.4,9.0,7.0,9.0,10.0,11.0,9.0,8.0,7.0,6.0,8.0,10.0,11.0,11.0,9.0,11.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,7.0,12.0,10.0,9.0,0.0,9.0,9.0,7.0,9.0,9.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0
>ENST00000451423.1,11.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,11.0,21.0,8.0,11.0,9.0,9.0,11.0,11.0,11.0,12.0,11.0,10.0,9.0,0.0,9.0,7.0,10.0,9.0,11.0,8.0,9.0,8.0,10.0,10.0,12.0,10.0,10.0
>ENST00000591021.1,10.0,9.0,7.0,9.0,9.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,0.0,7.0,8.0,8.0,10.0,7.0,9.0,8.0,10.0,8.0,7.0,8.0,9.0
>ENST00000431514.2,7.0,6.0,8.0,8.0,10.0,6.0,7.0,7.0,5.0,10.0,7.0,8.0,8.0,7.0,7.0,8.0,6.0,9.0,8.0,7.0,7.0,8.0,8.0,10.0,9.0,9.0,7.0,7.0,7.0,0.0,9.0,9.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,8.0
>ENST00000472214.1,9.0,8.0,10.0,9.0,11.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,12.0,8.0,9.0,12.0,9.0,12.0,10.0,8.0,9.0,10.0,8.0,9.0,0.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,11.0,9.0
>ENST00000605804.1,9.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,7.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,9.0,13.0,7.0,11.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,0.0,10.0,8.0,9.0,7.0,9.0,9.0,10.0,7.0,11.0
>ENST00000593820.1,8.0,9.0,8.0,12.0,11.0,9.0,9.0,10.0,6.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,10.0,8.0,10.0,10.0,11.0,8.0,11.0,10.0,8.0,8.0,10.0,0.0,7.0,9.0,8.0,8.0,13.0,8.0,9.0,9.0
>ENST00000450125.2,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,9.0,9.0,9.0,10.0,8.0,7.0,9.0,7.0,9.0,11.0,8.0,8.0,9.0,9.0,11.0,9.0,10.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,0.0,7.0,7.0,10.0,9.0,8.0,7.0,8.0
>ENST00000429623.1,10.0,7.0,9.0,10.0,8.0,7.0,9.0,9.0,6.0,8.0,9.0,10.0,9.0,8.0,10.0,8.0,8.0,10.0,10.0,8.0,8.0,10.0,6.0,11.0,10.0,11.0,8.0,9.0,9.0,7.0,8.0,9.0,9.0,7.0,0.0,9.0,9.0,10.0,8.0,8.0,8.0
>ENST00000424200.1,11.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,6.0,8.0,11.0,8.0,10.0,8.0,8.0,8.0,12.0,8.0,10.0,9.0,9.0,7.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,9.0,0.0,11.0,10.0,8.0,10.0,9.0
>ENST00000595284.1,10.0,10.0,13.0,9.0,9.0,8.0,11.0,9.0,8.0,9.0,29.0,8.0,11.0,9.0,10.0,10.0,8.0,10.0,12.0,9.0,10.0,12.0,9.0,11.0,11.0,9.0,8.0,10.0,10.0,8.0,10.0,9.0,8.0,10.0,9.0,11.0,0.0,10.0,9.0,9.0,8.0
>ENST00000553347.1,24.0,9.0,10.0,12.0,9.0,8.0,11.0,9.0,8.0,9.0,11.0,10.0,11.0,9.0,11.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,13.0,9.0,10.0,10.0,10.0,0.0,8.0,10.0,11.0
>ENST00000520621.1,9.0,7.0,10.0,11.0,8.0,7.0,9.0,9.0,8.0,10.0,9.0,10.0,11.0,12.0,8.0,12.0,10.0,11.0,11.0,10.0,10.0,10.0,8.0,11.0,11.0,9.0,8.0,12.0,7.0,9.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0,8.0,0.0,9.0,9.0
>ENST00000434334.1,9.0,8.0,10.0,10.0,9.0,8.0,8.0,10.0,8.0,8.0,9.0,9.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,11.0,7.0,14.0,10.0,10.0,9.0,10.0,8.0,9.0,11.0,7.0,9.0,7.0,8.0,10.0,9.0,10.0,9.0,0.0,8.0
>ENST00000456647.1,9.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,8.0,8.0,9.0,8.0,11.0,9.0,8.0,0.0
