,>ENST00000529959.1,>ENST00000402402.2,>ENST00000529674.1,>ENST00000494359.1,ENSG00000277308.1,>ENST00000508874.1,>ENST00000452559.1,>ENST00000447708.2,>ENST00000466506.1,>ENST00000588022.1,>ENST00000506703.2,>ENST00000443728.1,>ENST00000452497.1,>ENST00000512222.2,>ENST00000443820.1,>ENST00000434203.1,>ENST00000563586.1,>ENST00000423444.1,>ENST00000471604.2,>ENST00000448180.1,>ENST00000402419.1,>ENST00000602724.1,>ENST00000426339.1,>ENST00000515537.1,>ENST00000609301.1,>ENST00000411872.1,>ENST00000461070.1
>ENST00000434203.1,8.0,8.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,12.0,10.0,0.0,13.0,9.0,10.0,11.0,9.0,8.0,10.0,11.0,12.0,9.0,9.0
>ENST00000563586.1,8.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,13.0,9.0,9.0,13.0,11.0,11.0,13.0,0.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0
>ENST00000423444.1,6.0,8.0,9.0,8.0,6.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,10.0,11.0,11.0,9.0,8.0,0.0,10.0,10.0,7.0,9.0,9.0,9.0,7.0,8.0,9.0
>ENST00000471604.2,8.0,9.0,9.0,9.0,8.0,11.0,11.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,0.0,10.0,8.0,12.0,10.0,9.0,9.0,10.0,11.0
>ENST00000448180.1,8.0,12.0,13.0,11.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,11.0,11.0,11.0,11.0,9.0,10.0,10.0,0.0,11.0,9.0,11.0,11.0,12.0,10.0,11.0
>ENST00000402419.1,9.0,9.0,9.0,12.0,9.0,11.0,8.0,8.0,11.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,11.0,0.0,8.0,8.0,9.0,9.0,7.0,14.0
>ENST00000602724.1,8.0,7.0,9.0,8.0,8.0,9.0,10.0,8.0,7.0,8.0,9.0,10.0,8.0,10.0,10.0,8.0,9.0,9.0,12.0,9.0,8.0,0.0,9.0,9.0,9.0,9.0,9.0
>ENST00000426339.1,10.0,8.0,9.0,11.0,9.0,11.0,12.0,8.0,10.0,11.0,11.0,14.0,12.0,12.0,9.0,10.0,9.0,9.0,10.0,11.0,8.0,9.0,0.0,11.0,9.0,9.0,11.0
>ENST00000515537.1,8.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,7.0,10.0,9.0,11.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,0.0,9.0,9.0,11.0
>ENST00000609301.1,8.0,10.0,10.0,8.0,7.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,11.0,10.0,12.0,12.0,10.0,7.0,9.0,12.0,9.0,9.0,9.0,9.0,0.0,8.0,10.0
>ENST00000411872.1,8.0,8.0,8.0,10.0,11.0,9.0,8.0,9.0,7.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,10.0,7.0,9.0,9.0,9.0,8.0,0.0,8.0
>ENST00000461070.1,10.0,10.0,11.0,10.0,8.0,11.0,10.0,11.0,9.0,12.0,11.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,11.0,11.0,14.0,9.0,11.0,11.0,10.0,8.0,0.0
