,>ENST00000504843.2,>ENST00000475156.1,>ENST00000537570.1,>ENST00000635473.1,>ENST00000531489.1,>ENST00000412502.1,>ENST00000426409.2,>ENST00000489592.1,>ENST00000559530.1,>ENST00000501056.2,>ENST00000418784.1,>ENST00000605848.1,>ENST00000420675.1,>ENST00000502313.1,>ENST00000450769.1,>ENST00000448483.2,>ENST00000502802.1,>ENST00000418098.2,>ENST00000448065.1,ENSG00000272160.1,>ENST00000381646.6,>ENST00000425607.1,>ENST00000413104.1,ENSG00000200774.1,>ENST00000546484.1,>ENST00000447425.1,>ENST00000456802.1,>ENST00000458136.1,>ENST00000420703.1,>ENST00000498752.1,>ENST00000445357.1,>ENST00000527539.1,>ENST00000622756.1,>ENST00000401875.1,>ENST00000491722.1,>ENST00000434209.1,>ENST00000405497.1,>ENST00000457961.1,>ENST00000422208.1,>ENST00000568403.5,>ENST00000537774.1,>ENST00000612314.1,ENSG00000242175.3,>ENST00000422584.1
>ENST00000418784.1,9.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,9.0,8.0,0.0,7.0,9.0,12.0,9.0,9.0,10.0,8.0,10.0,7.0,8.0,11.0,10.0,9.0,7.0,8.0,8.0,9.0,9.0,11.0,14.0,9.0,9.0,7.0,8.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,7.0,9.0
>ENST00000605848.1,9.0,8.0,9.0,10.0,12.0,9.0,10.0,8.0,9.0,9.0,7.0,0.0,11.0,10.0,8.0,8.0,11.0,10.0,7.0,7.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0
>ENST00000420675.1,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,9.0,11.0,0.0,10.0,11.0,9.0,11.0,13.0,8.0,9.0,10.0,11.0,12.0,8.0,10.0,10.0,11.0,11.0,12.0,10.0,11.0,12.0,10.0,9.0,12.0,8.0,11.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0
>ENST00000502313.1,11.0,11.0,10.0,12.0,10.0,10.0,10.0,8.0,10.0,9.0,12.0,10.0,10.0,0.0,9.0,9.0,255.0,9.0,10.0,7.0,8.0,9.0,11.0,10.0,9.0,11.0,11.0,10.0,10.0,14.0,16.0,13.0,8.0,9.0,9.0,11.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0
>ENST00000450769.1,7.0,7.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,0.0,8.0,10.0,9.0,10.0,7.0,9.0,9.0,11.0,8.0,9.0,7.0,9.0,10.0,9.0,10.0,10.0,10.0,7.0,8.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,7.0,9.0
>ENST00000448483.2,8.0,7.0,8.0,7.0,9.0,7.0,7.0,8.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,0.0,9.0,8.0,7.0,8.0,7.0,10.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,11.0,8.0,7.0,9.0,7.0,10.0,9.0,8.0,9.0,10.0,7.0,7.0,7.0,7.0
>ENST00000502802.1,10.0,11.0,10.0,9.0,10.0,11.0,9.0,8.0,11.0,8.0,10.0,11.0,11.0,255.0,10.0,9.0,0.0,10.0,10.0,10.0,8.0,10.0,9.0,11.0,8.0,11.0,9.0,10.0,10.0,12.0,17.0,9.0,10.0,9.0,9.0,10.0,10.0,12.0,8.0,9.0,8.0,8.0,8.0,9.0
>ENST00000418098.2,9.0,9.0,8.0,10.0,8.0,10.0,11.0,9.0,11.0,13.0,8.0,10.0,13.0,9.0,9.0,8.0,10.0,0.0,10.0,9.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,11.0,10.0,8.0,13.0,10.0,8.0,13.0,9.0,11.0,10.0,10.0,8.0,11.0,10.0,12.0,11.0,9.0
>ENST00000448065.1,10.0,8.0,11.0,7.0,12.0,8.0,9.0,9.0,9.0,10.0,10.0,7.0,8.0,10.0,10.0,7.0,10.0,10.0,0.0,10.0,9.0,9.0,8.0,10.0,12.0,8.0,9.0,9.0,9.0,8.0,11.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,11.0,8.0,8.0,8.0,8.0
ENSG00000272160.1,7.0,9.0,8.0,8.0,8.0,7.0,9.0,6.0,9.0,9.0,7.0,7.0,9.0,7.0,7.0,8.0,10.0,9.0,10.0,0.0,8.0,8.0,7.0,8.0,8.0,10.0,8.0,8.0,8.0,7.0,9.0,9.0,7.0,8.0,7.0,11.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0,9.0
>ENST00000381646.6,8.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,11.0,10.0,8.0,10.0,10.0,8.0,9.0,7.0,8.0,9.0,9.0,8.0,0.0,10.0,8.0,7.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,10.0,10.0,9.0,12.0,8.0,9.0,9.0,9.0,8.0,10.0
>ENST00000425607.1,9.0,10.0,11.0,12.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,0.0,10.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,10.0
>ENST00000413104.1,7.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,12.0,11.0,11.0,8.0,9.0,10.0,8.0,7.0,8.0,10.0,0.0,7.0,8.0,10.0,11.0,10.0,9.0,9.0,12.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,8.0,12.0,9.0,8.0,10.0,9.0
ENSG00000200774.1,8.0,6.0,8.0,7.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,11.0,8.0,10.0,8.0,7.0,8.0,7.0,0.0,9.0,6.0,12.0,9.0,8.0,9.0,11.0,7.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,6.0,9.0
>ENST00000546484.1,8.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,7.0,9.0,10.0,9.0,9.0,7.0,8.0,11.0,12.0,8.0,9.0,8.0,8.0,9.0,0.0,8.0,9.0,9.0,8.0,9.0,11.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,7.0,8.0,8.0,10.0
>ENST00000447425.1,8.0,314.0,9.0,9.0,9.0,7.0,11.0,7.0,12.0,9.0,8.0,8.0,10.0,11.0,7.0,7.0,11.0,9.0,8.0,10.0,9.0,10.0,10.0,6.0,8.0,0.0,8.0,10.0,7.0,11.0,9.0,10.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,7.0,9.0,9.0,9.0
>ENST00000456802.1,21.0,8.0,9.0,8.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0,9.0,11.0,11.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,8.0,11.0,12.0,9.0,8.0,0.0,9.0,8.0,10.0,12.0,8.0,8.0,7.0,18.0,9.0,10.0,9.0,8.0,11.0,11.0,7.0,8.0,10.0
>ENST00000458136.1,8.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,11.0,10.0,10.0,8.0,10.0,11.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,0.0,8.0,8.0,12.0,10.0,9.0,9.0,8.0,8.0,11.0,9.0,9.0,13.0,8.0,10.0,9.0,9.0
>ENST00000420703.1,7.0,7.0,9.0,11.0,9.0,9.0,12.0,8.0,12.0,9.0,9.0,10.0,12.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0,0.0,9.0,10.0,10.0,7.0,8.0,10.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0
>ENST00000498752.1,10.0,11.0,12.0,9.0,9.0,8.0,11.0,9.0,12.0,11.0,11.0,10.0,10.0,14.0,10.0,7.0,12.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,11.0,10.0,8.0,9.0,0.0,12.0,9.0,9.0,12.0,11.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0
>ENST00000445357.1,11.0,9.0,10.0,11.0,10.0,11.0,10.0,8.0,11.0,10.0,14.0,11.0,11.0,16.0,10.0,11.0,17.0,13.0,11.0,9.0,10.0,10.0,12.0,11.0,11.0,9.0,12.0,12.0,10.0,12.0,0.0,9.0,9.0,11.0,10.0,8.0,13.0,11.0,10.0,11.0,12.0,10.0,9.0,10.0
>ENST00000527539.1,9.0,10.0,12.0,9.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,12.0,13.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,10.0,8.0,7.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,0.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,9.0,8.0,11.0
>ENST00000622756.1,7.0,9.0,7.0,8.0,8.0,7.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,7.0,7.0,10.0,8.0,8.0,7.0,8.0,8.0,10.0,7.0,8.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,0.0,8.0,7.0,8.0,8.0,10.0,7.0,8.0,8.0,7.0,9.0,9.0
>ENST00000401875.1,6.0,8.0,8.0,8.0,10.0,8.0,11.0,10.0,12.0,10.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,13.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,12.0,11.0,8.0,8.0,0.0,8.0,9.0,9.0,9.0,7.0,10.0,8.0,10.0,8.0,8.0
>ENST00000491722.1,64.0,8.0,10.0,8.0,10.0,9.0,11.0,7.0,11.0,9.0,8.0,9.0,12.0,9.0,8.0,7.0,9.0,9.0,9.0,7.0,10.0,8.0,9.0,8.0,9.0,8.0,18.0,8.0,10.0,11.0,10.0,8.0,7.0,8.0,0.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,8.0
>ENST00000434209.1,8.0,10.0,8.0,8.0,9.0,7.0,10.0,7.0,11.0,9.0,9.0,8.0,8.0,11.0,8.0,10.0,10.0,11.0,10.0,11.0,10.0,8.0,8.0,8.0,10.0,10.0,9.0,8.0,11.0,10.0,8.0,10.0,8.0,9.0,8.0,0.0,9.0,10.0,8.0,11.0,8.0,8.0,7.0,10.0
>ENST00000405497.1,8.0,9.0,10.0,10.0,9.0,8.0,11.0,9.0,13.0,11.0,8.0,8.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,10.0,8.0,13.0,10.0,8.0,9.0,9.0,9.0,0.0,12.0,9.0,10.0,9.0,9.0,8.0,10.0
>ENST00000457961.1,9.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,12.0,10.0,9.0,9.0,12.0,11.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,10.0,12.0,0.0,10.0,9.0,10.0,10.0,7.0,9.0
>ENST00000422208.1,8.0,10.0,8.0,8.0,9.0,8.0,7.0,7.0,10.0,8.0,9.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,7.0,7.0,8.0,8.0,9.0,10.0,0.0,10.0,8.0,8.0,7.0,10.0
>ENST00000568403.5,9.0,9.0,11.0,10.0,11.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,11.0,9.0,9.0,10.0,9.0,11.0,11.0,7.0,9.0,10.0,12.0,9.0,9.0,9.0,11.0,13.0,9.0,10.0,11.0,11.0,8.0,10.0,9.0,11.0,10.0,9.0,10.0,0.0,9.0,9.0,12.0,12.0
>ENST00000537774.1,8.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,7.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,7.0,11.0,8.0,10.0,9.0,12.0,8.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,0.0,9.0,8.0,11.0
>ENST00000612314.1,7.0,9.0,10.0,9.0,9.0,7.0,12.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,12.0,8.0,8.0,9.0,10.0,8.0,7.0,8.0,9.0,7.0,10.0,10.0,8.0,10.0,9.0,7.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,0.0,8.0,9.0
ENSG00000242175.3,8.0,9.0,8.0,8.0,11.0,7.0,8.0,10.0,8.0,9.0,7.0,9.0,9.0,9.0,7.0,7.0,8.0,11.0,8.0,9.0,8.0,9.0,10.0,6.0,8.0,9.0,8.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,7.0,7.0,8.0,7.0,7.0,12.0,8.0,8.0,0.0,9.0
>ENST00000422584.1,9.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,12.0,11.0,9.0,9.0,0.0
