,>ENST00000492727.1,>ENST00000421895.2,>ENST00000557620.2,>ENST00000420606.1,>ENST00000604337.1,>ENST00000418638.1,>ENST00000443918.1,>ENST00000484355.1,>ENST00000520612.1,>ENST00000448345.2,>ENST00000505707.2,>ENST00000392251.3,>ENST00000622705.1,>ENST00000415616.1,>ENST00000632679.1,>ENST00000603793.1,>ENST00000432468.1,>ENST00000492365.1,>ENST00000554269.1,>ENST00000565935.1,>ENST00000486977.1,>ENST00000556151.2,>ENST00000508529.3,>ENST00000339367.4,>ENST00000529830.1,>ENST00000508843.1,>ENST00000557042.1,>ENST00000476420.1,>ENST00000416377.2,>ENST00000416652.1,>ENST00000448908.1,>ENST00000531054.1,>ENST00000519399.1,>ENST00000556181.1,>ENST00000421099.1,>ENST00000473150.1,>ENST00000440028.2,>ENST00000416477.1,>ENST00000488019.1
>ENST00000505707.2,8.0,8.0,7.0,9.0,7.0,9.0,8.0,10.0,8.0,10.0,0.0,11.0,10.0,16.0,9.0,9.0,10.0,10.0,9.0,7.0,8.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,7.0,10.0,7.0,8.0,9.0,11.0,12.0,9.0,9.0
>ENST00000392251.3,10.0,10.0,9.0,12.0,9.0,10.0,9.0,11.0,8.0,9.0,11.0,0.0,10.0,11.0,10.0,10.0,10.0,11.0,12.0,10.0,10.0,15.0,14.0,11.0,10.0,11.0,10.0,9.0,11.0,8.0,8.0,11.0,8.0,9.0,9.0,11.0,11.0,9.0,10.0
>ENST00000622705.1,10.0,10.0,9.0,11.0,9.0,11.0,9.0,11.0,10.0,11.0,10.0,10.0,0.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,13.0,10.0,8.0
>ENST00000415616.1,9.0,12.0,9.0,11.0,8.0,11.0,9.0,10.0,11.0,9.0,16.0,11.0,10.0,0.0,10.0,11.0,13.0,10.0,11.0,9.0,8.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,13.0,11.0,10.0,11.0
>ENST00000632679.1,8.0,9.0,11.0,10.0,7.0,9.0,7.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,0.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,8.0,10.0,8.0,12.0,10.0,11.0,12.0
>ENST00000603793.1,11.0,11.0,8.0,12.0,8.0,11.0,8.0,11.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,0.0,10.0,13.0,10.0,9.0,9.0,12.0,10.0,9.0,10.0,9.0,10.0,10.0,13.0,11.0,11.0,10.0,10.0,10.0,9.0,13.0,11.0,15.0,10.0
>ENST00000432468.1,10.0,13.0,9.0,10.0,8.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,13.0,9.0,10.0,0.0,10.0,10.0,11.0,9.0,11.0,10.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,9.0,10.0,9.0,12.0,9.0,11.0,13.0,10.0,9.0
>ENST00000492365.1,10.0,9.0,8.0,10.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,9.0,13.0,10.0,0.0,13.0,9.0,11.0,8.0,9.0,11.0,11.0,11.0,12.0,11.0,10.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,9.0,11.0,8.0
>ENST00000554269.1,11.0,10.0,9.0,12.0,8.0,10.0,10.0,12.0,9.0,15.0,9.0,12.0,9.0,11.0,10.0,10.0,10.0,13.0,0.0,10.0,9.0,11.0,15.0,8.0,10.0,10.0,11.0,11.0,9.0,9.0,11.0,10.0,8.0,11.0,10.0,11.0,10.0,9.0,11.0
>ENST00000565935.1,9.0,11.0,14.0,9.0,7.0,8.0,9.0,9.0,7.0,9.0,7.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,0.0,10.0,8.0,10.0,7.0,9.0,8.0,8.0,10.0,8.0,9.0,8.0,11.0,7.0,8.0,8.0,9.0,9.0,11.0,9.0
>ENST00000486977.1,11.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,0.0,12.0,8.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,7.0,9.0,10.0,10.0,8.0,10.0,11.0,10.0,9.0
>ENST00000556151.2,9.0,9.0,9.0,10.0,8.0,10.0,9.0,12.0,8.0,10.0,8.0,15.0,11.0,10.0,9.0,12.0,11.0,8.0,11.0,8.0,12.0,0.0,9.0,10.0,13.0,12.0,9.0,12.0,11.0,10.0,7.0,11.0,8.0,10.0,10.0,11.0,10.0,10.0,10.0
>ENST00000508529.3,9.0,10.0,9.0,11.0,9.0,10.0,8.0,11.0,13.0,9.0,10.0,14.0,9.0,11.0,11.0,10.0,10.0,9.0,15.0,10.0,8.0,9.0,0.0,11.0,13.0,10.0,12.0,9.0,10.0,9.0,9.0,10.0,10.0,12.0,9.0,11.0,10.0,12.0,10.0
>ENST00000339367.4,9.0,9.0,8.0,10.0,10.0,8.0,8.0,10.0,8.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,11.0,8.0,7.0,9.0,10.0,11.0,0.0,10.0,11.0,10.0,8.0,11.0,8.0,8.0,10.0,8.0,9.0,13.0,12.0,12.0,10.0,10.0
>ENST00000529830.1,9.0,11.0,13.0,13.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,9.0,11.0,13.0,13.0,10.0,0.0,12.0,12.0,10.0,10.0,10.0,9.0,14.0,9.0,10.0,9.0,14.0,10.0,11.0,10.0
>ENST00000508843.1,10.0,9.0,9.0,12.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,10.0,9.0,11.0,11.0,10.0,8.0,9.0,12.0,10.0,11.0,12.0,0.0,10.0,9.0,12.0,10.0,11.0,9.0,9.0,9.0,11.0,11.0,10.0,11.0,10.0
>ENST00000557042.1,10.0,10.0,10.0,11.0,8.0,10.0,9.0,9.0,8.0,11.0,8.0,10.0,10.0,10.0,9.0,10.0,12.0,12.0,11.0,8.0,10.0,9.0,12.0,10.0,12.0,10.0,0.0,9.0,14.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,12.0
>ENST00000476420.1,9.0,9.0,11.0,11.0,7.0,11.0,10.0,10.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,9.0,12.0,9.0,8.0,10.0,9.0,9.0,0.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,13.0,12.0,10.0,10.0
>ENST00000416377.2,9.0,12.0,9.0,11.0,8.0,10.0,8.0,9.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,13.0,9.0,10.0,9.0,8.0,10.0,11.0,10.0,11.0,10.0,12.0,14.0,9.0,0.0,9.0,9.0,10.0,9.0,9.0,8.0,11.0,10.0,10.0,9.0
>ENST00000416652.1,11.0,8.0,9.0,10.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,0.0,7.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0
>ENST00000448908.1,8.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,7.0,8.0,9.0,9.0,8.0,11.0,9.0,9.0,11.0,8.0,7.0,7.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,7.0,0.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,11.0
>ENST00000531054.1,11.0,13.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,11.0,9.0,11.0,10.0,10.0,14.0,9.0,11.0,10.0,10.0,9.0,8.0,0.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0
>ENST00000519399.1,9.0,10.0,9.0,10.0,7.0,9.0,9.0,10.0,102.0,10.0,7.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,7.0,10.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,0.0,8.0,8.0,11.0,11.0,8.0,10.0
>ENST00000556181.1,9.0,10.0,8.0,9.0,9.0,9.0,7.0,10.0,10.0,11.0,8.0,9.0,10.0,10.0,10.0,10.0,12.0,11.0,11.0,8.0,10.0,10.0,12.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,0.0,10.0,10.0,10.0,10.0,11.0
>ENST00000421099.1,8.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,11.0,10.0,8.0,8.0,10.0,9.0,13.0,9.0,11.0,10.0,10.0,8.0,9.0,9.0,10.0,8.0,10.0,0.0,11.0,9.0,9.0,11.0
>ENST00000473150.1,13.0,12.0,10.0,11.0,9.0,11.0,8.0,11.0,10.0,10.0,11.0,11.0,10.0,13.0,12.0,13.0,11.0,11.0,11.0,9.0,10.0,11.0,11.0,12.0,14.0,11.0,10.0,13.0,11.0,11.0,9.0,9.0,11.0,10.0,11.0,0.0,11.0,12.0,9.0
>ENST00000440028.2,11.0,11.0,9.0,11.0,8.0,10.0,10.0,10.0,10.0,9.0,12.0,11.0,13.0,11.0,10.0,11.0,13.0,9.0,10.0,9.0,11.0,10.0,10.0,12.0,10.0,10.0,9.0,12.0,10.0,11.0,10.0,10.0,11.0,10.0,9.0,11.0,0.0,10.0,12.0
>ENST00000416477.1,10.0,10.0,9.0,10.0,10.0,10.0,9.0,11.0,8.0,12.0,9.0,9.0,10.0,10.0,11.0,15.0,10.0,11.0,9.0,11.0,10.0,10.0,12.0,10.0,11.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,12.0,10.0,0.0,9.0
>ENST00000488019.1,9.0,10.0,11.0,10.0,8.0,11.0,10.0,10.0,11.0,10.0,9.0,10.0,8.0,11.0,12.0,10.0,9.0,8.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,9.0,9.0,11.0,9.0,10.0,11.0,11.0,9.0,12.0,9.0,0.0
