,>ENST00000572770.2,>ENST00000424553.1,>ENST00000605193.1,>ENST00000443050.1,>ENST00000508068.1,>ENST00000558741.1,>ENST00000424565.2,>ENST00000438283.1,>ENST00000413116.1,>ENST00000443013.1,>ENST00000568878.1,>ENST00000601944.1,>ENST00000569955.2,>ENST00000604106.1,>ENST00000438615.1,>ENST00000611773.1,>ENST00000533003.1,>ENST00000307241.5,>ENST00000456717.1,>ENST00000504731.1,>ENST00000571193.2,>ENST00000463605.1,>ENST00000611630.1,>ENST00000455032.1,ENSG00000207461.1,>ENST00000455722.1,>ENST00000461726.1,>ENST00000634174.1,>ENST00000461659.1,>ENST00000551552.1,>ENST00000425555.1,>ENST00000609031.1,>ENST00000426461.1,>ENST00000378574.2,>ENST00000456493.1,>ENST00000517841.1,>ENST00000289731.2,>ENST00000453682.1,>ENST00000455755.1
>ENST00000438615.1,7.0,6.0,7.0,10.0,8.0,8.0,8.0,7.0,10.0,9.0,9.0,8.0,9.0,8.0,0.0,6.0,8.0,9.0,7.0,9.0,9.0,10.0,8.0,9.0,7.0,7.0,7.0,4.0,8.0,9.0,7.0,7.0,7.0,8.0,9.0,6.0,11.0,8.0,8.0
>ENST00000611773.1,8.0,11.0,6.0,7.0,8.0,8.0,9.0,6.0,9.0,7.0,7.0,8.0,10.0,8.0,6.0,0.0,8.0,7.0,9.0,7.0,6.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,9.0,10.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0
>ENST00000533003.1,9.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,12.0,11.0,11.0,8.0,8.0,0.0,12.0,10.0,12.0,10.0,10.0,9.0,11.0,8.0,8.0,11.0,8.0,12.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0,9.0,9.0
>ENST00000307241.5,10.0,11.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,13.0,9.0,11.0,11.0,9.0,9.0,7.0,12.0,0.0,8.0,11.0,11.0,10.0,9.0,11.0,8.0,9.0,11.0,9.0,9.0,12.0,10.0,9.0,12.0,11.0,10.0,10.0,11.0,11.0,10.0
>ENST00000456717.1,9.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,10.0,10.0,7.0,8.0,8.0,7.0,7.0,9.0,10.0,8.0,0.0,8.0,7.0,8.0,8.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,7.0
>ENST00000504731.1,11.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,8.0,9.0,7.0,12.0,11.0,8.0,0.0,9.0,9.0,9.0,11.0,9.0,12.0,8.0,8.0,9.0,16.0,11.0,10.0,11.0,8.0,10.0,9.0,11.0,10.0,10.0
>ENST00000571193.2,8.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,6.0,10.0,11.0,7.0,9.0,0.0,10.0,8.0,10.0,9.0,8.0,11.0,6.0,8.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0
>ENST00000463605.1,9.0,8.0,8.0,9.0,8.0,10.0,9.0,11.0,9.0,10.0,11.0,12.0,9.0,8.0,10.0,7.0,10.0,10.0,8.0,9.0,10.0,0.0,8.0,11.0,8.0,9.0,9.0,7.0,10.0,14.0,10.0,8.0,9.0,7.0,8.0,8.0,9.0,9.0,9.0
>ENST00000611630.1,7.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,11.0,11.0,8.0,11.0,10.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,0.0,9.0,7.0,7.0,12.0,6.0,8.0,8.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,8.0
>ENST00000455032.1,10.0,9.0,12.0,10.0,8.0,9.0,13.0,9.0,10.0,13.0,11.0,12.0,16.0,11.0,9.0,8.0,11.0,11.0,10.0,11.0,10.0,11.0,9.0,0.0,8.0,9.0,10.0,7.0,10.0,12.0,10.0,9.0,11.0,10.0,11.0,11.0,10.0,12.0,10.0
ENSG00000207461.1,10.0,7.0,8.0,9.0,7.0,6.0,7.0,8.0,10.0,8.0,7.0,9.0,10.0,6.0,7.0,7.0,8.0,8.0,7.0,9.0,9.0,8.0,7.0,8.0,0.0,6.0,9.0,4.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0
>ENST00000455722.1,9.0,8.0,7.0,8.0,8.0,8.0,11.0,10.0,8.0,8.0,8.0,11.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,12.0,8.0,9.0,7.0,9.0,6.0,0.0,9.0,8.0,9.0,10.0,9.0,7.0,13.0,11.0,9.0,10.0,10.0,8.0,8.0
>ENST00000461726.1,8.0,8.0,8.0,11.0,7.0,8.0,9.0,7.0,10.0,9.0,9.0,10.0,9.0,9.0,7.0,7.0,11.0,11.0,8.0,8.0,11.0,9.0,12.0,10.0,9.0,9.0,0.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,8.0
>ENST00000634174.1,8.0,7.0,7.0,6.0,6.0,8.0,9.0,6.0,8.0,6.0,7.0,8.0,6.0,7.0,4.0,7.0,8.0,9.0,8.0,8.0,6.0,7.0,6.0,7.0,4.0,8.0,8.0,0.0,7.0,6.0,7.0,8.0,6.0,7.0,9.0,6.0,6.0,7.0,10.0
>ENST00000461659.1,9.0,8.0,8.0,8.0,7.0,10.0,9.0,10.0,8.0,11.0,9.0,11.0,8.0,9.0,8.0,7.0,12.0,9.0,8.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,10.0,7.0,0.0,10.0,11.0,7.0,9.0,7.0,8.0,9.0,9.0,9.0,9.0
>ENST00000551552.1,8.0,10.0,8.0,13.0,9.0,9.0,10.0,8.0,11.0,11.0,10.0,10.0,11.0,11.0,9.0,7.0,10.0,12.0,9.0,16.0,10.0,14.0,8.0,12.0,8.0,10.0,9.0,6.0,10.0,0.0,13.0,9.0,11.0,11.0,10.0,9.0,10.0,10.0,10.0
>ENST00000425555.1,9.0,9.0,11.0,11.0,8.0,11.0,10.0,10.0,8.0,11.0,10.0,10.0,9.0,10.0,7.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,7.0,11.0,13.0,0.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0
>ENST00000609031.1,11.0,8.0,7.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,7.0,10.0,11.0,9.0,7.0,10.0,8.0,8.0,9.0,9.0,7.0,7.0,9.0,8.0,7.0,9.0,8.0,0.0,10.0,8.0,8.0,10.0,12.0,11.0,9.0
>ENST00000426461.1,10.0,10.0,10.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,7.0,7.0,11.0,12.0,7.0,11.0,9.0,9.0,9.0,11.0,8.0,13.0,10.0,6.0,9.0,11.0,9.0,10.0,0.0,8.0,10.0,9.0,10.0,9.0,10.0
>ENST00000378574.2,8.0,9.0,8.0,9.0,9.0,8.0,8.0,7.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,8.0,10.0,11.0,9.0,8.0,9.0,7.0,7.0,10.0,8.0,11.0,10.0,7.0,7.0,11.0,9.0,8.0,8.0,0.0,12.0,8.0,7.0,8.0,9.0
>ENST00000456493.1,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,12.0,13.0,9.0,10.0,10.0,8.0,9.0,7.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,11.0,8.0,9.0,11.0,9.0,8.0,10.0,10.0,8.0,10.0,12.0,0.0,8.0,20.0,11.0,9.0
>ENST00000517841.1,8.0,9.0,8.0,8.0,7.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,6.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,9.0,6.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,0.0,10.0,8.0,9.0
>ENST00000289731.2,9.0,8.0,8.0,10.0,9.0,9.0,8.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,8.0,11.0,11.0,8.0,11.0,9.0,9.0,8.0,10.0,8.0,10.0,9.0,6.0,9.0,10.0,10.0,12.0,10.0,7.0,20.0,10.0,0.0,9.0,10.0
>ENST00000453682.1,9.0,8.0,9.0,10.0,10.0,11.0,8.0,8.0,10.0,9.0,10.0,11.0,9.0,9.0,8.0,8.0,9.0,11.0,9.0,10.0,10.0,9.0,8.0,12.0,8.0,8.0,9.0,7.0,9.0,10.0,9.0,11.0,9.0,8.0,11.0,8.0,9.0,0.0,9.0
>ENST00000455755.1,8.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,8.0,8.0,7.0,9.0,10.0,7.0,10.0,9.0,9.0,8.0,10.0,7.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,0.0
