,>ENST00000547785.2,>ENST00000586196.1,>ENST00000500762.2,>ENST00000456660.1,>ENST00000441072.3,>ENST00000538233.1,ENSG00000251802.1,>ENST00000406501.1,>ENST00000446006.1,>ENST00000604178.1,>ENST00000623332.1,>ENST00000526505.1,>ENST00000527159.2,>ENST00000543664.1,>ENST00000394974.2,>ENST00000595717.1,>ENST00000421150.1,>ENST00000515189.2,>ENST00000587506.1,>ENST00000465434.1,>ENST00000615297.1,>ENST00000620114.1,>ENST00000603008.1,>ENST00000466501.1,>ENST00000419366.1,>ENST00000426913.1,>ENST00000459650.1,>ENST00000421994.2,>ENST00000434028.1,>ENST00000445314.2,>ENST00000513804.1,>ENST00000404337.1,>ENST00000546955.2,>ENST00000566875.2,>ENST00000511265.2,>ENST00000452540.1,>ENST00000451117.1,>ENST00000484462.1
>ENST00000623332.1,12.0,10.0,8.0,10.0,8.0,10.0,7.0,9.0,12.0,9.0,0.0,9.0,11.0,9.0,8.0,11.0,10.0,15.0,9.0,9.0,8.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,9.0,9.0,12.0,10.0,11.0,9.0
>ENST00000526505.1,14.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,0.0,11.0,10.0,11.0,10.0,11.0,12.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,10.0,11.0,11.0,11.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0
>ENST00000527159.2,11.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,13.0,10.0,11.0,11.0,0.0,11.0,10.0,10.0,12.0,11.0,14.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,12.0,9.0,12.0,12.0,10.0,11.0,9.0,10.0,13.0,11.0,10.0,10.0
>ENST00000543664.1,10.0,9.0,10.0,10.0,11.0,11.0,8.0,8.0,11.0,9.0,9.0,10.0,11.0,0.0,10.0,10.0,8.0,10.0,9.0,10.0,8.0,10.0,8.0,10.0,9.0,10.0,10.0,9.0,13.0,15.0,10.0,11.0,10.0,10.0,12.0,9.0,8.0,9.0
>ENST00000394974.2,10.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,11.0,10.0,10.0,0.0,10.0,11.0,8.0,8.0,7.0,7.0,9.0,8.0,10.0,9.0,9.0,9.0,7.0,10.0,9.0,8.0,10.0,9.0,8.0,12.0,12.0,10.0,8.0
>ENST00000595717.1,12.0,9.0,11.0,10.0,9.0,10.0,8.0,8.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,0.0,11.0,12.0,10.0,9.0,7.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,9.0,12.0,11.0,9.0,7.0,8.0,10.0,10.0,10.0,8.0
>ENST00000421150.1,11.0,9.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,12.0,8.0,11.0,11.0,0.0,10.0,10.0,9.0,8.0,10.0,11.0,11.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,11.0,8.0,11.0,10.0,12.0,10.0,10.0
>ENST00000515189.2,10.0,12.0,8.0,11.0,10.0,11.0,8.0,9.0,10.0,11.0,15.0,12.0,11.0,10.0,8.0,12.0,10.0,0.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,8.0,10.0,11.0,10.0,11.0,8.0,9.0,10.0,11.0,10.0,11.0
>ENST00000587506.1,10.0,10.0,9.0,11.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,10.0,14.0,9.0,8.0,10.0,10.0,9.0,0.0,9.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,8.0,8.0,12.0,10.0,10.0,11.0
>ENST00000465434.1,9.0,8.0,10.0,10.0,8.0,8.0,7.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,7.0,9.0,9.0,8.0,9.0,0.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,10.0,12.0,8.0,9.0
>ENST00000615297.1,9.0,7.0,7.0,8.0,8.0,7.0,7.0,10.0,9.0,7.0,8.0,8.0,9.0,8.0,7.0,7.0,8.0,9.0,11.0,9.0,0.0,9.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0,9.0,7.0,12.0,7.0,8.0,10.0,9.0,9.0,9.0
>ENST00000620114.1,12.0,9.0,9.0,10.0,8.0,10.0,8.0,8.0,10.0,12.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,0.0,8.0,11.0,10.0,9.0,11.0,10.0,10.0,9.0,12.0,10.0,6.0,10.0,9.0,9.0,9.0,10.0
>ENST00000603008.1,9.0,8.0,9.0,11.0,9.0,8.0,7.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,11.0,10.0,9.0,8.0,7.0,8.0,0.0,8.0,8.0,8.0,10.0,12.0,8.0,9.0,8.0,9.0,6.0,10.0,11.0,9.0,9.0,8.0
>ENST00000466501.1,10.0,8.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,8.0,11.0,9.0,9.0,8.0,8.0,11.0,8.0,0.0,13.0,9.0,15.0,9.0,8.0,8.0,11.0,15.0,8.0,9.0,10.0,10.0,8.0,9.0
>ENST00000419366.1,11.0,9.0,8.0,12.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,7.0,10.0,8.0,13.0,0.0,8.0,11.0,14.0,10.0,10.0,10.0,9.0,9.0,8.0,11.0,9.0,11.0,9.0
>ENST00000426913.1,9.0,7.0,8.0,10.0,9.0,8.0,8.0,8.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,0.0,15.0,9.0,9.0,11.0,8.0,9.0,8.0,9.0,11.0,10.0,8.0,9.0
>ENST00000459650.1,11.0,10.0,10.0,12.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,12.0,10.0,9.0,9.0,11.0,11.0,10.0,10.0,9.0,11.0,10.0,15.0,11.0,15.0,0.0,10.0,11.0,11.0,10.0,10.0,8.0,9.0,11.0,11.0,9.0,12.0
>ENST00000421994.2,12.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,7.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,12.0,9.0,14.0,9.0,10.0,0.0,8.0,8.0,10.0,10.0,6.0,9.0,11.0,9.0,10.0,10.0
>ENST00000434028.1,14.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,11.0,8.0,10.0,11.0,12.0,13.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,8.0,8.0,10.0,9.0,11.0,8.0,0.0,11.0,10.0,11.0,9.0,10.0,11.0,10.0,9.0,10.0
>ENST00000445314.2,10.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0,11.0,9.0,11.0,10.0,12.0,15.0,9.0,12.0,10.0,11.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,11.0,11.0,8.0,11.0,0.0,10.0,10.0,10.0,11.0,11.0,11.0,8.0,9.0
>ENST00000513804.1,11.0,10.0,9.0,10.0,10.0,8.0,8.0,10.0,11.0,8.0,10.0,9.0,10.0,10.0,8.0,11.0,10.0,10.0,9.0,9.0,7.0,12.0,8.0,11.0,10.0,8.0,10.0,10.0,10.0,10.0,0.0,10.0,7.0,9.0,11.0,10.0,9.0,10.0
>ENST00000404337.1,11.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,13.0,10.0,10.0,11.0,11.0,10.0,9.0,11.0,11.0,10.0,9.0,12.0,10.0,9.0,15.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,0.0,8.0,11.0,12.0,11.0,9.0,9.0
>ENST00000546955.2,8.0,6.0,7.0,7.0,8.0,8.0,6.0,7.0,10.0,7.0,9.0,8.0,9.0,10.0,9.0,7.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,8.0,9.0,8.0,8.0,6.0,9.0,10.0,7.0,8.0,0.0,9.0,10.0,8.0,8.0,8.0
>ENST00000566875.2,10.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,11.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,11.0,9.0,11.0,9.0,0.0,11.0,11.0,8.0,10.0
>ENST00000511265.2,11.0,9.0,11.0,10.0,11.0,11.0,10.0,11.0,10.0,11.0,12.0,10.0,13.0,12.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,9.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,11.0,0.0,12.0,11.0,10.0
>ENST00000452540.1,10.0,8.0,11.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,9.0,12.0,10.0,12.0,11.0,10.0,12.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,11.0,10.0,11.0,8.0,11.0,12.0,0.0,11.0,10.0
>ENST00000451117.1,10.0,9.0,7.0,11.0,10.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,8.0,11.0,11.0,0.0,10.0
>ENST00000484462.1,11.0,9.0,11.0,9.0,9.0,7.0,7.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,8.0,8.0,10.0,11.0,11.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,12.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,0.0
