,ENSG00000241807.3,>ENST00000557200.2,>ENST00000465687.1,>ENST00000455216.1,>ENST00000621313.1,>ENST00000432974.1,>ENST00000415864.2,>ENST00000324731.7,>ENST00000503096.1,>ENST00000442978.1,>ENSTR0000527459.6,>ENST00000506540.1,>ENST00000449668.1,>ENST00000457466.1,>ENST00000580232.1,>ENST00000605372.1,>ENST00000515134.1,>ENST00000521355.1,>ENST00000457554.1,>ENST00000495569.1,>ENST00000596210.1,>ENST00000564443.1,>ENST00000473154.1,>ENST00000564321.1,>ENST00000555741.1,>ENST00000634362.1,>ENST00000419651.1,ENSG00000263481.1,>ENST00000569468.1
>ENST00000605372.1,8.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,0.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,12.0,8.0,7.0,9.0
>ENST00000515134.1,7.0,8.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,7.0,9.0,7.0,10.0,8.0,0.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0
>ENST00000521355.1,9.0,9.0,10.0,9.0,10.0,10.0,9.0,12.0,10.0,10.0,9.0,11.0,12.0,9.0,9.0,10.0,9.0,0.0,9.0,11.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,8.0,8.0
>ENST00000457554.1,7.0,10.0,9.0,9.0,12.0,10.0,8.0,9.0,10.0,8.0,11.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,7.0,7.0,6.0
>ENST00000495569.1,8.0,8.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,7.0,9.0,8.0,9.0,10.0,8.0,11.0,9.0,0.0,9.0,10.0,9.0,8.0,8.0,11.0,8.0,8.0,7.0
>ENST00000596210.1,9.0,8.0,9.0,9.0,10.0,10.0,8.0,10.0,11.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,0.0,7.0,9.0,9.0,7.0,11.0,8.0,7.0,9.0
>ENST00000564443.1,8.0,9.0,10.0,9.0,14.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,12.0,9.0,11.0,10.0,8.0,10.0,10.0,10.0,7.0,0.0,9.0,12.0,10.0,11.0,10.0,7.0,7.0
>ENST00000473154.1,8.0,8.0,10.0,8.0,9.0,9.0,7.0,10.0,9.0,11.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,0.0,9.0,8.0,9.0,8.0,7.0,6.0
>ENST00000564321.1,11.0,11.0,11.0,9.0,11.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,12.0,10.0,11.0,9.0,8.0,11.0,8.0,8.0,9.0,12.0,9.0,0.0,10.0,10.0,9.0,8.0,7.0
>ENST00000555741.1,8.0,7.0,10.0,10.0,10.0,9.0,7.0,9.0,8.0,11.0,9.0,9.0,10.0,10.0,11.0,9.0,7.0,10.0,9.0,8.0,7.0,10.0,8.0,10.0,0.0,9.0,8.0,8.0,8.0
>ENST00000634362.1,12.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,12.0,12.0,9.0,12.0,8.0,9.0,8.0,11.0,11.0,11.0,9.0,10.0,9.0,0.0,8.0,8.0,11.0
>ENST00000419651.1,8.0,9.0,9.0,8.0,9.0,10.0,7.0,9.0,8.0,8.0,7.0,6.0,10.0,7.0,10.0,8.0,8.0,10.0,7.0,8.0,8.0,10.0,8.0,9.0,8.0,8.0,0.0,8.0,11.0
ENSG00000263481.1,8.0,8.0,10.0,7.0,7.0,8.0,7.0,9.0,9.0,7.0,10.0,7.0,10.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,0.0,6.0
>ENST00000569468.1,8.0,7.0,10.0,8.0,8.0,8.0,7.0,7.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,6.0,7.0,9.0,7.0,6.0,7.0,8.0,11.0,11.0,6.0,0.0
