,>ENST00000413804.2,>ENST00000527476.1,>ENST00000435744.5,>ENST00000578364.1,>ENST00000583763.1,>ENST00000531576.1,>ENST00000614820.1,>ENST00000555779.2,>ENST00000412710.1,>ENST00000520123.1,ENSG00000199085.2,>ENST00000508231.1,>ENST00000503054.1,>ENST00000489113.2,>ENST00000532898.1,>ENST00000514492.1,>ENST00000473936.1,>ENST00000587407.1,>ENST00000512854.1,>ENST00000411928.1,>ENST00000534703.1,>ENST00000435815.1,>ENST00000451170.1,>ENST00000437000.1,>ENST00000517817.1,>ENST00000422446.1,>ENST00000512892.1,>ENST00000607347.1,>ENST00000503770.2,>ENST00000448961.1,>ENST00000417560.3,>ENST00000505363.2,>ENST00000455403.1,>ENST00000415574.6
ENSG00000199085.2,8.0,7.0,7.0,7.0,8.0,7.0,8.0,10.0,10.0,7.0,0.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,11.0,9.0,7.0,8.0,7.0,7.0,8.0,7.0,9.0,7.0,6.0,7.0,8.0,8.0,8.0,9.0
>ENST00000508231.1,12.0,11.0,8.0,11.0,9.0,8.0,9.0,12.0,9.0,10.0,8.0,0.0,11.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,11.0,8.0,9.0,9.0,10.0,11.0,9.0,10.0
>ENST00000503054.1,9.0,10.0,11.0,10.0,8.0,10.0,8.0,12.0,10.0,8.0,8.0,11.0,0.0,13.0,8.0,10.0,10.0,9.0,12.0,11.0,10.0,10.0,8.0,9.0,11.0,9.0,15.0,8.0,9.0,14.0,11.0,10.0,11.0,10.0
>ENST00000489113.2,13.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,13.0,0.0,12.0,11.0,9.0,10.0,12.0,9.0,12.0,9.0,8.0,10.0,11.0,10.0,11.0,11.0,13.0,10.0,10.0,9.0,10.0,11.0
>ENST00000532898.1,9.0,8.0,11.0,9.0,9.0,9.0,10.0,11.0,9.0,8.0,8.0,10.0,8.0,12.0,0.0,11.0,8.0,9.0,9.0,10.0,9.0,9.0,7.0,10.0,10.0,11.0,12.0,8.0,7.0,8.0,11.0,9.0,12.0,10.0
>ENST00000514492.1,10.0,8.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,11.0,0.0,9.0,10.0,12.0,8.0,12.0,10.0,9.0,10.0,11.0,11.0,11.0,7.0,9.0,8.0,10.0,10.0,10.0,11.0
>ENST00000473936.1,10.0,8.0,9.0,10.0,8.0,10.0,8.0,10.0,9.0,8.0,7.0,8.0,10.0,9.0,8.0,9.0,0.0,10.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,7.0,8.0,8.0,9.0,10.0,10.0,9.0
>ENST00000587407.1,13.0,10.0,11.0,11.0,8.0,10.0,9.0,11.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,0.0,11.0,10.0,12.0,9.0,8.0,10.0,9.0,10.0,12.0,9.0,8.0,8.0,11.0,9.0,11.0,10.0
>ENST00000512854.1,10.0,9.0,11.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,11.0,9.0,12.0,12.0,9.0,12.0,9.0,11.0,0.0,10.0,12.0,10.0,10.0,10.0,11.0,12.0,11.0,7.0,10.0,10.0,11.0,9.0,11.0,13.0
>ENST00000411928.1,11.0,7.0,10.0,10.0,8.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,11.0,9.0,10.0,8.0,10.0,10.0,10.0,0.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,8.0,9.0,8.0,9.0,9.0,9.0,13.0
>ENST00000534703.1,10.0,10.0,11.0,12.0,11.0,10.0,10.0,11.0,10.0,10.0,7.0,9.0,10.0,12.0,9.0,12.0,9.0,12.0,12.0,10.0,0.0,9.0,7.0,9.0,10.0,11.0,12.0,8.0,8.0,9.0,11.0,10.0,11.0,10.0
>ENST00000435815.1,9.0,8.0,10.0,9.0,8.0,7.0,8.0,10.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,0.0,8.0,9.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,9.0,9.0,11.0
>ENST00000451170.1,9.0,8.0,8.0,11.0,7.0,7.0,9.0,10.0,9.0,7.0,7.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0,10.0,8.0,7.0,8.0,0.0,11.0,10.0,8.0,8.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0
>ENST00000437000.1,11.0,8.0,10.0,8.0,9.0,8.0,9.0,12.0,10.0,9.0,7.0,10.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,11.0,0.0,8.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0
>ENST00000517817.1,9.0,10.0,11.0,10.0,12.0,9.0,8.0,11.0,10.0,13.0,8.0,10.0,11.0,11.0,10.0,11.0,8.0,9.0,11.0,9.0,10.0,9.0,10.0,8.0,0.0,11.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,11.0
>ENST00000422446.1,11.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,7.0,9.0,9.0,10.0,11.0,11.0,9.0,10.0,12.0,10.0,11.0,8.0,8.0,9.0,11.0,0.0,11.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0
>ENST00000512892.1,10.0,9.0,12.0,9.0,12.0,10.0,11.0,12.0,11.0,8.0,9.0,11.0,15.0,11.0,12.0,11.0,10.0,12.0,11.0,11.0,12.0,9.0,8.0,10.0,10.0,11.0,0.0,10.0,9.0,8.0,12.0,10.0,11.0,14.0
>ENST00000607347.1,8.0,7.0,10.0,8.0,8.0,9.0,7.0,9.0,9.0,8.0,7.0,8.0,8.0,11.0,8.0,7.0,7.0,9.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,10.0,10.0,0.0,7.0,8.0,10.0,9.0,8.0,8.0
>ENST00000503770.2,9.0,6.0,10.0,8.0,8.0,7.0,7.0,12.0,9.0,9.0,6.0,9.0,9.0,13.0,7.0,9.0,8.0,8.0,10.0,9.0,8.0,7.0,7.0,9.0,8.0,9.0,9.0,7.0,0.0,7.0,8.0,9.0,9.0,10.0
>ENST00000448961.1,8.0,7.0,8.0,7.0,6.0,7.0,7.0,11.0,10.0,7.0,7.0,9.0,14.0,10.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,0.0,8.0,11.0,8.0,10.0
>ENST00000417560.3,9.0,8.0,11.0,9.0,8.0,13.0,12.0,10.0,10.0,9.0,8.0,10.0,11.0,10.0,11.0,10.0,9.0,11.0,11.0,9.0,11.0,9.0,8.0,10.0,10.0,9.0,12.0,10.0,8.0,8.0,0.0,9.0,11.0,9.0
>ENST00000505363.2,11.0,8.0,11.0,11.0,9.0,9.0,9.0,12.0,11.0,10.0,8.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,0.0,11.0,10.0
>ENST00000455403.1,10.0,9.0,10.0,11.0,10.0,10.0,9.0,11.0,11.0,10.0,8.0,9.0,11.0,10.0,12.0,10.0,10.0,11.0,11.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,11.0,8.0,9.0,8.0,11.0,11.0,0.0,11.0
>ENST00000415574.6,9.0,10.0,11.0,10.0,11.0,9.0,11.0,11.0,12.0,11.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,13.0,13.0,10.0,11.0,9.0,10.0,11.0,10.0,14.0,8.0,10.0,10.0,9.0,10.0,11.0,0.0
