,>ENST00000502352.1,>ENST00000404253.1,>ENST00000417131.1,ENSG00000158164.6,>ENST00000436976.1,>ENST00000440904.1,>ENST00000442158.1,>ENST00000520756.1,>ENST00000460134.2,>ENST00000597191.1,>ENST00000512179.1,>ENST00000456995.1,>ENST00000392337.2,>ENST00000431445.1,>ENST00000418898.1,>ENST00000622233.1,>ENST00000403446.2,>ENST00000578241.1,>ENST00000469428.1,>ENST00000458709.1,>ENST00000544463.1,>ENST00000489121.1,>ENST00000560847.2,>ENST00000587835.1,>ENST00000594711.1,>ENST00000550663.1,ENSG00000200661.1,>ENST00000420969.1,>ENST00000417373.1,>ENST00000625014.1,>ENST00000632795.1,>ENST00000484005.1,>ENST00000510454.1,>ENST00000592477.1,>ENST00000615543.1,>ENST00000447357.1,>ENST00000423750.1,>ENST00000605408.1
>ENST00000512179.1,9.0,10.0,8.0,12.0,9.0,10.0,8.0,12.0,11.0,9.0,0.0,9.0,10.0,12.0,10.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,13.0,8.0,9.0,9.0,9.0,9.0,11.0,7.0,8.0,8.0,10.0
>ENST00000456995.1,9.0,10.0,13.0,10.0,9.0,10.0,7.0,10.0,11.0,11.0,9.0,0.0,9.0,13.0,11.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,11.0,8.0,11.0,9.0,8.0,10.0,9.0,12.0,9.0,8.0,10.0,8.0,10.0
>ENST00000392337.2,9.0,8.0,8.0,9.0,9.0,8.0,7.0,9.0,10.0,9.0,10.0,9.0,0.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,8.0,9.0,10.0,7.0,11.0,9.0,8.0,9.0,9.0,8.0,10.0,7.0,7.0,8.0,10.0
>ENST00000431445.1,8.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,12.0,13.0,10.0,0.0,9.0,9.0,9.0,8.0,10.0,11.0,8.0,10.0,12.0,8.0,9.0,12.0,7.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,11.0
>ENST00000418898.1,11.0,10.0,10.0,11.0,13.0,12.0,8.0,10.0,9.0,11.0,10.0,11.0,10.0,9.0,0.0,10.0,10.0,10.0,8.0,11.0,10.0,11.0,10.0,9.0,12.0,11.0,8.0,12.0,12.0,9.0,9.0,9.0,9.0,12.0,10.0,8.0,9.0,13.0
>ENST00000622233.1,10.0,9.0,8.0,11.0,9.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,0.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,11.0,12.0,9.0,11.0,13.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,8.0,13.0
>ENST00000403446.2,10.0,10.0,9.0,12.0,10.0,11.0,11.0,10.0,10.0,12.0,11.0,10.0,10.0,9.0,10.0,10.0,0.0,11.0,11.0,10.0,10.0,12.0,14.0,10.0,11.0,11.0,8.0,13.0,10.0,10.0,12.0,10.0,12.0,10.0,9.0,9.0,8.0,10.0
>ENST00000578241.1,11.0,11.0,9.0,11.0,10.0,10.0,7.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,11.0,0.0,9.0,9.0,11.0,9.0,9.0,7.0,9.0,10.0,7.0,10.0,8.0,9.0,8.0,11.0,9.0,10.0,6.0,8.0,7.0,7.0
>ENST00000469428.1,11.0,12.0,9.0,12.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,11.0,9.0,0.0,11.0,8.0,10.0,10.0,8.0,8.0,10.0,7.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0
>ENST00000458709.1,10.0,12.0,9.0,10.0,10.0,10.0,8.0,9.0,11.0,12.0,9.0,9.0,9.0,11.0,11.0,10.0,10.0,9.0,11.0,0.0,9.0,10.0,11.0,9.0,10.0,12.0,9.0,11.0,9.0,8.0,10.0,11.0,10.0,11.0,8.0,10.0,9.0,11.0
>ENST00000544463.1,10.0,10.0,10.0,11.0,10.0,12.0,7.0,8.0,10.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0,11.0,8.0,9.0,0.0,10.0,10.0,8.0,10.0,13.0,8.0,14.0,10.0,9.0,8.0,9.0,9.0,10.0,7.0,8.0,8.0,9.0
>ENST00000489121.1,11.0,11.0,9.0,10.0,9.0,11.0,9.0,9.0,12.0,12.0,10.0,9.0,11.0,10.0,11.0,9.0,12.0,9.0,10.0,10.0,10.0,0.0,12.0,13.0,10.0,11.0,8.0,12.0,8.0,11.0,10.0,12.0,11.0,11.0,10.0,13.0,9.0,10.0
>ENST00000560847.2,11.0,9.0,9.0,10.0,9.0,11.0,10.0,12.0,13.0,12.0,10.0,9.0,9.0,12.0,10.0,10.0,14.0,9.0,10.0,11.0,10.0,12.0,0.0,8.0,9.0,10.0,10.0,13.0,9.0,11.0,10.0,11.0,11.0,10.0,8.0,8.0,9.0,10.0
>ENST00000587835.1,9.0,8.0,8.0,8.0,7.0,8.0,6.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,10.0,10.0,7.0,8.0,9.0,8.0,13.0,8.0,0.0,7.0,9.0,6.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,6.0,7.0,7.0,8.0
>ENST00000594711.1,11.0,10.0,10.0,11.0,9.0,9.0,7.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,12.0,11.0,11.0,9.0,8.0,10.0,10.0,10.0,9.0,7.0,0.0,11.0,7.0,12.0,10.0,9.0,8.0,10.0,7.0,12.0,7.0,8.0,8.0,8.0
>ENST00000550663.1,12.0,12.0,9.0,10.0,11.0,11.0,9.0,9.0,10.0,12.0,9.0,11.0,10.0,12.0,11.0,12.0,11.0,10.0,10.0,12.0,13.0,11.0,10.0,9.0,11.0,0.0,11.0,13.0,8.0,9.0,9.0,12.0,9.0,13.0,9.0,11.0,10.0,9.0
ENSG00000200661.1,9.0,7.0,7.0,12.0,7.0,10.0,6.0,7.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,7.0,7.0,9.0,8.0,8.0,10.0,6.0,7.0,11.0,0.0,10.0,6.0,12.0,7.0,7.0,6.0,14.0,6.0,5.0,7.0,7.0
>ENST00000420969.1,11.0,11.0,13.0,14.0,11.0,12.0,10.0,10.0,10.0,11.0,13.0,11.0,11.0,11.0,12.0,11.0,13.0,10.0,10.0,11.0,14.0,12.0,13.0,9.0,12.0,13.0,10.0,0.0,11.0,11.0,12.0,13.0,12.0,12.0,9.0,10.0,11.0,12.0
>ENST00000417373.1,10.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,12.0,13.0,10.0,8.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,8.0,6.0,11.0,0.0,12.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0
>ENST00000625014.1,9.0,10.0,9.0,9.0,8.0,11.0,9.0,9.0,10.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,11.0,11.0,8.0,9.0,9.0,12.0,11.0,12.0,0.0,10.0,10.0,9.0,12.0,11.0,8.0,8.0,9.0
>ENST00000632795.1,8.0,9.0,13.0,12.0,8.0,11.0,9.0,12.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,12.0,8.0,11.0,10.0,8.0,10.0,10.0,9.0,8.0,9.0,7.0,12.0,9.0,10.0,0.0,8.0,9.0,10.0,9.0,8.0,8.0,9.0
>ENST00000484005.1,9.0,9.0,9.0,12.0,10.0,10.0,8.0,12.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,11.0,9.0,12.0,11.0,10.0,10.0,12.0,7.0,13.0,9.0,10.0,8.0,0.0,9.0,11.0,7.0,11.0,9.0,9.0
>ENST00000510454.1,9.0,8.0,8.0,9.0,8.0,10.0,8.0,8.0,11.0,10.0,9.0,12.0,8.0,10.0,9.0,11.0,12.0,9.0,9.0,10.0,9.0,11.0,11.0,8.0,7.0,9.0,6.0,12.0,9.0,9.0,9.0,9.0,0.0,9.0,8.0,8.0,8.0,11.0
>ENST00000592477.1,11.0,10.0,12.0,11.0,10.0,10.0,7.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,12.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,9.0,12.0,13.0,14.0,12.0,8.0,12.0,10.0,11.0,9.0,0.0,8.0,11.0,10.0,11.0
>ENST00000615543.1,8.0,7.0,7.0,10.0,7.0,8.0,8.0,7.0,8.0,10.0,7.0,8.0,7.0,8.0,10.0,9.0,9.0,6.0,8.0,8.0,7.0,10.0,8.0,6.0,7.0,9.0,6.0,9.0,8.0,11.0,9.0,7.0,8.0,8.0,0.0,7.0,7.0,8.0
>ENST00000447357.1,8.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0,8.0,10.0,8.0,10.0,7.0,9.0,8.0,10.0,9.0,8.0,8.0,10.0,8.0,13.0,8.0,7.0,8.0,11.0,5.0,10.0,7.0,8.0,8.0,11.0,8.0,11.0,7.0,0.0,10.0,7.0
>ENST00000423750.1,9.0,9.0,10.0,10.0,8.0,8.0,8.0,7.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,9.0,9.0,7.0,8.0,10.0,7.0,11.0,8.0,8.0,8.0,9.0,8.0,10.0,7.0,10.0,0.0,8.0
>ENST00000605408.1,8.0,8.0,9.0,11.0,8.0,10.0,8.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,13.0,13.0,10.0,7.0,9.0,11.0,9.0,10.0,10.0,8.0,8.0,9.0,7.0,12.0,8.0,9.0,9.0,9.0,11.0,11.0,8.0,7.0,8.0,0.0
