,>ENST00000522035.1,>ENST00000603689.1,>ENST00000533726.1,>ENST00000486273.1,>ENST00000507979.2,ENSG00000276642.1,>ENST00000392115.2,>ENST00000491087.1,>ENST00000534879.1,>ENST00000454972.1,>ENST00000432945.1,>ENST00000518851.2,>ENST00000416882.2,>ENST00000515651.1,>ENST00000472109.1,>ENST00000438417.2,>ENST00000512356.1,>ENST00000604815.1,>ENST00000580956.1,>ENST00000553515.1,>ENST00000441810.1,>ENST00000421430.2,>ENST00000436071.1,>ENST00000523996.1,>ENST00000440950.1,>ENST00000440974.1,>ENST00000580084.1,>ENST00000508026.3,>ENST00000406913.1,>ENST00000505750.1,>ENST00000422502.1,>ENST00000449183.1,>ENST00000588725.1,>ENST00000420305.1,>ENST00000530977.1,>ENST00000473109.2,>ENST00000413694.2,>ENST00000556983.2,>ENST00000617163.1,>ENST00000533477.1,>ENST00000420752.1,>ENST00000560385.2,>ENST00000438347.1,ENSG00000221542.1,>ENST00000331259.5,>ENST00000422478.3,>ENST00000403722.1,>ENST00000612141.1,>ENST00000469891.2,>ENST00000340681.4,>ENST00000436937.1,>ENST00000485656.1,>ENST00000447913.5
>ENST00000432945.1,9.0,8.0,9.0,9.0,9.0,7.0,9.0,7.0,8.0,9.0,0.0,11.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,10.0,10.0,11.0,9.0,11.0,11.0,9.0,9.0,9.0,10.0,11.0,8.0,11.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0
>ENST00000518851.2,9.0,10.0,10.0,9.0,8.0,7.0,10.0,9.0,9.0,10.0,11.0,0.0,10.0,12.0,11.0,8.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,11.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0
>ENST00000416882.2,9.0,11.0,11.0,9.0,10.0,9.0,9.0,9.0,6.0,10.0,8.0,10.0,0.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,10.0,10.0,12.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,7.0,11.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,9.0
>ENST00000515651.1,9.0,9.0,9.0,9.0,9.0,7.0,10.0,9.0,6.0,9.0,9.0,12.0,9.0,0.0,8.0,10.0,8.0,11.0,7.0,7.0,6.0,9.0,9.0,10.0,10.0,11.0,11.0,9.0,13.0,8.0,10.0,12.0,9.0,7.0,7.0,9.0,9.0,8.0,10.0,12.0,9.0,9.0,10.0,6.0,13.0,9.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0
>ENST00000472109.1,9.0,10.0,12.0,11.0,8.0,8.0,11.0,11.0,9.0,10.0,10.0,11.0,11.0,8.0,0.0,10.0,9.0,9.0,9.0,9.0,7.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,12.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,9.0,8.0,12.0,8.0,11.0,11.0,10.0,11.0,12.0
>ENST00000438417.2,10.0,8.0,9.0,11.0,8.0,8.0,12.0,9.0,7.0,13.0,8.0,8.0,9.0,10.0,10.0,0.0,12.0,9.0,8.0,7.0,9.0,9.0,10.0,8.0,12.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,8.0,8.0,10.0,9.0,14.0,10.0,9.0,6.0,12.0,7.0,10.0,8.0,8.0,11.0,9.0,7.0,9.0
>ENST00000512356.1,8.0,8.0,9.0,9.0,7.0,7.0,13.0,9.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,12.0,0.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,10.0,7.0,8.0,11.0,9.0,7.0,10.0,11.0,8.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,8.0,12.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0
>ENST00000604815.1,10.0,8.0,9.0,10.0,7.0,7.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,11.0,9.0,9.0,9.0,0.0,10.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0,13.0,8.0,9.0,8.0,10.0,11.0,8.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,8.0,7.0,9.0,7.0,10.0,8.0,9.0,10.0,8.0,8.0,10.0
>ENST00000580956.1,9.0,7.0,11.0,8.0,7.0,8.0,10.0,9.0,7.0,8.0,10.0,9.0,9.0,7.0,9.0,8.0,8.0,10.0,0.0,8.0,7.0,7.0,9.0,8.0,9.0,10.0,9.0,7.0,9.0,9.0,10.0,9.0,9.0,8.0,6.0,8.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,7.0,10.0,11.0,8.0,9.0,9.0,8.0,8.0
>ENST00000553515.1,9.0,9.0,8.0,10.0,6.0,7.0,11.0,9.0,11.0,9.0,10.0,10.0,8.0,7.0,9.0,7.0,9.0,8.0,8.0,0.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,11.0,8.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,7.0,10.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,11.0
>ENST00000441810.1,7.0,7.0,8.0,9.0,6.0,7.0,8.0,9.0,7.0,8.0,10.0,8.0,8.0,6.0,7.0,9.0,8.0,7.0,7.0,9.0,0.0,8.0,7.0,7.0,9.0,9.0,8.0,7.0,7.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,6.0,8.0,9.0
>ENST00000421430.2,8.0,8.0,8.0,10.0,7.0,7.0,10.0,11.0,6.0,10.0,11.0,8.0,8.0,9.0,10.0,9.0,8.0,8.0,7.0,8.0,8.0,0.0,8.0,8.0,9.0,9.0,7.0,8.0,12.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,11.0,8.0,9.0,9.0
>ENST00000436071.1,10.0,9.0,10.0,10.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,7.0,8.0,0.0,11.0,9.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,10.0,8.0,8.0,10.0,8.0,12.0,11.0,11.0,10.0,10.0,10.0,7.0,12.0,10.0,11.0,9.0,9.0,11.0,9.0,9.0,10.0
>ENST00000523996.1,11.0,8.0,10.0,9.0,7.0,9.0,11.0,8.0,8.0,10.0,11.0,8.0,8.0,10.0,11.0,8.0,10.0,9.0,8.0,8.0,7.0,8.0,11.0,0.0,10.0,8.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,11.0,9.0
>ENST00000440950.1,9.0,10.0,11.0,10.0,9.0,9.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,12.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,0.0,12.0,8.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,8.0,9.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,8.0,10.0,9.0,14.0,10.0,8.0,10.0,10.0,9.0,9.0
>ENST00000440974.1,9.0,10.0,10.0,9.0,7.0,8.0,10.0,9.0,7.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,12.0,0.0,8.0,8.0,9.0,10.0,9.0,8.0,11.0,8.0,8.0,10.0,9.0,8.0,11.0,9.0,9.0,10.0,10.0,10.0,11.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0
>ENST00000580084.1,9.0,7.0,9.0,9.0,9.0,7.0,9.0,10.0,7.0,9.0,9.0,8.0,12.0,11.0,9.0,9.0,7.0,7.0,9.0,8.0,8.0,7.0,10.0,7.0,8.0,8.0,0.0,8.0,10.0,10.0,8.0,11.0,11.0,8.0,8.0,8.0,8.0,13.0,9.0,9.0,9.0,9.0,12.0,6.0,11.0,11.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0
>ENST00000508026.3,7.0,9.0,8.0,11.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,0.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,11.0,8.0,8.0,10.0,10.0,8.0,8.0
>ENST00000406913.1,9.0,11.0,10.0,10.0,8.0,8.0,11.0,12.0,7.0,10.0,10.0,9.0,10.0,13.0,11.0,10.0,11.0,13.0,9.0,9.0,7.0,12.0,10.0,9.0,10.0,9.0,10.0,8.0,0.0,9.0,9.0,11.0,10.0,9.0,11.0,9.0,13.0,8.0,10.0,13.0,10.0,11.0,8.0,6.0,9.0,8.0,10.0,8.0,10.0,18.0,8.0,9.0,10.0
>ENST00000505750.1,10.0,8.0,11.0,10.0,8.0,9.0,9.0,10.0,11.0,11.0,11.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,0.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,12.0,12.0,9.0,10.0,9.0,8.0,7.0,10.0,9.0,10.0,9.0,9.0,11.0,11.0,9.0,9.0
>ENST00000422502.1,10.0,8.0,10.0,8.0,11.0,8.0,9.0,9.0,7.0,10.0,8.0,10.0,9.0,10.0,9.0,8.0,7.0,9.0,10.0,7.0,9.0,10.0,10.0,9.0,11.0,9.0,8.0,9.0,9.0,10.0,0.0,8.0,9.0,9.0,10.0,7.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,8.0,13.0,7.0,12.0,9.0,8.0,8.0,9.0,9.0,11.0
>ENST00000449183.1,9.0,8.0,9.0,9.0,8.0,6.0,8.0,8.0,8.0,8.0,11.0,9.0,9.0,12.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,11.0,8.0,11.0,10.0,8.0,0.0,10.0,8.0,8.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,8.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0
>ENST00000588725.1,10.0,10.0,10.0,10.0,8.0,8.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,12.0,10.0,11.0,10.0,9.0,11.0,8.0,8.0,10.0,10.0,10.0,11.0,11.0,8.0,10.0,10.0,9.0,10.0,0.0,9.0,8.0,10.0,10.0,9.0,11.0,11.0,9.0,11.0,10.0,10.0,12.0,8.0,10.0,9.0,9.0,10.0,10.0,12.0,11.0
>ENST00000420305.1,11.0,10.0,10.0,10.0,8.0,8.0,11.0,8.0,8.0,10.0,10.0,9.0,8.0,7.0,9.0,10.0,8.0,11.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,0.0,8.0,8.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,7.0,9.0,7.0,10.0,7.0,8.0,10.0,9.0,11.0,9.0
>ENST00000530977.1,8.0,8.0,10.0,8.0,8.0,7.0,9.0,8.0,7.0,10.0,8.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,6.0,10.0,7.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,11.0,8.0,10.0,8.0,8.0,8.0,0.0,8.0,7.0,7.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0,7.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0
>ENST00000473109.2,8.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,10.0,9.0,9.0,10.0,8.0,7.0,9.0,8.0,7.0,8.0,10.0,8.0,8.0,0.0,10.0,8.0,9.0,10.0,11.0,9.0,9.0,7.0,9.0,12.0,11.0,8.0,10.0,8.0,7.0,10.0,9.0
>ENST00000413694.2,8.0,8.0,9.0,9.0,7.0,7.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0,9.0,8.0,7.0,10.0,7.0,9.0,8.0,8.0,11.0,9.0,8.0,8.0,13.0,9.0,10.0,11.0,10.0,10.0,7.0,10.0,0.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,12.0,8.0,10.0,9.0
>ENST00000556983.2,9.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,7.0,8.0,12.0,9.0,10.0,8.0,13.0,9.0,8.0,12.0,8.0,9.0,9.0,8.0,7.0,8.0,10.0,0.0,11.0,10.0,10.0,9.0,12.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0
>ENST00000617163.1,10.0,9.0,13.0,11.0,8.0,10.0,11.0,9.0,8.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,10.0,11.0,9.0,9.0,10.0,12.0,10.0,9.0,11.0,10.0,10.0,9.0,9.0,11.0,0.0,10.0,11.0,10.0,11.0,9.0,12.0,11.0,12.0,11.0,11.0,11.0,10.0,9.0,10.0
>ENST00000533477.1,11.0,8.0,10.0,12.0,9.0,12.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,12.0,11.0,9.0,10.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,11.0,9.0,9.0,9.0,13.0,9.0,9.0,8.0,11.0,9.0,8.0,10.0,10.0,10.0,10.0,0.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,8.0,11.0,10.0,9.0,10.0,10.0
>ENST00000420752.1,8.0,13.0,10.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0,14.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,11.0,10.0,0.0,10.0,9.0,9.0,11.0,9.0,10.0,8.0,14.0,10.0,12.0,10.0,13.0
>ENST00000560385.2,10.0,10.0,12.0,9.0,8.0,8.0,13.0,11.0,8.0,11.0,10.0,10.0,8.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,7.0,9.0,10.0,9.0,11.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,11.0,10.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,13.0,11.0,9.0,11.0
>ENST00000438347.1,9.0,9.0,10.0,11.0,9.0,8.0,11.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,11.0,10.0,12.0,9.0,8.0,8.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,12.0,11.0,10.0,9.0,9.0,0.0,8.0,9.0,10.0,12.0,9.0,9.0,9.0,8.0,9.0,12.0
ENSG00000221542.1,7.0,7.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,9.0,8.0,11.0,7.0,6.0,10.0,6.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,10.0,6.0,8.0,6.0,7.0,8.0,7.0,10.0,7.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,0.0,8.0,7.0,8.0,6.0,8.0,9.0,8.0,7.0,8.0
>ENST00000331259.5,9.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,6.0,9.0,8.0,10.0,11.0,13.0,9.0,12.0,12.0,9.0,10.0,10.0,7.0,9.0,12.0,9.0,10.0,11.0,11.0,9.0,9.0,10.0,13.0,9.0,12.0,9.0,9.0,9.0,8.0,10.0,12.0,10.0,11.0,9.0,9.0,8.0,0.0,10.0,10.0,9.0,13.0,10.0,9.0,10.0,10.0
>ENST00000422478.3,10.0,7.0,9.0,9.0,9.0,7.0,10.0,10.0,7.0,10.0,8.0,11.0,9.0,9.0,8.0,7.0,9.0,7.0,7.0,9.0,7.0,9.0,10.0,8.0,9.0,8.0,11.0,10.0,8.0,9.0,7.0,9.0,8.0,7.0,7.0,12.0,8.0,10.0,11.0,10.0,9.0,9.0,10.0,7.0,10.0,0.0,11.0,11.0,8.0,8.0,8.0,9.0,8.0
>ENST00000403722.1,10.0,10.0,10.0,11.0,10.0,7.0,12.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,12.0,10.0,9.0,10.0,10.0,9.0,7.0,9.0,11.0,9.0,14.0,10.0,9.0,11.0,10.0,10.0,12.0,8.0,10.0,10.0,9.0,11.0,9.0,10.0,12.0,10.0,10.0,9.0,12.0,8.0,10.0,11.0,0.0,11.0,9.0,10.0,11.0,10.0,11.0
>ENST00000612141.1,10.0,9.0,10.0,9.0,11.0,7.0,9.0,9.0,7.0,13.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,11.0,7.0,7.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,8.0,9.0,11.0,8.0,8.0,9.0,9.0,6.0,9.0,11.0,11.0,0.0,10.0,9.0,8.0,7.0,10.0
>ENST00000469891.2,9.0,9.0,10.0,11.0,8.0,8.0,11.0,13.0,7.0,10.0,9.0,10.0,8.0,8.0,11.0,8.0,9.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,11.0,11.0,14.0,9.0,9.0,8.0,13.0,8.0,9.0,10.0,0.0,10.0,9.0,10.0,12.0
>ENST00000340681.4,9.0,10.0,10.0,11.0,9.0,8.0,13.0,11.0,8.0,10.0,9.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0,9.0,8.0,11.0,11.0,9.0,10.0,9.0,9.0,10.0,18.0,11.0,8.0,9.0,10.0,10.0,8.0,8.0,12.0,10.0,11.0,10.0,10.0,13.0,9.0,9.0,10.0,8.0,10.0,9.0,10.0,0.0,13.0,11.0,11.0
>ENST00000436937.1,11.0,8.0,11.0,10.0,8.0,8.0,10.0,8.0,7.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,6.0,8.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,11.0,9.0,8.0,10.0,9.0,8.0,7.0,8.0,9.0,10.0,9.0,12.0,11.0,8.0,8.0,9.0,8.0,11.0,8.0,9.0,13.0,0.0,9.0,10.0
>ENST00000485656.1,10.0,8.0,9.0,9.0,7.0,8.0,9.0,9.0,12.0,8.0,10.0,9.0,9.0,9.0,11.0,7.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,11.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,12.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,7.0,10.0,9.0,10.0,7.0,10.0,11.0,9.0,0.0,10.0
>ENST00000447913.5,9.0,9.0,12.0,13.0,9.0,8.0,11.0,10.0,7.0,9.0,9.0,9.0,9.0,9.0,12.0,9.0,8.0,10.0,8.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,13.0,11.0,12.0,8.0,10.0,8.0,11.0,10.0,12.0,11.0,10.0,10.0,0.0
