,>ENST00000512207.2,>ENST00000404956.2,>ENST00000554796.3,>ENST00000420090.1,>ENST00000624618.1,>ENST00000503887.1,>ENST00000422272.2,>ENST00000438916.1,>ENST00000425356.1,>ENST00000617978.1,>ENST00000527574.1,>ENST00000508612.1,>ENST00000424937.1,>ENST00000395959.3,>ENST00000614408.1,>ENST00000473673.1,>ENST00000531671.1,>ENST00000509843.2,>ENST00000419030.1,>ENST00000560814.1,ENSG00000201592.1,>ENST00000508858.1,>ENST00000583895.6,>ENST00000451824.1,>ENST00000566374.1,>ENST00000515148.1,>ENST00000569728.1,>ENST00000455804.1,ENSG00000077150.17,>ENST00000426300.3,>ENST00000436718.1,>ENST00000451001.1,>ENST00000421928.1,>ENST00000579209.1,>ENST00000552536.1,>ENST00000612377.1,>ENST00000523647.1,>ENST00000604244.1,>ENST00000415776.1,>ENST00000526321.1,>ENST00000450370.1,ENSG00000199585.1,>ENST00000544546.1,>ENST00000424041.1,>ENST00000392050.2,>ENST00000413092.1,ENSG00000265905.2,>ENST00000451853.1,>ENST00000420608.1,>ENST00000448532.1,>ENST00000432853.1,>ENST00000567043.2,>ENST00000603750.1,>ENST00000503681.1,>ENST00000508597.1
>ENST00000527574.1,7.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,0.0,8.0,13.0,10.0,11.0,9.0,11.0,9.0,8.0,9.0,6.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,11.0,10.0,7.0,8.0,9.0,11.0,7.0,8.0,8.0,8.0,7.0,7.0,9.0,9.0,8.0,9.0,10.0,11.0,10.0,7.0,10.0
>ENST00000508612.1,9.0,11.0,9.0,8.0,8.0,10.0,11.0,11.0,8.0,9.0,8.0,0.0,10.0,9.0,8.0,8.0,10.0,11.0,9.0,9.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,12.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,8.0,11.0,8.0,9.0,12.0,9.0,8.0,11.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0
>ENST00000424937.1,9.0,9.0,12.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,13.0,10.0,0.0,9.0,10.0,12.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,13.0,10.0,11.0,11.0,11.0,10.0,12.0,12.0,10.0,10.0,9.0,11.0,9.0,13.0,11.0,9.0,9.0,9.0,9.0,9.0,12.0,9.0,12.0,11.0,9.0,10.0,11.0,10.0,11.0,10.0,10.0
>ENST00000395959.3,11.0,12.0,11.0,8.0,10.0,10.0,10.0,10.0,13.0,8.0,10.0,9.0,9.0,0.0,10.0,9.0,12.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,8.0,10.0,12.0,9.0,10.0,11.0,8.0,8.0,11.0,10.0,9.0,8.0,10.0
>ENST00000614408.1,8.0,9.0,11.0,8.0,10.0,9.0,10.0,9.0,11.0,8.0,11.0,8.0,10.0,10.0,0.0,9.0,9.0,9.0,8.0,11.0,7.0,10.0,8.0,9.0,9.0,13.0,9.0,11.0,12.0,9.0,9.0,8.0,9.0,9.0,11.0,11.0,9.0,9.0,11.0,10.0,7.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,10.0,8.0
>ENST00000473673.1,8.0,9.0,9.0,12.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,12.0,9.0,9.0,0.0,9.0,9.0,11.0,10.0,7.0,9.0,10.0,10.0,8.0,10.0,11.0,11.0,10.0,8.0,9.0,9.0,9.0,8.0,10.0,7.0,8.0,9.0,10.0,9.0,10.0,7.0,10.0,10.0,9.0,8.0,7.0,8.0,9.0,12.0,13.0,9.0,8.0,7.0,9.0
>ENST00000531671.1,10.0,11.0,10.0,8.0,16.0,12.0,8.0,11.0,10.0,8.0,11.0,10.0,12.0,12.0,9.0,9.0,0.0,9.0,11.0,11.0,8.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,12.0,11.0,9.0,9.0,10.0,8.0,13.0,11.0,11.0,10.0,10.0,13.0,9.0,6.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,8.0,9.0
>ENST00000509843.2,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,7.0,9.0,11.0,10.0,8.0,9.0,9.0,9.0,0.0,8.0,8.0,7.0,7.0,10.0,8.0,12.0,9.0,9.0,9.0,10.0,9.0,9.0,7.0,8.0,8.0,9.0,12.0,9.0,9.0,10.0,8.0,9.0,7.0,8.0,13.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,8.0,7.0,10.0
>ENST00000419030.1,7.0,8.0,10.0,9.0,9.0,10.0,7.0,10.0,11.0,9.0,8.0,9.0,10.0,9.0,8.0,11.0,11.0,8.0,0.0,8.0,11.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,8.0,12.0,8.0,11.0,8.0,9.0,8.0,8.0,8.0,11.0,8.0,55.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,9.0,10.0,12.0,12.0,8.0,9.0
>ENST00000560814.1,9.0,8.0,9.0,8.0,10.0,10.0,7.0,12.0,9.0,7.0,9.0,9.0,10.0,9.0,11.0,10.0,11.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,11.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,7.0,9.0,8.0,8.0,9.0,10.0
ENSG00000201592.1,8.0,8.0,8.0,8.0,9.0,10.0,6.0,8.0,6.0,7.0,6.0,7.0,11.0,8.0,7.0,7.0,8.0,7.0,11.0,8.0,0.0,7.0,8.0,8.0,7.0,8.0,10.0,8.0,9.0,9.0,8.0,7.0,7.0,7.0,10.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,6.0,6.0,8.0,10.0,6.0,8.0,8.0,7.0,7.0,8.0
>ENST00000508858.1,7.0,9.0,10.0,10.0,9.0,12.0,8.0,9.0,8.0,8.0,10.0,7.0,10.0,9.0,10.0,9.0,11.0,7.0,8.0,8.0,7.0,0.0,9.0,8.0,8.0,12.0,9.0,11.0,11.0,11.0,10.0,7.0,8.0,8.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,6.0,9.0,9.0,9.0,7.0,7.0,8.0,10.0,9.0,12.0,8.0,8.0,9.0,8.0
>ENST00000583895.6,8.0,9.0,11.0,9.0,9.0,10.0,10.0,12.0,10.0,8.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,10.0,8.0,8.0,9.0,0.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,7.0,10.0,10.0,12.0,8.0,8.0,9.0,9.0,9.0,8.0,7.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,8.0,11.0,9.0,9.0,8.0,8.0
>ENST00000451824.1,8.0,12.0,9.0,10.0,9.0,9.0,11.0,11.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,10.0,8.0,10.0,8.0,8.0,8.0,10.0,0.0,8.0,9.0,11.0,12.0,11.0,8.0,10.0,8.0,13.0,10.0,9.0,10.0,8.0,8.0,11.0,9.0,9.0,7.0,12.0,9.0,10.0,8.0,12.0,11.0,9.0,8.0,10.0,9.0,10.0,9.0,11.0
>ENST00000566374.1,7.0,8.0,70.0,8.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,13.0,9.0,9.0,8.0,10.0,12.0,10.0,9.0,7.0,8.0,10.0,8.0,0.0,12.0,9.0,10.0,12.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,7.0,6.0,10.0,9.0,8.0,8.0,10.0,8.0,9.0,7.0,12.0,10.0,8.0,8.0,9.0
>ENST00000515148.1,9.0,10.0,11.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,13.0,10.0,9.0,9.0,9.0,8.0,8.0,12.0,9.0,9.0,12.0,0.0,9.0,12.0,12.0,10.0,10.0,10.0,12.0,9.0,10.0,10.0,11.0,9.0,11.0,12.0,10.0,8.0,10.0,11.0,11.0,9.0,9.0,10.0,9.0,10.0,12.0,11.0,10.0,9.0,10.0
>ENST00000569728.1,10.0,10.0,11.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0,9.0,9.0,0.0,10.0,13.0,11.0,9.0,9.0,9.0,10.0,10.0,12.0,10.0,10.0,12.0,9.0,9.0,7.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0
>ENST00000455804.1,10.0,10.0,12.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,11.0,11.0,10.0,9.0,10.0,9.0,8.0,11.0,10.0,12.0,10.0,12.0,10.0,0.0,13.0,15.0,10.0,10.0,10.0,9.0,12.0,10.0,10.0,11.0,13.0,10.0,12.0,8.0,9.0,11.0,10.0,9.0,11.0,11.0,11.0,10.0,12.0,10.0,10.0,9.0,11.0
ENSG00000077150.17,10.0,11.0,16.0,11.0,11.0,11.0,12.0,10.0,11.0,11.0,10.0,12.0,11.0,11.0,12.0,10.0,12.0,10.0,12.0,11.0,9.0,11.0,10.0,11.0,12.0,12.0,13.0,13.0,0.0,13.0,10.0,9.0,12.0,9.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,10.0,11.0,12.0,13.0,11.0,66.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0
>ENST00000426300.3,8.0,11.0,11.0,8.0,10.0,10.0,8.0,9.0,12.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,11.0,9.0,8.0,8.0,9.0,11.0,9.0,8.0,9.0,10.0,11.0,15.0,13.0,0.0,8.0,8.0,9.0,8.0,11.0,8.0,11.0,8.0,10.0,11.0,8.0,7.0,7.0,10.0,8.0,9.0,9.0,11.0,9.0,7.0,11.0,10.0,8.0,9.0,11.0
>ENST00000436718.1,9.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,12.0,11.0,9.0,9.0,9.0,9.0,12.0,8.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,8.0,0.0,8.0,8.0,8.0,11.0,8.0,9.0,11.0,10.0,8.0,9.0,7.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,12.0,8.0,9.0
>ENST00000451001.1,8.0,9.0,10.0,7.0,11.0,7.0,7.0,9.0,8.0,7.0,8.0,8.0,12.0,9.0,8.0,9.0,9.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,0.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,10.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0
>ENST00000421928.1,8.0,9.0,10.0,7.0,11.0,9.0,9.0,10.0,9.0,7.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,11.0,9.0,7.0,8.0,10.0,13.0,8.0,12.0,9.0,10.0,12.0,9.0,8.0,8.0,0.0,9.0,11.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,10.0,8.0,11.0,10.0,7.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0
>ENST00000579209.1,8.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,0.0,10.0,10.0,8.0,8.0,10.0,8.0,8.0,7.0,8.0,11.0,11.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,11.0
>ENST00000552536.1,10.0,10.0,11.0,8.0,9.0,9.0,8.0,10.0,10.0,8.0,11.0,10.0,9.0,10.0,11.0,10.0,13.0,9.0,9.0,8.0,10.0,10.0,12.0,9.0,9.0,10.0,10.0,12.0,11.0,11.0,11.0,9.0,11.0,10.0,0.0,9.0,14.0,10.0,9.0,10.0,9.0,7.0,9.0,11.0,11.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,10.0,8.0,13.0
>ENST00000612377.1,7.0,14.0,13.0,9.0,10.0,10.0,8.0,10.0,12.0,9.0,10.0,9.0,11.0,9.0,11.0,7.0,11.0,12.0,8.0,8.0,7.0,9.0,8.0,10.0,9.0,10.0,12.0,10.0,11.0,8.0,8.0,9.0,9.0,10.0,9.0,0.0,8.0,10.0,9.0,9.0,8.0,7.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0
>ENST00000523647.1,7.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,8.0,11.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,9.0,11.0,10.0,10.0,11.0,11.0,9.0,9.0,8.0,8.0,14.0,8.0,0.0,9.0,9.0,7.0,7.0,8.0,12.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0
>ENST00000604244.1,9.0,8.0,9.0,9.0,11.0,10.0,8.0,9.0,9.0,8.0,8.0,10.0,13.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,11.0,9.0,8.0,9.0,9.0,10.0,11.0,11.0,8.0,11.0,8.0,8.0,8.0,10.0,10.0,9.0,0.0,9.0,11.0,9.0,7.0,9.0,10.0,10.0,8.0,9.0,11.0,9.0,13.0,9.0,10.0,11.0,8.0,10.0
>ENST00000415776.1,9.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,8.0,9.0,9.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0,9.0,7.0,9.0,9.0,11.0,9.0,11.0,12.0,13.0,11.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,0.0,10.0,11.0,8.0,11.0,13.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0
>ENST00000526321.1,7.0,10.0,10.0,8.0,11.0,7.0,8.0,8.0,9.0,7.0,11.0,8.0,9.0,9.0,10.0,9.0,13.0,8.0,8.0,7.0,7.0,9.0,9.0,9.0,11.0,12.0,9.0,10.0,10.0,11.0,8.0,9.0,8.0,8.0,10.0,9.0,7.0,11.0,10.0,0.0,8.0,7.0,9.0,10.0,8.0,8.0,11.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,8.0
>ENST00000450370.1,7.0,10.0,8.0,8.0,9.0,8.0,7.0,11.0,8.0,9.0,7.0,11.0,9.0,10.0,7.0,10.0,9.0,9.0,55.0,8.0,7.0,9.0,8.0,9.0,7.0,10.0,9.0,12.0,12.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,11.0,8.0,0.0,6.0,8.0,12.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,12.0,9.0,10.0,11.0
ENSG00000199585.1,8.0,7.0,9.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,10.0,8.0,7.0,6.0,7.0,9.0,7.0,7.0,6.0,7.0,7.0,6.0,8.0,7.0,8.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,6.0,0.0,7.0,7.0,7.0,7.0,8.0,10.0,7.0,7.0,9.0,8.0,7.0,7.0,8.0
>ENST00000544546.1,9.0,9.0,11.0,8.0,9.0,11.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,9.0,8.0,7.0,9.0,10.0,12.0,10.0,10.0,10.0,9.0,11.0,7.0,9.0,10.0,10.0,8.0,9.0,10.0,12.0,9.0,11.0,9.0,8.0,7.0,0.0,9.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,11.0
>ENST00000424041.1,9.0,10.0,11.0,9.0,11.0,10.0,9.0,11.0,9.0,9.0,8.0,12.0,9.0,10.0,10.0,10.0,10.0,13.0,9.0,8.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,11.0,12.0,10.0,8.0,8.0,8.0,11.0,11.0,10.0,10.0,10.0,13.0,10.0,12.0,7.0,9.0,0.0,10.0,9.0,10.0,10.0,10.0,12.0,12.0,9.0,9.0,10.0,10.0
>ENST00000392050.2,7.0,10.0,11.0,8.0,9.0,9.0,11.0,9.0,9.0,9.0,7.0,9.0,12.0,12.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,11.0,9.0,10.0,13.0,8.0,8.0,9.0,11.0,11.0,11.0,9.0,9.0,10.0,10.0,8.0,8.0,7.0,7.0,10.0,0.0,10.0,8.0,10.0,10.0,11.0,10.0,9.0,9.0,11.0,10.0
>ENST00000413092.1,8.0,8.0,9.0,7.0,9.0,10.0,9.0,10.0,11.0,9.0,7.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,6.0,7.0,10.0,8.0,8.0,9.0,10.0,9.0,11.0,9.0,9.0,8.0,10.0,9.0,9.0,11.0,8.0,8.0,10.0,8.0,7.0,7.0,8.0,9.0,10.0,0.0,7.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0
ENSG00000265905.2,7.0,8.0,10.0,7.0,10.0,8.0,8.0,9.0,8.0,7.0,9.0,11.0,12.0,10.0,9.0,7.0,9.0,8.0,7.0,7.0,6.0,7.0,8.0,12.0,10.0,9.0,10.0,11.0,66.0,9.0,9.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,8.0,8.0,10.0,8.0,7.0,0.0,9.0,9.0,7.0,8.0,9.0,8.0,7.0,8.0
>ENST00000451853.1,8.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,11.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,11.0,8.0,10.0,9.0,11.0,11.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,0.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0
>ENST00000420608.1,9.0,9.0,12.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,12.0,9.0,8.0,7.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,9.0,10.0,10.0,9.0,9.0,10.0,0.0,8.0,10.0,9.0,9.0,10.0,8.0
>ENST00000448532.1,8.0,8.0,10.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,12.0,8.0,8.0,9.0,7.0,6.0,9.0,8.0,8.0,7.0,10.0,9.0,10.0,11.0,7.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,13.0,9.0,10.0,8.0,7.0,9.0,12.0,11.0,8.0,7.0,8.0,8.0,0.0,11.0,9.0,10.0,10.0,8.0
>ENST00000432853.1,10.0,10.0,15.0,10.0,10.0,10.0,9.0,11.0,12.0,8.0,10.0,10.0,11.0,11.0,10.0,13.0,10.0,10.0,10.0,9.0,8.0,12.0,11.0,10.0,12.0,12.0,9.0,12.0,12.0,11.0,8.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,12.0,10.0,8.0,8.0,9.0,10.0,11.0,0.0,9.0,11.0,8.0,13.0
>ENST00000567043.2,8.0,11.0,10.0,8.0,11.0,13.0,10.0,10.0,10.0,8.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,12.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,9.0,10.0,11.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,12.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,0.0,10.0,11.0,10.0
>ENST00000603750.1,10.0,10.0,9.0,10.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,11.0,9.0,11.0,8.0,9.0,8.0,12.0,8.0,7.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0,8.0,12.0,8.0,10.0,8.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,11.0,10.0,0.0,8.0,10.0
>ENST00000503681.1,7.0,9.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,8.0,7.0,8.0,10.0,8.0,10.0,7.0,8.0,7.0,8.0,9.0,7.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,12.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,10.0,7.0,8.0,10.0,11.0,8.0,7.0,9.0,10.0,10.0,8.0,11.0,8.0,0.0,11.0
>ENST00000508597.1,9.0,9.0,9.0,9.0,10.0,9.0,10.0,13.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,8.0,11.0,9.0,10.0,9.0,11.0,11.0,11.0,9.0,8.0,10.0,11.0,13.0,9.0,8.0,10.0,9.0,8.0,11.0,8.0,11.0,10.0,10.0,9.0,8.0,9.0,8.0,8.0,13.0,10.0,10.0,11.0,0.0
