,>ENST00000412878.2,>ENST00000421838.1,>ENST00000418701.2,>ENST00000417920.1,>ENST00000485389.1,ENSG00000124257.6,>ENST00000456646.1,>ENST00000601963.1,>ENST00000456003.1,>ENST00000512227.1,>ENST00000444401.2,>ENST00000485172.1,>ENST00000455653.2,>ENST00000406413.1,>ENST00000432147.2,>ENST00000603132.1,>ENST00000458203.2,ENSG00000239160.1,>ENST00000444067.2,>ENST00000620602.1,ENSG00000176281.4,>ENST00000531397.1,>ENST00000610750.1,>ENST00000445624.1,>ENST00000426041.2,>ENST00000447461.1,>ENST00000411943.1,>ENST00000396994.3,>ENST00000407522.1,>ENST00000421309.1,>ENST00000475538.3,ENSG00000215957.1,>ENST00000465598.1,>ENST00000424047.1,ENSG00000274472.1,>ENST00000568483.1,>ENST00000435436.1,>ENST00000511236.1,>ENST00000511932.1,>ENST00000431631.1,>ENST00000441695.2,>ENST00000515851.1,>ENST00000392902.2,>ENST00000403700.2,>ENST00000528959.1,>ENST00000420740.1,>ENST00000427353.1,>ENST00000411508.1,>ENST00000473394.1,>ENST00000392713.3,>ENST00000379452.3,>ENST00000534436.1,>ENST00000608682.1,ENSG00000222986.1,>ENST00000451120.1,>ENST00000433115.1,>ENST00000604990.1,>ENST00000554853.2,>ENST00000512798.1,>ENST00000549998.1,>ENST00000605448.1,>ENST00000557586.1,>ENST00000567734.1,>ENST00000413827.1,>ENST00000449542.1,>ENST00000383620.4,ENSG00000243056.1,ENSG00000188293.5
>ENST00000444401.2,10.0,9.0,9.0,9.0,10.0,9.0,11.0,8.0,9.0,9.0,0.0,9.0,9.0,8.0,8.0,8.0,9.0,7.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,7.0,9.0,8.0,9.0,11.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,13.0,8.0,8.0,9.0,10.0,9.0,8.0,12.0,9.0,9.0,9.0,10.0,9.0,10.0
>ENST00000485172.1,8.0,9.0,8.0,8.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,0.0,11.0,9.0,8.0,8.0,9.0,6.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,11.0,11.0,7.0,9.0,8.0,11.0,9.0,7.0,9.0,8.0,9.0,10.0,8.0,11.0,8.0,9.0,10.0,8.0,10.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0
>ENST00000455653.2,11.0,10.0,9.0,11.0,12.0,11.0,8.0,10.0,8.0,11.0,9.0,11.0,0.0,8.0,9.0,11.0,10.0,7.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,8.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,9.0,8.0,9.0,10.0,11.0,10.0,8.0,10.0,10.0,11.0,10.0
>ENST00000406413.1,8.0,10.0,8.0,7.0,10.0,9.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,0.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0,7.0,6.0,8.0,9.0,12.0,8.0,7.0,8.0,9.0,7.0,7.0,10.0,12.0,11.0,7.0,10.0,6.0,11.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,9.0,9.0,9.0,7.0,7.0,8.0,7.0,11.0,8.0,10.0,7.0,9.0,9.0,9.0,9.0,8.0
>ENST00000432147.2,8.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,0.0,9.0,9.0,6.0,12.0,9.0,9.0,8.0,11.0,9.0,9.0,7.0,8.0,10.0,7.0,9.0,9.0,7.0,10.0,8.0,7.0,11.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,12.0,10.0,10.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,11.0,10.0,9.0,7.0,11.0,9.0,9.0,9.0
>ENST00000603132.1,9.0,10.0,10.0,9.0,10.0,11.0,8.0,11.0,11.0,9.0,8.0,8.0,11.0,9.0,9.0,0.0,8.0,8.0,11.0,10.0,9.0,10.0,9.0,17.0,10.0,9.0,11.0,8.0,11.0,9.0,10.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,11.0,8.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,11.0,13.0,8.0,11.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,11.0
>ENST00000458203.2,8.0,73.0,9.0,10.0,9.0,12.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,0.0,7.0,12.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,11.0,8.0,8.0,8.0,7.0,10.0,12.0,7.0,8.0,14.0,10.0,10.0,8.0,8.0,8.0,10.0,9.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,10.0,9.0,9.0,9.0,7.0,9.0,8.0,11.0,9.0,11.0,9.0,10.0,10.0,10.0
ENSG00000239160.1,8.0,8.0,8.0,6.0,8.0,8.0,7.0,8.0,6.0,8.0,7.0,6.0,7.0,7.0,6.0,8.0,7.0,0.0,8.0,9.0,8.0,7.0,10.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,5.0,6.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,7.0,8.0,6.0,8.0,9.0,9.0,7.0,8.0,9.0,7.0,7.0,7.0,8.0,9.0,7.0,8.0,7.0,10.0,8.0
>ENST00000444067.2,11.0,12.0,10.0,9.0,14.0,12.0,9.0,10.0,9.0,11.0,10.0,11.0,11.0,9.0,12.0,11.0,12.0,8.0,0.0,10.0,12.0,10.0,11.0,10.0,13.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,13.0,10.0,8.0,11.0,11.0,13.0,10.0,9.0,9.0,9.0,12.0,11.0,11.0,11.0,10.0,12.0,9.0,9.0,11.0,10.0,12.0,12.0,13.0,9.0,10.0,10.0,9.0,10.0,13.0,11.0,10.0,9.0,10.0,9.0,12.0,12.0
>ENST00000620602.1,9.0,11.0,9.0,8.0,10.0,10.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,0.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,8.0,10.0,9.0,11.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,12.0,8.0,10.0,7.0,10.0,11.0,10.0,11.0,8.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,13.0,11.0
ENSG00000176281.4,10.0,9.0,9.0,8.0,9.0,10.0,9.0,13.0,11.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,12.0,9.0,0.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,16.0,9.0,9.0,9.0,11.0,11.0,10.0,10.0,9.0,8.0,9.0,9.0,11.0,10.0,12.0,9.0,8.0,9.0,10.0,11.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,11.0,11.0,10.0,10.0,11.0,9.0,10.0,10.0
>ENST00000531397.1,9.0,9.0,8.0,8.0,10.0,10.0,11.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,7.0,10.0,9.0,11.0,0.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,7.0,9.0,11.0,8.0,8.0,8.0,9.0,11.0,8.0,10.0,8.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,8.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,13.0
>ENST00000610750.1,10.0,9.0,10.0,10.0,8.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,0.0,10.0,8.0,11.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,7.0,9.0,10.0,8.0,9.0,9.0,11.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,13.0,9.0,10.0,8.0,9.0,7.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,7.0,10.0,9.0,9.0,9.0
>ENST00000445624.1,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,17.0,9.0,7.0,10.0,9.0,10.0,9.0,10.0,0.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,8.0,11.0,9.0,11.0,11.0,9.0,12.0,10.0,11.0,9.0,11.0,10.0,9.0,10.0,8.0,10.0,12.0,10.0,10.0,8.0,9.0,11.0,10.0,10.0,11.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,11.0,10.0
>ENST00000426041.2,9.0,10.0,8.0,9.0,9.0,11.0,7.0,10.0,7.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,10.0,6.0,13.0,9.0,9.0,10.0,8.0,10.0,0.0,8.0,11.0,8.0,9.0,7.0,8.0,7.0,10.0,9.0,9.0,8.0,10.0,10.0,11.0,8.0,9.0,11.0,8.0,9.0,9.0,8.0,9.0,9.0,11.0,8.0,9.0,7.0,9.0,7.0,9.0,9.0,8.0,8.0,8.0,12.0,8.0,10.0,9.0,7.0,10.0,10.0,10.0,9.0
>ENST00000447461.1,10.0,8.0,9.0,8.0,8.0,9.0,7.0,13.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,9.0,8.0,7.0,11.0,10.0,9.0,10.0,11.0,10.0,8.0,0.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,13.0,6.0,8.0,8.0,8.0,10.0,8.0,11.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,8.0,9.0,11.0,10.0,9.0,7.0,9.0,7.0,10.0,9.0
>ENST00000411943.1,9.0,13.0,9.0,7.0,13.0,16.0,8.0,9.0,8.0,11.0,8.0,10.0,11.0,6.0,8.0,11.0,9.0,7.0,11.0,9.0,9.0,8.0,9.0,9.0,11.0,8.0,0.0,9.0,8.0,9.0,9.0,6.0,10.0,11.0,6.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,11.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,10.0,8.0,13.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0
>ENST00000396994.3,8.0,11.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,8.0,11.0,7.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,0.0,10.0,10.0,9.0,7.0,10.0,11.0,7.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,8.0,7.0,9.0,14.0,9.0,8.0,7.0,9.0,9.0,11.0,12.0,9.0,10.0,10.0,11.0,9.0,8.0,11.0,9.0,10.0,10.0
>ENST00000407522.1,9.0,9.0,12.0,8.0,8.0,12.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,11.0,8.0,6.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,10.0,0.0,8.0,9.0,7.0,8.0,16.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,8.0,8.0,10.0,7.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,11.0,12.0,10.0
>ENST00000421309.1,9.0,8.0,8.0,9.0,9.0,10.0,7.0,7.0,7.0,9.0,8.0,9.0,9.0,12.0,9.0,9.0,8.0,6.0,10.0,9.0,8.0,9.0,9.0,9.0,7.0,7.0,9.0,10.0,8.0,0.0,8.0,6.0,8.0,9.0,8.0,9.0,9.0,8.0,11.0,7.0,10.0,8.0,13.0,8.0,8.0,7.0,10.0,9.0,8.0,8.0,9.0,7.0,8.0,8.0,10.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,10.0,9.0
>ENST00000475538.3,9.0,8.0,8.0,12.0,8.0,11.0,10.0,9.0,8.0,11.0,9.0,8.0,9.0,8.0,9.0,10.0,8.0,7.0,9.0,9.0,8.0,9.0,11.0,11.0,8.0,8.0,9.0,9.0,9.0,8.0,0.0,8.0,8.0,9.0,9.0,9.0,9.0,11.0,10.0,7.0,9.0,9.0,9.0,11.0,8.0,8.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,7.0,9.0,8.0,9.0,12.0,9.0,12.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,11.0
ENSG00000215957.1,8.0,6.0,6.0,7.0,7.0,9.0,6.0,8.0,7.0,7.0,8.0,8.0,9.0,7.0,7.0,8.0,7.0,5.0,9.0,8.0,9.0,7.0,9.0,9.0,7.0,8.0,6.0,7.0,7.0,6.0,8.0,0.0,6.0,7.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,10.0,7.0,8.0,10.0,6.0,8.0,8.0,7.0,9.0,7.0,8.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,7.0,7.0,9.0,9.0,8.0,7.0,12.0,9.0
>ENST00000465598.1,9.0,9.0,11.0,9.0,13.0,12.0,9.0,8.0,8.0,8.0,10.0,11.0,10.0,8.0,10.0,10.0,10.0,6.0,13.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,8.0,8.0,8.0,6.0,0.0,9.0,6.0,9.0,9.0,10.0,10.0,9.0,11.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,8.0,12.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0
>ENST00000424047.1,10.0,10.0,8.0,10.0,10.0,13.0,9.0,9.0,12.0,11.0,9.0,11.0,11.0,9.0,8.0,10.0,12.0,8.0,10.0,9.0,16.0,11.0,9.0,10.0,9.0,13.0,11.0,11.0,16.0,9.0,9.0,7.0,9.0,0.0,8.0,8.0,9.0,10.0,13.0,11.0,11.0,8.0,10.0,11.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,16.0,11.0,10.0,10.0,10.0,10.0,9.0,12.0,9.0,9.0,12.0
ENSG00000274472.1,9.0,7.0,8.0,6.0,7.0,9.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,9.0,7.0,6.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,6.0,6.0,7.0,10.0,8.0,9.0,6.0,6.0,8.0,0.0,7.0,8.0,8.0,9.0,9.0,9.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,5.0,8.0,7.0,7.0,7.0,9.0,9.0,10.0,26.0,8.0,7.0,8.0,8.0,8.0,8.0
>ENST00000568483.1,10.0,9.0,8.0,9.0,11.0,10.0,9.0,11.0,7.0,8.0,8.0,9.0,10.0,7.0,11.0,8.0,8.0,6.0,11.0,8.0,9.0,8.0,9.0,11.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,0.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0
>ENST00000435436.1,9.0,11.0,10.0,8.0,10.0,11.0,8.0,9.0,8.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,14.0,7.0,11.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,0.0,8.0,11.0,8.0,9.0,10.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,11.0,10.0,10.0,8.0,8.0,9.0,11.0,8.0,9.0,9.0,9.0,10.0,9.0
>ENST00000511236.1,9.0,9.0,10.0,8.0,11.0,10.0,9.0,11.0,8.0,12.0,9.0,11.0,10.0,12.0,10.0,9.0,10.0,8.0,13.0,9.0,11.0,9.0,8.0,11.0,10.0,8.0,10.0,9.0,10.0,8.0,11.0,8.0,10.0,10.0,8.0,10.0,8.0,0.0,9.0,8.0,11.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,8.0,9.0,11.0,9.0,9.0,8.0,10.0,10.0,9.0,12.0,9.0,9.0,11.0,11.0,8.0,10.0,10.0,10.0,10.0,10.0
>ENST00000511932.1,10.0,11.0,9.0,7.0,12.0,11.0,9.0,14.0,8.0,9.0,10.0,9.0,11.0,11.0,9.0,11.0,10.0,8.0,10.0,11.0,11.0,11.0,9.0,11.0,11.0,10.0,10.0,10.0,9.0,11.0,10.0,8.0,10.0,13.0,9.0,8.0,11.0,9.0,0.0,9.0,10.0,12.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,12.0,12.0,9.0,9.0,13.0,12.0,11.0,10.0,12.0,8.0,10.0,10.0,11.0,11.0,10.0,10.0,9.0,11.0,12.0
>ENST00000431631.1,9.0,8.0,7.0,8.0,9.0,9.0,8.0,9.0,13.0,9.0,7.0,7.0,9.0,7.0,11.0,8.0,8.0,6.0,9.0,8.0,10.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,7.0,7.0,7.0,9.0,11.0,9.0,8.0,8.0,8.0,9.0,0.0,8.0,7.0,8.0,9.0,7.0,7.0,8.0,8.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0
>ENST00000441695.2,12.0,9.0,10.0,9.0,9.0,10.0,8.0,12.0,12.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,10.0,11.0,12.0,9.0,11.0,9.0,10.0,11.0,10.0,9.0,7.0,11.0,11.0,9.0,9.0,9.0,11.0,10.0,8.0,0.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,11.0,11.0,9.0,11.0,10.0,11.0,9.0,14.0,10.0,11.0,10.0,12.0
>ENST00000515851.1,9.0,10.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,10.0,8.0,8.0,9.0,6.0,9.0,10.0,8.0,7.0,9.0,10.0,9.0,8.0,8.0,10.0,11.0,8.0,8.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,9.0,10.0,9.0,12.0,7.0,10.0,0.0,9.0,8.0,9.0,9.0,8.0,7.0,7.0,10.0,10.0,7.0,9.0,7.0,11.0,12.0,10.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0
>ENST00000392902.2,9.0,9.0,9.0,10.0,11.0,10.0,8.0,8.0,8.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,8.0,12.0,9.0,8.0,9.0,8.0,11.0,8.0,9.0,10.0,10.0,9.0,13.0,9.0,10.0,9.0,10.0,7.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,0.0,8.0,11.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,8.0,10.0,9.0,11.0,10.0,8.0,8.0,10.0,11.0,9.0,8.0,10.0,10.0,9.0,10.0
>ENST00000403700.2,13.0,9.0,8.0,9.0,9.0,14.0,8.0,9.0,8.0,10.0,11.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,11.0,10.0,9.0,11.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0,8.0,11.0,7.0,9.0,11.0,7.0,8.0,8.0,10.0,8.0,9.0,10.0,8.0,8.0,0.0,11.0,8.0,8.0,9.0,12.0,9.0,10.0,8.0,9.0,8.0,11.0,8.0,10.0,8.0,8.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0
