,>ENST00000554248.2,>ENST00000558669.2,>ENST00000462104.1,>ENST00000413955.2,>ENST00000482585.1,>ENST00000420887.2,>ENST00000504616.1,>ENST00000426597.2,>ENST00000414105.1,>ENST00000412207.1,>ENST00000617023.1,>ENST00000506336.1,>ENST00000449129.1,>ENST00000554267.1,>ENST00000605130.1,>ENST00000448024.1,>ENST00000442090.1,>ENST00000527320.1,>ENST00000603836.1,>ENST00000467870.1,>ENST00000443450.1,>ENST00000583708.5,>ENST00000514947.1,>ENST00000586611.1,>ENST00000451057.1,>ENST00000423089.1,>ENST00000428894.1,>ENST00000479228.1,>ENST00000404786.1,ENSG00000115234.10,>ENST00000604722.1,>ENST00000413568.1,>ENST00000503813.5,>ENST00000533651.1,>ENST00000457792.1,>ENST00000568326.1,>ENST00000598203.1,>ENST00000605782.1,>ENST00000455691.2,>ENST00000462517.1,>ENST00000565496.1,>ENST00000474978.1,>ENST00000416467.2,>ENST00000446207.1,>ENST00000618803.1,>ENST00000532014.1,>ENST00000620993.1,>ENST00000425552.1
>ENST00000617023.1,8.0,7.0,7.0,7.0,7.0,10.0,8.0,9.0,6.0,9.0,0.0,8.0,7.0,8.0,7.0,9.0,11.0,6.0,7.0,10.0,8.0,7.0,8.0,10.0,9.0,8.0,7.0,8.0,9.0,9.0,10.0,7.0,6.0,7.0,8.0,8.0,7.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,10.0,9.0,6.0,7.0
>ENST00000506336.1,8.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,7.0,8.0,8.0,0.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,12.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,6.0,9.0,9.0,10.0,8.0,10.0,9.0,8.0,8.0,10.0,8.0,8.0
>ENST00000449129.1,8.0,13.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,7.0,8.0,0.0,9.0,11.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,11.0,12.0,10.0,8.0,9.0,9.0,9.0,11.0,12.0,8.0,9.0,9.0,9.0,9.0,7.0,8.0,10.0,11.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0
>ENST00000554267.1,13.0,11.0,10.0,9.0,9.0,12.0,9.0,13.0,8.0,11.0,8.0,8.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,11.0,12.0,9.0,10.0,12.0,9.0,11.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,10.0,11.0,9.0,8.0,12.0,11.0,11.0,8.0,10.0,10.0,8.0
>ENST00000605130.1,8.0,10.0,12.0,8.0,11.0,10.0,11.0,9.0,7.0,9.0,7.0,8.0,11.0,9.0,0.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,10.0,11.0,9.0,9.0,9.0,11.0,12.0,8.0,11.0,7.0,8.0,7.0,8.0,8.0,12.0,10.0,9.0,10.0,8.0,11.0,9.0,8.0,11.0,10.0,8.0
>ENST00000448024.1,10.0,9.0,9.0,10.0,9.0,12.0,10.0,10.0,7.0,10.0,9.0,9.0,10.0,9.0,10.0,0.0,7.0,9.0,12.0,11.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,12.0,10.0,11.0,9.0,8.0,10.0,9.0,8.0,9.0,12.0,11.0,7.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0
>ENST00000442090.1,8.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,6.0,10.0,11.0,8.0,10.0,9.0,9.0,7.0,0.0,9.0,8.0,9.0,11.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,9.0,7.0,8.0,9.0,9.0,6.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0,7.0,9.0,10.0,8.0
>ENST00000527320.1,9.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,0.0,11.0,10.0,8.0,10.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,11.0,9.0,9.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,7.0,11.0,8.0,8.0,6.0,11.0,8.0,8.0
>ENST00000603836.1,8.0,9.0,7.0,9.0,8.0,8.0,10.0,10.0,7.0,9.0,7.0,8.0,8.0,9.0,9.0,12.0,8.0,11.0,0.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,7.0,9.0,7.0,8.0,10.0,10.0,11.0,9.0,8.0,10.0,9.0,9.0,7.0,9.0,8.0,8.0
>ENST00000467870.1,11.0,13.0,9.0,10.0,10.0,10.0,12.0,12.0,9.0,13.0,10.0,9.0,9.0,11.0,10.0,11.0,9.0,10.0,9.0,0.0,11.0,11.0,10.0,10.0,11.0,9.0,12.0,12.0,11.0,12.0,10.0,11.0,9.0,8.0,8.0,12.0,9.0,11.0,12.0,12.0,9.0,11.0,11.0,10.0,9.0,13.0,8.0,8.0
>ENST00000443450.1,11.0,14.0,11.0,10.0,9.0,10.0,9.0,11.0,9.0,11.0,8.0,12.0,9.0,9.0,8.0,9.0,11.0,8.0,8.0,11.0,0.0,9.0,10.0,11.0,11.0,9.0,8.0,9.0,12.0,11.0,12.0,11.0,8.0,7.0,8.0,8.0,7.0,10.0,10.0,10.0,9.0,13.0,10.0,9.0,9.0,12.0,8.0,10.0
>ENST00000583708.5,8.0,12.0,9.0,8.0,8.0,11.0,9.0,12.0,8.0,11.0,7.0,9.0,8.0,9.0,8.0,8.0,10.0,10.0,10.0,11.0,9.0,0.0,10.0,12.0,8.0,8.0,11.0,9.0,11.0,10.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,7.0,9.0,9.0,8.0
>ENST00000514947.1,10.0,11.0,11.0,9.0,11.0,11.0,10.0,10.0,10.0,11.0,8.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,0.0,11.0,11.0,13.0,10.0,12.0,11.0,15.0,13.0,10.0,8.0,10.0,9.0,12.0,8.0,11.0,9.0,10.0,10.0,11.0,12.0,10.0,9.0,11.0,9.0,9.0
>ENST00000586611.1,10.0,12.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,10.0,9.0,12.0,11.0,10.0,9.0,9.0,8.0,9.0,10.0,11.0,12.0,11.0,0.0,16.0,9.0,10.0,9.0,10.0,12.0,11.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,11.0,10.0,8.0,8.0,12.0,9.0,8.0
>ENST00000451057.1,13.0,12.0,8.0,9.0,10.0,11.0,10.0,12.0,8.0,11.0,9.0,8.0,10.0,12.0,11.0,9.0,9.0,9.0,9.0,11.0,11.0,8.0,11.0,16.0,0.0,8.0,9.0,9.0,10.0,12.0,10.0,10.0,8.0,9.0,13.0,9.0,8.0,11.0,9.0,9.0,9.0,8.0,8.0,10.0,7.0,9.0,11.0,10.0
>ENST00000423089.1,9.0,11.0,9.0,9.0,12.0,11.0,10.0,12.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,13.0,9.0,8.0,0.0,11.0,11.0,11.0,11.0,11.0,9.0,8.0,8.0,8.0,8.0,7.0,11.0,10.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0
>ENST00000428894.1,11.0,14.0,12.0,12.0,11.0,10.0,9.0,9.0,9.0,11.0,7.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,12.0,8.0,11.0,10.0,10.0,9.0,11.0,0.0,14.0,11.0,11.0,11.0,10.0,9.0,12.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,8.0,10.0,7.0,11.0,10.0,9.0
>ENST00000479228.1,11.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,8.0,9.0,9.0,12.0,9.0,9.0,8.0,8.0,9.0,12.0,9.0,9.0,12.0,9.0,9.0,11.0,14.0,0.0,10.0,11.0,9.0,9.0,8.0,11.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,11.0,11.0,11.0,10.0,15.0,9.0,9.0
>ENST00000404786.1,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,11.0,12.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,0.0,12.0,10.0,10.0,12.0,9.0,10.0,11.0,9.0,10.0,9.0,11.0,9.0,10.0,11.0,9.0,8.0,12.0,10.0,9.0
ENSG00000115234.10,10.0,12.0,10.0,12.0,10.0,11.0,11.0,11.0,9.0,11.0,9.0,11.0,11.0,11.0,12.0,12.0,10.0,11.0,10.0,12.0,11.0,10.0,15.0,12.0,12.0,11.0,11.0,11.0,12.0,0.0,12.0,12.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,13.0,10.0,12.0,10.0,11.0,10.0,11.0,11.0,10.0
>ENST00000604722.1,9.0,10.0,9.0,9.0,9.0,10.0,10.0,13.0,9.0,10.0,10.0,10.0,12.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,12.0,8.0,13.0,11.0,10.0,11.0,11.0,9.0,10.0,12.0,0.0,9.0,9.0,8.0,9.0,9.0,8.0,11.0,12.0,10.0,10.0,9.0,10.0,10.0,7.0,10.0,10.0,10.0
>ENST00000413568.1,8.0,9.0,8.0,10.0,12.0,9.0,10.0,12.0,8.0,9.0,7.0,10.0,8.0,10.0,11.0,11.0,9.0,9.0,8.0,11.0,11.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,12.0,9.0,0.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,12.0,9.0,8.0
>ENST00000503813.5,7.0,8.0,8.0,9.0,8.0,8.0,7.0,10.0,6.0,7.0,6.0,10.0,9.0,8.0,7.0,9.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,12.0,10.0,9.0,8.0,0.0,6.0,7.0,7.0,6.0,11.0,7.0,9.0,6.0,7.0,9.0,8.0,6.0,9.0,7.0,6.0
>ENST00000533651.1,9.0,9.0,9.0,10.0,8.0,8.0,8.0,11.0,7.0,9.0,7.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,7.0,9.0,10.0,9.0,9.0,8.0,12.0,11.0,9.0,9.0,8.0,9.0,6.0,0.0,10.0,8.0,9.0,10.0,9.0,8.0,7.0,8.0,8.0,8.0,6.0,11.0,9.0,9.0
>ENST00000457792.1,8.0,11.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,10.0,8.0,10.0,9.0,8.0,7.0,10.0,9.0,8.0,7.0,8.0,8.0,7.0,9.0,10.0,13.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,7.0,10.0,0.0,9.0,6.0,9.0,8.0,8.0,7.0,10.0,8.0,8.0,7.0,10.0,11.0,8.0
>ENST00000568326.1,8.0,9.0,10.0,8.0,12.0,9.0,10.0,11.0,7.0,10.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,12.0,8.0,8.0,12.0,9.0,9.0,8.0,9.0,10.0,11.0,10.0,9.0,9.0,7.0,8.0,9.0,0.0,8.0,9.0,12.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,7.0,8.0
>ENST00000598203.1,7.0,7.0,9.0,7.0,8.0,8.0,9.0,11.0,7.0,9.0,7.0,6.0,7.0,8.0,8.0,8.0,6.0,8.0,10.0,9.0,7.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,10.0,8.0,9.0,6.0,9.0,6.0,8.0,0.0,10.0,8.0,7.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0
>ENST00000605782.1,9.0,12.0,10.0,12.0,11.0,10.0,11.0,14.0,9.0,11.0,9.0,9.0,8.0,10.0,12.0,9.0,10.0,9.0,10.0,11.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,11.0,10.0,11.0,11.0,10.0,11.0,10.0,9.0,9.0,10.0,0.0,10.0,9.0,9.0,12.0,10.0,10.0,9.0,13.0,9.0,11.0
>ENST00000455691.2,9.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,10.0,11.0,10.0,12.0,9.0,9.0,11.0,12.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,10.0,7.0,9.0,8.0,12.0,8.0,10.0,0.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0,8.0,8.0
>ENST00000462517.1,10.0,10.0,11.0,8.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,11.0,8.0,9.0,9.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,13.0,10.0,8.0,9.0,8.0,8.0,9.0,7.0,9.0,9.0,0.0,8.0,9.0,9.0,10.0,7.0,10.0,9.0,9.0
>ENST00000565496.1,7.0,10.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,7.0,8.0,7.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,6.0,7.0,7.0,8.0,8.0,9.0,10.0,8.0,0.0,8.0,8.0,9.0,6.0,11.0,8.0,8.0
>ENST00000474978.1,9.0,11.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,12.0,8.0,9.0,9.0,11.0,10.0,11.0,13.0,8.0,11.0,11.0,8.0,10.0,11.0,11.0,10.0,12.0,9.0,9.0,7.0,8.0,10.0,10.0,7.0,12.0,10.0,9.0,8.0,0.0,11.0,9.0,8.0,10.0,9.0,9.0
>ENST00000416467.2,10.0,12.0,10.0,10.0,9.0,11.0,9.0,12.0,12.0,9.0,8.0,9.0,10.0,11.0,11.0,9.0,8.0,8.0,9.0,11.0,10.0,9.0,12.0,10.0,8.0,9.0,8.0,11.0,11.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,11.0,0.0,12.0,12.0,12.0,8.0,8.0
>ENST00000446207.1,10.0,12.0,9.0,10.0,9.0,11.0,11.0,11.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,11.0,9.0,11.0,10.0,9.0,8.0,8.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,12.0,0.0,8.0,10.0,10.0,9.0
>ENST00000618803.1,7.0,8.0,8.0,7.0,7.0,14.0,8.0,11.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,8.0,7.0,6.0,7.0,9.0,9.0,7.0,9.0,8.0,7.0,10.0,7.0,10.0,8.0,10.0,7.0,8.0,6.0,6.0,7.0,8.0,8.0,9.0,8.0,7.0,6.0,8.0,12.0,8.0,0.0,8.0,7.0,10.0
>ENST00000532014.1,11.0,9.0,9.0,9.0,11.0,12.0,11.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,11.0,9.0,13.0,12.0,9.0,11.0,12.0,9.0,10.0,11.0,15.0,12.0,11.0,10.0,12.0,9.0,11.0,10.0,10.0,8.0,13.0,10.0,10.0,11.0,10.0,12.0,10.0,8.0,0.0,9.0,9.0
>ENST00000620993.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,6.0,8.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,11.0,8.0,10.0,9.0,10.0,11.0,10.0,9.0,7.0,9.0,11.0,7.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,10.0,7.0,9.0,0.0,7.0
>ENST00000425552.1,10.0,11.0,8.0,9.0,11.0,10.0,9.0,10.0,7.0,10.0,7.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,6.0,9.0,8.0,8.0,7.0,11.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,7.0,0.0
