,>ENST00000454090.1,>ENST00000489193.1,>ENST00000422795.1,>ENST00000603059.2,>ENST00000455429.3,>ENST00000437271.1,>ENST00000444288.1,>ENST00000495602.2,>ENST00000487801.1,>ENST00000441336.1,>ENST00000441847.1,>ENST00000321285.4,>ENST00000605323.1,>ENST00000456674.1,ENSG00000253027.1,>ENST00000417668.2,>ENST00000461273.1,>ENST00000453033.1,>ENST00000533375.1,>ENST00000507497.2,>ENST00000427511.1,>ENST00000553115.1,>ENST00000581610.1,>ENST00000524483.1,>ENST00000490028.5,>ENST00000425910.1,>ENST00000522981.1,>ENST00000426873.1,>ENST00000402485.2,>ENST00000443044.1,>ENST00000434995.1,>ENST00000603814.1,>ENST00000438279.1,>ENST00000433468.1,>ENST00000420249.2,>ENST00000484151.1,>ENST00000486380.2,>ENST00000497944.1,>ENST00000429118.1,>ENST00000453590.1
>ENST00000441847.1,11.0,11.0,12.0,11.0,10.0,10.0,9.0,10.0,9.0,11.0,0.0,11.0,12.0,12.0,8.0,10.0,9.0,11.0,11.0,13.0,11.0,11.0,9.0,10.0,12.0,10.0,12.0,10.0,10.0,11.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,10.0,11.0,9.0
>ENST00000321285.4,8.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,7.0,11.0,0.0,9.0,10.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,7.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,7.0,11.0,8.0
>ENST00000605323.1,11.0,12.0,9.0,11.0,12.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,0.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0,10.0,9.0,10.0,12.0,8.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0
>ENST00000456674.1,10.0,14.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,12.0,10.0,10.0,0.0,8.0,10.0,8.0,11.0,12.0,11.0,11.0,12.0,10.0,10.0,12.0,9.0,9.0,9.0,10.0,11.0,8.0,10.0,10.0,14.0,9.0,10.0,10.0,9.0,10.0,9.0
ENSG00000253027.1,7.0,9.0,8.0,7.0,7.0,8.0,7.0,9.0,7.0,7.0,8.0,8.0,9.0,8.0,0.0,8.0,6.0,8.0,8.0,10.0,8.0,10.0,7.0,11.0,8.0,10.0,7.0,9.0,9.0,8.0,6.0,9.0,10.0,9.0,7.0,7.0,8.0,8.0,8.0,8.0
>ENST00000417668.2,8.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,7.0,7.0,10.0,8.0,10.0,10.0,8.0,0.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,13.0,8.0,8.0,11.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,7.0,9.0,10.0,8.0,8.0
>ENST00000461273.1,7.0,10.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,6.0,8.0,0.0,9.0,11.0,8.0,10.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0
>ENST00000453033.1,8.0,10.0,11.0,12.0,9.0,9.0,11.0,12.0,10.0,9.0,11.0,8.0,10.0,11.0,8.0,9.0,9.0,0.0,10.0,9.0,10.0,10.0,8.0,10.0,9.0,8.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,12.0,11.0,8.0,9.0,11.0,8.0
>ENST00000533375.1,9.0,14.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,12.0,8.0,9.0,11.0,10.0,0.0,9.0,20.0,12.0,8.0,13.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
>ENST00000507497.2,9.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,9.0,10.0,13.0,8.0,10.0,11.0,10.0,9.0,8.0,9.0,9.0,0.0,9.0,14.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,9.0,10.0
>ENST00000427511.1,10.0,9.0,11.0,9.0,11.0,8.0,9.0,10.0,8.0,10.0,11.0,8.0,11.0,11.0,8.0,8.0,10.0,10.0,20.0,9.0,0.0,10.0,9.0,16.0,11.0,8.0,9.0,10.0,10.0,8.0,11.0,10.0,11.0,9.0,8.0,8.0,8.0,12.0,9.0,9.0
>ENST00000553115.1,10.0,11.0,11.0,9.0,12.0,11.0,12.0,11.0,8.0,8.0,11.0,9.0,10.0,12.0,10.0,10.0,8.0,10.0,12.0,14.0,10.0,0.0,8.0,9.0,10.0,12.0,10.0,10.0,9.0,10.0,9.0,11.0,12.0,11.0,10.0,11.0,10.0,11.0,11.0,10.0
>ENST00000581610.1,8.0,12.0,8.0,9.0,8.0,10.0,8.0,9.0,11.0,9.0,9.0,7.0,9.0,10.0,7.0,10.0,7.0,8.0,8.0,8.0,9.0,8.0,0.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,10.0,7.0,12.0,8.0,8.0
>ENST00000524483.1,10.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,8.0,11.0,10.0,9.0,10.0,10.0,11.0,10.0,8.0,10.0,13.0,9.0,16.0,9.0,9.0,0.0,11.0,9.0,14.0,11.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,11.0,9.0,8.0,10.0,9.0
>ENST00000490028.5,10.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,12.0,10.0,12.0,12.0,8.0,13.0,9.0,9.0,10.0,10.0,11.0,10.0,9.0,11.0,0.0,11.0,10.0,14.0,11.0,9.0,9.0,11.0,14.0,11.0,13.0,12.0,10.0,11.0,11.0,10.0
>ENST00000425910.1,11.0,10.0,11.0,10.0,9.0,9.0,9.0,8.0,7.0,7.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0,7.0,9.0,11.0,0.0,10.0,8.0,8.0,10.0,8.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,8.0,8.0
>ENST00000522981.1,9.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0,8.0,7.0,12.0,8.0,10.0,9.0,7.0,8.0,8.0,11.0,9.0,9.0,9.0,10.0,9.0,14.0,10.0,10.0,0.0,9.0,9.0,9.0,9.0,9.0,13.0,9.0,10.0,9.0,9.0,10.0,10.0,12.0
>ENST00000426873.1,8.0,10.0,9.0,9.0,10.0,10.0,9.0,12.0,9.0,8.0,10.0,10.0,11.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,14.0,8.0,9.0,0.0,10.0,10.0,9.0,11.0,11.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0
>ENST00000402485.2,8.0,11.0,9.0,10.0,8.0,9.0,9.0,12.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,0.0,10.0,10.0,9.0,9.0,218.0,8.0,9.0,8.0,10.0,9.0,9.0
>ENST00000443044.1,11.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,11.0,8.0,11.0,9.0,9.0,11.0,8.0,10.0,8.0,10.0,9.0,9.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,0.0,9.0,11.0,10.0,11.0,7.0,9.0,9.0,9.0,9.0,10.0
>ENST00000434995.1,9.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,7.0,9.0,9.0,8.0,9.0,8.0,6.0,8.0,7.0,10.0,10.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,0.0,10.0,10.0,9.0,9.0,8.0,7.0,8.0,9.0,9.0
>ENST00000603814.1,9.0,11.0,10.0,11.0,9.0,9.0,10.0,9.0,79.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,11.0,10.0,0.0,10.0,11.0,9.0,9.0,11.0,9.0,10.0,8.0
>ENST00000438279.1,11.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,11.0,12.0,8.0,10.0,14.0,10.0,13.0,11.0,9.0,10.0,10.0,10.0,0.0,10.0,9.0,10.0,9.0,10.0,12.0,10.0
>ENST00000433468.1,9.0,11.0,11.0,11.0,8.0,8.0,10.0,12.0,8.0,8.0,9.0,9.0,10.0,14.0,9.0,9.0,8.0,11.0,9.0,8.0,9.0,11.0,9.0,9.0,11.0,10.0,9.0,10.0,218.0,11.0,9.0,11.0,10.0,0.0,8.0,13.0,8.0,11.0,9.0,8.0
>ENST00000420249.2,10.0,10.0,9.0,8.0,10.0,9.0,7.0,9.0,9.0,7.0,10.0,9.0,9.0,9.0,7.0,9.0,7.0,12.0,9.0,11.0,8.0,10.0,8.0,8.0,13.0,8.0,10.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,0.0,8.0,9.0,10.0,9.0,8.0
>ENST00000484151.1,8.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,7.0,9.0,8.0,9.0,10.0,7.0,7.0,8.0,11.0,9.0,9.0,8.0,11.0,10.0,11.0,12.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,13.0,8.0,0.0,9.0,12.0,9.0,9.0
>ENST00000486380.2,9.0,11.0,8.0,13.0,8.0,11.0,9.0,11.0,8.0,8.0,10.0,9.0,11.0,10.0,8.0,9.0,8.0,8.0,10.0,9.0,8.0,10.0,7.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,7.0,11.0,9.0,8.0,9.0,9.0,0.0,9.0,9.0,8.0
>ENST00000497944.1,8.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,10.0,7.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,10.0,12.0,11.0,12.0,8.0,11.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,11.0,10.0,12.0,9.0,0.0,10.0,9.0
>ENST00000429118.1,9.0,12.0,10.0,11.0,13.0,11.0,10.0,12.0,10.0,9.0,11.0,11.0,9.0,10.0,8.0,8.0,9.0,11.0,9.0,9.0,9.0,11.0,8.0,10.0,11.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,9.0,9.0,10.0,0.0,10.0
>ENST00000453590.1,8.0,12.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,7.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,8.0,12.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,8.0,9.0,10.0,0.0
