,>ENST00000489176.3,ENSG00000268009.5,>ENST00000437246.1,>ENST00000604190.1,>ENST00000431896.1,>ENST00000504996.1,>ENST00000554513.1,>ENST00000604177.1,>ENST00000498563.1,>ENST00000450481.1,>ENST00000467930.1,>ENST00000471258.1,>ENST00000620597.2,>ENST00000458495.1,>ENST00000610741.1,>ENST00000518624.2,>ENST00000604441.1,>ENST00000457486.2,>ENST00000425002.1,>ENST00000583164.1,ENSG00000188038.7,>ENST00000306634.3,>ENST00000557146.1,>ENST00000569153.1,>ENST00000402798.1,>ENST00000403318.1,>ENST00000566902.5,>ENST00000258070.4
>ENST00000467930.1,13.0,10.0,11.0,8.0,9.0,10.0,13.0,10.0,10.0,11.0,0.0,8.0,8.0,9.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,8.0,11.0,8.0,8.0,9.0,10.0,8.0
>ENST00000471258.1,12.0,12.0,11.0,8.0,10.0,11.0,8.0,9.0,9.0,8.0,8.0,0.0,10.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,11.0,8.0,12.0,9.0,9.0,7.0,10.0,6.0
>ENST00000620597.2,9.0,11.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,7.0,8.0,10.0,0.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,11.0,8.0,8.0,10.0,9.0,7.0,10.0,7.0
>ENST00000458495.1,11.0,12.0,10.0,10.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,0.0,9.0,11.0,9.0,9.0,10.0,8.0,12.0,8.0,12.0,9.0,9.0,9.0,10.0,9.0
>ENST00000610741.1,10.0,10.0,8.0,8.0,9.0,11.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,0.0,9.0,8.0,9.0,8.0,7.0,10.0,11.0,8.0,11.0,7.0,8.0,11.0,6.0
>ENST00000518624.2,10.0,11.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,12.0,11.0,9.0,9.0,11.0,9.0,0.0,10.0,12.0,9.0,11.0,13.0,11.0,9.0,11.0,8.0,9.0,11.0,9.0
>ENST00000604441.1,9.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,10.0,0.0,10.0,7.0,8.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0
>ENST00000457486.2,10.0,12.0,10.0,9.0,11.0,13.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,12.0,10.0,0.0,10.0,10.0,11.0,10.0,10.0,13.0,10.0,9.0,11.0,8.0
>ENST00000425002.1,10.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,8.0,9.0,7.0,10.0,0.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,7.0
>ENST00000583164.1,9.0,10.0,8.0,9.0,10.0,10.0,8.0,7.0,8.0,7.0,10.0,8.0,8.0,8.0,7.0,11.0,8.0,10.0,9.0,0.0,10.0,9.0,10.0,8.0,7.0,9.0,12.0,8.0
ENSG00000188038.7,28.0,73.0,10.0,10.0,11.0,13.0,9.0,12.0,11.0,10.0,10.0,11.0,11.0,12.0,10.0,13.0,11.0,11.0,10.0,10.0,0.0,10.0,11.0,11.0,10.0,11.0,12.0,8.0
>ENST00000306634.3,9.0,11.0,8.0,10.0,10.0,12.0,8.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,11.0,11.0,9.0,10.0,9.0,9.0,10.0,0.0,9.0,9.0,9.0,8.0,11.0,8.0
>ENST00000557146.1,14.0,12.0,10.0,9.0,10.0,10.0,12.0,9.0,10.0,10.0,11.0,12.0,8.0,12.0,8.0,9.0,8.0,10.0,8.0,10.0,11.0,9.0,0.0,9.0,9.0,9.0,14.0,8.0
>ENST00000569153.1,9.0,12.0,9.0,8.0,13.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,10.0,9.0,11.0,11.0,9.0,13.0,8.0,8.0,11.0,9.0,9.0,0.0,9.0,8.0,11.0,8.0
>ENST00000402798.1,11.0,10.0,12.0,8.0,10.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,10.0,9.0,7.0,10.0,9.0,9.0,9.0,0.0,9.0,13.0,10.0
>ENST00000403318.1,9.0,13.0,9.0,10.0,11.0,11.0,9.0,9.0,9.0,10.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0,9.0,0.0,11.0,8.0
>ENST00000566902.5,11.0,12.0,10.0,10.0,11.0,12.0,13.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,10.0,12.0,12.0,11.0,14.0,11.0,13.0,11.0,0.0,9.0
>ENST00000258070.4,8.0,10.0,10.0,12.0,8.0,10.0,10.0,8.0,7.0,7.0,8.0,6.0,7.0,9.0,6.0,9.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,0.0
