,>ENST00000520139.2,>ENST00000382470.1,>ENST00000612680.1,>ENST00000506771.1,>ENST00000444698.1,>ENST00000512164.1,>ENST00000620407.1,>ENST00000422282.2,>ENST00000440297.1,>ENST00000540992.1,>ENST00000434403.1,>ENST00000469870.1,>ENST00000423752.1,>ENST00000512850.1,>ENST00000417796.1,>ENST00000484287.2,>ENST00000514659.1,ENSG00000158716.8,>ENST00000562560.1,>ENST00000398672.3,>ENST00000475608.1,>ENST00000512083.1,>ENST00000563896.1,>ENST00000520566.1,>ENST00000419001.1,>ENST00000479841.1,>ENST00000443260.1,>ENST00000430308.1,>ENST00000437401.1,>ENST00000446466.1,>ENST00000426307.1,>ENST00000454299.2,>ENST00000581802.1,>ENST00000624816.2,>ENST00000513388.2,>ENST00000614802.1,ENSG00000277861.1,>ENST00000518187.1,>ENST00000424456.3,>ENST00000399764.3,>ENST00000417282.1,>ENST00000411602.1,>ENST00000445380.2
>ENST00000434403.1,6.0,9.0,8.0,11.0,10.0,11.0,9.0,8.0,10.0,10.0,0.0,9.0,9.0,8.0,10.0,11.0,7.0,9.0,9.0,11.0,8.0,10.0,9.0,8.0,10.0,11.0,9.0,8.0,10.0,10.0,8.0,9.0,11.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0
>ENST00000469870.1,8.0,11.0,8.0,10.0,9.0,11.0,10.0,11.0,9.0,10.0,9.0,0.0,9.0,8.0,9.0,11.0,10.0,9.0,11.0,10.0,8.0,8.0,10.0,10.0,11.0,9.0,11.0,8.0,10.0,9.0,10.0,10.0,10.0,7.0,11.0,9.0,9.0,11.0,10.0,10.0,12.0,9.0,10.0
>ENST00000423752.1,8.0,10.0,9.0,12.0,10.0,12.0,9.0,12.0,10.0,9.0,9.0,9.0,0.0,8.0,10.0,9.0,8.0,11.0,11.0,11.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,8.0,12.0,8.0,13.0,9.0,10.0,9.0,10.0
>ENST00000512850.1,7.0,10.0,7.0,9.0,7.0,9.0,12.0,10.0,10.0,9.0,8.0,8.0,8.0,0.0,11.0,10.0,8.0,8.0,9.0,11.0,7.0,7.0,8.0,7.0,10.0,7.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
>ENST00000417796.1,9.0,11.0,9.0,11.0,10.0,11.0,10.0,11.0,12.0,10.0,10.0,9.0,10.0,11.0,0.0,11.0,16.0,11.0,13.0,12.0,10.0,13.0,9.0,11.0,11.0,12.0,10.0,10.0,11.0,12.0,10.0,11.0,10.0,11.0,11.0,8.0,9.0,10.0,10.0,10.0,12.0,9.0,9.0
>ENST00000484287.2,9.0,10.0,11.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,11.0,11.0,9.0,10.0,11.0,0.0,8.0,10.0,12.0,10.0,9.0,9.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,12.0,10.0,10.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0
>ENST00000514659.1,9.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,8.0,10.0,7.0,10.0,8.0,8.0,16.0,8.0,0.0,9.0,9.0,10.0,8.0,7.0,7.0,9.0,8.0,7.0,8.0,9.0,9.0,7.0,10.0,9.0,9.0,7.0,10.0,6.0,6.0,9.0,9.0,7.0,10.0,7.0,8.0
ENSG00000158716.8,9.0,12.0,8.0,9.0,11.0,10.0,9.0,9.0,14.0,9.0,9.0,9.0,11.0,8.0,11.0,10.0,9.0,0.0,12.0,11.0,9.0,8.0,11.0,9.0,10.0,11.0,11.0,12.0,11.0,12.0,10.0,11.0,11.0,10.0,10.0,8.0,8.0,8.0,11.0,12.0,10.0,8.0,9.0
>ENST00000562560.1,9.0,11.0,12.0,12.0,9.0,12.0,11.0,10.0,10.0,12.0,9.0,11.0,11.0,9.0,13.0,12.0,9.0,12.0,0.0,13.0,10.0,9.0,14.0,10.0,11.0,9.0,11.0,9.0,11.0,11.0,11.0,12.0,12.0,9.0,12.0,8.0,7.0,10.0,11.0,10.0,10.0,9.0,12.0
>ENST00000398672.3,9.0,10.0,11.0,10.0,10.0,10.0,9.0,11.0,11.0,10.0,11.0,10.0,11.0,11.0,12.0,10.0,10.0,11.0,13.0,0.0,10.0,9.0,11.0,11.0,10.0,13.0,12.0,10.0,10.0,12.0,10.0,11.0,10.0,10.0,12.0,9.0,8.0,10.0,12.0,11.0,11.0,10.0,9.0
>ENST00000475608.1,7.0,10.0,11.0,10.0,9.0,9.0,8.0,9.0,10.0,12.0,8.0,8.0,8.0,7.0,10.0,9.0,8.0,9.0,10.0,10.0,0.0,9.0,10.0,11.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,7.0,11.0,6.0,6.0,9.0,9.0,11.0,10.0,9.0,10.0
>ENST00000512083.1,9.0,8.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,7.0,13.0,9.0,7.0,8.0,9.0,9.0,9.0,0.0,7.0,7.0,9.0,10.0,9.0,8.0,11.0,9.0,7.0,7.0,8.0,7.0,9.0,6.0,6.0,7.0,9.0,8.0,8.0,8.0,9.0
>ENST00000563896.1,9.0,11.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,10.0,7.0,11.0,14.0,11.0,10.0,7.0,0.0,8.0,10.0,11.0,11.0,11.0,13.0,10.0,11.0,9.0,11.0,9.0,9.0,7.0,7.0,8.0,10.0,10.0,8.0,9.0,9.0
>ENST00000520566.1,8.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,10.0,10.0,8.0,10.0,9.0,7.0,11.0,11.0,9.0,9.0,10.0,11.0,11.0,7.0,8.0,0.0,10.0,9.0,9.0,8.0,11.0,9.0,10.0,9.0,10.0,7.0,10.0,6.0,8.0,8.0,8.0,8.0,10.0,7.0,8.0
>ENST00000419001.1,9.0,11.0,8.0,10.0,9.0,9.0,9.0,10.0,13.0,11.0,10.0,11.0,10.0,10.0,11.0,11.0,8.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,0.0,11.0,13.0,12.0,13.0,12.0,9.0,10.0,11.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,11.0,9.0,11.0
>ENST00000479841.1,8.0,9.0,8.0,9.0,12.0,11.0,8.0,11.0,10.0,12.0,11.0,9.0,10.0,7.0,12.0,10.0,7.0,11.0,9.0,13.0,11.0,10.0,11.0,9.0,11.0,0.0,11.0,10.0,11.0,13.0,9.0,10.0,10.0,9.0,11.0,7.0,8.0,10.0,10.0,11.0,12.0,8.0,12.0
>ENST00000443260.1,11.0,10.0,9.0,11.0,10.0,11.0,9.0,11.0,13.0,9.0,9.0,11.0,9.0,9.0,10.0,11.0,8.0,11.0,11.0,12.0,10.0,9.0,11.0,9.0,13.0,11.0,0.0,11.0,11.0,11.0,10.0,9.0,11.0,10.0,10.0,8.0,7.0,10.0,10.0,9.0,9.0,9.0,9.0
>ENST00000430308.1,7.0,10.0,8.0,9.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,10.0,9.0,10.0,11.0,9.0,12.0,9.0,10.0,8.0,8.0,11.0,8.0,12.0,10.0,11.0,0.0,9.0,9.0,8.0,10.0,10.0,9.0,11.0,8.0,9.0,9.0,13.0,10.0,10.0,8.0,9.0
>ENST00000437401.1,9.0,10.0,8.0,9.0,12.0,13.0,10.0,9.0,10.0,9.0,10.0,10.0,11.0,8.0,11.0,10.0,9.0,11.0,11.0,10.0,10.0,11.0,13.0,11.0,13.0,11.0,11.0,9.0,0.0,10.0,10.0,11.0,10.0,9.0,9.0,8.0,9.0,10.0,11.0,11.0,9.0,10.0,10.0
>ENST00000446466.1,10.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,9.0,10.0,8.0,12.0,11.0,7.0,12.0,11.0,12.0,9.0,9.0,10.0,9.0,12.0,13.0,11.0,9.0,10.0,0.0,9.0,10.0,10.0,9.0,9.0,7.0,6.0,11.0,10.0,10.0,10.0,9.0,8.0
>ENST00000426307.1,8.0,9.0,7.0,11.0,11.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,10.0,8.0,10.0,11.0,10.0,10.0,11.0,10.0,9.0,7.0,11.0,10.0,9.0,9.0,10.0,8.0,10.0,9.0,0.0,9.0,10.0,8.0,9.0,6.0,7.0,9.0,9.0,10.0,10.0,7.0,9.0
>ENST00000454299.2,9.0,9.0,8.0,9.0,9.0,10.0,10.0,11.0,12.0,10.0,9.0,10.0,11.0,8.0,11.0,10.0,9.0,11.0,12.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,0.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0
>ENST00000581802.1,9.0,10.0,10.0,11.0,11.0,10.0,9.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,10.0,12.0,9.0,11.0,12.0,10.0,10.0,8.0,11.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,0.0,9.0,12.0,8.0,8.0,9.0,11.0,10.0,10.0,9.0,10.0
>ENST00000624816.2,10.0,9.0,7.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,7.0,10.0,8.0,11.0,10.0,7.0,10.0,9.0,10.0,7.0,7.0,9.0,7.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0
>ENST00000513388.2,9.0,10.0,11.0,10.0,9.0,12.0,10.0,11.0,10.0,9.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,12.0,12.0,11.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,9.0,9.0,10.0,12.0,8.0,0.0,9.0,8.0,10.0,11.0,9.0,10.0,9.0,9.0
>ENST00000614802.1,6.0,10.0,7.0,10.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,9.0,8.0,7.0,8.0,9.0,6.0,8.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,7.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,9.0,0.0,7.0,6.0,8.0,8.0,7.0,7.0,6.0
ENSG00000277861.1,12.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0,12.0,9.0,9.0,10.0,6.0,8.0,7.0,8.0,6.0,6.0,7.0,8.0,8.0,8.0,7.0,9.0,9.0,6.0,7.0,10.0,8.0,8.0,8.0,7.0,0.0,7.0,7.0,9.0,7.0,6.0,7.0
>ENST00000518187.1,7.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,11.0,8.0,8.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,7.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,8.0,10.0,6.0,7.0,0.0,9.0,9.0,10.0,8.0,8.0
>ENST00000424456.3,9.0,10.0,9.0,13.0,12.0,13.0,9.0,11.0,11.0,11.0,10.0,10.0,13.0,8.0,10.0,11.0,9.0,11.0,11.0,12.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,13.0,11.0,10.0,9.0,10.0,11.0,8.0,11.0,8.0,7.0,9.0,0.0,13.0,12.0,10.0,9.0
>ENST00000399764.3,9.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,8.0,10.0,10.0,7.0,12.0,10.0,11.0,11.0,8.0,10.0,8.0,9.0,11.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,13.0,0.0,9.0,8.0,10.0
>ENST00000417282.1,8.0,10.0,8.0,10.0,9.0,10.0,9.0,12.0,10.0,11.0,9.0,12.0,10.0,8.0,12.0,9.0,10.0,10.0,10.0,11.0,10.0,8.0,8.0,10.0,11.0,12.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,7.0,7.0,10.0,12.0,9.0,0.0,10.0,10.0
>ENST00000411602.1,7.0,9.0,8.0,9.0,9.0,9.0,7.0,7.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,7.0,8.0,9.0,10.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0,8.0,10.0,9.0,7.0,9.0,9.0,9.0,9.0,7.0,6.0,8.0,10.0,8.0,10.0,0.0,9.0
>ENST00000445380.2,8.0,11.0,8.0,8.0,10.0,8.0,11.0,9.0,10.0,8.0,10.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,12.0,9.0,10.0,9.0,9.0,8.0,11.0,12.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,6.0,7.0,8.0,9.0,10.0,10.0,9.0,0.0
