,>ENST00000446772.1,>ENST00000436541.1,>ENST00000456472.1,>ENST00000513251.1,>ENST00000610586.1,>ENST00000415474.1,>ENST00000430708.1,>ENST00000440488.1,>ENST00000446582.2,>ENST00000435991.2,>ENST00000615155.2,>ENST00000517466.1,>ENST00000528421.1,>ENST00000521069.1,ENSG00000252800.1,>ENST00000510378.1,>ENST00000407089.2,>ENST00000592830.1,>ENST00000428729.1,>ENST00000398317.2,>ENST00000495480.1,>ENST00000425717.1,ENSG00000244356.3,>ENST00000429385.1,>ENST00000576058.2,>ENST00000621407.1,ENSG00000072778.19,>ENST00000379591.4,>ENST00000446360.1,>ENST00000589199.1,>ENST00000517626.1,>ENST00000472406.1,>ENST00000421246.1,>ENST00000587110.1,>ENST00000610599.1,>ENST00000603823.1,>ENST00000604544.1,>ENST00000445182.2,ENSG00000131721.5,>ENST00000509908.1,>ENST00000424004.1,>ENST00000442314.1
>ENST00000428729.1,11.0,13.0,11.0,7.0,9.0,9.0,9.0,7.0,10.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,0.0,8.0,10.0,10.0,9.0,11.0,7.0,10.0,10.0,10.0,9.0,11.0,11.0,7.0,9.0,10.0,8.0,8.0,8.0,10.0,11.0,9.0,9.0,9.0
>ENST00000398317.2,8.0,8.0,11.0,9.0,8.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,8.0,0.0,11.0,10.0,7.0,11.0,10.0,10.0,13.0,10.0,10.0,8.0,9.0,8.0,10.0,13.0,9.0,9.0,8.0,11.0,14.0,8.0,12.0,10.0
>ENST00000495480.1,9.0,10.0,12.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,11.0,12.0,10.0,11.0,0.0,9.0,9.0,9.0,9.0,9.0,12.0,9.0,11.0,8.0,10.0,8.0,10.0,12.0,10.0,11.0,9.0,13.0,11.0,8.0,10.0,10.0
>ENST00000425717.1,8.0,9.0,11.0,9.0,10.0,12.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,0.0,9.0,10.0,10.0,14.0,11.0,10.0,8.0,21.0,10.0,8.0,11.0,12.0,9.0,10.0,9.0,10.0,13.0,9.0,10.0,9.0
ENSG00000244356.3,7.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,10.0,8.0,11.0,8.0,7.0,8.0,9.0,7.0,9.0,9.0,0.0,8.0,7.0,10.0,12.0,9.0,10.0,8.0,10.0,8.0,8.0,17.0,9.0,11.0,8.0,9.0,12.0,8.0,10.0,9.0
>ENST00000429385.1,10.0,12.0,11.0,9.0,10.0,10.0,12.0,9.0,10.0,11.0,9.0,13.0,11.0,9.0,8.0,9.0,9.0,10.0,11.0,11.0,9.0,10.0,8.0,0.0,9.0,11.0,12.0,10.0,10.0,11.0,10.0,9.0,10.0,12.0,12.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0
>ENST00000576058.2,8.0,8.0,10.0,8.0,7.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,11.0,8.0,8.0,7.0,7.0,8.0,7.0,10.0,9.0,10.0,7.0,9.0,0.0,8.0,12.0,9.0,11.0,8.0,10.0,7.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,7.0,7.0,10.0
>ENST00000621407.1,9.0,10.0,13.0,10.0,9.0,11.0,13.0,9.0,10.0,12.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,14.0,10.0,11.0,8.0,0.0,14.0,10.0,11.0,11.0,10.0,12.0,12.0,11.0,10.0,10.0,8.0,10.0,12.0,12.0,11.0,11.0
ENSG00000072778.19,11.0,10.0,11.0,10.0,11.0,11.0,15.0,10.0,11.0,10.0,11.0,12.0,10.0,12.0,12.0,9.0,11.0,12.0,10.0,13.0,12.0,11.0,12.0,12.0,12.0,14.0,0.0,11.0,11.0,12.0,12.0,9.0,10.0,13.0,12.0,12.0,11.0,11.0,15.0,10.0,13.0,10.0
>ENST00000379591.4,9.0,9.0,10.0,10.0,9.0,11.0,11.0,11.0,10.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,0.0,14.0,8.0,10.0,8.0,10.0,10.0,8.0,8.0,8.0,12.0,11.0,8.0,11.0,10.0
>ENST00000446360.1,9.0,10.0,10.0,10.0,10.0,12.0,9.0,9.0,12.0,10.0,10.0,11.0,10.0,9.0,7.0,8.0,10.0,9.0,9.0,10.0,11.0,8.0,10.0,10.0,11.0,11.0,11.0,14.0,0.0,8.0,11.0,7.0,11.0,12.0,11.0,10.0,11.0,11.0,12.0,8.0,9.0,10.0
>ENST00000589199.1,8.0,8.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0,7.0,11.0,8.0,8.0,21.0,8.0,11.0,8.0,11.0,12.0,8.0,8.0,0.0,10.0,8.0,7.0,12.0,9.0,8.0,8.0,9.0,11.0,7.0,7.0,9.0
>ENST00000517626.1,8.0,9.0,12.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,11.0,10.0,0.0,9.0,10.0,10.0,12.0,10.0,11.0,9.0,12.0,9.0,11.0,10.0
>ENST00000472406.1,7.0,7.0,10.0,6.0,8.0,10.0,9.0,7.0,10.0,11.0,8.0,8.0,8.0,9.0,11.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,7.0,12.0,9.0,8.0,7.0,8.0,9.0,0.0,8.0,10.0,8.0,9.0,8.0,10.0,9.0,7.0,8.0,10.0
>ENST00000421246.1,8.0,8.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0,11.0,8.0,10.0,9.0,12.0,10.0,10.0,11.0,7.0,10.0,8.0,0.0,11.0,9.0,10.0,10.0,11.0,11.0,8.0,9.0,11.0
>ENST00000587110.1,9.0,11.0,11.0,9.0,11.0,12.0,10.0,9.0,10.0,11.0,12.0,10.0,10.0,11.0,10.0,8.0,8.0,9.0,10.0,13.0,12.0,12.0,17.0,12.0,10.0,11.0,13.0,10.0,12.0,12.0,10.0,10.0,11.0,0.0,10.0,10.0,10.0,10.0,13.0,8.0,11.0,11.0
>ENST00000610599.1,8.0,8.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,7.0,8.0,9.0,9.0,10.0,8.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,12.0,9.0,10.0,12.0,8.0,11.0,9.0,12.0,8.0,9.0,10.0,0.0,11.0,8.0,10.0,11.0,8.0,9.0,9.0
>ENST00000603823.1,6.0,8.0,10.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,7.0,8.0,8.0,12.0,8.0,9.0,11.0,10.0,11.0,10.0,8.0,10.0,12.0,8.0,10.0,8.0,10.0,9.0,10.0,10.0,11.0,0.0,9.0,12.0,11.0,9.0,8.0,11.0
>ENST00000604544.1,7.0,7.0,10.0,10.0,8.0,10.0,8.0,8.0,9.0,10.0,13.0,8.0,10.0,9.0,9.0,7.0,9.0,7.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,11.0,8.0,11.0,8.0,11.0,8.0,10.0,10.0,8.0,9.0,0.0,10.0,11.0,8.0,10.0,11.0
>ENST00000445182.2,8.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,13.0,9.0,7.0,9.0,8.0,9.0,10.0,6.0,10.0,9.0,10.0,11.0,13.0,10.0,9.0,9.0,8.0,10.0,11.0,12.0,11.0,9.0,9.0,10.0,11.0,10.0,10.0,12.0,10.0,0.0,12.0,9.0,10.0,9.0
ENSG00000131721.5,10.0,10.0,12.0,13.0,12.0,13.0,12.0,11.0,14.0,13.0,12.0,12.0,12.0,14.0,12.0,8.0,12.0,10.0,11.0,14.0,11.0,13.0,12.0,11.0,10.0,12.0,15.0,11.0,12.0,11.0,12.0,9.0,11.0,13.0,11.0,11.0,11.0,12.0,0.0,9.0,11.0,11.0
>ENST00000509908.1,7.0,7.0,10.0,7.0,8.0,8.0,10.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,12.0,10.0,8.0,8.0,7.0,9.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,0.0,8.0,10.0
>ENST00000424004.1,10.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,6.0,9.0,9.0,12.0,10.0,10.0,10.0,10.0,7.0,11.0,13.0,11.0,9.0,7.0,11.0,8.0,9.0,11.0,9.0,8.0,10.0,10.0,11.0,8.0,0.0,11.0
>ENST00000442314.1,8.0,9.0,10.0,8.0,10.0,11.0,10.0,10.0,11.0,10.0,9.0,9.0,12.0,10.0,8.0,7.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,11.0,9.0,11.0,11.0,9.0,11.0,10.0,11.0,0.0
