,>ENST00000408043.1,>ENST00000534741.1,>ENST00000524071.1,>ENST00000331585.6,ENSG00000276002.1,>ENST00000427625.1,>ENST00000427294.1,>ENST00000559372.1,ENSG00000164334.15,>ENST00000392758.2,>ENST00000417306.1,>ENST00000603098.1,>ENST00000474888.1,>ENST00000441455.1,>ENST00000530020.5,>ENST00000486595.1,>ENST00000413075.1,>ENST00000395519.3,>ENST00000611212.1,>ENST00000524791.1,>ENST00000441962.1,>ENST00000435551.1,>ENST00000435988.1,ENSG00000211685.3,>ENST00000398655.2,ENSG00000108773.10,>ENST00000579304.2,ENSG00000266376.1,>ENST00000451052.1,>ENST00000554037.2,>ENST00000613591.1,>ENST00000562087.2,>ENST00000416914.1,>ENST00000603786.1,>ENST00000461109.1,>ENST00000448213.2,>ENST00000453679.1,>ENST00000417217.2,>ENST00000511618.1,>ENST00000456260.1,>ENST00000449397.1,>ENST00000483867.1
>ENST00000417306.1,9.0,9.0,11.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,0.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,10.0,12.0,9.0,10.0,9.0,10.0,10.0,13.0,8.0,7.0,11.0,8.0,8.0,9.0,12.0,8.0,9.0,10.0,8.0,8.0,10.0,7.0,10.0,9.0
>ENST00000603098.1,8.0,9.0,9.0,9.0,10.0,9.0,7.0,9.0,10.0,8.0,8.0,0.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,7.0,9.0,8.0,7.0,9.0,9.0,8.0,8.0,10.0,7.0,8.0,9.0,8.0,8.0,8.0
>ENST00000474888.1,9.0,10.0,10.0,12.0,8.0,10.0,8.0,11.0,11.0,10.0,9.0,9.0,0.0,11.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,11.0,10.0,11.0,10.0,6.0,11.0,9.0,9.0,9.0,13.0,8.0,9.0,10.0,10.0,7.0,11.0,8.0,8.0,11.0
>ENST00000441455.1,10.0,11.0,11.0,10.0,10.0,13.0,8.0,8.0,11.0,13.0,10.0,10.0,11.0,0.0,11.0,9.0,9.0,12.0,10.0,11.0,9.0,12.0,10.0,11.0,12.0,11.0,10.0,7.0,12.0,9.0,9.0,11.0,12.0,10.0,10.0,11.0,9.0,13.0,10.0,9.0,9.0,9.0
>ENST00000530020.5,12.0,9.0,11.0,10.0,9.0,10.0,9.0,11.0,12.0,10.0,8.0,9.0,8.0,11.0,0.0,9.0,11.0,11.0,10.0,10.0,9.0,9.0,11.0,9.0,10.0,11.0,10.0,8.0,12.0,11.0,10.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,10.0,8.0,10.0,9.0
>ENST00000486595.1,10.0,10.0,10.0,10.0,7.0,10.0,9.0,9.0,13.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,9.0,11.0,9.0,10.0,11.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,11.0,8.0,9.0,10.0
>ENST00000413075.1,9.0,11.0,10.0,10.0,8.0,10.0,10.0,11.0,13.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,0.0,10.0,10.0,11.0,9.0,11.0,9.0,9.0,10.0,12.0,10.0,7.0,10.0,8.0,10.0,10.0,9.0,11.0,9.0,12.0,8.0,10.0,11.0,9.0,9.0,9.0
>ENST00000395519.3,10.0,11.0,12.0,10.0,103.0,16.0,8.0,11.0,12.0,10.0,10.0,8.0,9.0,12.0,11.0,11.0,10.0,0.0,11.0,9.0,11.0,10.0,11.0,10.0,12.0,13.0,10.0,8.0,11.0,11.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,11.0,9.0,11.0
>ENST00000611212.1,11.0,10.0,11.0,11.0,9.0,9.0,9.0,10.0,16.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,0.0,9.0,9.0,10.0,10.0,9.0,14.0,11.0,10.0,8.0,12.0,9.0,8.0,12.0,10.0,9.0,10.0,9.0,9.0,12.0,11.0,10.0,9.0,10.0
>ENST00000524791.1,9.0,10.0,11.0,10.0,8.0,10.0,8.0,11.0,13.0,11.0,12.0,10.0,10.0,11.0,10.0,10.0,11.0,9.0,9.0,0.0,9.0,11.0,10.0,9.0,9.0,11.0,9.0,7.0,12.0,8.0,10.0,13.0,11.0,8.0,8.0,11.0,8.0,8.0,10.0,7.0,10.0,10.0
>ENST00000441962.1,10.0,9.0,10.0,12.0,8.0,13.0,8.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,11.0,9.0,9.0,0.0,10.0,9.0,9.0,10.0,12.0,9.0,9.0,11.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,7.0,10.0,10.0
>ENST00000435551.1,10.0,10.0,10.0,10.0,8.0,11.0,9.0,10.0,12.0,10.0,10.0,9.0,10.0,12.0,9.0,9.0,11.0,10.0,10.0,11.0,10.0,0.0,9.0,8.0,11.0,10.0,9.0,7.0,11.0,10.0,8.0,10.0,10.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,11.0,11.0
>ENST00000435988.1,9.0,13.0,13.0,11.0,9.0,9.0,7.0,10.0,12.0,10.0,9.0,9.0,9.0,10.0,11.0,11.0,9.0,11.0,10.0,10.0,9.0,9.0,0.0,11.0,13.0,13.0,10.0,8.0,10.0,9.0,11.0,9.0,10.0,12.0,9.0,12.0,9.0,8.0,11.0,8.0,10.0,11.0
ENSG00000211685.3,9.0,11.0,10.0,10.0,9.0,12.0,7.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,0.0,11.0,11.0,10.0,6.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,14.0,8.0,10.0,10.0,9.0,10.0
>ENST00000398655.2,12.0,11.0,10.0,11.0,8.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,12.0,10.0,11.0,10.0,12.0,14.0,9.0,10.0,11.0,13.0,11.0,0.0,10.0,12.0,8.0,10.0,9.0,9.0,12.0,11.0,11.0,11.0,13.0,11.0,10.0,11.0,9.0,9.0,10.0
ENSG00000108773.10,14.0,11.0,12.0,13.0,11.0,12.0,11.0,13.0,36.0,12.0,13.0,10.0,11.0,11.0,11.0,11.0,12.0,13.0,11.0,11.0,12.0,10.0,13.0,11.0,10.0,0.0,46.0,10.0,12.0,12.0,11.0,12.0,11.0,11.0,10.0,12.0,12.0,9.0,12.0,12.0,12.0,11.0
>ENST00000579304.2,12.0,10.0,11.0,11.0,9.0,9.0,8.0,12.0,21.0,11.0,8.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,12.0,46.0,0.0,6.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,22.0,8.0,11.0,11.0,9.0,9.0,13.0
ENSG00000266376.1,7.0,7.0,8.0,7.0,8.0,7.0,6.0,7.0,8.0,8.0,7.0,7.0,6.0,7.0,8.0,11.0,7.0,8.0,8.0,7.0,9.0,7.0,8.0,6.0,8.0,10.0,6.0,0.0,10.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,8.0,8.0
>ENST00000451052.1,10.0,11.0,10.0,9.0,9.0,10.0,10.0,11.0,12.0,11.0,11.0,9.0,11.0,12.0,12.0,11.0,10.0,11.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,12.0,10.0,10.0,0.0,9.0,8.0,11.0,11.0,10.0,9.0,10.0,9.0,9.0,11.0,8.0,13.0,10.0
>ENST00000554037.2,9.0,9.0,8.0,9.0,7.0,9.0,7.0,11.0,11.0,9.0,8.0,8.0,9.0,9.0,11.0,10.0,8.0,11.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,12.0,9.0,6.0,9.0,0.0,10.0,12.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,8.0,10.0
>ENST00000613591.1,10.0,9.0,12.0,9.0,10.0,8.0,9.0,11.0,11.0,8.0,8.0,7.0,9.0,9.0,10.0,8.0,10.0,8.0,8.0,10.0,8.0,8.0,11.0,9.0,9.0,11.0,8.0,7.0,8.0,10.0,0.0,10.0,9.0,8.0,9.0,13.0,8.0,7.0,9.0,9.0,8.0,9.0
>ENST00000562087.2,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,12.0,13.0,10.0,10.0,9.0,9.0,12.0,12.0,9.0,8.0,11.0,12.0,10.0,0.0,9.0,9.0,8.0,10.0,8.0,9.0,10.0,7.0,10.0,9.0
>ENST00000416914.1,10.0,12.0,10.0,10.0,11.0,8.0,9.0,9.0,12.0,10.0,12.0,9.0,13.0,12.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,11.0,11.0,11.0,10.0,7.0,11.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,9.0,8.0,11.0,7.0,9.0,11.0
>ENST00000603786.1,9.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,8.0,11.0,9.0,9.0,8.0,8.0,8.0,12.0,9.0,11.0,11.0,10.0,7.0,10.0,9.0,8.0,9.0,9.0,0.0,8.0,10.0,10.0,7.0,8.0,9.0,9.0,9.0
>ENST00000461109.1,10.0,9.0,10.0,11.0,7.0,11.0,8.0,9.0,9.0,7.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,11.0,10.0,9.0,7.0,9.0,8.0,9.0,8.0,9.0,8.0,0.0,10.0,9.0,8.0,9.0,7.0,9.0,9.0
>ENST00000448213.2,10.0,10.0,11.0,10.0,9.0,9.0,10.0,14.0,12.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,12.0,10.0,9.0,11.0,9.0,9.0,12.0,10.0,13.0,12.0,22.0,7.0,10.0,8.0,13.0,10.0,10.0,10.0,10.0,0.0,9.0,9.0,13.0,12.0,10.0,11.0
>ENST00000453679.1,12.0,9.0,10.0,10.0,8.0,8.0,9.0,11.0,11.0,8.0,8.0,7.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,14.0,11.0,12.0,8.0,6.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,0.0,8.0,9.0,8.0,11.0,9.0
>ENST00000417217.2,8.0,9.0,10.0,11.0,7.0,9.0,7.0,9.0,11.0,8.0,8.0,8.0,7.0,13.0,10.0,8.0,10.0,10.0,12.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,11.0,7.0,9.0,9.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,0.0,9.0,8.0,9.0,9.0
>ENST00000511618.1,10.0,12.0,12.0,10.0,10.0,8.0,9.0,10.0,11.0,10.0,10.0,9.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,12.0,11.0,7.0,11.0,10.0,9.0,10.0,11.0,8.0,9.0,13.0,9.0,9.0,0.0,9.0,10.0,9.0
>ENST00000456260.1,8.0,9.0,10.0,9.0,8.0,8.0,7.0,10.0,10.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,11.0,10.0,7.0,7.0,8.0,8.0,10.0,9.0,12.0,9.0,6.0,8.0,8.0,9.0,7.0,7.0,9.0,7.0,12.0,8.0,8.0,9.0,0.0,7.0,12.0
>ENST00000449397.1,9.0,10.0,11.0,9.0,8.0,9.0,8.0,8.0,11.0,8.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,12.0,9.0,8.0,13.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,7.0,0.0,9.0
>ENST00000483867.1,11.0,9.0,10.0,14.0,8.0,10.0,11.0,9.0,11.0,9.0,9.0,8.0,11.0,9.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,13.0,8.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,12.0,9.0,0.0
