,>ENST00000396909.3,>ENST00000447161.1,>ENST00000511857.1,>ENST00000439038.1,>ENST00000407532.2,>ENST00000563867.5,>ENST00000416843.1,>ENST00000414167.1,>ENST00000471084.1,>ENST00000430884.1,>ENST00000604983.1,>ENST00000531320.1,>ENST00000497398.1,>ENST00000510838.1,>ENST00000445404.1,>ENST00000441098.2,>ENST00000438595.2,>ENST00000449607.1,>ENST00000523324.1,>ENST00000554348.2,>ENST00000450470.2,>ENST00000560907.1,>ENST00000482313.1,>ENST00000583290.1,>ENST00000450912.2,>ENST00000546698.1,>ENST00000412397.2,>ENST00000427602.1,>ENST00000314715.3,>ENST00000562217.1,>ENST00000439139.1,>ENST00000420635.1,>ENST00000416399.2,>ENST00000550077.1,>ENST00000534107.1,>ENST00000481955.1,>ENST00000579299.2,>ENST00000431297.1,>ENST00000439535.1,>ENST00000514910.1,>ENST00000452394.1,>ENST00000407271.2,>ENST00000488803.1,>ENST00000618889.1,>ENST00000452418.1,>ENST00000424573.1,>ENST00000490532.1,>ENST00000514955.1,>ENST00000519785.1,>ENST00000490024.1,>ENST00000422587.2,>ENST00000423774.2,>ENST00000623065.1,>ENST00000568912.1,>ENST00000424532.1,>ENST00000487390.1,>ENST00000405824.1,>ENST00000603797.1,>ENST00000514009.1,>ENST00000612670.1,>ENST00000429106.1,>ENST00000589560.2
>ENST00000490532.1,11.0,15.0,10.0,10.0,9.0,9.0,8.0,10.0,8.0,9.0,10.0,12.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,13.0,10.0,10.0,7.0,0.0,15.0,11.0,9.0,9.0,11.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0
>ENST00000514955.1,11.0,12.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,11.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,11.0,9.0,11.0,9.0,10.0,12.0,13.0,13.0,10.0,14.0,12.0,10.0,12.0,10.0,10.0,11.0,11.0,11.0,9.0,10.0,15.0,0.0,11.0,13.0,10.0,9.0,9.0,11.0,14.0,10.0,10.0,9.0,11.0,11.0,9.0,10.0
>ENST00000519785.1,9.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,6.0,9.0,9.0,10.0,8.0,10.0,10.0,7.0,9.0,11.0,8.0,7.0,8.0,9.0,8.0,10.0,8.0,10.0,13.0,8.0,8.0,9.0,10.0,8.0,10.0,8.0,9.0,10.0,11.0,9.0,8.0,9.0,10.0,7.0,10.0,10.0,9.0,8.0,11.0,11.0,0.0,8.0,7.0,9.0,8.0,9.0,8.0,12.0,9.0,10.0,9.0,10.0,8.0,10.0
>ENST00000490024.1,11.0,13.0,13.0,9.0,9.0,10.0,9.0,10.0,7.0,9.0,8.0,11.0,8.0,12.0,9.0,7.0,10.0,9.0,7.0,7.0,9.0,9.0,8.0,12.0,9.0,8.0,10.0,7.0,11.0,7.0,9.0,9.0,13.0,8.0,8.0,11.0,12.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,7.0,9.0,13.0,8.0,0.0,9.0,8.0,7.0,12.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0
>ENST00000422587.2,10.0,10.0,9.0,11.0,53.0,8.0,8.0,10.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,7.0,11.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,7.0,9.0,10.0,7.0,9.0,0.0,8.0,7.0,9.0,8.0,8.0,9.0,11.0,11.0,7.0,42.0,9.0
>ENST00000423774.2,9.0,10.0,10.0,9.0,8.0,8.0,10.0,8.0,7.0,9.0,7.0,10.0,8.0,9.0,9.0,8.0,7.0,8.0,9.0,7.0,8.0,9.0,10.0,9.0,8.0,11.0,12.0,6.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,10.0,11.0,12.0,8.0,8.0,8.0,8.0,10.0,9.0,8.0,11.0,9.0,9.0,8.0,8.0,0.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,10.0
>ENST00000623065.1,11.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,6.0,8.0,8.0,7.0,7.0,11.0,8.0,8.0,8.0,8.0,7.0,6.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,7.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,8.0,10.0,7.0,8.0,9.0,8.0,7.0,7.0,8.0,0.0,8.0,7.0,8.0,8.0,9.0,10.0,10.0,10.0,11.0
>ENST00000568912.1,9.0,10.0,10.0,11.0,10.0,10.0,12.0,11.0,9.0,10.0,7.0,9.0,9.0,10.0,11.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,13.0,10.0,10.0,10.0,9.0,9.0,13.0,11.0,12.0,10.0,9.0,9.0,8.0,10.0,11.0,11.0,7.0,10.0,11.0,9.0,12.0,9.0,10.0,8.0,0.0,10.0,9.0,12.0,8.0,10.0,9.0,8.0,11.0
>ENST00000424532.1,10.0,9.0,10.0,11.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,6.0,8.0,8.0,9.0,10.0,8.0,10.0,9.0,8.0,11.0,9.0,8.0,9.0,10.0,10.0,8.0,8.0,11.0,8.0,10.0,10.0,9.0,13.0,9.0,9.0,10.0,9.0,9.0,14.0,8.0,8.0,8.0,8.0,7.0,10.0,0.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0
>ENST00000487390.1,9.0,10.0,10.0,10.0,9.0,11.0,10.0,8.0,9.0,9.0,8.0,13.0,11.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,10.0,11.0,8.0,10.0,8.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,7.0,9.0,10.0,12.0,8.0,8.0,8.0,8.0,9.0,9.0,0.0,9.0,9.0,9.0,8.0,8.0,10.0
>ENST00000405824.1,9.0,10.0,12.0,9.0,8.0,9.0,11.0,9.0,8.0,8.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,11.0,8.0,8.0,9.0,9.0,9.0,12.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,12.0,11.0,8.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,12.0,9.0,9.0,0.0,10.0,10.0,10.0,8.0,8.0
>ENST00000603797.1,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,8.0,9.0,11.0,8.0,9.0,9.0,9.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,9.0,6.0,10.0,8.0,8.0,10.0,8.0,9.0,10.0,12.0,10.0,10.0,9.0,10.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,0.0,9.0,10.0,8.0,9.0
>ENST00000514009.1,9.0,11.0,10.0,9.0,10.0,10.0,7.0,9.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,11.0,10.0,11.0,9.0,11.0,11.0,11.0,9.0,9.0,12.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,0.0,9.0,12.0,9.0
>ENST00000612670.1,8.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,7.0,10.0,8.0,10.0,9.0,8.0,10.0,7.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,6.0,11.0,8.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,11.0,10.0,10.0,7.0,7.0,10.0,9.0,8.0,8.0,10.0,10.0,9.0,0.0,8.0,10.0
>ENST00000429106.1,9.0,11.0,11.0,9.0,45.0,8.0,8.0,11.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,7.0,9.0,9.0,10.0,11.0,8.0,9.0,7.0,10.0,8.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,8.0,8.0,10.0,10.0,8.0,8.0,9.0,8.0,8.0,42.0,8.0,10.0,8.0,9.0,8.0,8.0,8.0,12.0,8.0,0.0,9.0
>ENST00000589560.2,13.0,11.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0,9.0,11.0,10.0,9.0,13.0,9.0,10.0,7.0,11.0,10.0,10.0,8.0,9.0,10.0,11.0,11.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,0.0
