,>ENST00000453073.1,>ENST00000515039.1,>ENST00000450197.1,>ENST00000448547.1,ENSG00000252121.1,>ENST00000432132.2,>ENST00000438503.1,>ENST00000412031.1,>ENST00000415961.2,>ENST00000593294.1,>ENST00000435729.1,>ENST00000424092.1,>ENST00000451920.2,>ENST00000604027.1,>ENST00000557228.2,>ENST00000414464.2,>ENST00000541534.1,>ENST00000486188.1,>ENST00000465295.1,>ENST00000548889.1,>ENST00000533731.1,>ENST00000445734.1,>ENST00000417487.1,>ENST00000522230.1,>ENST00000445584.1,>ENST00000435256.1,>ENST00000476147.2,>ENST00000447099.1,ENSG00000188223.9,>ENST00000488095.1,>ENST00000537967.1,>ENST00000519625.1,>ENST00000428976.1,>ENST00000551398.1
>ENST00000435729.1,9.0,8.0,11.0,9.0,7.0,11.0,10.0,9.0,8.0,9.0,0.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,10.0,8.0,8.0,9.0,10.0,9.0
>ENST00000424092.1,10.0,9.0,11.0,10.0,8.0,12.0,8.0,9.0,10.0,9.0,9.0,0.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,10.0,9.0,9.0,12.0,9.0,9.0,9.0,9.0,12.0,12.0,10.0,9.0,11.0,10.0,9.0
>ENST00000451920.2,9.0,7.0,9.0,11.0,8.0,10.0,8.0,8.0,10.0,16.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,12.0,9.0,9.0,8.0,9.0,8.0,9.0,12.0,9.0,7.0,10.0,9.0,10.0
>ENST00000604027.1,329.0,9.0,10.0,10.0,8.0,11.0,11.0,10.0,11.0,9.0,10.0,10.0,9.0,0.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,8.0,10.0,12.0,11.0,8.0,9.0,9.0,9.0
>ENST00000557228.2,10.0,9.0,10.0,11.0,8.0,11.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,0.0,8.0,10.0,8.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,12.0,12.0,9.0,12.0,9.0,11.0,12.0,10.0,10.0
>ENST00000414464.2,10.0,7.0,8.0,10.0,7.0,10.0,8.0,7.0,8.0,9.0,9.0,11.0,9.0,9.0,8.0,0.0,13.0,12.0,8.0,10.0,9.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,12.0,8.0,7.0,8.0,8.0,7.0
>ENST00000541534.1,9.0,9.0,9.0,11.0,7.0,11.0,9.0,9.0,8.0,8.0,9.0,11.0,9.0,11.0,10.0,13.0,0.0,9.0,8.0,10.0,10.0,9.0,10.0,7.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,11.0,10.0,10.0
>ENST00000486188.1,8.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,12.0,9.0,0.0,9.0,9.0,8.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0
>ENST00000465295.1,10.0,10.0,10.0,12.0,7.0,10.0,8.0,10.0,10.0,9.0,10.0,12.0,10.0,10.0,10.0,8.0,8.0,9.0,0.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,12.0,11.0,9.0,8.0,8.0,9.0,8.0
>ENST00000548889.1,10.0,8.0,9.0,11.0,9.0,11.0,10.0,8.0,9.0,8.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,9.0,0.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,14.0,11.0,11.0,8.0,10.0,9.0,12.0
>ENST00000533731.1,10.0,8.0,10.0,10.0,7.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,0.0,9.0,9.0,10.0,8.0,11.0,10.0,10.0,13.0,7.0,8.0,9.0,9.0,9.0
>ENST00000445734.1,9.0,8.0,12.0,12.0,8.0,9.0,8.0,9.0,9.0,7.0,10.0,9.0,12.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,0.0,10.0,10.0,9.0,9.0,8.0,8.0,12.0,9.0,10.0,9.0,8.0,9.0
>ENST00000417487.1,10.0,12.0,9.0,10.0,7.0,11.0,11.0,8.0,10.0,9.0,9.0,12.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,11.0,9.0,10.0,0.0,12.0,9.0,9.0,9.0,13.0,11.0,8.0,8.0,10.0,10.0,10.0
>ENST00000522230.1,9.0,8.0,10.0,8.0,7.0,10.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,10.0,8.0,7.0,7.0,8.0,9.0,10.0,10.0,12.0,0.0,8.0,9.0,8.0,8.0,13.0,7.0,10.0,8.0,8.0,7.0
>ENST00000445584.1,9.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,8.0,7.0,10.0,9.0,8.0,11.0,10.0,7.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,0.0,9.0,9.0,8.0,10.0,8.0,10.0,9.0,11.0,11.0
>ENST00000435256.1,10.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,12.0,8.0,10.0,8.0,8.0,10.0,11.0,9.0,9.0,9.0,9.0,0.0,9.0,8.0,11.0,10.0,8.0,10.0,9.0,8.0
>ENST00000476147.2,10.0,12.0,9.0,9.0,11.0,12.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,12.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,0.0,9.0,12.0,12.0,9.0,8.0,8.0,8.0
>ENST00000447099.1,10.0,7.0,9.0,9.0,6.0,10.0,9.0,9.0,8.0,9.0,10.0,12.0,9.0,10.0,9.0,9.0,8.0,9.0,12.0,14.0,10.0,8.0,13.0,8.0,8.0,8.0,9.0,0.0,10.0,9.0,7.0,8.0,9.0,9.0
ENSG00000188223.9,11.0,12.0,14.0,11.0,10.0,11.0,12.0,10.0,12.0,11.0,10.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,11.0,11.0,13.0,12.0,11.0,13.0,10.0,11.0,12.0,10.0,0.0,10.0,10.0,12.0,14.0,11.0
>ENST00000488095.1,11.0,8.0,10.0,9.0,7.0,8.0,11.0,9.0,9.0,8.0,8.0,10.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,11.0,7.0,9.0,8.0,7.0,8.0,10.0,12.0,9.0,10.0,0.0,8.0,8.0,9.0,8.0
>ENST00000537967.1,8.0,8.0,9.0,10.0,6.0,11.0,8.0,7.0,7.0,7.0,8.0,9.0,7.0,8.0,11.0,7.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,10.0,10.0,8.0,9.0,7.0,10.0,8.0,0.0,9.0,10.0,10.0
>ENST00000519625.1,8.0,8.0,9.0,10.0,9.0,11.0,9.0,9.0,8.0,7.0,9.0,11.0,10.0,9.0,12.0,8.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,12.0,8.0,9.0,0.0,9.0,177.0
>ENST00000428976.1,10.0,9.0,9.0,11.0,8.0,10.0,11.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,11.0,9.0,8.0,9.0,14.0,9.0,10.0,9.0,0.0,8.0
>ENST00000551398.1,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,7.0,10.0,10.0,8.0,12.0,9.0,9.0,10.0,7.0,11.0,8.0,8.0,9.0,11.0,8.0,10.0,177.0,8.0,0.0
