,>ENST00000597858.1,>ENST00000449539.1,>ENST00000611325.1,>ENST00000432698.1,>ENST00000557158.2,>ENST00000603787.1,>ENST00000515779.1,>ENST00000549467.1,>ENST00000612443.1,>ENST00000413515.1,>ENST00000423801.1,>ENST00000503863.2,>ENST00000604630.1,>ENST00000445563.2,>ENST00000550956.1,>ENST00000422644.2,>ENST00000478813.1,>ENST00000413846.1,>ENST00000567334.1,>ENST00000436704.1,>ENST00000502808.2,>ENST00000505910.1,>ENST00000472981.1,>ENST00000405771.3,>ENST00000603541.1,>ENST00000514020.1,>ENST00000524200.1,>ENST00000563813.1,>ENST00000506846.3,>ENST00000461396.1,>ENST00000508242.1,>ENST00000532736.1,>ENST00000501248.2,>ENST00000447378.2
>ENST00000423801.1,8.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,0.0,12.0,8.0,9.0,10.0,11.0,13.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,10.0,11.0,11.0
>ENST00000503863.2,8.0,12.0,11.0,10.0,11.0,11.0,12.0,10.0,11.0,12.0,12.0,0.0,9.0,15.0,10.0,10.0,10.0,9.0,9.0,12.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,11.0,10.0,12.0,10.0,10.0,11.0
>ENST00000604630.1,7.0,8.0,8.0,8.0,8.0,8.0,12.0,7.0,7.0,9.0,8.0,9.0,0.0,9.0,7.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0
>ENST00000445563.2,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,15.0,9.0,0.0,10.0,9.0,11.0,10.0,11.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0,10.0,8.0,9.0,8.0,13.0
>ENST00000550956.1,8.0,10.0,8.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,7.0,10.0,0.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,11.0,9.0,9.0,12.0,11.0,8.0,9.0,8.0,11.0
>ENST00000422644.2,8.0,10.0,8.0,12.0,10.0,10.0,10.0,10.0,8.0,11.0,11.0,10.0,8.0,9.0,10.0,0.0,13.0,10.0,10.0,9.0,9.0,11.0,9.0,10.0,11.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0
>ENST00000478813.1,8.0,9.0,10.0,11.0,10.0,8.0,10.0,10.0,8.0,11.0,13.0,10.0,8.0,11.0,11.0,13.0,0.0,10.0,8.0,8.0,11.0,9.0,10.0,10.0,9.0,11.0,11.0,9.0,11.0,9.0,8.0,10.0,9.0,11.0
>ENST00000413846.1,8.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,7.0,10.0,10.0,10.0,10.0,0.0,7.0,8.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,11.0,8.0,8.0,9.0,9.0,9.0,11.0
>ENST00000567334.1,8.0,10.0,7.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,6.0,11.0,9.0,10.0,8.0,7.0,0.0,9.0,10.0,7.0,8.0,8.0,9.0,11.0,9.0,8.0,8.0,11.0,7.0,8.0,8.0,11.0
>ENST00000436704.1,9.0,10.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,12.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,0.0,10.0,8.0,12.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
>ENST00000502808.2,8.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,7.0,11.0,9.0,10.0,8.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,0.0,9.0,9.0,11.0,13.0,10.0,9.0,10.0,11.0,9.0,9.0,144.0,9.0,12.0
>ENST00000505910.1,9.0,10.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,10.0,8.0,8.0,9.0,11.0,9.0,8.0,7.0,8.0,9.0,0.0,13.0,11.0,11.0,9.0,9.0,8.0,10.0,8.0,7.0,9.0,8.0,9.0
>ENST00000472981.1,8.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,12.0,9.0,13.0,0.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,11.0
>ENST00000405771.3,9.0,11.0,9.0,12.0,11.0,11.0,10.0,34.0,10.0,13.0,11.0,10.0,8.0,11.0,10.0,10.0,10.0,9.0,8.0,11.0,11.0,11.0,9.0,0.0,11.0,9.0,10.0,9.0,12.0,9.0,10.0,12.0,11.0,10.0
>ENST00000603541.1,8.0,11.0,10.0,9.0,8.0,10.0,8.0,9.0,9.0,11.0,10.0,10.0,8.0,9.0,11.0,11.0,9.0,9.0,9.0,9.0,13.0,11.0,10.0,11.0,0.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,10.0
>ENST00000514020.1,8.0,11.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,11.0,10.0,11.0,8.0,11.0,8.0,10.0,9.0,10.0,9.0,9.0,0.0,9.0,9.0,10.0,9.0,8.0,11.0,9.0,11.0
>ENST00000524200.1,8.0,10.0,8.0,10.0,9.0,10.0,9.0,10.0,7.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,0.0,11.0,10.0,9.0,9.0,10.0,11.0,11.0
>ENST00000563813.1,8.0,11.0,8.0,8.0,10.0,8.0,11.0,8.0,9.0,9.0,8.0,10.0,7.0,11.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,11.0,0.0,8.0,8.0,9.0,10.0,10.0,9.0
>ENST00000506846.3,9.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,12.0,8.0,11.0,8.0,10.0,12.0,9.0,11.0,8.0,8.0,9.0,11.0,10.0,10.0,12.0,9.0,10.0,10.0,8.0,0.0,9.0,8.0,10.0,9.0,9.0
>ENST00000461396.1,8.0,9.0,7.0,9.0,9.0,8.0,9.0,9.0,8.0,13.0,8.0,10.0,7.0,10.0,11.0,10.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,0.0,8.0,8.0,7.0,9.0
>ENST00000508242.1,8.0,10.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,13.0,8.0,12.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,9.0,7.0,9.0,10.0,11.0,8.0,9.0,9.0,8.0,8.0,0.0,8.0,8.0,9.0
>ENST00000532736.1,9.0,10.0,8.0,10.0,11.0,10.0,9.0,9.0,11.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,144.0,9.0,9.0,12.0,9.0,11.0,10.0,10.0,10.0,8.0,8.0,0.0,9.0,11.0
>ENST00000501248.2,8.0,10.0,8.0,10.0,8.0,9.0,8.0,10.0,8.0,11.0,11.0,10.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,11.0,9.0,9.0,11.0,10.0,9.0,7.0,8.0,9.0,0.0,11.0
>ENST00000447378.2,10.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,9.0,12.0,11.0,11.0,9.0,13.0,11.0,10.0,11.0,11.0,11.0,9.0,12.0,9.0,11.0,10.0,10.0,11.0,11.0,9.0,9.0,9.0,9.0,11.0,11.0,0.0
