,>ENST00000422468.1,>ENST00000450437.1,>ENST00000493323.1,>ENST00000450145.2,>ENST00000422551.1,>ENST00000552477.1,>ENST00000420836.2,>ENST00000428700.1,>ENST00000447359.1,>ENST00000597791.1,>ENST00000422768.1,>ENST00000605108.1,>ENST00000525886.2,>ENST00000399773.10,>ENST00000403583.1,>ENST00000621665.1,>ENST00000437853.1,>ENST00000548294.1,>ENST00000512973.1,>ENST00000308911.8,>ENST00000435012.1,>ENST00000426536.1,>ENST00000566884.2,>ENST00000448036.1,>ENST00000521343.1,ENSG00000252501.1,>ENST00000553836.2,>ENST00000528539.1
>ENST00000422768.1,10.0,9.0,10.0,11.0,8.0,9.0,9.0,10.0,14.0,11.0,0.0,10.0,7.0,13.0,8.0,11.0,11.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0
>ENST00000605108.1,10.0,7.0,9.0,7.0,10.0,9.0,10.0,8.0,10.0,8.0,10.0,0.0,7.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,7.0,8.0,8.0
>ENST00000525886.2,11.0,8.0,7.0,8.0,8.0,8.0,10.0,9.0,11.0,10.0,7.0,7.0,0.0,10.0,8.0,10.0,11.0,11.0,7.0,10.0,10.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0
>ENST00000399773.10,11.0,9.0,10.0,12.0,12.0,10.0,11.0,10.0,12.0,11.0,13.0,9.0,10.0,0.0,12.0,14.0,12.0,12.0,11.0,12.0,14.0,10.0,11.0,10.0,11.0,8.0,13.0,9.0
>ENST00000403583.1,12.0,9.0,9.0,10.0,12.0,10.0,10.0,10.0,10.0,8.0,8.0,9.0,8.0,12.0,0.0,12.0,10.0,10.0,9.0,9.0,11.0,11.0,9.0,9.0,11.0,8.0,10.0,9.0
>ENST00000621665.1,11.0,8.0,10.0,9.0,10.0,12.0,11.0,9.0,13.0,9.0,11.0,10.0,10.0,14.0,12.0,0.0,11.0,10.0,10.0,12.0,11.0,9.0,13.0,9.0,9.0,8.0,11.0,10.0
>ENST00000437853.1,9.0,11.0,10.0,9.0,9.0,8.0,11.0,11.0,12.0,10.0,11.0,11.0,11.0,12.0,10.0,11.0,0.0,10.0,12.0,10.0,11.0,9.0,10.0,8.0,10.0,8.0,11.0,12.0
>ENST00000548294.1,10.0,8.0,9.0,11.0,12.0,12.0,11.0,10.0,12.0,9.0,9.0,9.0,11.0,12.0,10.0,10.0,10.0,0.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,12.0,10.0
>ENST00000512973.1,13.0,9.0,8.0,8.0,9.0,8.0,10.0,7.0,11.0,10.0,8.0,10.0,7.0,11.0,9.0,10.0,12.0,10.0,0.0,10.0,10.0,8.0,9.0,10.0,9.0,7.0,10.0,9.0
>ENST00000308911.8,10.0,9.0,10.0,10.0,10.0,11.0,13.0,10.0,12.0,12.0,9.0,9.0,10.0,12.0,9.0,12.0,10.0,11.0,10.0,0.0,13.0,8.0,10.0,8.0,10.0,9.0,11.0,10.0
>ENST00000435012.1,11.0,10.0,11.0,11.0,10.0,10.0,11.0,8.0,12.0,9.0,10.0,8.0,10.0,14.0,11.0,11.0,11.0,10.0,10.0,13.0,0.0,10.0,11.0,10.0,9.0,8.0,12.0,12.0
>ENST00000426536.1,9.0,10.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,11.0,9.0,9.0,9.0,8.0,8.0,10.0,0.0,8.0,9.0,8.0,7.0,8.0,9.0
>ENST00000566884.2,12.0,10.0,9.0,12.0,8.0,7.0,10.0,8.0,11.0,8.0,9.0,9.0,8.0,11.0,9.0,13.0,10.0,10.0,9.0,10.0,11.0,8.0,0.0,10.0,9.0,7.0,10.0,8.0
>ENST00000448036.1,10.0,9.0,9.0,8.0,12.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,7.0,10.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,0.0,9.0,9.0,9.0,9.0
>ENST00000521343.1,9.0,8.0,9.0,9.0,8.0,10.0,12.0,10.0,12.0,8.0,9.0,8.0,8.0,11.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,0.0,7.0,10.0,8.0
ENSG00000252501.1,9.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,10.0,7.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,0.0,10.0,7.0
>ENST00000553836.2,12.0,8.0,11.0,10.0,9.0,9.0,10.0,9.0,13.0,12.0,10.0,8.0,8.0,13.0,10.0,11.0,11.0,12.0,10.0,11.0,12.0,8.0,10.0,9.0,10.0,10.0,0.0,8.0
>ENST00000528539.1,10.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,12.0,10.0,9.0,10.0,12.0,9.0,8.0,9.0,8.0,7.0,8.0,0.0
