,>ENST00000452117.1,>ENST00000418056.1,>ENST00000568249.1,>ENST00000549207.1,>ENST00000486302.1,>ENST00000237841.5,>ENST00000446556.1,>ENST00000502828.2,>ENST00000430729.1,>ENST00000462065.1,>ENST00000434010.1,>ENST00000527162.1,>ENST00000558824.4,>ENST00000509499.1,>ENST00000511806.1,>ENST00000547655.1,>ENST00000491037.1,>ENST00000558833.1,>ENST00000444398.1,>ENST00000598387.1,>ENST00000505157.1,>ENST00000437662.1,>ENST00000397093.3,>ENST00000444246.1,>ENST00000416634.1,ENSG00000244671.3,>ENST00000592027.1,>ENST00000419465.1,>ENST00000530246.1,>ENST00000444669.2,>ENST00000577607.1,>ENST00000635431.1,>ENST00000569213.1,>ENST00000504970.1,>ENST00000515536.1,>ENST00000575694.1,>ENST00000452282.1,>ENST00000569310.2
>ENST00000434010.1,9.0,12.0,10.0,11.0,9.0,12.0,8.0,10.0,8.0,9.0,0.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,12.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,8.0,10.0,11.0,10.0,10.0,8.0,9.0,11.0,12.0
>ENST00000527162.1,12.0,8.0,10.0,9.0,9.0,10.0,8.0,8.0,7.0,9.0,8.0,0.0,7.0,10.0,7.0,9.0,8.0,7.0,7.0,8.0,6.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0,7.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0
>ENST00000558824.4,8.0,11.0,12.0,9.0,9.0,10.0,8.0,11.0,8.0,8.0,10.0,7.0,0.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,11.0,9.0,10.0,11.0,10.0,9.0,8.0,13.0,10.0,11.0
>ENST00000509499.1,10.0,10.0,10.0,9.0,9.0,11.0,10.0,8.0,10.0,10.0,9.0,10.0,9.0,0.0,13.0,11.0,10.0,9.0,9.0,9.0,9.0,10.0,12.0,8.0,8.0,10.0,9.0,10.0,10.0,10.0,12.0,11.0,12.0,10.0,9.0,8.0,9.0,9.0
>ENST00000511806.1,9.0,9.0,10.0,9.0,10.0,12.0,11.0,9.0,9.0,11.0,10.0,7.0,10.0,13.0,0.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,12.0,11.0,11.0,10.0,10.0,10.0,12.0,9.0,10.0,9.0
>ENST00000547655.1,11.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,8.0,0.0,8.0,8.0,8.0,8.0,7.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,12.0,9.0,9.0,10.0,9.0,10.0,9.0
>ENST00000491037.1,11.0,10.0,9.0,10.0,10.0,12.0,7.0,8.0,9.0,8.0,9.0,8.0,8.0,10.0,10.0,8.0,0.0,11.0,8.0,7.0,11.0,9.0,9.0,11.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0
>ENST00000558833.1,9.0,9.0,9.0,9.0,11.0,10.0,8.0,9.0,8.0,10.0,9.0,7.0,8.0,9.0,10.0,8.0,11.0,0.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0
>ENST00000444398.1,8.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,11.0,0.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,13.0,8.0,11.0,8.0,8.0,9.0,10.0
>ENST00000598387.1,9.0,8.0,12.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,12.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,0.0,10.0,11.0,9.0,8.0,9.0,8.0,8.0,7.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,8.0,8.0
>ENST00000505157.1,10.0,9.0,9.0,8.0,8.0,10.0,8.0,7.0,8.0,9.0,9.0,6.0,8.0,9.0,10.0,7.0,11.0,10.0,8.0,10.0,0.0,8.0,9.0,9.0,8.0,8.0,11.0,8.0,11.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0
>ENST00000437662.1,9.0,11.0,9.0,9.0,12.0,10.0,8.0,11.0,8.0,8.0,11.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,8.0,11.0,8.0,0.0,9.0,8.0,9.0,7.0,9.0,9.0,12.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0
>ENST00000397093.3,12.0,10.0,9.0,12.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,12.0,10.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,0.0,11.0,10.0,9.0,11.0,8.0,9.0,11.0,12.0,9.0,11.0,11.0,9.0,9.0,10.0,9.0
>ENST00000444246.1,11.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,8.0,10.0,10.0,8.0,10.0,8.0,11.0,9.0,11.0,9.0,8.0,8.0,9.0,8.0,11.0,0.0,8.0,8.0,10.0,9.0,11.0,9.0,11.0,9.0,11.0,9.0,9.0,8.0,8.0,10.0
>ENST00000416634.1,9.0,11.0,9.0,9.0,11.0,11.0,8.0,7.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,0.0,10.0,10.0,9.0,11.0,8.0,9.0,7.0,9.0,9.0,10.0,9.0,8.0,11.0
ENSG00000244671.3,9.0,8.0,8.0,7.0,8.0,10.0,8.0,9.0,7.0,8.0,9.0,7.0,9.0,10.0,11.0,9.0,8.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,10.0,0.0,8.0,7.0,11.0,9.0,10.0,8.0,9.0,9.0,8.0,12.0,8.0,8.0
>ENST00000592027.1,9.0,9.0,9.0,10.0,11.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,11.0,9.0,11.0,10.0,10.0,8.0,0.0,9.0,12.0,9.0,11.0,8.0,9.0,9.0,9.0,9.0,8.0,11.0
>ENST00000419465.1,9.0,11.0,9.0,10.0,11.0,10.0,7.0,9.0,12.0,10.0,11.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,11.0,7.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,0.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,11.0,10.0
>ENST00000530246.1,11.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,9.0,10.0,9.0,11.0,10.0,12.0,10.0,10.0,10.0,11.0,10.0,11.0,12.0,9.0,11.0,11.0,11.0,12.0,10.0,0.0,12.0,18.0,12.0,11.0,9.0,11.0,10.0,10.0,9.0
>ENST00000444669.2,11.0,10.0,10.0,10.0,10.0,10.0,9.0,15.0,10.0,9.0,8.0,7.0,9.0,10.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0,12.0,0.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0
>ENST00000577607.1,12.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,12.0,11.0,11.0,9.0,10.0,10.0,10.0,8.0,11.0,12.0,11.0,9.0,10.0,11.0,9.0,18.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0
>ENST00000635431.1,8.0,9.0,10.0,7.0,9.0,12.0,8.0,8.0,8.0,8.0,11.0,8.0,11.0,11.0,10.0,12.0,8.0,9.0,13.0,8.0,9.0,10.0,9.0,9.0,7.0,8.0,8.0,10.0,12.0,9.0,10.0,0.0,9.0,11.0,9.0,10.0,10.0,9.0
>ENST00000569213.1,10.0,9.0,241.0,10.0,9.0,12.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,12.0,10.0,9.0,8.0,10.0,8.0,10.0,9.0,9.0,11.0,11.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,0.0,12.0,9.0,10.0,10.0,9.0
>ENST00000504970.1,10.0,10.0,9.0,9.0,11.0,10.0,8.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,11.0,11.0,9.0,9.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,12.0,0.0,11.0,9.0,10.0,11.0
>ENST00000515536.1,9.0,9.0,9.0,10.0,9.0,11.0,7.0,8.0,10.0,11.0,8.0,8.0,8.0,9.0,12.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,11.0,0.0,8.0,10.0,10.0
>ENST00000575694.1,9.0,10.0,10.0,9.0,10.0,11.0,8.0,8.0,11.0,10.0,9.0,8.0,13.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,12.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,0.0,9.0,9.0
>ENST00000452282.1,10.0,9.0,9.0,9.0,9.0,11.0,10.0,8.0,8.0,8.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,0.0,9.0
>ENST00000569310.2,10.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,10.0,10.0,12.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,10.0,11.0,8.0,11.0,10.0,9.0,10.0,12.0,9.0,9.0,11.0,10.0,9.0,9.0,0.0
