,>ENST00000442109.2,>ENST00000622221.1,>ENST00000312214.5,>ENST00000549057.1,>ENST00000604285.1,>ENST00000427861.2,>ENST00000623201.1,ENSG00000252509.1,>ENST00000605531.1,>ENST00000609150.1,>ENST00000425861.1,>ENST00000534005.1,>ENST00000399149.2,ENSG00000170577.7,>ENST00000506029.1,>ENST00000513046.1,>ENST00000459875.1,>ENST00000443139.2,>ENST00000416478.1,>ENST00000522536.3,>ENST00000440415.1,>ENST00000444364.2,>ENST00000507308.1,>ENST00000453795.2,>ENST00000620433.1,>ENST00000438944.1,>ENST00000513369.2,>ENST00000406040.2,>ENST00000391405.2,>ENST00000603489.1,>ENST00000616480.1,>ENST00000435008.1,>ENST00000584401.1,>ENST00000418637.1,>ENST00000555136.1,>ENST00000436696.2,>ENST00000435457.1,>ENST00000510707.1,>ENST00000514498.1,>ENST00000444127.1,>ENST00000425765.1,>ENST00000429405.1,>ENST00000338274.4,>ENST00000407932.1,>ENST00000547460.1,>ENST00000511504.2
>ENST00000425861.1,11.0,8.0,11.0,7.0,10.0,10.0,9.0,7.0,7.0,10.0,0.0,11.0,11.0,12.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,13.0,8.0,11.0,10.0,12.0,11.0,11.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,11.0,8.0,13.0,9.0,9.0,10.0
>ENST00000534005.1,12.0,9.0,10.0,10.0,10.0,10.0,10.0,7.0,6.0,11.0,11.0,0.0,8.0,10.0,7.0,10.0,8.0,8.0,14.0,9.0,12.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,11.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,11.0,9.0,8.0,10.0
>ENST00000399149.2,10.0,9.0,9.0,7.0,8.0,9.0,8.0,8.0,8.0,9.0,11.0,8.0,0.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,11.0,9.0,8.0,8.0,8.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,11.0,9.0,10.0,12.0
ENSG00000170577.7,12.0,9.0,10.0,9.0,11.0,11.0,10.0,11.0,10.0,9.0,12.0,10.0,10.0,0.0,11.0,12.0,10.0,11.0,12.0,10.0,12.0,12.0,10.0,11.0,10.0,16.0,11.0,11.0,13.0,10.0,10.0,11.0,9.0,10.0,12.0,10.0,9.0,12.0,11.0,10.0,11.0,11.0,11.0,12.0,10.0,11.0
>ENST00000506029.1,9.0,7.0,10.0,5.0,8.0,7.0,8.0,6.0,7.0,8.0,11.0,7.0,9.0,11.0,0.0,9.0,8.0,6.0,7.0,9.0,11.0,7.0,7.0,11.0,7.0,10.0,8.0,12.0,10.0,8.0,10.0,8.0,10.0,7.0,7.0,7.0,6.0,12.0,9.0,9.0,9.0,11.0,8.0,7.0,6.0,11.0
>ENST00000513046.1,10.0,10.0,10.0,8.0,9.0,10.0,9.0,8.0,6.0,8.0,10.0,10.0,9.0,12.0,9.0,0.0,8.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,10.0,11.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,11.0,8.0,10.0,9.0,9.0,9.0,7.0,11.0
>ENST00000459875.1,10.0,8.0,8.0,6.0,9.0,9.0,8.0,6.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,8.0,0.0,8.0,11.0,8.0,12.0,11.0,9.0,10.0,8.0,9.0,10.0,9.0,12.0,9.0,9.0,8.0,7.0,9.0,10.0,7.0,7.0,10.0,10.0,11.0,10.0,10.0,9.0,9.0,11.0,11.0
>ENST00000443139.2,9.0,8.0,10.0,7.0,9.0,9.0,7.0,8.0,5.0,10.0,10.0,8.0,8.0,11.0,6.0,10.0,8.0,0.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,11.0,9.0,8.0,8.0,8.0,7.0,8.0,10.0,8.0,8.0,10.0,9.0,10.0,10.0,7.0,8.0,8.0,8.0,10.0
>ENST00000416478.1,9.0,10.0,10.0,6.0,8.0,9.0,11.0,8.0,6.0,9.0,9.0,14.0,10.0,12.0,7.0,9.0,11.0,9.0,0.0,10.0,11.0,10.0,8.0,11.0,12.0,9.0,9.0,10.0,10.0,11.0,8.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,11.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0
>ENST00000522536.3,10.0,9.0,9.0,7.0,9.0,8.0,10.0,7.0,5.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0,8.0,8.0,10.0,0.0,10.0,8.0,8.0,9.0,9.0,10.0,8.0,13.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,11.0,8.0,10.0,8.0,8.0,8.0,7.0,9.0
>ENST00000440415.1,10.0,9.0,11.0,8.0,12.0,10.0,11.0,9.0,7.0,9.0,10.0,12.0,9.0,12.0,11.0,10.0,12.0,8.0,11.0,10.0,0.0,10.0,10.0,11.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,11.0,8.0,8.0,10.0,8.0,9.0,11.0,10.0,9.0,10.0,11.0,12.0,9.0,9.0,12.0
>ENST00000444364.2,11.0,12.0,9.0,5.0,9.0,8.0,10.0,6.0,9.0,9.0,9.0,9.0,10.0,12.0,7.0,9.0,11.0,8.0,10.0,8.0,10.0,0.0,8.0,14.0,9.0,9.0,9.0,9.0,13.0,8.0,9.0,10.0,7.0,8.0,8.0,8.0,9.0,10.0,11.0,8.0,10.0,8.0,8.0,10.0,7.0,11.0
>ENST00000507308.1,12.0,8.0,9.0,9.0,9.0,10.0,9.0,7.0,6.0,9.0,9.0,10.0,9.0,10.0,7.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,0.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,11.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0
>ENST00000453795.2,10.0,10.0,9.0,5.0,9.0,9.0,9.0,7.0,7.0,10.0,13.0,11.0,11.0,11.0,11.0,9.0,10.0,9.0,11.0,9.0,11.0,14.0,9.0,0.0,8.0,11.0,12.0,10.0,12.0,9.0,10.0,10.0,7.0,9.0,9.0,9.0,12.0,11.0,10.0,14.0,11.0,10.0,10.0,11.0,9.0,9.0
>ENST00000620433.1,10.0,8.0,9.0,7.0,8.0,9.0,9.0,7.0,6.0,8.0,8.0,9.0,9.0,10.0,7.0,9.0,8.0,8.0,12.0,9.0,9.0,9.0,10.0,8.0,0.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0
>ENST00000438944.1,11.0,8.0,10.0,6.0,9.0,8.0,9.0,7.0,7.0,9.0,11.0,10.0,10.0,16.0,10.0,10.0,9.0,8.0,9.0,10.0,11.0,9.0,10.0,11.0,10.0,0.0,11.0,12.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,14.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0
>ENST00000513369.2,10.0,9.0,12.0,6.0,10.0,10.0,9.0,8.0,7.0,8.0,10.0,9.0,9.0,11.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,12.0,8.0,11.0,0.0,9.0,13.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,12.0,10.0,9.0,11.0,8.0,9.0,10.0,11.0,10.0
>ENST00000406040.2,10.0,9.0,11.0,9.0,8.0,10.0,9.0,7.0,5.0,9.0,12.0,10.0,9.0,11.0,12.0,11.0,9.0,11.0,10.0,13.0,10.0,9.0,9.0,10.0,10.0,12.0,9.0,0.0,10.0,9.0,9.0,11.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,8.0,11.0
>ENST00000391405.2,11.0,10.0,9.0,6.0,10.0,12.0,9.0,8.0,9.0,9.0,11.0,9.0,11.0,13.0,10.0,10.0,12.0,9.0,10.0,9.0,9.0,13.0,9.0,12.0,9.0,11.0,13.0,10.0,0.0,9.0,9.0,11.0,10.0,9.0,9.0,9.0,8.0,12.0,10.0,11.0,11.0,9.0,12.0,10.0,9.0,11.0
>ENST00000603489.1,10.0,8.0,10.0,6.0,10.0,8.0,8.0,7.0,5.0,8.0,11.0,9.0,9.0,10.0,8.0,11.0,9.0,8.0,11.0,8.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,0.0,10.0,8.0,9.0,8.0,11.0,8.0,7.0,10.0,8.0,11.0,9.0,8.0,9.0,9.0,8.0,11.0
>ENST00000616480.1,8.0,8.0,8.0,5.0,9.0,7.0,8.0,7.0,6.0,8.0,10.0,8.0,8.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,0.0,9.0,10.0,9.0,9.0,9.0,6.0,9.0,11.0,8.0,10.0,11.0,8.0,9.0,7.0,10.0
>ENST00000435008.1,11.0,9.0,8.0,6.0,9.0,9.0,9.0,7.0,6.0,8.0,9.0,8.0,8.0,11.0,8.0,10.0,8.0,8.0,10.0,8.0,11.0,10.0,8.0,10.0,10.0,9.0,9.0,11.0,11.0,8.0,9.0,0.0,10.0,8.0,9.0,8.0,8.0,9.0,11.0,9.0,13.0,8.0,10.0,11.0,8.0,11.0
>ENST00000584401.1,9.0,8.0,8.0,6.0,9.0,8.0,8.0,7.0,7.0,9.0,8.0,8.0,8.0,9.0,10.0,10.0,7.0,7.0,9.0,10.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,10.0,9.0,10.0,10.0,0.0,7.0,6.0,6.0,7.0,8.0,11.0,10.0,8.0,8.0,7.0,8.0,7.0,9.0
>ENST00000418637.1,12.0,7.0,10.0,5.0,8.0,9.0,10.0,7.0,6.0,9.0,10.0,10.0,9.0,10.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,11.0,9.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,8.0,7.0,0.0,9.0,8.0,8.0,8.0,9.0,11.0,10.0,9.0,10.0,8.0,8.0,10.0
>ENST00000555136.1,15.0,7.0,9.0,5.0,8.0,8.0,8.0,9.0,6.0,9.0,9.0,11.0,11.0,12.0,7.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,6.0,9.0,0.0,10.0,8.0,9.0,12.0,10.0,9.0,10.0,10.0,8.0,7.0,10.0
>ENST00000436696.2,9.0,8.0,8.0,5.0,9.0,9.0,9.0,6.0,6.0,8.0,9.0,8.0,9.0,10.0,7.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,6.0,8.0,10.0,0.0,7.0,10.0,9.0,10.0,10.0,8.0,10.0,8.0,7.0,9.0
>ENST00000435457.1,9.0,8.0,9.0,7.0,8.0,9.0,8.0,7.0,5.0,8.0,8.0,10.0,8.0,9.0,6.0,8.0,7.0,8.0,9.0,8.0,9.0,9.0,9.0,12.0,7.0,9.0,10.0,9.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,7.0,0.0,8.0,9.0,9.0,8.0,7.0,9.0,7.0,7.0,9.0
>ENST00000510707.1,11.0,10.0,10.0,6.0,8.0,11.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,12.0,12.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,11.0,10.0,14.0,12.0,9.0,12.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,0.0,11.0,10.0,10.0,9.0,10.0,11.0,8.0,11.0
>ENST00000514498.1,11.0,9.0,11.0,8.0,14.0,11.0,12.0,9.0,7.0,12.0,10.0,11.0,10.0,11.0,9.0,11.0,10.0,9.0,11.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,8.0,11.0,11.0,11.0,9.0,12.0,9.0,9.0,11.0,0.0,11.0,12.0,10.0,10.0,9.0,8.0,11.0
>ENST00000444127.1,10.0,9.0,11.0,6.0,9.0,9.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,11.0,10.0,9.0,8.0,9.0,8.0,8.0,14.0,9.0,10.0,9.0,9.0,11.0,11.0,8.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,11.0,0.0,9.0,8.0,11.0,10.0,8.0,9.0
>ENST00000425765.1,10.0,10.0,10.0,7.0,9.0,9.0,8.0,8.0,6.0,10.0,11.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,13.0,8.0,10.0,9.0,10.0,8.0,10.0,12.0,9.0,0.0,12.0,10.0,11.0,8.0,10.0
>ENST00000429405.1,10.0,8.0,9.0,6.0,9.0,7.0,10.0,7.0,6.0,8.0,8.0,10.0,8.0,11.0,11.0,9.0,10.0,7.0,8.0,8.0,11.0,8.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,11.0,8.0,8.0,9.0,10.0,8.0,7.0,9.0,10.0,8.0,12.0,0.0,10.0,10.0,8.0,10.0
>ENST00000338274.4,12.0,9.0,11.0,7.0,9.0,12.0,10.0,9.0,7.0,10.0,13.0,11.0,11.0,11.0,8.0,9.0,9.0,8.0,9.0,8.0,12.0,8.0,8.0,10.0,10.0,10.0,9.0,11.0,12.0,9.0,8.0,10.0,7.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,0.0,9.0,8.0,9.0
>ENST00000407932.1,11.0,7.0,10.0,5.0,8.0,8.0,11.0,7.0,5.0,8.0,9.0,9.0,9.0,12.0,7.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,11.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,8.0,8.0,8.0,8.0,7.0,11.0,9.0,10.0,11.0,10.0,9.0,0.0,9.0,10.0
>ENST00000547460.1,11.0,8.0,7.0,5.0,10.0,9.0,9.0,6.0,5.0,9.0,9.0,8.0,10.0,10.0,6.0,7.0,11.0,8.0,9.0,7.0,9.0,7.0,8.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,0.0,9.0
>ENST00000511504.2,11.0,10.0,9.0,8.0,11.0,11.0,11.0,7.0,9.0,9.0,10.0,10.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,12.0,11.0,9.0,9.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,11.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,0.0
