,ENSG00000211666.2,ENSG00000211662.2,ENSG00000211667.2,ENSG00000211663.2,ENSG00000211653.2,ENSG00000200011.1,ENSG00000211660.3,ENSG00000211648.2,ENSG00000174586.10,ENSG00000211659.2,ENSG00000211657.3,ENSG00000211656.3,ENSG00000211670.2,ENSG00000211664.2,ENSG00000211652.2,ENSG00000211665.2,ENSG00000211673.2,ENSG00000211655.3,ENSG00000211651.3,ENSG00000265170.2,ENSG00000211639.2,ENSG00000211640.3,ENSG00000211654.2,ENSG00000211644.2,ENSG00000239703.3,ENSG00000211641.2,ENSG00000269103.2,ENSG00000211642.2,ENSG00000211647.1
ENSG00000211657.3,43.0,79.0,71.0,81.0,55.0,7.0,39.0,39.0,13.0,57.0,0.0,13.0,79.0,47.0,16.0,43.0,77.0,41.0,47.0,9.0,23.0,16.0,22.0,24.0,8.0,17.0,10.0,33.0,22.0
ENSG00000211656.3,198.0,22.0,19.0,17.0,33.0,7.0,177.0,28.0,13.0,13.0,13.0,0.0,14.0,168.0,13.0,14.0,17.0,30.0,28.0,8.0,14.0,27.0,15.0,27.0,8.0,13.0,11.0,35.0,19.0
ENSG00000211670.2,26.0,213.0,188.0,55.0,28.0,7.0,22.0,26.0,13.0,66.0,79.0,14.0,0.0,30.0,14.0,69.0,184.0,20.0,26.0,8.0,18.0,22.0,22.0,23.0,9.0,17.0,11.0,21.0,22.0
ENSG00000211664.2,359.0,38.0,24.0,25.0,83.0,7.0,308.0,55.0,13.0,20.0,47.0,168.0,30.0,0.0,22.0,20.0,32.0,54.0,63.0,9.0,20.0,26.0,26.0,49.0,10.0,35.0,8.0,37.0,26.0
ENSG00000211652.2,22.0,13.0,16.0,19.0,19.0,7.0,22.0,15.0,11.0,16.0,16.0,13.0,14.0,22.0,0.0,16.0,13.0,17.0,17.0,9.0,16.0,17.0,21.0,14.0,9.0,23.0,9.0,26.0,19.0
ENSG00000211665.2,19.0,72.0,60.0,40.0,28.0,7.0,19.0,28.0,13.0,395.0,43.0,14.0,69.0,20.0,16.0,0.0,98.0,23.0,28.0,10.0,14.0,18.0,20.0,26.0,9.0,16.0,10.0,23.0,20.0
ENSG00000211673.2,24.0,103.0,102.0,48.0,42.0,6.0,23.0,35.0,15.0,107.0,77.0,17.0,184.0,32.0,13.0,98.0,0.0,35.0,43.0,8.0,20.0,18.0,22.0,31.0,9.0,14.0,11.0,25.0,22.0
ENSG00000211655.3,54.0,27.0,24.0,24.0,162.0,7.0,50.0,368.0,14.0,23.0,41.0,30.0,20.0,54.0,17.0,23.0,35.0,0.0,396.0,8.0,30.0,18.0,32.0,129.0,9.0,24.0,9.0,30.0,29.0
ENSG00000211651.3,52.0,32.0,30.0,30.0,200.0,7.0,50.0,477.0,14.0,28.0,47.0,28.0,26.0,63.0,17.0,28.0,43.0,396.0,0.0,8.0,30.0,22.0,32.0,148.0,9.0,24.0,9.0,28.0,29.0
ENSG00000265170.2,9.0,16.0,10.0,9.0,10.0,9.0,9.0,8.0,38.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,0.0,9.0,10.0,9.0,8.0,15.0,10.0,24.0,10.0,9.0
ENSG00000211639.2,20.0,14.0,20.0,17.0,24.0,8.0,20.0,25.0,11.0,14.0,23.0,14.0,18.0,20.0,16.0,14.0,20.0,30.0,30.0,9.0,0.0,14.0,28.0,13.0,10.0,16.0,10.0,16.0,21.0
ENSG00000211640.3,27.0,19.0,25.0,14.0,30.0,8.0,21.0,22.0,11.0,22.0,16.0,27.0,22.0,26.0,17.0,18.0,18.0,18.0,22.0,10.0,14.0,0.0,21.0,16.0,9.0,17.0,10.0,25.0,19.0
ENSG00000211654.2,26.0,22.0,22.0,22.0,27.0,7.0,25.0,24.0,13.0,20.0,22.0,15.0,22.0,26.0,21.0,20.0,22.0,32.0,32.0,9.0,28.0,21.0,0.0,14.0,10.0,71.0,9.0,24.0,244.0
ENSG00000211644.2,52.0,29.0,27.0,26.0,158.0,8.0,47.0,155.0,12.0,26.0,24.0,27.0,23.0,49.0,14.0,26.0,31.0,129.0,148.0,8.0,13.0,16.0,14.0,0.0,9.0,25.0,9.0,23.0,13.0
ENSG00000239703.3,8.0,9.0,9.0,8.0,9.0,7.0,11.0,9.0,16.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,15.0,10.0,9.0,10.0,9.0,0.0,11.0,15.0,11.0,10.0
ENSG00000211641.2,35.0,22.0,20.0,17.0,30.0,7.0,34.0,16.0,15.0,16.0,17.0,13.0,17.0,35.0,23.0,16.0,14.0,24.0,24.0,10.0,16.0,17.0,71.0,25.0,11.0,0.0,10.0,26.0,55.0
ENSG00000269103.2,9.0,10.0,10.0,8.0,9.0,10.0,8.0,9.0,82.0,10.0,10.0,11.0,11.0,8.0,9.0,10.0,11.0,9.0,9.0,24.0,10.0,10.0,9.0,9.0,15.0,10.0,0.0,13.0,9.0
ENSG00000211642.2,37.0,24.0,25.0,43.0,33.0,13.0,34.0,27.0,16.0,27.0,33.0,35.0,21.0,37.0,26.0,23.0,25.0,30.0,28.0,10.0,16.0,25.0,24.0,23.0,11.0,26.0,13.0,0.0,21.0
ENSG00000211647.1,26.0,22.0,22.0,22.0,26.0,9.0,25.0,21.0,13.0,20.0,22.0,19.0,22.0,26.0,19.0,20.0,22.0,29.0,29.0,9.0,21.0,19.0,244.0,13.0,10.0,55.0,9.0,21.0,0.0
