,>ENST00000454154.1,>ENST00000565702.1,>ENST00000426223.1,>ENST00000548633.2,>ENST00000527486.1,>ENST00000510526.2,>ENST00000421286.4,>ENST00000515300.1,>ENST00000447462.1,>ENST00000492880.1,>ENST00000589286.1,>ENST00000560680.1,>ENST00000450406.1,>ENST00000507289.1,>ENST00000451768.1,>ENST00000444980.1,>ENST00000366505.4,>ENST00000444199.1,>ENST00000382670.3,>ENST00000612715.1,>ENST00000522985.1,>ENST00000472241.1,>ENST00000620487.1,>ENST00000452841.1,>ENST00000437240.1
>ENST00000589286.1,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,0.0,9.0,15.0,11.0,9.0,10.0,8.0,10.0,9.0,11.0,8.0,9.0,9.0,11.0,10.0
>ENST00000560680.1,10.0,9.0,10.0,9.0,12.0,9.0,13.0,9.0,10.0,11.0,9.0,0.0,12.0,11.0,11.0,10.0,9.0,12.0,11.0,15.0,12.0,8.0,10.0,11.0,10.0
>ENST00000450406.1,10.0,11.0,9.0,12.0,11.0,12.0,10.0,9.0,12.0,12.0,15.0,12.0,0.0,11.0,11.0,8.0,8.0,13.0,9.0,10.0,8.0,9.0,9.0,14.0,9.0
>ENST00000507289.1,11.0,9.0,11.0,11.0,12.0,10.0,11.0,8.0,10.0,10.0,11.0,11.0,11.0,0.0,10.0,9.0,11.0,10.0,12.0,13.0,8.0,10.0,11.0,12.0,9.0
>ENST00000451768.1,10.0,10.0,11.0,11.0,11.0,9.0,9.0,9.0,12.0,11.0,9.0,11.0,11.0,10.0,0.0,10.0,8.0,11.0,13.0,13.0,8.0,10.0,11.0,12.0,10.0
>ENST00000444980.1,8.0,7.0,11.0,8.0,8.0,8.0,9.0,7.0,7.0,9.0,10.0,10.0,8.0,9.0,10.0,0.0,7.0,9.0,8.0,10.0,7.0,9.0,8.0,9.0,11.0
>ENST00000366505.4,7.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,11.0,8.0,7.0,0.0,10.0,9.0,13.0,7.0,9.0,9.0,10.0,8.0
>ENST00000444199.1,11.0,12.0,10.0,12.0,11.0,9.0,12.0,10.0,11.0,11.0,10.0,12.0,13.0,10.0,11.0,9.0,10.0,0.0,10.0,16.0,8.0,11.0,11.0,12.0,9.0
>ENST00000382670.3,10.0,8.0,10.0,11.0,10.0,10.0,10.0,9.0,8.0,11.0,9.0,11.0,9.0,12.0,13.0,8.0,9.0,10.0,0.0,11.0,10.0,11.0,10.0,11.0,9.0
>ENST00000612715.1,11.0,10.0,13.0,13.0,12.0,10.0,11.0,9.0,9.0,11.0,11.0,15.0,10.0,13.0,13.0,10.0,13.0,16.0,11.0,0.0,8.0,10.0,10.0,13.0,9.0
>ENST00000522985.1,8.0,7.0,9.0,8.0,13.0,9.0,7.0,9.0,7.0,9.0,8.0,12.0,8.0,8.0,8.0,7.0,7.0,8.0,10.0,8.0,0.0,6.0,7.0,9.0,7.0
>ENST00000472241.1,9.0,9.0,8.0,10.0,9.0,11.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,11.0,11.0,10.0,6.0,0.0,10.0,10.0,8.0
>ENST00000620487.1,9.0,8.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,11.0,11.0,8.0,9.0,11.0,10.0,10.0,7.0,10.0,0.0,10.0,9.0
>ENST00000452841.1,11.0,11.0,14.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,14.0,12.0,12.0,9.0,10.0,12.0,11.0,13.0,9.0,10.0,10.0,0.0,10.0
>ENST00000437240.1,10.0,9.0,11.0,10.0,9.0,7.0,8.0,10.0,8.0,12.0,10.0,10.0,9.0,9.0,10.0,11.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,10.0,0.0
