,>ENST00000475925.1,>ENST00000538774.1,>ENST00000402263.2,>ENST00000506594.6,>ENST00000437705.2,>ENST00000566038.1,ENSG00000252556.1,>ENST00000523795.4,>ENST00000438957.1,>ENST00000424401.1,>ENST00000522972.1,>ENST00000418733.1,>ENST00000518452.1,>ENST00000424400.1,>ENST00000436471.2,>ENST00000416129.2,>ENST00000412514.2,>ENST00000458323.2,>ENST00000431728.1,>ENST00000458430.1,>ENST00000526467.1,>ENST00000446147.2,>ENST00000436840.1,>ENST00000453704.2,>ENST00000448339.1,>ENST00000438459.1,ENSG00000278579.1,>ENST00000466990.2,>ENST00000305671.3,>ENST00000510278.1,>ENST00000604675.1,>ENST00000417001.1,>ENST00000577676.1,>ENST00000603497.1,>ENST00000617723.1
>ENST00000526467.1,9.0,9.0,9.0,10.0,12.0,10.0,7.0,7.0,9.0,10.0,9.0,7.0,8.0,9.0,11.0,8.0,11.0,10.0,9.0,10.0,0.0,9.0,8.0,9.0,8.0,10.0,7.0,10.0,8.0,9.0,8.0,8.0,8.0,11.0,10.0
>ENST00000446147.2,8.0,7.0,10.0,9.0,8.0,12.0,6.0,7.0,7.0,9.0,7.0,7.0,8.0,8.0,11.0,8.0,11.0,9.0,7.0,9.0,9.0,0.0,7.0,8.0,9.0,8.0,9.0,10.0,7.0,8.0,8.0,9.0,10.0,12.0,7.0
>ENST00000436840.1,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,7.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,8.0,7.0,0.0,9.0,9.0,9.0,8.0,13.0,8.0,9.0,11.0,10.0,10.0,9.0,10.0
>ENST00000453704.2,10.0,7.0,9.0,11.0,9.0,9.0,9.0,13.0,12.0,13.0,9.0,9.0,12.0,9.0,12.0,9.0,12.0,9.0,9.0,10.0,9.0,8.0,9.0,0.0,9.0,12.0,8.0,8.0,10.0,9.0,12.0,11.0,10.0,9.0,10.0
>ENST00000448339.1,8.0,8.0,10.0,10.0,9.0,10.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,11.0,11.0,10.0,9.0,8.0,95.0,8.0,9.0,9.0,9.0,0.0,9.0,7.0,8.0,11.0,8.0,8.0,9.0,9.0,11.0,9.0
>ENST00000438459.1,8.0,8.0,10.0,10.0,8.0,12.0,8.0,11.0,10.0,10.0,10.0,8.0,12.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,12.0,9.0,0.0,9.0,11.0,10.0,10.0,9.0,9.0,14.0,10.0,9.0
ENSG00000278579.1,9.0,7.0,8.0,10.0,7.0,8.0,7.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,7.0,9.0,0.0,8.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0
>ENST00000466990.2,9.0,9.0,13.0,10.0,9.0,12.0,8.0,10.0,9.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,12.0,9.0,8.0,10.0,10.0,10.0,13.0,8.0,8.0,11.0,8.0,0.0,10.0,8.0,9.0,12.0,9.0,8.0,9.0
>ENST00000305671.3,8.0,8.0,9.0,8.0,8.0,9.0,6.0,10.0,8.0,9.0,8.0,9.0,8.0,7.0,11.0,10.0,10.0,9.0,7.0,8.0,8.0,7.0,8.0,10.0,11.0,10.0,7.0,10.0,0.0,7.0,7.0,8.0,9.0,10.0,8.0
>ENST00000510278.1,8.0,7.0,11.0,10.0,9.0,8.0,9.0,7.0,10.0,10.0,7.0,8.0,10.0,12.0,9.0,8.0,10.0,9.0,7.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,7.0,8.0,7.0,0.0,8.0,8.0,8.0,9.0,10.0
>ENST00000604675.1,11.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,11.0,8.0,10.0,9.0,11.0,12.0,9.0,12.0,10.0,9.0,9.0,8.0,8.0,11.0,12.0,8.0,9.0,7.0,9.0,7.0,8.0,0.0,8.0,10.0,8.0,10.0
>ENST00000417001.1,9.0,8.0,9.0,11.0,11.0,9.0,7.0,9.0,10.0,9.0,9.0,8.0,10.0,8.0,12.0,12.0,11.0,9.0,9.0,8.0,8.0,9.0,10.0,11.0,9.0,9.0,7.0,12.0,8.0,8.0,8.0,0.0,11.0,10.0,9.0
>ENST00000577676.1,9.0,10.0,12.0,11.0,12.0,9.0,7.0,9.0,10.0,9.0,10.0,10.0,8.0,8.0,11.0,9.0,9.0,9.0,11.0,9.0,8.0,10.0,10.0,10.0,9.0,14.0,7.0,9.0,9.0,8.0,10.0,11.0,0.0,9.0,8.0
>ENST00000603497.1,9.0,8.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,8.0,11.0,11.0,12.0,9.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,0.0,10.0
>ENST00000617723.1,10.0,9.0,9.0,8.0,8.0,10.0,7.0,9.0,8.0,11.0,9.0,8.0,9.0,8.0,11.0,10.0,10.0,9.0,7.0,9.0,10.0,7.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,0.0
