,>ENST00000619436.1,>ENST00000422058.1,>ENST00000533974.1,>ENST00000611892.1,>ENST00000450173.1,>ENST00000439946.1,>ENST00000437531.1,>ENST00000519296.1,>ENST00000519311.1,>ENST00000522347.1,>ENST00000526502.2,>ENST00000400933.2,>ENST00000605477.1,>ENST00000399687.3,>ENST00000432033.1,>ENST00000578182.1,>ENST00000475503.1,>ENST00000556558.1,>ENST00000313342.8,>ENST00000433943.1,>ENST00000561760.1,>ENST00000484702.1,>ENST00000485315.1,>ENST00000453177.2,>ENST00000431030.1,>ENST00000496207.1,>ENST00000412461.2,>ENST00000605259.1,>ENST00000506035.2,>ENST00000624504.1,>ENST00000439651.1,>ENST00000456969.2,>ENST00000413798.1,>ENST00000426293.1,>ENST00000420788.2,>ENST00000512933.1,>ENST00000519403.1,>ENST00000421400.1,>ENST00000599968.1,>ENST00000404344.2,>ENST00000426108.1,>ENST00000436338.1,>ENST00000467059.1,>ENST00000442013.1,>ENST00000426024.1,>ENST00000536775.1,>ENST00000611376.1,>ENST00000448776.1,>ENST00000395415.2,>ENST00000505629.2,>ENST00000412589.1,>ENST00000604497.1,>ENST00000406684.1,>ENST00000551909.1
>ENST00000421400.1,9.0,11.0,8.0,11.0,12.0,9.0,7.0,8.0,7.0,9.0,9.0,12.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,12.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,0.0,9.0,9.0,10.0,11.0,11.0,9.0,7.0,8.0,9.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0
>ENST00000599968.1,9.0,11.0,8.0,10.0,10.0,8.0,8.0,10.0,7.0,8.0,9.0,9.0,11.0,12.0,11.0,10.0,9.0,11.0,12.0,9.0,9.0,7.0,12.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,11.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,11.0
>ENST00000404344.2,9.0,9.0,9.0,11.0,10.0,9.0,8.0,8.0,8.0,10.0,10.0,13.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,11.0,8.0,10.0,9.0,10.0,12.0,11.0,10.0,13.0,10.0,9.0,9.0,13.0,11.0,9.0,12.0,10.0,8.0,9.0,9.0,0.0,9.0,11.0,11.0,12.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0
>ENST00000426108.1,9.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,7.0,14.0,10.0,10.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,8.0,10.0,63.0,12.0,10.0,10.0,9.0,9.0,0.0,9.0,11.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0
>ENST00000436338.1,66.0,12.0,9.0,10.0,9.0,8.0,8.0,7.0,8.0,9.0,11.0,9.0,10.0,9.0,8.0,10.0,9.0,12.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,7.0,10.0,12.0,11.0,9.0,11.0,9.0,11.0,9.0,0.0,9.0,10.0,8.0,11.0,9.0,10.0,8.0,10.0,12.0,10.0,9.0,8.0
>ENST00000467059.1,9.0,9.0,8.0,11.0,9.0,10.0,10.0,8.0,7.0,8.0,12.0,10.0,8.0,9.0,12.0,9.0,10.0,12.0,10.0,10.0,8.0,10.0,11.0,9.0,10.0,10.0,11.0,10.0,9.0,11.0,10.0,10.0,9.0,11.0,10.0,12.0,13.0,11.0,9.0,11.0,11.0,9.0,0.0,10.0,8.0,10.0,9.0,10.0,11.0,12.0,10.0,11.0,11.0,11.0
>ENST00000442013.1,11.0,10.0,10.0,13.0,12.0,10.0,8.0,9.0,7.0,10.0,10.0,11.0,9.0,12.0,9.0,9.0,11.0,11.0,12.0,12.0,8.0,10.0,12.0,10.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,12.0,11.0,10.0,10.0,0.0,8.0,12.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0
>ENST00000426024.1,7.0,8.0,9.0,11.0,7.0,8.0,7.0,9.0,7.0,7.0,10.0,10.0,9.0,12.0,7.0,10.0,10.0,9.0,11.0,7.0,9.0,7.0,7.0,8.0,8.0,10.0,7.0,9.0,11.0,8.0,7.0,7.0,7.0,8.0,11.0,9.0,7.0,7.0,9.0,9.0,9.0,8.0,8.0,8.0,0.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0,9.0,7.0
>ENST00000536775.1,8.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,7.0,7.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,11.0,10.0,12.0,9.0,0.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0
>ENST00000611376.1,9.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,7.0,9.0,10.0,11.0,8.0,10.0,8.0,10.0,9.0,10.0,11.0,9.0,8.0,9.0,11.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,0.0,10.0,10.0,9.0,11.0,10.0,9.0,8.0
>ENST00000448776.1,9.0,8.0,10.0,10.0,9.0,8.0,11.0,9.0,8.0,9.0,9.0,12.0,10.0,10.0,10.0,10.0,12.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,12.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,0.0,11.0,11.0,9.0,7.0,9.0,9.0
>ENST00000395415.2,8.0,8.0,10.0,10.0,8.0,9.0,10.0,7.0,7.0,10.0,10.0,11.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,11.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,11.0,10.0,9.0,9.0,10.0,11.0,0.0,10.0,8.0,9.0,10.0,9.0
>ENST00000505629.2,13.0,9.0,8.0,10.0,11.0,8.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,11.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,14.0,11.0,10.0,10.0,12.0,11.0,12.0,11.0,8.0,11.0,9.0,13.0,8.0,10.0,9.0,10.0,10.0,10.0,12.0,9.0,7.0,9.0,9.0,11.0,10.0,0.0,10.0,9.0,10.0,10.0
>ENST00000412589.1,9.0,10.0,9.0,12.0,10.0,11.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,8.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,11.0,9.0,8.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,11.0,9.0,7.0,9.0,9.0,10.0,9.0,12.0,10.0,10.0,9.0,11.0,11.0,9.0,8.0,10.0,0.0,9.0,8.0,9.0
>ENST00000604497.1,8.0,9.0,8.0,9.0,11.0,8.0,8.0,6.0,7.0,8.0,10.0,9.0,12.0,7.0,9.0,7.0,8.0,11.0,9.0,8.0,7.0,7.0,7.0,9.0,8.0,7.0,6.0,8.0,9.0,9.0,7.0,8.0,8.0,7.0,9.0,9.0,6.0,8.0,9.0,8.0,9.0,10.0,11.0,10.0,8.0,9.0,10.0,7.0,9.0,9.0,9.0,0.0,9.0,9.0
>ENST00000406684.1,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,11.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,12.0,8.0,10.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,0.0,9.0
>ENST00000551909.1,9.0,8.0,9.0,10.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,9.0,7.0,9.0,8.0,8.0,9.0,12.0,8.0,9.0,8.0,7.0,8.0,9.0,9.0,10.0,8.0,12.0,11.0,10.0,14.0,11.0,9.0,8.0,8.0,8.0,7.0,8.0,11.0,9.0,8.0,8.0,11.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,0.0
