,>ENST00000507199.1,>ENST00000579737.3,>ENST00000549782.1,>ENST00000506837.2,>ENST00000446052.1,>ENST00000428860.2,>ENST00000479329.1,>ENST00000420575.2,>ENST00000510506.5,>ENST00000524692.1,ENSG00000170604.4,>ENST00000519538.1,ENSG00000280779.1,>ENST00000515076.1,>ENST00000455592.1,>ENST00000528228.1,>ENST00000454360.1,>ENST00000518193.1,>ENST00000610528.1,>ENST00000519334.1,>ENST00000557009.2,>ENST00000497708.2,>ENST00000457635.2,>ENST00000610707.1,>ENST00000478589.1,>ENST00000404779.2,>ENST00000445989.2,>ENST00000422071.1,>ENST00000427198.2,>ENST00000450555.1,>ENST00000511479.1,>ENST00000604110.1,>ENST00000431230.1,>ENST00000454926.1,>ENST00000536546.1,>ENST00000483263.1,>ENST00000455962.2,ENSG00000280697.1,>ENST00000525311.1,>ENST00000548782.1,>ENST00000442074.1,>ENST00000412768.1
>ENST00000478589.1,9.0,11.0,10.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,12.0,10.0,8.0,10.0,8.0,9.0,9.0,13.0,8.0,10.0,9.0,9.0,10.0,12.0,0.0,7.0,7.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0
>ENST00000404779.2,10.0,9.0,13.0,9.0,11.0,8.0,10.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,7.0,0.0,8.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,12.0,8.0,8.0,9.0,12.0,10.0,11.0
>ENST00000445989.2,8.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,12.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,11.0,10.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,0.0,8.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,7.0,10.0,9.0,8.0,9.0
>ENST00000422071.1,11.0,10.0,9.0,12.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,12.0,9.0,8.0,9.0,8.0,0.0,9.0,9.0,9.0,9.0,10.0,8.0,13.0,8.0,7.0,7.0,8.0,9.0,8.0,11.0
>ENST00000427198.2,10.0,10.0,10.0,8.0,12.0,7.0,12.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,11.0,11.0,13.0,10.0,9.0,12.0,10.0,13.0,9.0,9.0,8.0,9.0,0.0,10.0,9.0,14.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0
>ENST00000450555.1,9.0,11.0,11.0,8.0,10.0,7.0,12.0,8.0,9.0,11.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,0.0,9.0,10.0,10.0,11.0,8.0,12.0,8.0,8.0,9.0,9.0,9.0,9.0
>ENST00000511479.1,9.0,9.0,12.0,7.0,10.0,8.0,10.0,8.0,10.0,8.0,11.0,10.0,8.0,11.0,8.0,11.0,11.0,10.0,9.0,9.0,10.0,10.0,12.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,0.0,9.0,8.0,10.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0
>ENST00000604110.1,9.0,10.0,14.0,8.0,10.0,8.0,11.0,8.0,9.0,9.0,12.0,9.0,8.0,9.0,11.0,9.0,8.0,11.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,14.0,10.0,9.0,0.0,9.0,11.0,8.0,10.0,9.0,9.0,11.0,9.0,8.0,11.0
>ENST00000431230.1,11.0,12.0,11.0,9.0,11.0,9.0,11.0,8.0,10.0,8.0,9.0,9.0,10.0,9.0,11.0,10.0,8.0,12.0,9.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,0.0,9.0,9.0,12.0,8.0,8.0,9.0,9.0,9.0,10.0
>ENST00000454926.1,10.0,10.0,12.0,8.0,10.0,8.0,8.0,11.0,9.0,8.0,9.0,10.0,7.0,11.0,9.0,9.0,8.0,11.0,11.0,9.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0,11.0,11.0,10.0,11.0,9.0,0.0,7.0,9.0,7.0,7.0,10.0,8.0,9.0,10.0
>ENST00000536546.1,9.0,9.0,10.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,10.0,7.0,9.0,9.0,9.0,8.0,9.0,13.0,8.0,10.0,10.0,10.0,11.0,9.0,8.0,10.0,8.0,13.0,9.0,8.0,8.0,8.0,9.0,7.0,0.0,9.0,9.0,8.0,10.0,9.0,9.0,11.0
>ENST00000483263.1,9.0,9.0,12.0,9.0,9.0,9.0,12.0,8.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,11.0,12.0,12.0,12.0,9.0,11.0,9.0,8.0,12.0,8.0,8.0,9.0,12.0,9.0,10.0,12.0,9.0,9.0,0.0,8.0,8.0,8.0,8.0,9.0,10.0
>ENST00000455962.2,9.0,10.0,11.0,8.0,8.0,8.0,10.0,7.0,9.0,7.0,11.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,0.0,10.0,9.0,7.0,9.0,9.0
ENSG00000280697.1,8.0,8.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,12.0,7.0,9.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,7.0,8.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,10.0,0.0,8.0,8.0,6.0,10.0
>ENST00000525311.1,11.0,11.0,11.0,8.0,10.0,8.0,8.0,9.0,9.0,8.0,11.0,8.0,7.0,11.0,8.0,9.0,9.0,12.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,8.0,9.0,8.0,0.0,11.0,8.0,14.0
>ENST00000548782.1,9.0,9.0,12.0,9.0,9.0,11.0,8.0,8.0,9.0,9.0,11.0,7.0,7.0,10.0,10.0,8.0,8.0,11.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,8.0,11.0,0.0,9.0,10.0
>ENST00000442074.1,9.0,10.0,12.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,10.0,8.0,7.0,11.0,11.0,10.0,9.0,12.0,10.0,8.0,9.0,11.0,11.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,6.0,8.0,9.0,0.0,10.0
>ENST00000412768.1,14.0,11.0,10.0,10.0,11.0,9.0,10.0,11.0,12.0,11.0,12.0,9.0,7.0,11.0,10.0,9.0,10.0,13.0,10.0,10.0,10.0,11.0,10.0,12.0,10.0,11.0,9.0,11.0,10.0,9.0,8.0,11.0,10.0,10.0,11.0,10.0,9.0,10.0,14.0,10.0,10.0,0.0
