,>ENST00000457230.1,>ENST00000443334.1,>ENST00000422292.2,>ENST00000534523.1,>ENST00000555468.1,>ENST00000471856.1,>ENST00000452090.1,>ENST00000420889.1,>ENST00000436549.1,>ENST00000465747.1,>ENST00000546640.1,>ENST00000380410.6,>ENST00000508108.2,>ENST00000411661.1,>ENST00000399021.2,>ENST00000480487.1,>ENST00000432310.1,>ENST00000402234.2,>ENST00000523033.1,>ENST00000406554.2,>ENST00000618393.1,>ENST00000413162.2,>ENST00000447083.1,>ENST00000564064.1,>ENST00000538133.1,>ENST00000455649.1,>ENST00000554662.3,>ENST00000423231.1,>ENST00000522871.1,ENSG00000136457.9,>ENST00000574771.1,>ENST00000413753.1,>ENST00000441083.1,>ENST00000578634.1,>ENST00000463883.1,>ENST00000564217.1,ENSG00000159556.9,>ENST00000587712.1,ENSG00000238503.1,>ENST00000605814.1,>ENST00000594477.1,>ENST00000605247.1,>ENST00000564895.1,>ENST00000433044.1,>ENST00000465341.3
ENSG00000136457.9,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,10.0,11.0,13.0,11.0,9.0,12.0,11.0,10.0,12.0,9.0,12.0,13.0,11.0,15.0,10.0,13.0,10.0,0.0,10.0,12.0,11.0,12.0,11.0,12.0,12.0,10.0,9.0,13.0,10.0,11.0,11.0,9.0,12.0
>ENST00000574771.1,9.0,9.0,10.0,9.0,7.0,9.0,8.0,8.0,11.0,9.0,8.0,8.0,9.0,9.0,8.0,11.0,8.0,10.0,7.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,0.0,11.0,9.0,8.0,11.0,9.0,10.0,8.0,9.0,8.0,7.0,8.0,10.0,8.0,8.0
>ENST00000413753.1,10.0,10.0,9.0,10.0,8.0,12.0,9.0,9.0,10.0,9.0,11.0,8.0,10.0,12.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,11.0,11.0,8.0,10.0,9.0,9.0,10.0,12.0,11.0,0.0,10.0,11.0,8.0,12.0,11.0,11.0,11.0,15.0,10.0,9.0,9.0,9.0,9.0
>ENST00000441083.1,9.0,10.0,11.0,10.0,8.0,11.0,12.0,12.0,10.0,11.0,10.0,11.0,10.0,9.0,11.0,9.0,8.0,12.0,9.0,10.0,9.0,10.0,9.0,13.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,0.0,11.0,9.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,11.0
>ENST00000578634.1,12.0,10.0,9.0,10.0,10.0,12.0,11.0,10.0,9.0,10.0,9.0,12.0,8.0,10.0,9.0,9.0,9.0,10.0,8.0,11.0,12.0,8.0,11.0,10.0,9.0,12.0,9.0,8.0,10.0,12.0,8.0,11.0,11.0,0.0,9.0,12.0,12.0,10.0,8.0,8.0,9.0,11.0,8.0,10.0,9.0
>ENST00000463883.1,8.0,8.0,10.0,8.0,6.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,7.0,10.0,9.0,8.0,8.0,12.0,8.0,8.0,9.0,11.0,11.0,8.0,9.0,9.0,0.0,9.0,10.0,9.0,6.0,8.0,7.0,10.0,8.0,8.0,7.0
>ENST00000564217.1,8.0,11.0,10.0,12.0,9.0,9.0,8.0,10.0,11.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,8.0,10.0,9.0,9.0,8.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,8.0,12.0,9.0,12.0,9.0,12.0,9.0,0.0,12.0,9.0,8.0,11.0,11.0,11.0,12.0,12.0,10.0
ENSG00000159556.9,11.0,10.0,11.0,12.0,11.0,12.0,12.0,11.0,13.0,10.0,12.0,12.0,14.0,11.0,12.0,13.0,9.0,13.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,12.0,0.0,13.0,9.0,12.0,11.0,12.0,10.0,13.0,11.0
>ENST00000587712.1,8.0,8.0,9.0,9.0,9.0,12.0,7.0,9.0,8.0,9.0,11.0,10.0,11.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,10.0,10.0,8.0,11.0,10.0,10.0,9.0,9.0,13.0,0.0,8.0,10.0,9.0,11.0,10.0,8.0,10.0
ENSG00000238503.1,8.0,6.0,8.0,8.0,5.0,9.0,7.0,8.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,9.0,7.0,7.0,7.0,8.0,7.0,7.0,13.0,7.0,7.0,9.0,9.0,11.0,9.0,8.0,6.0,8.0,9.0,8.0,0.0,7.0,7.0,7.0,7.0,8.0,7.0
>ENST00000605814.1,9.0,8.0,12.0,10.0,9.0,10.0,9.0,10.0,12.0,10.0,11.0,11.0,14.0,9.0,18.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,13.0,8.0,15.0,9.0,8.0,8.0,11.0,12.0,10.0,7.0,0.0,9.0,9.0,10.0,9.0,10.0
>ENST00000594477.1,9.0,8.0,10.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,10.0,9.0,9.0,7.0,11.0,11.0,9.0,7.0,9.0,0.0,10.0,9.0,8.0,9.0
>ENST00000605247.1,10.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,11.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,11.0,9.0,11.0,8.0,9.0,10.0,11.0,10.0,11.0,12.0,11.0,7.0,9.0,10.0,0.0,9.0,11.0,9.0
>ENST00000564895.1,10.0,9.0,9.0,9.0,7.0,10.0,8.0,10.0,9.0,8.0,10.0,8.0,9.0,10.0,8.0,13.0,10.0,9.0,9.0,7.0,10.0,9.0,11.0,9.0,8.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0,11.0,8.0,8.0,12.0,10.0,10.0,7.0,10.0,9.0,9.0,0.0,9.0,11.0
>ENST00000433044.1,9.0,9.0,11.0,9.0,6.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,7.0,9.0,7.0,9.0,7.0,9.0,10.0,8.0,9.0,10.0,10.0,11.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,12.0,13.0,8.0,8.0,9.0,8.0,11.0,9.0,0.0,8.0
>ENST00000465341.3,9.0,8.0,9.0,9.0,9.0,11.0,12.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,11.0,8.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,12.0,8.0,9.0,11.0,9.0,7.0,10.0,11.0,10.0,7.0,10.0,9.0,9.0,11.0,8.0,0.0
