,ENSG00000198142.4,ENSG00000127530.2,ENSG00000116726.4,ENSG00000223162.1,ENSG00000169575.4,ENSG00000201622.1,ENSG00000238590.1,ENSG00000238950.1,ENSG00000222397.1,ENSG00000238908.1,ENSG00000243029.3,ENSG00000238519.1,ENSG00000200871.1,ENSG00000241604.3,ENSG00000265327.2,ENSG00000226685.4,ENSG00000274872.1,ENSG00000188505.4,ENSG00000223026.1,ENSG00000115844.10,ENSG00000281235.1,ENSG00000240966.3,ENSG00000206989.1,ENSG00000221380.1,ENSG00000243352.3,ENSG00000188613.6,ENSG00000118231.4,ENSG00000273975.1,ENSG00000197451.10,ENSG00000222536.1,ENSG00000277887.1,ENSG00000238443.1,ENSG00000253001.1,ENSG00000274309.1,ENSG00000199546.1,ENSG00000236371.4,ENSG00000242560.3,ENSG00000207873.1,ENSG00000202279.1,ENSG00000251924.1,ENSG00000105341.18,ENSG00000264322.2,ENSG00000212363.1,ENSG00000199273.1
ENSG00000206989.1,9.0,8.0,8.0,6.0,7.0,7.0,8.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,6.0,8.0,6.0,9.0,7.0,6.0,0.0,7.0,6.0,10.0,9.0,7.0,8.0,6.0,5.0,6.0,6.0,6.0,5.0,9.0,6.0,6.0,7.0,5.0,10.0,6.0,6.0,6.0
ENSG00000221380.1,10.0,11.0,8.0,6.0,8.0,7.0,6.0,7.0,6.0,7.0,9.0,6.0,8.0,7.0,7.0,9.0,6.0,9.0,8.0,10.0,6.0,7.0,7.0,0.0,7.0,9.0,8.0,7.0,11.0,8.0,7.0,7.0,9.0,5.0,7.0,9.0,7.0,8.0,7.0,6.0,10.0,6.0,9.0,8.0
ENSG00000243352.3,16.0,8.0,9.0,8.0,10.0,7.0,6.0,7.0,8.0,8.0,35.0,7.0,7.0,29.0,27.0,9.0,9.0,11.0,12.0,9.0,7.0,27.0,6.0,7.0,0.0,19.0,11.0,22.0,12.0,7.0,6.0,7.0,8.0,8.0,7.0,9.0,35.0,7.0,7.0,8.0,19.0,80.0,7.0,6.0
ENSG00000188613.6,110.0,10.0,11.0,8.0,11.0,9.0,9.0,9.0,11.0,9.0,22.0,8.0,10.0,19.0,19.0,13.0,10.0,18.0,11.0,14.0,10.0,19.0,10.0,9.0,19.0,0.0,14.0,36.0,14.0,10.0,11.0,9.0,11.0,9.0,11.0,13.0,29.0,8.0,10.0,9.0,78.0,17.0,9.0,10.0
ENSG00000118231.4,12.0,10.0,11.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,13.0,12.0,12.0,9.0,64.0,10.0,12.0,10.0,9.0,9.0,8.0,11.0,14.0,0.0,9.0,15.0,9.0,10.0,12.0,10.0,8.0,9.0,12.0,12.0,10.0,9.0,10.0,76.0,9.0,11.0,9.0
ENSG00000273975.1,35.0,9.0,9.0,6.0,10.0,7.0,7.0,8.0,9.0,7.0,44.0,7.0,7.0,15.0,22.0,10.0,7.0,10.0,10.0,9.0,8.0,27.0,7.0,7.0,22.0,36.0,9.0,0.0,12.0,7.0,7.0,8.0,8.0,9.0,7.0,10.0,36.0,8.0,7.0,8.0,48.0,27.0,6.0,7.0
ENSG00000197451.10,14.0,11.0,12.0,10.0,11.0,8.0,10.0,10.0,11.0,10.0,10.0,9.0,11.0,10.0,11.0,13.0,9.0,31.0,11.0,13.0,9.0,12.0,8.0,11.0,12.0,14.0,15.0,12.0,0.0,10.0,10.0,9.0,9.0,10.0,12.0,13.0,12.0,11.0,9.0,10.0,28.0,12.0,10.0,11.0
ENSG00000222536.1,12.0,8.0,11.0,7.0,9.0,7.0,7.0,5.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,11.0,8.0,12.0,6.0,8.0,6.0,8.0,7.0,10.0,9.0,7.0,10.0,0.0,8.0,8.0,7.0,7.0,7.0,9.0,10.0,7.0,6.0,7.0,10.0,7.0,8.0,7.0
ENSG00000277887.1,9.0,8.0,8.0,6.0,7.0,6.0,7.0,5.0,7.0,6.0,6.0,6.0,8.0,8.0,7.0,8.0,6.0,9.0,6.0,9.0,6.0,7.0,5.0,7.0,6.0,11.0,10.0,7.0,10.0,8.0,0.0,6.0,7.0,6.0,6.0,8.0,6.0,6.0,6.0,7.0,10.0,8.0,6.0,7.0
ENSG00000238443.1,10.0,8.0,8.0,6.0,8.0,6.0,5.0,7.0,7.0,6.0,7.0,6.0,7.0,11.0,7.0,7.0,5.0,10.0,7.0,10.0,6.0,7.0,6.0,7.0,7.0,9.0,12.0,8.0,9.0,8.0,6.0,0.0,8.0,7.0,9.0,9.0,13.0,7.0,24.0,5.0,10.0,7.0,7.0,15.0
ENSG00000253001.1,10.0,9.0,10.0,8.0,9.0,7.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,10.0,10.0,7.0,7.0,6.0,9.0,8.0,11.0,10.0,8.0,9.0,7.0,7.0,8.0,0.0,6.0,7.0,10.0,8.0,7.0,6.0,9.0,12.0,7.0,6.0,7.0
ENSG00000274309.1,10.0,8.0,10.0,6.0,9.0,6.0,6.0,7.0,8.0,6.0,8.0,9.0,6.0,7.0,7.0,9.0,6.0,10.0,8.0,9.0,7.0,6.0,6.0,5.0,8.0,9.0,8.0,9.0,10.0,7.0,6.0,7.0,6.0,0.0,6.0,9.0,7.0,6.0,7.0,6.0,9.0,9.0,6.0,7.0
ENSG00000199546.1,9.0,8.0,11.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,8.0,6.0,9.0,7.0,9.0,6.0,7.0,5.0,7.0,7.0,11.0,9.0,7.0,12.0,7.0,6.0,9.0,7.0,6.0,0.0,8.0,7.0,6.0,8.0,5.0,9.0,7.0,8.0,21.0
ENSG00000236371.4,14.0,13.0,12.0,9.0,13.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,11.0,11.0,9.0,2044.0,9.0,13.0,11.0,11.0,8.0,10.0,9.0,9.0,9.0,13.0,12.0,10.0,13.0,9.0,8.0,9.0,10.0,9.0,8.0,0.0,9.0,8.0,9.0,8.0,14.0,9.0,9.0,10.0
ENSG00000242560.3,27.0,9.0,11.0,7.0,11.0,8.0,6.0,8.0,7.0,7.0,70.0,8.0,6.0,29.0,53.0,8.0,6.0,10.0,8.0,11.0,8.0,29.0,6.0,7.0,35.0,29.0,12.0,36.0,12.0,10.0,6.0,13.0,8.0,7.0,7.0,9.0,0.0,7.0,7.0,7.0,24.0,72.0,6.0,8.0
ENSG00000207873.1,9.0,8.0,11.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0,11.0,7.0,9.0,9.0,8.0,6.0,8.0,7.0,8.0,10.0,8.0,11.0,7.0,6.0,7.0,7.0,6.0,6.0,8.0,7.0,0.0,7.0,5.0,10.0,7.0,7.0,6.0
ENSG00000202279.1,9.0,9.0,9.0,7.0,7.0,5.0,7.0,8.0,8.0,6.0,7.0,7.0,5.0,6.0,7.0,9.0,5.0,10.0,9.0,9.0,8.0,6.0,7.0,7.0,7.0,10.0,9.0,7.0,9.0,6.0,6.0,24.0,6.0,7.0,8.0,9.0,7.0,7.0,0.0,6.0,12.0,7.0,7.0,8.0
ENSG00000251924.1,9.0,11.0,9.0,15.0,14.0,7.0,6.0,5.0,7.0,13.0,11.0,6.0,6.0,10.0,11.0,8.0,6.0,12.0,6.0,9.0,6.0,8.0,5.0,6.0,8.0,9.0,10.0,8.0,10.0,7.0,7.0,5.0,9.0,6.0,5.0,8.0,7.0,5.0,6.0,0.0,9.0,9.0,7.0,9.0
ENSG00000105341.18,106.0,11.0,12.0,11.0,14.0,11.0,9.0,9.0,10.0,9.0,26.0,11.0,9.0,20.0,18.0,12.0,8.0,117.0,20.0,12.0,10.0,17.0,10.0,10.0,19.0,78.0,76.0,48.0,28.0,10.0,10.0,10.0,12.0,9.0,9.0,14.0,24.0,10.0,12.0,9.0,0.0,20.0,9.0,11.0
ENSG00000264322.2,22.0,10.0,9.0,6.0,10.0,7.0,6.0,9.0,9.0,7.0,51.0,7.0,9.0,56.0,48.0,9.0,7.0,12.0,9.0,10.0,8.0,28.0,6.0,6.0,80.0,17.0,9.0,27.0,12.0,7.0,8.0,7.0,7.0,9.0,7.0,9.0,72.0,7.0,7.0,9.0,20.0,0.0,6.0,8.0
ENSG00000212363.1,10.0,9.0,9.0,7.0,6.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,9.0,9.0,10.0,7.0,9.0,7.0,8.0,6.0,9.0,7.0,9.0,11.0,6.0,10.0,8.0,6.0,7.0,6.0,6.0,8.0,9.0,6.0,7.0,7.0,7.0,9.0,6.0,0.0,10.0
ENSG00000199273.1,9.0,8.0,9.0,7.0,9.0,6.0,7.0,6.0,8.0,7.0,7.0,6.0,6.0,8.0,8.0,10.0,6.0,10.0,6.0,9.0,8.0,8.0,6.0,8.0,6.0,10.0,9.0,7.0,11.0,7.0,7.0,15.0,7.0,7.0,21.0,10.0,8.0,6.0,8.0,9.0,11.0,8.0,10.0,0.0
