,>ENST00000625105.1,>ENST00000441710.5,>ENST00000441452.1,>ENST00000424336.2,>ENST00000503948.1,>ENST00000404319.1,>ENST00000604796.1,>ENST00000599845.2,>ENST00000447960.1,>ENST00000477964.1,>ENST00000587621.1,>ENST00000435442.1,ENSG00000276037.1,>ENST00000445367.1,>ENST00000511694.1,>ENST00000427395.1,>ENST00000514978.1,>ENST00000423224.1,>ENST00000430535.1,>ENST00000584766.1,>ENST00000604126.1,>ENST00000425548.1,>ENST00000424736.2,>ENST00000569730.1,>ENST00000589177.1,ENSG00000170561.12,>ENST00000426556.1,>ENST00000438679.2,>ENST00000439809.1,>ENST00000549267.1
>ENST00000587621.1,10.0,10.0,9.0,10.0,10.0,13.0,11.0,9.0,11.0,12.0,0.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,11.0,10.0,9.0,12.0,13.0,12.0,9.0,7.0,9.0
>ENST00000435442.1,9.0,9.0,10.0,9.0,11.0,10.0,8.0,8.0,10.0,9.0,8.0,0.0,7.0,9.0,8.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,10.0,13.0,9.0,8.0,8.0,10.0
ENSG00000276037.1,8.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,9.0,7.0,10.0,7.0,0.0,9.0,9.0,7.0,6.0,9.0,9.0,9.0,8.0,6.0,7.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0
>ENST00000445367.1,10.0,9.0,9.0,9.0,9.0,12.0,11.0,8.0,9.0,7.0,9.0,9.0,9.0,0.0,8.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,12.0,9.0,9.0,12.0,10.0,9.0,8.0,8.0
>ENST00000511694.1,8.0,10.0,9.0,9.0,8.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,0.0,7.0,8.0,9.0,9.0,10.0,8.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,8.0,8.0
>ENST00000427395.1,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,7.0,8.0,7.0,0.0,7.0,8.0,8.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0
>ENST00000514978.1,10.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,6.0,9.0,8.0,7.0,0.0,11.0,10.0,8.0,10.0,11.0,10.0,10.0,9.0,10.0,9.0,8.0,8.0,8.0
>ENST00000423224.1,8.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,0.0,8.0,11.0,8.0,9.0,10.0,8.0,10.0,11.0,9.0,10.0,7.0,9.0
>ENST00000430535.1,11.0,11.0,9.0,11.0,14.0,8.0,8.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,0.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,8.0,7.0,8.0
>ENST00000584766.1,11.0,10.0,11.0,11.0,11.0,9.0,9.0,8.0,10.0,11.0,9.0,11.0,9.0,10.0,10.0,8.0,8.0,11.0,9.0,0.0,10.0,11.0,10.0,9.0,9.0,12.0,10.0,9.0,13.0,8.0
>ENST00000604126.1,10.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,8.0,8.0,8.0,11.0,10.0,8.0,9.0,10.0,0.0,8.0,9.0,9.0,10.0,17.0,11.0,8.0,9.0,10.0
>ENST00000425548.1,9.0,9.0,11.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,6.0,9.0,10.0,9.0,11.0,9.0,9.0,11.0,8.0,0.0,9.0,9.0,9.0,10.0,11.0,7.0,7.0,9.0
>ENST00000424736.2,9.0,11.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,11.0,7.0,12.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,0.0,9.0,10.0,13.0,10.0,9.0,7.0,9.0
>ENST00000569730.1,9.0,10.0,9.0,8.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,0.0,8.0,11.0,11.0,8.0,8.0,7.0
>ENST00000589177.1,9.0,10.0,9.0,8.0,9.0,9.0,11.0,9.0,11.0,13.0,12.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,0.0,13.0,11.0,8.0,8.0,10.0
ENSG00000170561.12,11.0,11.0,10.0,13.0,11.0,10.0,10.0,10.0,13.0,10.0,13.0,13.0,9.0,12.0,9.0,9.0,10.0,11.0,10.0,12.0,17.0,10.0,13.0,11.0,13.0,0.0,10.0,12.0,9.0,11.0
>ENST00000426556.1,11.0,10.0,8.0,9.0,8.0,9.0,11.0,10.0,10.0,11.0,12.0,9.0,8.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,0.0,8.0,9.0,8.0
>ENST00000438679.2,12.0,10.0,10.0,9.0,11.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,12.0,8.0,0.0,8.0,12.0
>ENST00000439809.1,8.0,10.0,8.0,10.0,8.0,8.0,9.0,10.0,9.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,13.0,9.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,0.0,8.0
>ENST00000549267.1,10.0,10.0,12.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,7.0,10.0,11.0,8.0,12.0,8.0,0.0
