,>ENST00000418657,>ENST00000415020,>ENST00000503440,>ENST00000454031,>ENST00000406185,>ENST00000434069,>ENST00000406807,>ENST00000450690,>ENST00000522049,>ENST00000441505,>ENST00000605291,>ENST00000522607,>ENST00000427677,>ENST00000440178,>ENST00000413478,>ENST00000538921,>ENST00000442812,>ENST00000620148,>ENST00000513136,>ENST00000471205,>ENST00000477611,>ENST00000411674,>ENST00000613707,>ENST00000424782,>ENST00000540219,>ENST00000324915,>ENST00000428587,>ENST00000411933,>ENST00000591191,>ENST00000456484,>ENST00000446146,>ENST00000568772,>ENST00000585063,>ENST00000588786,>ENST00000512950,>ENST00000458481,>ENST00000555897,>ENST00000480235,>ENST00000619576,>ENST00000600532,>ENST00000470806,ENSG00000243446,>ENST00000418441,>ENST00000521760,>ENST00000495197,>ENST00000612071,>ENST00000399148,>ENST00000546569,>ENST00000573670,>ENST00000441699,>ENST00000534547,>ENST00000512278,>ENST00000504252
>ENST00000605291,8.0,8.0,9.0,10.0,6.0,8.0,9.0,6.0,11.0,8.0,0.0,9.0,7.0,8.0,7.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,11.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,6.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0
>ENST00000522607,10.0,11.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,0.0,8.0,8.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,12.0,9.0,8.0,8.0,12.0,8.0,7.0,10.0,7.0,8.0,7.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,12.0,8.0,9.0,10.0,7.0,9.0,8.0,10.0,10.0,10.0,10.0,7.0
>ENST00000427677,8.0,10.0,9.0,11.0,8.0,10.0,10.0,6.0,9.0,10.0,7.0,8.0,0.0,8.0,12.0,14.0,9.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,11.0,9.0,11.0,11.0,9.0,9.0,9.0,8.0,11.0,11.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,12.0,9.0,9.0,9.0,11.0,11.0,11.0,10.0,10.0
>ENST00000440178,10.0,8.0,10.0,10.0,9.0,9.0,8.0,7.0,10.0,10.0,8.0,8.0,8.0,0.0,9.0,10.0,10.0,9.0,12.0,11.0,9.0,9.0,9.0,11.0,9.0,12.0,10.0,7.0,10.0,9.0,9.0,9.0,9.0,9.0,12.0,8.0,10.0,8.0,11.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0
>ENST00000413478,10.0,9.0,7.0,10.0,8.0,12.0,10.0,7.0,9.0,11.0,7.0,10.0,12.0,9.0,0.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,11.0,10.0,7.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,8.0,8.0,10.0,10.0,9.0,8.0
>ENST00000538921,11.0,9.0,8.0,12.0,8.0,11.0,11.0,7.0,12.0,10.0,10.0,9.0,14.0,10.0,10.0,0.0,8.0,11.0,11.0,8.0,11.0,10.0,13.0,11.0,10.0,11.0,9.0,10.0,12.0,11.0,11.0,11.0,9.0,11.0,13.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,11.0,9.0,8.0,10.0,14.0,10.0,10.0,10.0,11.0,11.0,9.0
>ENST00000442812,8.0,9.0,7.0,9.0,6.0,9.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,10.0,10.0,8.0,0.0,9.0,9.0,8.0,12.0,8.0,8.0,8.0,8.0,10.0,9.0,7.0,8.0,7.0,8.0,7.0,6.0,9.0,9.0,7.0,10.0,9.0,7.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,10.0,7.0,7.0,8.0,9.0,8.0,7.0
>ENST00000620148,11.0,12.0,8.0,12.0,7.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,0.0,13.0,10.0,11.0,10.0,10.0,11.0,12.0,13.0,9.0,10.0,12.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,12.0,11.0,10.0,11.0
>ENST00000513136,9.0,10.0,10.0,12.0,9.0,11.0,11.0,7.0,12.0,10.0,9.0,9.0,10.0,12.0,10.0,11.0,9.0,13.0,0.0,10.0,12.0,12.0,9.0,11.0,11.0,12.0,10.0,9.0,13.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,11.0,13.0,10.0,10.0,10.0,9.0,13.0,9.0,11.0,11.0,10.0,10.0,11.0,10.0,12.0,10.0,11.0
>ENST00000471205,9.0,9.0,8.0,9.0,9.0,10.0,10.0,7.0,12.0,9.0,10.0,8.0,9.0,11.0,9.0,8.0,8.0,10.0,10.0,0.0,9.0,10.0,11.0,8.0,8.0,13.0,10.0,8.0,9.0,9.0,11.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,10.0,10.0,8.0
>ENST00000477611,9.0,9.0,9.0,9.0,7.0,14.0,10.0,6.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,11.0,12.0,11.0,12.0,9.0,0.0,10.0,9.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,12.0,10.0,8.0
>ENST00000411674,8.0,9.0,9.0,11.0,9.0,10.0,9.0,8.0,10.0,11.0,9.0,12.0,9.0,9.0,10.0,10.0,8.0,10.0,12.0,10.0,10.0,0.0,13.0,12.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,11.0,8.0,9.0,11.0,9.0,10.0,11.0,10.0,10.0,9.0,8.0,9.0,8.0,10.0,11.0,10.0,9.0,10.0,13.0,9.0,11.0,11.0
>ENST00000613707,9.0,8.0,9.0,14.0,8.0,11.0,9.0,8.0,11.0,10.0,10.0,9.0,11.0,9.0,9.0,13.0,8.0,10.0,9.0,11.0,9.0,13.0,0.0,12.0,10.0,12.0,9.0,8.0,12.0,11.0,9.0,10.0,9.0,11.0,9.0,10.0,10.0,11.0,10.0,8.0,8.0,10.0,9.0,9.0,11.0,10.0,11.0,8.0,9.0,10.0,11.0,65.0,8.0
>ENST00000424782,12.0,9.0,10.0,13.0,7.0,9.0,10.0,8.0,11.0,10.0,8.0,8.0,9.0,11.0,8.0,11.0,8.0,11.0,11.0,8.0,9.0,12.0,12.0,0.0,9.0,12.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,12.0,8.0,7.0,8.0,9.0,11.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0
>ENST00000540219,8.0,9.0,8.0,10.0,8.0,11.0,8.0,7.0,12.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,8.0,12.0,11.0,8.0,8.0,9.0,10.0,9.0,0.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,8.0,10.0,11.0,12.0,10.0,10.0,8.0,9.0,10.0,9.0,8.0,11.0,10.0,10.0,8.0,10.0,9.0,11.0,8.0,8.0
>ENST00000324915,13.0,10.0,9.0,13.0,13.0,11.0,12.0,11.0,10.0,11.0,11.0,12.0,11.0,12.0,11.0,11.0,10.0,13.0,12.0,13.0,10.0,10.0,12.0,12.0,11.0,0.0,13.0,8.0,11.0,9.0,11.0,9.0,11.0,11.0,11.0,9.0,11.0,10.0,14.0,10.0,10.0,10.0,10.0,12.0,11.0,14.0,11.0,10.0,11.0,12.0,11.0,10.0,10.0
>ENST00000428587,9.0,10.0,10.0,11.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,13.0,0.0,8.0,10.0,9.0,11.0,9.0,10.0,10.0,8.0,9.0,12.0,10.0,10.0,8.0,8.0,10.0,10.0,8.0,12.0,8.0,8.0,9.0,8.0,10.0,9.0,10.0,8.0
>ENST00000411933,7.0,9.0,8.0,10.0,7.0,8.0,14.0,5.0,11.0,9.0,8.0,7.0,11.0,7.0,8.0,10.0,7.0,10.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,0.0,10.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,11.0,9.0,9.0,8.0,9.0,7.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0
>ENST00000591191,9.0,10.0,10.0,11.0,8.0,10.0,12.0,8.0,11.0,9.0,8.0,10.0,11.0,10.0,9.0,12.0,8.0,12.0,13.0,9.0,10.0,10.0,12.0,11.0,10.0,11.0,10.0,10.0,0.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,12.0,9.0,11.0,10.0,10.0,9.0,11.0,11.0,11.0,9.0,11.0,9.0,9.0,12.0,11.0,12.0,9.0
>ENST00000456484,8.0,8.0,9.0,9.0,7.0,10.0,12.0,6.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,11.0,7.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,0.0,8.0,9.0,7.0,9.0,9.0,8.0,12.0,9.0,8.0,8.0,9.0,9.0,97.0,8.0,10.0,9.0,8.0,7.0,11.0,12.0,9.0,9.0,10.0
>ENST00000446146,10.0,8.0,8.0,9.0,8.0,9.0,10.0,7.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,11.0,8.0,10.0,9.0,11.0,10.0,11.0,9.0,9.0,10.0,11.0,11.0,9.0,10.0,8.0,0.0,8.0,9.0,10.0,10.0,11.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,11.0,8.0,10.0,9.0,9.0,10.0
>ENST00000568772,9.0,8.0,8.0,10.0,7.0,9.0,10.0,6.0,9.0,10.0,8.0,7.0,9.0,9.0,8.0,11.0,7.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,0.0,7.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,11.0,10.0,9.0,10.0,7.0
>ENST00000585063,8.0,9.0,7.0,9.0,8.0,8.0,9.0,6.0,11.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,6.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,11.0,10.0,10.0,9.0,7.0,9.0,7.0,0.0,9.0,8.0,7.0,10.0,9.0,10.0,8.0,8.0,8.0,8.0,7.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,7.0
>ENST00000588786,9.0,8.0,8.0,12.0,9.0,9.0,9.0,7.0,9.0,10.0,8.0,9.0,11.0,9.0,11.0,11.0,9.0,10.0,11.0,10.0,8.0,9.0,11.0,9.0,8.0,11.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,0.0,13.0,9.0,10.0,9.0,10.0,8.0,12.0,8.0,10.0,9.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0
>ENST00000512950,11.0,10.0,9.0,10.0,9.0,11.0,11.0,7.0,9.0,10.0,9.0,9.0,11.0,12.0,10.0,13.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,8.0,10.0,11.0,8.0,8.0,10.0,9.0,10.0,9.0,8.0,13.0,0.0,9.0,9.0,11.0,9.0,10.0,9.0,8.0,10.0,8.0,11.0,10.0,11.0,8.0,9.0,10.0,11.0,10.0,9.0
>ENST00000458481,9.0,9.0,8.0,8.0,8.0,11.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,7.0,11.0,9.0,9.0,8.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,9.0,8.0,11.0,8.0,7.0,9.0,9.0,0.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,7.0,10.0,8.0,9.0,9.0,8.0
>ENST00000555897,9.0,10.0,9.0,11.0,12.0,12.0,11.0,7.0,13.0,10.0,9.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,12.0,11.0,12.0,11.0,12.0,12.0,8.0,10.0,10.0,10.0,9.0,9.0,0.0,11.0,10.0,9.0,9.0,8.0,10.0,8.0,10.0,10.0,11.0,9.0,12.0,9.0,11.0,11.0,10.0
>ENST00000480235,10.0,10.0,9.0,10.0,8.0,8.0,9.0,7.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,11.0,13.0,9.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,11.0,0.0,9.0,9.0,8.0,8.0,9.0,11.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,9.0
>ENST00000619576,9.0,9.0,8.0,11.0,8.0,11.0,10.0,8.0,11.0,9.0,7.0,9.0,9.0,11.0,10.0,9.0,7.0,11.0,10.0,8.0,9.0,10.0,10.0,12.0,10.0,14.0,10.0,9.0,11.0,8.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,0.0,11.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,12.0,9.0,11.0,9.0,10.0,9.0
>ENST00000600532,11.0,10.0,8.0,9.0,7.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,11.0,0.0,12.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0
>ENST00000470806,9.0,9.0,7.0,9.0,7.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,9.0,8.0,7.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,12.0,9.0,8.0,9.0,8.0,8.0,12.0,0.0,9.0,8.0,8.0,8.0,8.0,10.0,7.0,8.0,10.0,9.0,8.0,7.0
ENSG00000243446,9.0,8.0,8.0,9.0,9.0,10.0,8.0,7.0,9.0,9.0,8.0,12.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,8.0,10.0,8.0,10.0,10.0,10.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,0.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0
>ENST00000418441,8.0,9.0,9.0,9.0,9.0,10.0,9.0,7.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,11.0,8.0,9.0,13.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,97.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,0.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0
>ENST00000521760,9.0,8.0,8.0,10.0,7.0,8.0,7.0,7.0,8.0,8.0,6.0,9.0,8.0,8.0,9.0,9.0,7.0,8.0,9.0,8.0,10.0,8.0,9.0,11.0,8.0,12.0,8.0,9.0,11.0,8.0,9.0,9.0,7.0,9.0,8.0,7.0,8.0,11.0,8.0,8.0,8.0,9.0,8.0,0.0,10.0,9.0,7.0,8.0,8.0,13.0,10.0,10.0,7.0
>ENST00000495197,9.0,10.0,8.0,10.0,7.0,10.0,10.0,8.0,10.0,8.0,10.0,10.0,12.0,10.0,10.0,8.0,9.0,10.0,11.0,9.0,10.0,10.0,11.0,9.0,11.0,11.0,12.0,9.0,11.0,10.0,9.0,9.0,10.0,11.0,11.0,8.0,10.0,10.0,9.0,8.0,8.0,10.0,10.0,10.0,0.0,10.0,8.0,9.0,8.0,9.0,11.0,12.0,9.0
>ENST00000612071,10.0,11.0,10.0,10.0,8.0,9.0,12.0,7.0,11.0,10.0,9.0,7.0,9.0,8.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0,11.0,10.0,8.0,10.0,14.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,0.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0
>ENST00000399148,10.0,11.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,11.0,14.0,10.0,10.0,10.0,8.0,9.0,10.0,11.0,9.0,10.0,11.0,8.0,10.0,11.0,8.0,9.0,10.0,9.0,9.0,11.0,8.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,7.0,8.0,9.0,0.0,8.0,10.0,11.0,10.0,9.0,10.0
>ENST00000546569,10.0,8.0,7.0,9.0,8.0,9.0,11.0,6.0,10.0,8.0,8.0,8.0,9.0,10.0,8.0,10.0,7.0,10.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,7.0,11.0,11.0,9.0,10.0,8.0,7.0,9.0,8.0,12.0,9.0,7.0,9.0,9.0,8.0,9.0,9.0,8.0,0.0,8.0,10.0,9.0,11.0,7.0
>ENST00000573670,10.0,8.0,10.0,10.0,9.0,9.0,10.0,6.0,10.0,11.0,9.0,10.0,11.0,10.0,8.0,10.0,7.0,9.0,11.0,8.0,9.0,10.0,9.0,9.0,10.0,11.0,8.0,9.0,9.0,11.0,8.0,11.0,8.0,9.0,9.0,10.0,12.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,8.0,9.0,10.0,8.0,0.0,10.0,9.0,10.0,8.0
>ENST00000441699,11.0,9.0,10.0,11.0,8.0,13.0,10.0,8.0,9.0,10.0,8.0,10.0,11.0,11.0,10.0,10.0,8.0,12.0,10.0,10.0,10.0,13.0,10.0,10.0,9.0,12.0,10.0,9.0,12.0,12.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,13.0,9.0,11.0,11.0,10.0,10.0,0.0,11.0,14.0,10.0
>ENST00000534547,10.0,10.0,8.0,11.0,9.0,11.0,10.0,6.0,10.0,10.0,8.0,10.0,11.0,10.0,10.0,11.0,9.0,11.0,12.0,10.0,12.0,9.0,11.0,10.0,11.0,11.0,9.0,8.0,11.0,9.0,9.0,9.0,8.0,10.0,11.0,9.0,11.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,11.0,0.0,9.0,10.0
>ENST00000512278,12.0,9.0,10.0,15.0,9.0,11.0,9.0,9.0,11.0,8.0,10.0,10.0,10.0,11.0,9.0,11.0,8.0,10.0,10.0,10.0,10.0,11.0,65.0,9.0,8.0,10.0,10.0,8.0,12.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,12.0,10.0,9.0,11.0,10.0,14.0,9.0,0.0,9.0
>ENST00000504252,7.0,10.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,10.0,9.0,8.0,9.0,7.0,11.0,11.0,8.0,8.0,11.0,8.0,8.0,8.0,10.0,8.0,10.0,9.0,10.0,10.0,7.0,7.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,7.0,10.0,10.0,7.0,9.0,10.0,10.0,7.0,8.0,10.0,10.0,9.0,0.0
