,>ENST00000430852.1,>ENST00000314255.4,>ENST00000460778.1,>ENST00000392301.3,ENSG00000251714.1,>ENST00000424552.1,>ENST00000484185.1,>ENST00000457667.2,>ENST00000441446.1,>ENST00000427762.1,>ENST00000452896.1,>ENST00000483823.1,>ENST00000427945.2,>ENST00000437339.1,>ENST00000445718.1,>ENST00000407763.2,>ENST00000621347.1,>ENST00000509878.1,>ENST00000418950.2,>ENST00000502347.1,ENSG00000212489.1,>ENST00000437106.1,>ENST00000445371.1,>ENST00000449481.1,>ENST00000486987.1,>ENST00000485679.1,>ENST00000532092.1,>ENST00000425912.1,>ENST00000546724.1,>ENST00000604736.1,>ENST00000523713.1,>ENST00000533071.1,>ENST00000566062.1,>ENST00000437229.2,>ENST00000522216.1,>ENST00000487626.1,>ENST00000510945.1,>ENST00000444241.1,>ENST00000480705.1,>ENST00000426552.1,>ENST00000572664.1,>ENST00000416241.1
>ENST00000452896.1,11.0,10.0,11.0,13.0,9.0,8.0,9.0,9.0,10.0,9.0,0.0,11.0,12.0,10.0,11.0,10.0,10.0,9.0,10.0,8.0,8.0,10.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,11.0,10.0,8.0,11.0,10.0,11.0,9.0,11.0
>ENST00000483823.1,10.0,10.0,9.0,10.0,9.0,10.0,11.0,12.0,12.0,10.0,11.0,0.0,11.0,10.0,10.0,12.0,9.0,11.0,11.0,9.0,10.0,11.0,11.0,9.0,10.0,10.0,11.0,12.0,10.0,10.0,10.0,12.0,10.0,11.0,11.0,10.0,10.0,12.0,9.0,12.0,10.0,13.0
>ENST00000427945.2,10.0,10.0,9.0,8.0,10.0,8.0,10.0,8.0,10.0,9.0,12.0,11.0,0.0,9.0,9.0,11.0,9.0,10.0,12.0,11.0,10.0,9.0,8.0,10.0,11.0,8.0,9.0,11.0,9.0,9.0,8.0,10.0,9.0,10.0,11.0,8.0,7.0,9.0,10.0,10.0,9.0,11.0
>ENST00000437339.1,9.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,0.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,8.0,10.0,8.0,10.0,8.0,11.0,10.0,9.0,8.0,12.0,11.0,9.0,9.0,9.0
>ENST00000445718.1,11.0,8.0,9.0,9.0,9.0,7.0,10.0,8.0,11.0,10.0,11.0,10.0,9.0,10.0,0.0,8.0,7.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,14.0,9.0,10.0,7.0,8.0,13.0,8.0,10.0,8.0,11.0
>ENST00000407763.2,9.0,8.0,11.0,11.0,9.0,11.0,9.0,7.0,10.0,10.0,10.0,12.0,11.0,10.0,8.0,0.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,15.0,10.0,11.0,12.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,11.0,10.0,11.0,9.0,10.0
>ENST00000621347.1,8.0,8.0,9.0,9.0,8.0,10.0,10.0,7.0,11.0,9.0,10.0,9.0,9.0,9.0,7.0,10.0,0.0,9.0,10.0,8.0,8.0,10.0,10.0,7.0,10.0,9.0,8.0,9.0,9.0,9.0,7.0,10.0,9.0,8.0,8.0,9.0,7.0,9.0,10.0,11.0,10.0,10.0
>ENST00000509878.1,8.0,12.0,8.0,8.0,7.0,11.0,9.0,7.0,10.0,8.0,9.0,11.0,10.0,9.0,10.0,8.0,9.0,0.0,9.0,7.0,6.0,9.0,10.0,8.0,9.0,7.0,8.0,9.0,8.0,8.0,8.0,11.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,11.0,9.0,9.0
>ENST00000418950.2,8.0,8.0,8.0,11.0,9.0,8.0,9.0,8.0,11.0,10.0,10.0,11.0,12.0,8.0,10.0,9.0,10.0,9.0,0.0,9.0,7.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,14.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,11.0,10.0,8.0,11.0
>ENST00000502347.1,9.0,10.0,8.0,11.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,9.0,8.0,7.0,9.0,0.0,7.0,12.0,8.0,7.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,7.0,10.0,10.0,10.0,8.0,11.0
ENSG00000212489.1,7.0,7.0,7.0,7.0,8.0,7.0,12.0,7.0,7.0,8.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0,6.0,7.0,7.0,0.0,9.0,7.0,6.0,9.0,9.0,8.0,7.0,8.0,8.0,6.0,8.0,8.0,10.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0
>ENST00000437106.1,9.0,12.0,9.0,11.0,10.0,13.0,12.0,11.0,10.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,12.0,9.0,0.0,10.0,8.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,9.0,9.0
>ENST00000445371.1,8.0,9.0,10.0,10.0,8.0,9.0,8.0,7.0,11.0,10.0,11.0,11.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,8.0,7.0,10.0,0.0,8.0,13.0,8.0,9.0,8.0,9.0,8.0,9.0,11.0,10.0,8.0,9.0,7.0,7.0,10.0,9.0,8.0,8.0,10.0
>ENST00000449481.1,7.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,7.0,8.0,8.0,7.0,6.0,8.0,8.0,0.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,7.0,10.0,8.0,8.0,10.0,10.0
>ENST00000486987.1,10.0,10.0,10.0,9.0,8.0,10.0,8.0,9.0,11.0,10.0,10.0,10.0,11.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,13.0,10.0,0.0,8.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,11.0,11.0,10.0,8.0,9.0
>ENST00000485679.1,9.0,10.0,12.0,10.0,9.0,9.0,9.0,9.0,11.0,8.0,10.0,10.0,8.0,9.0,9.0,15.0,9.0,7.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,0.0,8.0,8.0,12.0,8.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,7.0,12.0
>ENST00000532092.1,8.0,8.0,8.0,10.0,9.0,7.0,9.0,8.0,9.0,10.0,11.0,11.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,0.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,7.0,11.0
>ENST00000425912.1,9.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,11.0,9.0,12.0,11.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,7.0,9.0,8.0,8.0,9.0,8.0,9.0,0.0,10.0,9.0,9.0,10.0,8.0,10.0,8.0,8.0,8.0,11.0,9.0,9.0,8.0,10.0
>ENST00000546724.1,8.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,8.0,11.0,9.0,10.0,9.0,8.0,10.0,12.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,12.0,9.0,10.0,0.0,10.0,9.0,13.0,9.0,12.0,8.0,9.0,8.0,10.0,10.0,11.0,9.0,10.0
>ENST00000604736.1,12.0,10.0,8.0,9.0,10.0,7.0,9.0,9.0,11.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,11.0,8.0,9.0,9.0,10.0,0.0,10.0,10.0,9.0,10.0,12.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0
>ENST00000523713.1,8.0,9.0,9.0,10.0,9.0,7.0,7.0,10.0,10.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,7.0,8.0,14.0,8.0,6.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,0.0,9.0,8.0,9.0,8.0,13.0,8.0,11.0,10.0,10.0,9.0,10.0
>ENST00000533071.1,9.0,12.0,12.0,10.0,11.0,10.0,10.0,9.0,12.0,11.0,9.0,12.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,8.0,10.0,11.0,8.0,9.0,10.0,10.0,10.0,13.0,10.0,9.0,0.0,9.0,9.0,8.0,10.0,11.0,10.0,12.0,9.0,8.0,11.0
>ENST00000566062.1,8.0,9.0,10.0,8.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,8.0,14.0,8.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,0.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,10.0
>ENST00000437229.2,10.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,11.0,10.0,11.0,10.0,11.0,9.0,10.0,8.0,8.0,10.0,9.0,10.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,12.0,10.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0
>ENST00000522216.1,8.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,11.0,11.0,11.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,7.0,10.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,12.0,8.0,8.0,8.0,9.0,0.0,11.0,8.0,9.0,9.0,9.0,8.0,10.0
>ENST00000487626.1,8.0,9.0,7.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,9.0,7.0,9.0,9.0,9.0,9.0,10.0,7.0,10.0,7.0,7.0,9.0,8.0,8.0,8.0,9.0,10.0,13.0,10.0,8.0,9.0,11.0,0.0,7.0,9.0,12.0,8.0,7.0,13.0
>ENST00000510945.1,9.0,8.0,8.0,8.0,8.0,12.0,8.0,7.0,8.0,11.0,8.0,10.0,7.0,8.0,8.0,9.0,7.0,8.0,8.0,7.0,7.0,10.0,7.0,7.0,10.0,9.0,8.0,8.0,8.0,10.0,8.0,11.0,8.0,9.0,8.0,7.0,0.0,8.0,7.0,8.0,6.0,8.0
>ENST00000444241.1,10.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,11.0,10.0,11.0,12.0,9.0,12.0,13.0,11.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,11.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,8.0,0.0,10.0,11.0,9.0,11.0
>ENST00000480705.1,12.0,440.0,10.0,11.0,9.0,9.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,11.0,8.0,10.0,10.0,9.0,11.0,10.0,7.0,12.0,9.0,8.0,11.0,8.0,9.0,9.0,10.0,10.0,10.0,12.0,9.0,9.0,9.0,12.0,7.0,10.0,0.0,9.0,9.0,10.0
>ENST00000426552.1,10.0,10.0,11.0,10.0,8.0,11.0,10.0,9.0,10.0,9.0,11.0,12.0,10.0,9.0,10.0,11.0,11.0,11.0,10.0,10.0,8.0,11.0,8.0,8.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,11.0,9.0,0.0,10.0,10.0
>ENST00000572664.1,8.0,9.0,9.0,8.0,9.0,8.0,7.0,10.0,12.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,7.0,9.0,8.0,10.0,8.0,7.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,6.0,9.0,9.0,10.0,0.0,10.0
>ENST00000416241.1,9.0,10.0,11.0,10.0,10.0,9.0,11.0,10.0,13.0,10.0,11.0,13.0,11.0,9.0,11.0,10.0,10.0,9.0,11.0,11.0,8.0,9.0,10.0,10.0,9.0,12.0,11.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,13.0,8.0,11.0,10.0,10.0,10.0,0.0
