,>ENST00000562773.1,>ENST00000465453.1,>ENST00000614184.1,>ENST00000596579.1,ENSG00000224586.6,>ENST00000435787.1,>ENST00000396543.2,ENSG00000253022.1,>ENST00000434368.1,>ENST00000511179.1,>ENST00000404250.1,>ENST00000413920.2,>ENST00000434718.2,>ENST00000415694.1,>ENST00000439805.1,>ENST00000433858.3,>ENST00000579008.1,>ENST00000435229.1,>ENST00000509488.2,>ENST00000395082.2,>ENST00000424505.2,>ENST00000421048.3,>ENST00000515849.2,>ENST00000568348.1
>ENST00000434718.2,9.0,9.0,9.0,10.0,11.0,7.0,9.0,7.0,9.0,8.0,8.0,10.0,0.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,7.0
>ENST00000415694.1,12.0,10.0,10.0,9.0,13.0,10.0,10.0,7.0,8.0,8.0,9.0,11.0,10.0,0.0,11.0,9.0,11.0,10.0,9.0,10.0,11.0,10.0,11.0,9.0
>ENST00000439805.1,12.0,8.0,9.0,9.0,11.0,8.0,9.0,7.0,10.0,9.0,10.0,9.0,8.0,11.0,0.0,8.0,10.0,10.0,9.0,9.0,11.0,10.0,11.0,8.0
>ENST00000433858.3,10.0,10.0,8.0,11.0,10.0,10.0,11.0,7.0,8.0,10.0,11.0,9.0,9.0,9.0,8.0,0.0,10.0,9.0,8.0,10.0,9.0,8.0,12.0,9.0
>ENST00000579008.1,10.0,11.0,9.0,10.0,12.0,10.0,10.0,8.0,10.0,13.0,13.0,12.0,9.0,11.0,10.0,10.0,0.0,11.0,9.0,10.0,12.0,11.0,11.0,9.0
>ENST00000435229.1,11.0,10.0,10.0,10.0,11.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,0.0,9.0,11.0,10.0,10.0,11.0,10.0
>ENST00000509488.2,10.0,8.0,9.0,8.0,11.0,9.0,9.0,8.0,8.0,8.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,0.0,12.0,10.0,10.0,10.0,10.0
>ENST00000395082.2,10.0,13.0,13.0,35.0,97.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,11.0,12.0,0.0,9.0,9.0,11.0,9.0
>ENST00000424505.2,9.0,9.0,9.0,8.0,13.0,9.0,9.0,8.0,9.0,10.0,9.0,12.0,10.0,11.0,11.0,9.0,12.0,10.0,10.0,9.0,0.0,10.0,10.0,8.0
>ENST00000421048.3,12.0,9.0,10.0,11.0,11.0,10.0,12.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,8.0,11.0,10.0,10.0,9.0,10.0,0.0,11.0,8.0
>ENST00000515849.2,10.0,9.0,10.0,11.0,16.0,12.0,10.0,11.0,10.0,11.0,11.0,11.0,9.0,11.0,11.0,12.0,11.0,11.0,10.0,11.0,10.0,11.0,0.0,9.0
>ENST00000568348.1,10.0,9.0,9.0,8.0,10.0,8.0,8.0,10.0,6.0,7.0,9.0,8.0,7.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,0.0
