,>ENST00000458380.1,>ENST00000404015.2,>ENST00000428525.1,>ENST00000414424.1,ENSG00000263578.1,>ENST00000458329.1,>ENST00000561423.2,ENSG00000275006.1,>ENST00000458676.1,ENSG00000207359.1,>ENST00000440800.4,>ENST00000446931.2,>ENST00000517826.1,>ENST00000441206.1,>ENST00000492447.1,>ENST00000528715.1,>ENST00000423265.1,>ENST00000333817.7,>ENST00000543705.1,>ENST00000447112.1,>ENST00000512437.1,>ENST00000456632.1,ENSG00000102870.5,>ENST00000423569.1,>ENST00000446949.1,>ENST00000445313.1,>ENST00000404439.2,ENSG00000200494.1
>ENST00000441206.1,6.0,10.0,9.0,11.0,9.0,8.0,12.0,9.0,9.0,9.0,9.0,8.0,10.0,0.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,8.0,10.0,9.0,7.0
>ENST00000492447.1,8.0,11.0,8.0,8.0,9.0,7.0,9.0,8.0,11.0,7.0,9.0,9.0,9.0,9.0,0.0,10.0,7.0,9.0,9.0,8.0,11.0,10.0,13.0,9.0,11.0,9.0,10.0,7.0
>ENST00000528715.1,9.0,10.0,10.0,12.0,7.0,9.0,9.0,10.0,11.0,8.0,10.0,10.0,9.0,11.0,10.0,0.0,12.0,10.0,9.0,10.0,11.0,11.0,12.0,8.0,9.0,11.0,10.0,9.0
>ENST00000423265.1,9.0,10.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,7.0,12.0,0.0,8.0,9.0,9.0,10.0,11.0,9.0,7.0,8.0,9.0,8.0,6.0
>ENST00000333817.7,9.0,9.0,9.0,9.0,9.0,9.0,10.0,6.0,10.0,7.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,0.0,9.0,12.0,9.0,11.0,12.0,11.0,9.0,10.0,8.0,9.0
>ENST00000543705.1,9.0,9.0,8.0,10.0,9.0,9.0,13.0,7.0,10.0,7.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,11.0,11.0,10.0,11.0,11.0,13.0,11.0,10.0,8.0
>ENST00000447112.1,8.0,10.0,9.0,10.0,7.0,7.0,11.0,8.0,9.0,8.0,10.0,12.0,10.0,9.0,8.0,10.0,9.0,12.0,11.0,0.0,14.0,11.0,12.0,9.0,10.0,12.0,9.0,7.0
>ENST00000512437.1,8.0,10.0,9.0,11.0,8.0,8.0,12.0,9.0,10.0,8.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,9.0,11.0,14.0,0.0,11.0,12.0,9.0,9.0,12.0,9.0,9.0
>ENST00000456632.1,8.0,11.0,8.0,9.0,7.0,8.0,9.0,7.0,9.0,7.0,10.0,9.0,8.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,11.0,0.0,12.0,10.0,10.0,10.0,9.0,8.0
ENSG00000102870.5,10.0,13.0,10.0,13.0,8.0,9.0,13.0,10.0,15.0,9.0,12.0,11.0,11.0,10.0,13.0,12.0,9.0,12.0,11.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,10.0
>ENST00000423569.1,10.0,9.0,10.0,9.0,6.0,8.0,10.0,6.0,8.0,7.0,8.0,8.0,7.0,9.0,9.0,8.0,7.0,11.0,11.0,9.0,9.0,10.0,12.0,0.0,9.0,9.0,8.0,7.0
>ENST00000446949.1,7.0,9.0,7.0,8.0,6.0,9.0,10.0,8.0,10.0,7.0,9.0,8.0,8.0,8.0,11.0,9.0,8.0,9.0,13.0,10.0,9.0,10.0,12.0,9.0,0.0,9.0,9.0,6.0
>ENST00000445313.1,8.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,11.0,9.0,10.0,11.0,12.0,12.0,10.0,12.0,9.0,9.0,0.0,10.0,8.0
>ENST00000404439.2,7.0,8.0,7.0,10.0,6.0,7.0,8.0,6.0,9.0,7.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,12.0,8.0,9.0,10.0,0.0,7.0
ENSG00000200494.1,7.0,8.0,6.0,9.0,6.0,6.0,7.0,48.0,9.0,5.0,8.0,7.0,8.0,7.0,7.0,9.0,6.0,9.0,8.0,7.0,9.0,8.0,10.0,7.0,6.0,8.0,7.0,0.0
