,>ENST00000545836.1,>ENST00000513445.2,>ENST00000453647.1,>ENST00000433516.1,>ENST00000407987.1,>ENST00000448261.1,>ENST00000509298.1,>ENST00000530001.1,ENSG00000211956.2,>ENST00000447449.1,>ENST00000553271.1,>ENST00000620102.1,>ENST00000431305.1,>ENST00000519787.1,>ENST00000506013.1,>ENST00000422578.2,>ENST00000423174.1,>ENST00000417579.1,>ENST00000510579.2,>ENST00000604064.1,>ENST00000618479.1,ENSG00000211943.2,>ENST00000311003.6,>ENST00000603900.1,>ENST00000508057.2,>ENST00000422633.1,>ENST00000616864.1,>ENST00000435400.1,>ENST00000418778.1,>ENST00000480465.1
>ENST00000553271.1,9.0,7.0,9.0,8.0,9.0,9.0,8.0,11.0,7.0,10.0,0.0,8.0,9.0,8.0,7.0,9.0,8.0,7.0,11.0,7.0,7.0,10.0,9.0,7.0,8.0,10.0,9.0,7.0,9.0,9.0
>ENST00000620102.1,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,0.0,12.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,11.0,8.0,7.0,11.0,11.0
>ENST00000431305.1,10.0,9.0,11.0,11.0,10.0,11.0,12.0,8.0,9.0,10.0,9.0,12.0,0.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,8.0,11.0,10.0
>ENST00000519787.1,8.0,11.0,11.0,7.0,10.0,10.0,11.0,8.0,9.0,9.0,8.0,10.0,11.0,0.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,10.0,11.0,7.0,10.0,12.0
>ENST00000506013.1,9.0,7.0,9.0,8.0,8.0,9.0,8.0,7.0,12.0,8.0,7.0,8.0,10.0,9.0,0.0,9.0,10.0,10.0,8.0,9.0,10.0,8.0,8.0,7.0,10.0,9.0,8.0,8.0,8.0,8.0
>ENST00000422578.2,9.0,7.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,14.0,11.0,10.0,13.0,10.0,12.0,9.0,8.0,10.0,10.0,11.0,7.0,9.0,10.0
>ENST00000423174.1,9.0,8.0,12.0,10.0,9.0,10.0,10.0,8.0,10.0,11.0,8.0,9.0,10.0,10.0,10.0,14.0,0.0,10.0,11.0,10.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,12.0,9.0
>ENST00000417579.1,8.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,10.0,9.0,7.0,11.0,9.0,8.0,10.0,11.0,10.0,0.0,10.0,8.0,9.0,9.0,14.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0
>ENST00000510579.2,10.0,9.0,9.0,9.0,10.0,11.0,9.0,8.0,11.0,14.0,11.0,9.0,10.0,9.0,8.0,10.0,11.0,10.0,0.0,8.0,10.0,10.0,10.0,12.0,9.0,10.0,11.0,9.0,10.0,9.0
>ENST00000604064.1,8.0,8.0,9.0,9.0,7.0,9.0,7.0,8.0,10.0,9.0,7.0,9.0,9.0,8.0,9.0,13.0,10.0,8.0,8.0,0.0,9.0,8.0,10.0,7.0,8.0,9.0,7.0,7.0,9.0,8.0
>ENST00000618479.1,8.0,10.0,9.0,10.0,8.0,11.0,9.0,7.0,9.0,10.0,7.0,8.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,0.0,10.0,9.0,8.0,8.0,9.0,8.0,9.0,12.0,8.0
ENSG00000211943.2,9.0,9.0,10.0,9.0,11.0,11.0,9.0,8.0,29.0,9.0,10.0,9.0,11.0,8.0,8.0,12.0,11.0,9.0,10.0,8.0,10.0,0.0,9.0,8.0,10.0,10.0,10.0,8.0,10.0,9.0
>ENST00000311003.6,10.0,9.0,10.0,10.0,10.0,11.0,11.0,9.0,10.0,12.0,9.0,9.0,11.0,8.0,8.0,9.0,11.0,14.0,10.0,10.0,9.0,9.0,0.0,9.0,10.0,13.0,11.0,12.0,12.0,11.0
>ENST00000603900.1,8.0,8.0,9.0,11.0,8.0,9.0,9.0,7.0,8.0,8.0,7.0,9.0,9.0,7.0,7.0,8.0,9.0,8.0,12.0,7.0,8.0,8.0,9.0,0.0,7.0,9.0,9.0,9.0,9.0,9.0
>ENST00000508057.2,9.0,8.0,9.0,7.0,9.0,10.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,8.0,8.0,10.0,10.0,7.0,0.0,10.0,11.0,8.0,9.0,9.0
>ENST00000422633.1,10.0,9.0,10.0,10.0,10.0,14.0,8.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,13.0,9.0,10.0,0.0,9.0,10.0,11.0,10.0
>ENST00000616864.1,8.0,8.0,10.0,10.0,12.0,11.0,10.0,10.0,9.0,11.0,9.0,8.0,10.0,11.0,8.0,11.0,10.0,8.0,11.0,7.0,8.0,10.0,11.0,9.0,11.0,9.0,0.0,8.0,11.0,10.0
>ENST00000435400.1,7.0,7.0,8.0,7.0,9.0,9.0,7.0,12.0,9.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,9.0,7.0,9.0,7.0,9.0,8.0,12.0,9.0,8.0,10.0,8.0,0.0,9.0,8.0
>ENST00000418778.1,13.0,9.0,11.0,10.0,11.0,18.0,11.0,11.0,9.0,11.0,9.0,11.0,11.0,10.0,8.0,9.0,12.0,9.0,10.0,9.0,12.0,10.0,12.0,9.0,9.0,11.0,11.0,9.0,0.0,9.0
>ENST00000480465.1,9.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,8.0,9.0,9.0,11.0,10.0,12.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,11.0,9.0,9.0,10.0,10.0,8.0,9.0,0.0
