,>ENST00000610667.1,>ENST00000533593.1,>ENST00000455767.1,>ENST00000509483.2,>ENST00000576220.1,>ENST00000432417.1,>ENST00000451965.1,>ENST00000545422.1,>ENST00000512863.1,>ENST00000543539.1,>ENST00000513707.2,>ENST00000427194.1,>ENST00000624502.3,>ENST00000508008.2,>ENST00000621243.1,>ENST00000564273.4,>ENST00000413214.3,>ENST00000635085.1,>ENST00000601088.1,>ENST00000430691.1,>ENST00000471403.1,>ENST00000409686.2,>ENST00000398050.3,>ENST00000522551.1,>ENST00000566109.1,>ENST00000444122.1,>ENST00000513484.1,>ENST00000486888.1,>ENST00000430943.1,>ENST00000322209.3,>ENST00000591913.2,>ENST00000574976.1,>ENST00000486345.1,>ENST00000448505.2,>ENST00000414761.1,ENSG00000126262.4,>ENST00000443612.1,>ENST00000603331.1,>ENST00000413892.1,>ENST00000521917.1,>ENST00000619712.1,>ENST00000418887.1,>ENST00000519200.1
>ENST00000513707.2,8.0,10.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,0.0,9.0,10.0,8.0,9.0,11.0,9.0,8.0,11.0,9.0,10.0,10.0,13.0,11.0,9.0,10.0,9.0,8.0,11.0,9.0,11.0,8.0,9.0,8.0,10.0,13.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0
>ENST00000427194.1,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,11.0,9.0,0.0,10.0,8.0,10.0,11.0,10.0,8.0,10.0,9.0,10.0,11.0,11.0,10.0,9.0,8.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,13.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0
>ENST00000624502.3,8.0,11.0,11.0,9.0,12.0,8.0,10.0,8.0,9.0,10.0,10.0,10.0,0.0,11.0,10.0,11.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,7.0,8.0,11.0,9.0,10.0,9.0,7.0,9.0,9.0,11.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0
>ENST00000508008.2,7.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0,12.0,10.0,8.0,8.0,11.0,0.0,8.0,11.0,9.0,11.0,8.0,9.0,9.0,10.0,10.0,10.0,8.0,8.0,7.0,8.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,12.0,8.0,7.0,10.0,9.0,11.0,9.0,9.0
>ENST00000621243.1,13.0,8.0,10.0,9.0,8.0,8.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,0.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,11.0,10.0,8.0,9.0,8.0,10.0,8.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0
>ENST00000564273.4,11.0,10.0,10.0,9.0,8.0,9.0,10.0,11.0,13.0,11.0,11.0,11.0,11.0,11.0,10.0,0.0,11.0,10.0,10.0,11.0,11.0,13.0,11.0,12.0,10.0,9.0,8.0,12.0,11.0,11.0,12.0,9.0,8.0,8.0,8.0,14.0,11.0,8.0,9.0,10.0,12.0,9.0,11.0
>ENST00000413214.3,8.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,12.0,9.0,10.0,10.0,9.0,10.0,11.0,0.0,10.0,10.0,10.0,14.0,11.0,11.0,9.0,8.0,9.0,8.0,14.0,11.0,9.0,12.0,9.0,9.0,9.0,8.0,12.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0
>ENST00000635085.1,8.0,10.0,9.0,8.0,7.0,10.0,11.0,11.0,10.0,9.0,8.0,8.0,8.0,11.0,10.0,10.0,10.0,0.0,9.0,11.0,8.0,10.0,9.0,8.0,8.0,9.0,6.0,8.0,9.0,11.0,12.0,7.0,9.0,7.0,8.0,11.0,8.0,8.0,8.0,13.0,9.0,8.0,9.0
>ENST00000601088.1,8.0,10.0,11.0,11.0,9.0,9.0,10.0,8.0,10.0,8.0,11.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,0.0,9.0,12.0,9.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0,11.0,13.0,10.0,8.0,8.0,9.0,12.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0
>ENST00000430691.1,10.0,16.0,9.0,8.0,8.0,8.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,9.0,0.0,10.0,13.0,10.0,8.0,10.0,10.0,7.0,11.0,9.0,9.0,10.0,8.0,8.0,8.0,9.0,12.0,9.0,11.0,9.0,10.0,10.0,8.0,8.0
>ENST00000471403.1,8.0,11.0,11.0,8.0,11.0,8.0,13.0,7.0,12.0,9.0,10.0,10.0,10.0,9.0,8.0,11.0,14.0,8.0,12.0,10.0,0.0,12.0,12.0,9.0,8.0,9.0,7.0,10.0,11.0,9.0,9.0,10.0,9.0,8.0,11.0,13.0,9.0,9.0,8.0,10.0,10.0,11.0,9.0
>ENST00000409686.2,9.0,11.0,9.0,10.0,9.0,8.0,14.0,9.0,802.0,9.0,10.0,11.0,10.0,10.0,9.0,13.0,11.0,10.0,9.0,13.0,12.0,0.0,13.0,11.0,9.0,11.0,8.0,11.0,11.0,10.0,11.0,10.0,8.0,8.0,10.0,13.0,10.0,10.0,9.0,12.0,12.0,10.0,9.0
>ENST00000398050.3,8.0,11.0,12.0,8.0,9.0,9.0,13.0,9.0,11.0,10.0,13.0,11.0,10.0,10.0,9.0,11.0,11.0,9.0,9.0,10.0,12.0,13.0,0.0,13.0,9.0,10.0,9.0,10.0,9.0,11.0,11.0,8.0,9.0,8.0,9.0,13.0,9.0,11.0,10.0,10.0,11.0,8.0,9.0
>ENST00000522551.1,9.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,13.0,9.0,11.0,10.0,9.0,10.0,10.0,12.0,9.0,8.0,10.0,8.0,9.0,11.0,13.0,0.0,9.0,9.0,8.0,11.0,12.0,9.0,9.0,8.0,11.0,9.0,9.0,11.0,10.0,9.0,10.0,12.0,11.0,10.0,9.0
>ENST00000566109.1,7.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,0.0,7.0,7.0,8.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,11.0,8.0,7.0,9.0,8.0,11.0,9.0,7.0
>ENST00000444122.1,8.0,9.0,8.0,7.0,9.0,8.0,9.0,7.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0,7.0,0.0,9.0,8.0,8.0,11.0,8.0,8.0,7.0,9.0,9.0,11.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0
>ENST00000513484.1,6.0,7.0,8.0,9.0,8.0,6.0,9.0,9.0,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,8.0,6.0,9.0,7.0,7.0,8.0,9.0,8.0,7.0,9.0,0.0,8.0,11.0,9.0,7.0,7.0,6.0,6.0,9.0,12.0,7.0,8.0,7.0,9.0,7.0,8.0,8.0
>ENST00000486888.1,7.0,13.0,10.0,9.0,8.0,8.0,9.0,7.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,12.0,14.0,8.0,10.0,11.0,10.0,11.0,10.0,11.0,8.0,8.0,8.0,0.0,12.0,9.0,9.0,9.0,9.0,8.0,7.0,12.0,9.0,8.0,8.0,8.0,11.0,8.0,9.0
>ENST00000430943.1,8.0,9.0,10.0,9.0,8.0,8.0,13.0,8.0,11.0,9.0,11.0,11.0,11.0,9.0,11.0,11.0,11.0,9.0,11.0,9.0,11.0,11.0,9.0,12.0,9.0,8.0,11.0,12.0,0.0,10.0,9.0,8.0,9.0,8.0,10.0,12.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0
>ENST00000322209.3,9.0,9.0,11.0,9.0,8.0,7.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,9.0,11.0,11.0,9.0,9.0,10.0,11.0,9.0,8.0,11.0,9.0,9.0,10.0,0.0,9.0,9.0,7.0,7.0,8.0,11.0,8.0,10.0,9.0,11.0,10.0,9.0,7.0
>ENST00000591913.2,8.0,10.0,10.0,8.0,8.0,7.0,10.0,8.0,16.0,10.0,11.0,9.0,10.0,11.0,8.0,12.0,12.0,12.0,13.0,10.0,9.0,11.0,11.0,9.0,7.0,8.0,7.0,9.0,9.0,9.0,0.0,8.0,9.0,7.0,9.0,11.0,9.0,8.0,8.0,9.0,12.0,10.0,12.0
>ENST00000574976.1,8.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,10.0,8.0,10.0,10.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,0.0,7.0,9.0,7.0,12.0,9.0,8.0,7.0,8.0,9.0,10.0,8.0
>ENST00000486345.1,7.0,7.0,7.0,7.0,6.0,7.0,10.0,9.0,8.0,11.0,9.0,9.0,7.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,11.0,8.0,7.0,6.0,9.0,9.0,7.0,9.0,7.0,0.0,7.0,6.0,11.0,7.0,8.0,7.0,11.0,9.0,7.0,7.0
>ENST00000448505.2,8.0,7.0,8.0,6.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,6.0,8.0,8.0,7.0,7.0,9.0,7.0,0.0,7.0,9.0,7.0,7.0,8.0,9.0,8.0,10.0,8.0
>ENST00000414761.1,7.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,7.0,10.0,8.0,9.0,7.0,6.0,7.0,0.0,11.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0
ENSG00000126262.4,10.0,12.0,13.0,11.0,12.0,10.0,14.0,11.0,14.0,10.0,13.0,13.0,11.0,12.0,11.0,14.0,12.0,11.0,12.0,12.0,13.0,13.0,13.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,11.0,12.0,11.0,9.0,11.0,0.0,10.0,10.0,12.0,14.0,12.0,11.0,10.0
>ENST00000443612.1,8.0,9.0,9.0,11.0,8.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,11.0,8.0,10.0,11.0,10.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,7.0,9.0,8.0,8.0,9.0,9.0,7.0,7.0,8.0,10.0,0.0,9.0,8.0,11.0,15.0,9.0,11.0
>ENST00000603331.1,7.0,9.0,10.0,9.0,10.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,10.0,8.0,8.0,11.0,9.0,10.0,11.0,9.0,7.0,10.0,8.0,8.0,9.0,10.0,8.0,8.0,8.0,7.0,9.0,10.0,9.0,0.0,10.0,7.0,8.0,9.0,9.0
>ENST00000413892.1,7.0,8.0,10.0,11.0,7.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,7.0,8.0,10.0,9.0,8.0,7.0,7.0,8.0,9.0,12.0,8.0,10.0,0.0,8.0,8.0,11.0,8.0
>ENST00000521917.1,9.0,11.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,13.0,8.0,10.0,10.0,12.0,10.0,12.0,8.0,8.0,9.0,8.0,10.0,11.0,9.0,8.0,11.0,9.0,9.0,14.0,11.0,7.0,8.0,0.0,12.0,8.0,10.0
>ENST00000619712.1,9.0,10.0,10.0,9.0,11.0,9.0,10.0,8.0,11.0,9.0,10.0,9.0,10.0,11.0,9.0,12.0,10.0,9.0,9.0,10.0,10.0,12.0,11.0,11.0,11.0,9.0,7.0,11.0,10.0,10.0,12.0,9.0,9.0,8.0,9.0,12.0,15.0,8.0,8.0,12.0,0.0,9.0,9.0
>ENST00000418887.1,8.0,9.0,10.0,8.0,7.0,8.0,9.0,7.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0,11.0,10.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,7.0,10.0,8.0,11.0,9.0,9.0,11.0,8.0,9.0,0.0,8.0
>ENST00000519200.1,8.0,10.0,8.0,9.0,7.0,8.0,11.0,7.0,13.0,10.0,8.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,10.0,7.0,12.0,8.0,7.0,8.0,8.0,10.0,11.0,9.0,8.0,10.0,9.0,8.0,0.0
