,>ENST00000417620.2,>ENST00000506490.2,>ENST00000448769.1,>ENST00000605702.1,ENSG00000280465.1,>ENST00000583051.1,>ENST00000551207.2,>ENST00000507651.1,>ENST00000421721.1,>ENST00000478520.2,>ENST00000542637.1,>ENST00000420373.1,>ENST00000413391.1,>ENST00000431724.1,>ENST00000425544.1,>ENST00000566174.1,>ENST00000462203.1,>ENST00000503761.1,>ENST00000581517.1,>ENST00000419708.1,>ENST00000514188.1,>ENST00000417653.2,>ENST00000560043.1,>ENST00000433457.2,>ENST00000524920.1,>ENST00000424651.1,>ENST00000561341.2,>ENST00000557360.1,>ENST00000565492.1,>ENST00000424803.1
>ENST00000420373.1,10.0,9.0,9.0,9.0,9.0,10.0,12.0,10.0,10.0,10.0,8.0,0.0,8.0,12.0,9.0,12.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0
>ENST00000413391.1,10.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,0.0,12.0,12.0,11.0,10.0,12.0,9.0,11.0,8.0,8.0,8.0,8.0,9.0,9.0,11.0,12.0,9.0,7.0
>ENST00000431724.1,11.0,10.0,8.0,11.0,9.0,12.0,10.0,11.0,12.0,10.0,8.0,12.0,12.0,0.0,12.0,13.0,10.0,10.0,10.0,10.0,11.0,9.0,12.0,10.0,10.0,9.0,14.0,10.0,10.0,10.0
>ENST00000425544.1,11.0,9.0,9.0,11.0,8.0,11.0,8.0,11.0,9.0,12.0,9.0,9.0,12.0,12.0,0.0,11.0,9.0,11.0,8.0,11.0,10.0,9.0,9.0,12.0,9.0,9.0,12.0,10.0,9.0,9.0
>ENST00000566174.1,12.0,11.0,10.0,11.0,8.0,11.0,9.0,12.0,10.0,12.0,9.0,12.0,11.0,13.0,11.0,0.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,8.0,11.0,11.0,12.0,9.0
>ENST00000462203.1,8.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,11.0,10.0,10.0,9.0,9.0,0.0,9.0,8.0,11.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,7.0
>ENST00000503761.1,10.0,9.0,8.0,11.0,8.0,11.0,10.0,11.0,9.0,10.0,8.0,10.0,12.0,10.0,11.0,11.0,9.0,0.0,9.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,11.0,9.0
>ENST00000581517.1,8.0,10.0,8.0,8.0,7.0,9.0,8.0,14.0,8.0,10.0,7.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,0.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,10.0,6.0
>ENST00000419708.1,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,7.0,10.0,11.0,10.0,11.0,11.0,11.0,11.0,8.0,0.0,12.0,9.0,10.0,9.0,11.0,8.0,9.0,9.0,9.0,8.0
>ENST00000514188.1,10.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,10.0,8.0,11.0,10.0,11.0,8.0,10.0,9.0,12.0,0.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,7.0
>ENST00000417653.2,8.0,9.0,8.0,10.0,8.0,10.0,9.0,10.0,9.0,12.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,9.0,0.0,9.0,11.0,9.0,7.0,10.0,8.0,11.0,9.0
>ENST00000560043.1,8.0,9.0,8.0,10.0,8.0,11.0,9.0,10.0,9.0,10.0,11.0,9.0,8.0,12.0,9.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,0.0,10.0,8.0,9.0,9.0,10.0,9.0,7.0
>ENST00000433457.2,11.0,9.0,9.0,12.0,8.0,9.0,9.0,10.0,9.0,10.0,7.0,11.0,8.0,10.0,12.0,11.0,8.0,11.0,9.0,9.0,9.0,11.0,10.0,0.0,9.0,9.0,10.0,11.0,11.0,8.0
>ENST00000524920.1,9.0,9.0,8.0,8.0,8.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,8.0,9.0,0.0,8.0,11.0,9.0,9.0,7.0
>ENST00000424651.1,8.0,9.0,7.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,7.0,9.0,9.0,8.0,0.0,11.0,9.0,9.0,6.0
>ENST00000561341.2,10.0,10.0,7.0,9.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,14.0,12.0,11.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,0.0,10.0,9.0,9.0
>ENST00000557360.1,10.0,10.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,10.0,12.0,10.0,10.0,11.0,9.0,10.0,8.0,9.0,8.0,8.0,10.0,11.0,9.0,9.0,10.0,0.0,10.0,8.0
>ENST00000565492.1,9.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,12.0,8.0,11.0,10.0,9.0,10.0,11.0,9.0,11.0,9.0,9.0,9.0,10.0,0.0,6.0
>ENST00000424803.1,9.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,9.0,9.0,6.0,9.0,7.0,10.0,9.0,9.0,7.0,9.0,6.0,8.0,7.0,9.0,7.0,8.0,7.0,6.0,9.0,8.0,6.0,0.0
