,>ENST00000355719.4,>ENST00000479243.1,>ENST00000568867.1,>ENST00000469329.1,>ENST00000528055.1,>ENST00000604654.1,>ENST00000555205.1,>ENST00000411498.1,>ENST00000453927.2,>ENST00000396692.2,ENSG00000252979.1,>ENST00000324799.4,>ENST00000634247.1,>ENST00000422817.2,>ENST00000526662.1,>ENST00000482081.1,>ENST00000432206.1,>ENST00000443181.1,>ENST00000312966.6,>ENST00000444082.1,>ENST00000613436.1,>ENST00000423285.1,>ENST00000603820.1,>ENST00000548419.1,>ENST00000441836.1,>ENST00000453433.1,>ENST00000617173.1,>ENST00000436316.1,>ENST00000619723.1,>ENST00000458150.2,>ENST00000421436.1,>ENST00000503897.1,>ENST00000417310.1,>ENST00000440551.1,>ENST00000451627.1,ENSG00000164604.12,>ENST00000505711.1,>ENST00000509113.1,>ENST00000453184.2,>ENST00000417263.2,>ENST00000433738.5,>ENST00000547576.2,>ENST00000465493.1,>ENST00000424606.2,>ENST00000457365.1,>ENST00000527289.1,>ENST00000447592.1,>ENST00000508566.2,>ENST00000517993.2,>ENST00000515328.1,>ENST00000448266.2,>ENST00000528550.1,>ENST00000429195.1,>ENST00000442758.1,>ENST00000431701.1,>ENST00000519711.1
ENSG00000252979.1,7.0,7.0,8.0,7.0,10.0,10.0,7.0,11.0,9.0,8.0,0.0,7.0,8.0,7.0,9.0,10.0,8.0,6.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,6.0,11.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,11.0,7.0,7.0,6.0,8.0,7.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0,6.0,7.0,8.0,6.0,8.0,8.0,8.0,7.0
>ENST00000324799.4,9.0,8.0,10.0,8.0,11.0,9.0,8.0,8.0,7.0,10.0,7.0,0.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,7.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,12.0,10.0,13.0,11.0,8.0,9.0,7.0,8.0,9.0,9.0,8.0,7.0,10.0,8.0,9.0,10.0,11.0,8.0,7.0,11.0,8.0,8.0,9.0
>ENST00000634247.1,8.0,10.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,0.0,10.0,11.0,9.0,11.0,10.0,9.0,14.0,11.0,12.0,14.0,11.0,8.0,9.0,10.0,10.0,12.0,9.0,10.0,10.0,11.0,10.0,9.0,15.0,11.0,8.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,12.0,10.0,11.0,9.0,11.0,11.0,8.0,9.0,9.0,9.0,10.0
>ENST00000422817.2,10.0,10.0,9.0,9.0,11.0,9.0,8.0,9.0,10.0,11.0,7.0,9.0,10.0,0.0,11.0,11.0,10.0,9.0,9.0,11.0,9.0,9.0,8.0,12.0,8.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,10.0,9.0,8.0,9.0,10.0,9.0,12.0,10.0,7.0,13.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0
>ENST00000526662.1,11.0,9.0,10.0,10.0,13.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,11.0,0.0,10.0,10.0,9.0,9.0,12.0,14.0,11.0,10.0,12.0,10.0,9.0,8.0,11.0,11.0,9.0,8.0,10.0,9.0,11.0,10.0,12.0,10.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,8.0,10.0,10.0,12.0,8.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0
>ENST00000482081.1,9.0,12.0,9.0,8.0,10.0,11.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,11.0,10.0,0.0,10.0,8.0,9.0,12.0,12.0,10.0,9.0,10.0,13.0,10.0,8.0,9.0,6.0,9.0,10.0,9.0,9.0,8.0,7.0,11.0,10.0,8.0,8.0,8.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0
>ENST00000432206.1,9.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,11.0,10.0,10.0,10.0,0.0,9.0,12.0,11.0,9.0,12.0,9.0,11.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,12.0,11.0,8.0,12.0,8.0,8.0,9.0,12.0,11.0,8.0,10.0,9.0,10.0,8.0,10.0,9.0,8.0,10.0,9.0,8.0,11.0
>ENST00000443181.1,7.0,9.0,95.0,12.0,9.0,10.0,8.0,8.0,8.0,13.0,6.0,9.0,10.0,9.0,9.0,8.0,9.0,0.0,8.0,12.0,10.0,10.0,10.0,8.0,8.0,10.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,8.0,12.0,13.0,8.0,9.0,11.0,10.0,12.0,8.0,9.0,8.0,12.0,10.0,9.0,7.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0
>ENST00000312966.6,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,12.0,8.0,0.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,7.0,12.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,11.0,8.0,8.0,9.0,11.0,9.0,9.0,9.0,8.0,8.0,11.0,10.0,11.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0
>ENST00000444082.1,10.0,11.0,12.0,10.0,12.0,11.0,11.0,10.0,10.0,11.0,8.0,11.0,14.0,11.0,12.0,12.0,11.0,12.0,11.0,0.0,16.0,11.0,11.0,14.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,14.0,13.0,11.0,9.0,14.0,13.0,10.0,9.0,10.0,14.0,10.0,11.0,11.0,9.0,10.0,11.0,10.0,12.0,13.0,10.0,9.0,12.0,11.0,10.0,12.0
>ENST00000613436.1,9.0,11.0,9.0,13.0,10.0,12.0,10.0,10.0,9.0,9.0,8.0,9.0,11.0,9.0,14.0,12.0,9.0,10.0,10.0,16.0,0.0,12.0,10.0,11.0,10.0,9.0,7.0,9.0,9.0,9.0,10.0,10.0,9.0,12.0,9.0,12.0,10.0,9.0,9.0,9.0,11.0,11.0,11.0,9.0,9.0,10.0,10.0,10.0,8.0,11.0,9.0,10.0,10.0,8.0,9.0,10.0
>ENST00000423285.1,8.0,9.0,10.0,9.0,16.0,10.0,9.0,11.0,10.0,9.0,9.0,10.0,12.0,9.0,11.0,10.0,12.0,10.0,10.0,11.0,12.0,0.0,8.0,10.0,11.0,10.0,8.0,13.0,8.0,12.0,11.0,11.0,12.0,9.0,10.0,27.0,10.0,9.0,9.0,11.0,9.0,12.0,10.0,11.0,9.0,10.0,9.0,11.0,9.0,11.0,8.0,12.0,10.0,9.0,10.0,11.0
>ENST00000603820.1,7.0,10.0,9.0,8.0,11.0,8.0,9.0,9.0,8.0,9.0,8.0,7.0,14.0,8.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,8.0,0.0,9.0,7.0,9.0,7.0,8.0,12.0,7.0,8.0,9.0,8.0,8.0,8.0,13.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,12.0,10.0,8.0,12.0,7.0,7.0,10.0,9.0,10.0,9.0
>ENST00000548419.1,9.0,10.0,10.0,10.0,11.0,8.0,13.0,10.0,9.0,9.0,8.0,9.0,11.0,12.0,12.0,10.0,11.0,8.0,9.0,14.0,11.0,10.0,9.0,0.0,10.0,11.0,6.0,9.0,8.0,10.0,9.0,9.0,12.0,10.0,8.0,12.0,11.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,8.0,11.0,9.0,10.0,9.0,12.0,9.0,11.0,11.0,9.0,9.0,10.0
>ENST00000441836.1,7.0,10.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,10.0,8.0,8.0,8.0,8.0,10.0,13.0,9.0,8.0,9.0,10.0,10.0,11.0,7.0,10.0,0.0,9.0,7.0,10.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,11.0,9.0,7.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,7.0,12.0,8.0,10.0,11.0,10.0,11.0,54.0,11.0,9.0
>ENST00000453433.1,12.0,9.0,11.0,9.0,10.0,11.0,10.0,12.0,10.0,11.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,11.0,9.0,0.0,8.0,12.0,7.0,10.0,9.0,9.0,10.0,9.0,10.0,12.0,10.0,8.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0,10.0,9.0,10.0,7.0,10.0,14.0,7.0,11.0,9.0,8.0,10.0
>ENST00000617173.1,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,6.0,8.0,6.0,7.0,10.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,7.0,6.0,7.0,8.0,0.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,9.0,10.0,7.0,7.0,7.0,8.0,7.0,11.0,6.0,7.0,8.0,8.0,9.0,8.0,9.0,7.0,6.0,7.0,7.0,6.0,8.0
>ENST00000436316.1,9.0,8.0,8.0,9.0,10.0,9.0,7.0,10.0,8.0,9.0,11.0,8.0,10.0,10.0,11.0,9.0,9.0,8.0,12.0,10.0,9.0,13.0,8.0,9.0,10.0,12.0,6.0,0.0,11.0,8.0,8.0,10.0,10.0,8.0,9.0,12.0,9.0,7.0,8.0,11.0,10.0,11.0,9.0,8.0,9.0,10.0,9.0,10.0,7.0,9.0,7.0,7.0,9.0,9.0,8.0,9.0
>ENST00000619723.1,9.0,8.0,7.0,7.0,8.0,8.0,6.0,8.0,10.0,8.0,8.0,8.0,12.0,9.0,11.0,6.0,8.0,7.0,9.0,10.0,9.0,8.0,12.0,8.0,8.0,7.0,5.0,11.0,0.0,8.0,7.0,7.0,8.0,8.0,6.0,9.0,9.0,6.0,6.0,8.0,8.0,8.0,10.0,8.0,7.0,10.0,7.0,10.0,6.0,9.0,8.0,7.0,9.0,8.0,7.0,10.0
>ENST00000458150.2,8.0,9.0,8.0,10.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,12.0,7.0,10.0,9.0,10.0,6.0,8.0,8.0,0.0,8.0,8.0,8.0,7.0,7.0,14.0,9.0,7.0,7.0,8.0,11.0,8.0,8.0,8.0,7.0,9.0,8.0,11.0,7.0,10.0,11.0,7.0,10.0,8.0,7.0,8.0
>ENST00000421436.1,9.0,8.0,11.0,9.0,11.0,9.0,8.0,9.0,8.0,10.0,7.0,9.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,11.0,8.0,9.0,9.0,9.0,6.0,8.0,7.0,8.0,0.0,9.0,8.0,8.0,9.0,12.0,9.0,7.0,8.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0
>ENST00000503897.1,8.0,9.0,9.0,11.0,9.0,9.0,8.0,11.0,7.0,13.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,14.0,10.0,11.0,9.0,9.0,8.0,9.0,7.0,10.0,7.0,8.0,9.0,0.0,8.0,10.0,8.0,10.0,10.0,8.0,8.0,10.0,10.0,9.0,11.0,11.0,10.0,10.0,11.0,11.0,7.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0
>ENST00000417310.1,10.0,9.0,10.0,8.0,9.0,10.0,9.0,11.0,8.0,8.0,8.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,13.0,9.0,12.0,8.0,12.0,8.0,10.0,7.0,10.0,8.0,8.0,8.0,8.0,0.0,9.0,10.0,12.0,11.0,8.0,8.0,10.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,8.0,10.0,8.0,10.0,11.0
>ENST00000440551.1,8.0,9.0,9.0,9.0,8.0,10.0,7.0,8.0,8.0,8.0,7.0,12.0,10.0,9.0,11.0,8.0,10.0,9.0,8.0,11.0,12.0,9.0,8.0,10.0,8.0,9.0,7.0,8.0,8.0,7.0,8.0,10.0,9.0,0.0,10.0,11.0,10.0,11.0,9.0,8.0,9.0,11.0,9.0,8.0,10.0,10.0,10.0,11.0,6.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0
>ENST00000451627.1,9.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0,10.0,9.0,8.0,10.0,7.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,7.0,10.0,7.0,9.0,6.0,7.0,9.0,8.0,10.0,10.0,0.0,10.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,9.0,7.0,9.0,7.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,8.0
ENSG00000164604.12,10.0,13.0,11.0,13.0,16.0,11.0,9.0,11.0,11.0,12.0,11.0,13.0,15.0,11.0,12.0,11.0,12.0,12.0,11.0,14.0,12.0,27.0,13.0,12.0,11.0,12.0,9.0,12.0,9.0,14.0,12.0,10.0,12.0,11.0,10.0,0.0,12.0,13.0,11.0,12.0,11.0,11.0,11.0,11.0,13.0,12.0,12.0,12.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0
>ENST00000505711.1,8.0,9.0,13.0,10.0,10.0,12.0,8.0,11.0,9.0,8.0,7.0,11.0,11.0,10.0,10.0,10.0,11.0,13.0,8.0,13.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,8.0,12.0,0.0,8.0,9.0,9.0,9.0,10.0,10.0,11.0,8.0,11.0,10.0,12.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0
>ENST00000509113.1,6.0,9.0,8.0,8.0,9.0,10.0,7.0,9.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,11.0,7.0,13.0,8.0,0.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,10.0,7.0,9.0,11.0,7.0,9.0,8.0
>ENST00000453184.2,7.0,10.0,9.0,8.0,12.0,9.0,8.0,8.0,7.0,11.0,6.0,9.0,8.0,8.0,11.0,8.0,12.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,7.0,8.0,6.0,7.0,8.0,8.0,8.0,9.0,8.0,11.0,9.0,8.0,0.0,8.0,8.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0
>ENST00000417263.2,9.0,10.0,11.0,12.0,10.0,11.0,9.0,12.0,9.0,8.0,8.0,7.0,10.0,9.0,10.0,8.0,8.0,11.0,11.0,10.0,9.0,11.0,8.0,11.0,8.0,10.0,7.0,11.0,8.0,8.0,9.0,10.0,10.0,8.0,7.0,12.0,9.0,8.0,8.0,0.0,10.0,10.0,10.0,8.0,9.0,11.0,10.0,11.0,7.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0
>ENST00000433738.5,9.0,10.0,9.0,11.0,10.0,11.0,9.0,9.0,8.0,12.0,7.0,8.0,10.0,10.0,11.0,10.0,8.0,10.0,9.0,14.0,11.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,11.0,9.0,10.0,11.0,9.0,8.0,11.0,9.0,9.0,8.0,10.0,0.0,10.0,9.0,12.0,8.0,12.0,10.0,11.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0
>ENST00000547576.2,9.0,8.0,10.0,10.0,10.0,9.0,9.0,19.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,9.0,12.0,9.0,10.0,11.0,12.0,8.0,9.0,10.0,11.0,7.0,11.0,8.0,8.0,11.0,9.0,9.0,11.0,8.0,11.0,10.0,9.0,9.0,10.0,10.0,0.0,10.0,10.0,10.0,21.0,11.0,10.0,7.0,9.0,12.0,9.0,10.0,8.0,12.0,10.0
>ENST00000465493.1,11.0,9.0,9.0,9.0,10.0,11.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,12.0,10.0,9.0,12.0,8.0,9.0,11.0,11.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0,10.0,8.0,10.0,11.0,9.0,9.0,8.0,11.0,10.0,8.0,11.0,10.0,9.0,10.0,0.0,9.0,8.0,10.0,10.0,11.0,7.0,10.0,10.0,8.0,10.0,9.0,11.0,10.0
>ENST00000424606.2,8.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,11.0,9.0,8.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,6.0,8.0,8.0,8.0,9.0,11.0,10.0,8.0,9.0,11.0,11.0,9.0,9.0,8.0,12.0,10.0,9.0,0.0,7.0,8.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,11.0,9.0,11.0
>ENST00000457365.1,7.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,8.0,8.0,7.0,7.0,10.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,7.0,9.0,7.0,7.0,10.0,10.0,9.0,10.0,7.0,13.0,8.0,8.0,8.0,9.0,8.0,10.0,8.0,7.0,0.0,9.0,7.0,8.0,8.0,8.0,10.0,7.0,9.0,13.0,8.0,9.0
>ENST00000527289.1,9.0,10.0,11.0,10.0,11.0,11.0,9.0,14.0,10.0,13.0,8.0,10.0,12.0,13.0,10.0,9.0,10.0,12.0,11.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,12.0,11.0,9.0,10.0,11.0,12.0,21.0,10.0,8.0,9.0,0.0,10.0,11.0,10.0,10.0,9.0,10.0,11.0,9.0,12.0,11.0
>ENST00000447592.1,8.0,8.0,11.0,9.0,9.0,10.0,7.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,9.0,12.0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,8.0,11.0,9.0,10.0,7.0,12.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,10.0,7.0,10.0,0.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,11.0
>ENST00000508566.2,8.0,12.0,13.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,9.0,9.0,11.0,10.0,12.0,10.0,10.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,12.0,10.0,9.0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,9.0,12.0,12.0,9.0,9.0,11.0,11.0,10.0,11.0,10.0,8.0,11.0,9.0,0.0,10.0,10.0,8.0,9.0,10.0,11.0,9.0,11.0
>ENST00000517993.2,7.0,8.0,10.0,8.0,9.0,9.0,6.0,8.0,6.0,7.0,6.0,10.0,9.0,10.0,8.0,9.0,8.0,7.0,8.0,12.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,7.0,6.0,7.0,8.0,7.0,8.0,6.0,8.0,10.0,9.0,7.0,8.0,7.0,9.0,7.0,7.0,8.0,8.0,10.0,9.0,10.0,0.0,8.0,7.0,8.0,8.0,9.0,7.0,8.0
>ENST00000515328.1,10.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,7.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,13.0,11.0,11.0,12.0,12.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,0.0,10.0,11.0,12.0,10.0,9.0,10.0
>ENST00000448266.2,9.0,9.0,9.0,7.0,10.0,10.0,7.0,9.0,8.0,10.0,8.0,8.0,11.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,8.0,7.0,9.0,11.0,14.0,7.0,7.0,8.0,11.0,8.0,10.0,9.0,8.0,8.0,11.0,8.0,7.0,11.0,10.0,11.0,12.0,10.0,9.0,10.0,9.0,9.0,8.0,7.0,10.0,0.0,9.0,10.0,7.0,9.0,8.0
>ENST00000528550.1,8.0,8.0,9.0,9.0,8.0,11.0,8.0,8.0,7.0,8.0,6.0,7.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,10.0,12.0,7.0,11.0,10.0,7.0,6.0,7.0,7.0,7.0,8.0,9.0,8.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,7.0,10.0,8.0,9.0,8.0,11.0,9.0,0.0,7.0,8.0,8.0,8.0
>ENST00000429195.1,9.0,10.0,11.0,9.0,12.0,10.0,8.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,7.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,8.0,12.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,10.0,8.0,12.0,10.0,7.0,0.0,10.0,8.0,9.0
>ENST00000442758.1,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0,54.0,9.0,7.0,9.0,8.0,8.0,9.0,10.0,8.0,7.0,8.0,12.0,9.0,7.0,8.0,9.0,9.0,8.0,9.0,11.0,13.0,9.0,8.0,11.0,9.0,10.0,7.0,8.0,10.0,0.0,9.0,10.0
