,>ENST00000525121.2,>ENST00000403538.1,>ENST00000525487.2,>ENST00000445465.2,>ENST00000463466.1,>ENST00000428259.1,>ENST00000418623.1,>ENST00000603578.1,>ENST00000540201.1,>ENST00000614260.1,>ENST00000504193.1,>ENST00000462510.1,>ENST00000549579.2,>ENST00000467831.1,>ENST00000562687.6,>ENST00000515260.1,>ENST00000615075.1,>ENST00000604690.1,>ENST00000319092.5,ENSG00000223179.2,>ENST00000399458.2,>ENST00000412729.1,>ENST00000587542.1,>ENST00000444014.1,>ENST00000407792.1,>ENST00000478038.1,>ENST00000523009.1,>ENST00000518311.2,>ENST00000435212.2,>ENST00000404509.2,>ENST00000569273.1,ENSG00000148826.8,>ENST00000429526.1,>ENST00000455837.2,>ENST00000507687.2,>ENST00000617764.1,>ENST00000448591.1,>ENST00000605787.1,>ENST00000575506.2,>ENST00000441254.1,>ENST00000450032.2,>ENST00000490411.2,>ENST00000510337.1,>ENST00000520119.1,>ENST00000624984.1,>ENST00000511351.1,>ENST00000531997.1
>ENST00000504193.1,9.0,8.0,11.0,10.0,9.0,9.0,8.0,7.0,9.0,9.0,0.0,7.0,10.0,8.0,10.0,9.0,9.0,10.0,10.0,7.0,10.0,9.0,9.0,9.0,8.0,8.0,7.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,11.0,9.0,9.0,9.0,7.0,11.0,8.0,7.0,8.0,10.0
>ENST00000462510.1,15.0,10.0,8.0,9.0,9.0,8.0,11.0,9.0,11.0,8.0,7.0,0.0,10.0,10.0,10.0,10.0,8.0,8.0,11.0,7.0,10.0,9.0,9.0,9.0,7.0,10.0,9.0,10.0,7.0,8.0,8.0,11.0,10.0,10.0,8.0,10.0,8.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,8.0,8.0,8.0
>ENST00000549579.2,10.0,12.0,11.0,9.0,11.0,8.0,11.0,9.0,11.0,9.0,10.0,10.0,0.0,10.0,12.0,11.0,11.0,10.0,12.0,8.0,11.0,11.0,10.0,9.0,9.0,12.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,12.0,10.0,12.0,10.0,11.0,12.0,10.0,11.0,12.0,11.0,12.0,9.0,9.0,12.0
>ENST00000467831.1,10.0,9.0,9.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,8.0,10.0,10.0,0.0,11.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,12.0,7.0,12.0,12.0,9.0,10.0,8.0,8.0,10.0,8.0,10.0,9.0,10.0,9.0,12.0,9.0,7.0,8.0,8.0,10.0
>ENST00000562687.6,14.0,10.0,13.0,12.0,10.0,13.0,11.0,10.0,11.0,10.0,10.0,10.0,12.0,11.0,0.0,11.0,11.0,11.0,12.0,10.0,12.0,11.0,14.0,12.0,11.0,12.0,13.0,11.0,8.0,10.0,9.0,12.0,11.0,11.0,10.0,12.0,11.0,11.0,12.0,11.0,10.0,13.0,13.0,12.0,10.0,16.0,12.0
>ENST00000515260.1,11.0,12.0,9.0,11.0,11.0,8.0,13.0,9.0,9.0,8.0,9.0,10.0,11.0,9.0,11.0,0.0,10.0,9.0,13.0,9.0,12.0,9.0,11.0,11.0,8.0,10.0,10.0,11.0,11.0,9.0,8.0,13.0,10.0,10.0,8.0,13.0,8.0,11.0,11.0,9.0,9.0,10.0,14.0,11.0,8.0,11.0,9.0
>ENST00000615075.1,12.0,12.0,9.0,9.0,8.0,8.0,9.0,10.0,11.0,12.0,9.0,8.0,11.0,9.0,11.0,10.0,0.0,9.0,12.0,8.0,11.0,10.0,9.0,9.0,10.0,9.0,8.0,12.0,9.0,9.0,11.0,10.0,11.0,8.0,9.0,11.0,9.0,11.0,9.0,11.0,13.0,10.0,10.0,8.0,8.0,9.0,10.0
>ENST00000604690.1,9.0,8.0,10.0,10.0,32.0,9.0,8.0,11.0,9.0,8.0,10.0,8.0,10.0,9.0,11.0,9.0,9.0,0.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,12.0,7.0,9.0,7.0,10.0,11.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,7.0,8.0,9.0
>ENST00000319092.5,13.0,12.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,11.0,12.0,9.0,12.0,13.0,12.0,9.0,0.0,8.0,11.0,9.0,11.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,11.0,11.0,8.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,12.0,11.0,8.0,11.0,14.0
ENSG00000223179.2,7.0,7.0,9.0,9.0,7.0,6.0,12.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,10.0,9.0,8.0,8.0,8.0,0.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,9.0,6.0,7.0,12.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,8.0,6.0,8.0,9.0
>ENST00000399458.2,10.0,12.0,12.0,10.0,11.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,9.0,12.0,12.0,11.0,9.0,11.0,7.0,0.0,11.0,12.0,10.0,10.0,10.0,10.0,13.0,11.0,9.0,9.0,12.0,9.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,11.0,11.0,17.0,11.0,9.0,12.0,13.0
>ENST00000412729.1,8.0,9.0,8.0,11.0,9.0,8.0,9.0,12.0,9.0,8.0,9.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,8.0,11.0,0.0,9.0,10.0,9.0,12.0,9.0,13.0,8.0,9.0,8.0,10.0,8.0,8.0,10.0,12.0,7.0,11.0,9.0,9.0,9.0,10.0,10.0,7.0,10.0,10.0,10.0
>ENST00000587542.1,8.0,12.0,10.0,9.0,8.0,9.0,9.0,12.0,11.0,10.0,9.0,9.0,10.0,10.0,14.0,11.0,9.0,8.0,11.0,9.0,12.0,9.0,0.0,9.0,9.0,12.0,10.0,9.0,9.0,10.0,8.0,11.0,8.0,10.0,8.0,13.0,9.0,9.0,10.0,10.0,8.0,11.0,11.0,11.0,9.0,11.0,12.0
>ENST00000444014.1,10.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,12.0,11.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,0.0,9.0,10.0,11.0,12.0,7.0,9.0,8.0,12.0,10.0,8.0,8.0,9.0,12.0,12.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,8.0,10.0
>ENST00000407792.1,9.0,11.0,9.0,12.0,8.0,11.0,9.0,9.0,11.0,9.0,8.0,7.0,9.0,8.0,11.0,8.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,0.0,10.0,10.0,9.0,8.0,7.0,9.0,9.0,8.0,11.0,8.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,11.0,8.0,7.0,9.0,9.0
>ENST00000478038.1,9.0,9.0,11.0,10.0,12.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,12.0,9.0,12.0,10.0,9.0,12.0,10.0,8.0,10.0,12.0,12.0,10.0,10.0,0.0,10.0,10.0,7.0,8.0,10.0,10.0,8.0,11.0,10.0,11.0,9.0,10.0,13.0,9.0,9.0,9.0,11.0,9.0,10.0,8.0,10.0
>ENST00000523009.1,9.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,13.0,8.0,7.0,9.0,9.0,9.0,13.0,10.0,8.0,7.0,8.0,7.0,10.0,9.0,10.0,11.0,10.0,10.0,0.0,9.0,7.0,8.0,8.0,11.0,8.0,10.0,9.0,13.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0
>ENST00000518311.2,9.0,9.0,11.0,11.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,11.0,12.0,9.0,9.0,8.0,13.0,13.0,9.0,12.0,9.0,10.0,9.0,0.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,11.0,11.0,13.0,11.0,10.0,10.0,10.0,10.0,9.0,12.0
>ENST00000435212.2,10.0,8.0,10.0,8.0,7.0,8.0,11.0,10.0,7.0,6.0,8.0,7.0,10.0,7.0,8.0,11.0,9.0,7.0,9.0,9.0,11.0,8.0,9.0,7.0,8.0,7.0,7.0,10.0,0.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,7.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,10.0
>ENST00000404509.2,9.0,8.0,11.0,12.0,9.0,7.0,8.0,9.0,10.0,9.0,8.0,8.0,10.0,12.0,10.0,9.0,9.0,10.0,10.0,6.0,9.0,9.0,10.0,9.0,7.0,8.0,8.0,9.0,7.0,0.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,8.0
>ENST00000569273.1,9.0,8.0,9.0,12.0,8.0,7.0,7.0,9.0,10.0,8.0,9.0,8.0,11.0,12.0,9.0,8.0,11.0,11.0,11.0,7.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,7.0,10.0,0.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,7.0,8.0,10.0
ENSG00000148826.8,10.0,9.0,12.0,12.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,12.0,13.0,10.0,9.0,11.0,12.0,12.0,10.0,11.0,12.0,9.0,10.0,11.0,10.0,8.0,8.0,9.0,0.0,9.0,10.0,9.0,10.0,9.0,12.0,11.0,10.0,9.0,10.0,11.0,11.0,9.0,9.0,10.0
>ENST00000429526.1,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,8.0,8.0,7.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0,0.0,8.0,7.0,11.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,7.0,8.0,10.0
>ENST00000455837.2,10.0,8.0,12.0,11.0,9.0,8.0,11.0,9.0,10.0,8.0,8.0,10.0,12.0,8.0,11.0,10.0,8.0,9.0,10.0,7.0,10.0,8.0,10.0,8.0,11.0,11.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0,0.0,9.0,10.0,8.0,11.0,10.0,13.0,10.0,9.0,12.0,8.0,8.0,8.0,9.0
>ENST00000507687.2,8.0,8.0,11.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,10.0,8.0,10.0,8.0,9.0,7.0,10.0,8.0,10.0,10.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,7.0,9.0,0.0,13.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,7.0,7.0,10.0
>ENST00000617764.1,11.0,10.0,10.0,10.0,12.0,8.0,8.0,10.0,11.0,9.0,9.0,10.0,12.0,10.0,12.0,13.0,11.0,8.0,10.0,8.0,12.0,12.0,13.0,9.0,10.0,11.0,13.0,9.0,8.0,10.0,10.0,10.0,11.0,10.0,13.0,0.0,11.0,12.0,11.0,10.0,9.0,9.0,11.0,10.0,8.0,9.0,10.0
>ENST00000448591.1,10.0,9.0,10.0,10.0,11.0,7.0,9.0,8.0,9.0,10.0,8.0,8.0,10.0,8.0,11.0,8.0,9.0,8.0,11.0,8.0,10.0,7.0,9.0,12.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,11.0,0.0,10.0,9.0,10.0,11.0,9.0,8.0,8.0,6.0,9.0,10.0
>ENST00000605787.1,10.0,10.0,11.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,11.0,10.0,11.0,11.0,11.0,9.0,11.0,9.0,10.0,11.0,9.0,12.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,12.0,9.0,11.0,10.0,12.0,10.0,0.0,9.0,11.0,10.0,10.0,11.0,10.0,9.0,10.0,11.0
>ENST00000575506.2,8.0,8.0,11.0,10.0,9.0,9.0,9.0,11.0,10.0,8.0,9.0,10.0,12.0,9.0,12.0,11.0,9.0,9.0,11.0,8.0,10.0,9.0,10.0,10.0,8.0,13.0,9.0,11.0,7.0,8.0,8.0,11.0,8.0,10.0,8.0,11.0,9.0,9.0,0.0,8.0,10.0,13.0,12.0,11.0,9.0,8.0,10.0
>ENST00000441254.1,10.0,11.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,10.0,11.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,13.0,9.0,8.0,9.0,10.0,8.0,13.0,8.0,10.0,10.0,11.0,8.0,0.0,9.0,9.0,9.0,10.0,12.0,9.0,11.0
>ENST00000450032.2,11.0,9.0,10.0,11.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,13.0,10.0,10.0,8.0,11.0,9.0,8.0,11.0,9.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,11.0,10.0,10.0,9.0,0.0,10.0,9.0,9.0,8.0,9.0,10.0
>ENST00000490411.2,11.0,8.0,11.0,11.0,9.0,9.0,10.0,10.0,9.0,8.0,7.0,8.0,12.0,12.0,13.0,10.0,10.0,9.0,10.0,8.0,11.0,10.0,11.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,13.0,9.0,10.0,0.0,9.0,9.0,9.0,8.0,12.0
>ENST00000510337.1,10.0,11.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,11.0,10.0,11.0,9.0,13.0,14.0,10.0,9.0,12.0,7.0,17.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,8.0,9.0,9.0,11.0,10.0,12.0,9.0,11.0,8.0,11.0,12.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,10.0
>ENST00000520119.1,8.0,9.0,10.0,11.0,9.0,8.0,9.0,9.0,10.0,7.0,8.0,10.0,12.0,7.0,12.0,11.0,8.0,8.0,11.0,8.0,11.0,7.0,11.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,7.0,11.0,9.0,8.0,10.0,10.0,8.0,10.0,11.0,10.0,9.0,9.0,9.0,0.0,11.0,8.0,10.0
>ENST00000624984.1,8.0,11.0,9.0,10.0,10.0,9.0,7.0,10.0,10.0,7.0,7.0,8.0,9.0,8.0,10.0,8.0,8.0,7.0,8.0,6.0,9.0,10.0,9.0,9.0,7.0,10.0,8.0,10.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,8.0,6.0,9.0,9.0,12.0,8.0,9.0,9.0,11.0,0.0,8.0,8.0
>ENST00000511351.1,9.0,9.0,9.0,10.0,8.0,7.0,7.0,8.0,10.0,10.0,8.0,8.0,9.0,8.0,16.0,11.0,9.0,8.0,11.0,8.0,12.0,10.0,11.0,8.0,9.0,8.0,9.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,7.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,0.0,10.0
>ENST00000531997.1,10.0,13.0,11.0,10.0,10.0,10.0,8.0,10.0,11.0,9.0,10.0,8.0,12.0,10.0,12.0,9.0,10.0,9.0,14.0,9.0,13.0,10.0,12.0,10.0,9.0,10.0,9.0,12.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,12.0,10.0,10.0,8.0,10.0,0.0
