,>ENST00000580193.1,>ENST00000618177.1,>ENST00000406773.1,>ENST00000405959.2,>ENST00000490372.1,>ENST00000438784.1,>ENST00000558717.1,>ENST00000471748.2,>ENST00000314835.5,>ENST00000405746.1,ENSG00000269526.1,>ENST00000423136.1,>ENST00000430178.2,>ENST00000453434.1,>ENST00000533484.1,>ENST00000381172.3,>ENST00000529025.1,>ENST00000437689.3,>ENST00000436102.1,>ENST00000484903.2,>ENST00000441645.1,>ENST00000513462.1,>ENST00000616055.1,>ENST00000464664.2,>ENST00000312310.3,>ENST00000454247.2,>ENST00000625261.1,>ENST00000417434.1,>ENST00000484753.1,>ENST00000430903.1,>ENST00000446218.1,>ENST00000439908.1,>ENST00000448545.1,>ENST00000434851.1,>ENST00000457832.1,>ENST00000369177.4,>ENST00000429418.2,>ENST00000590141.1,>ENST00000432026.1,>ENST00000449702.1,>ENST00000531655.1,>ENST00000609916.1,>ENST00000465398.1,>ENST00000401791.2,>ENST00000417974.1,>ENST00000475592.2,>ENST00000394878.2,>ENST00000564800.1,>ENST00000569046.1,>ENST00000458090.1,>ENST00000443423.1,>ENST00000529141.1,>ENST00000615276.1,>ENST00000406985.2,>ENST00000428249.1,>ENST00000518956.1,>ENST00000434254.1,>ENST00000583339.3,>ENST00000479066.1,>ENST00000475397.1,>ENST00000447226.1,>ENST00000497218.1,>ENST00000603389.1,>ENST00000456554.2,>ENST00000505332.2,>ENST00000404812.2,>ENST00000508650.2
>ENST00000533484.1,12.0,12.0,10.0,7.0,9.0,11.0,10.0,8.0,12.0,10.0,10.0,10.0,9.0,11.0,0.0,10.0,10.0,12.0,9.0,10.0,12.0,10.0,8.0,10.0,9.0,10.0,9.0,11.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,10.0,9.0,11.0,10.0,12.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,20.0,9.0,8.0,10.0,11.0,8.0,9.0
>ENST00000381172.3,10.0,9.0,10.0,8.0,8.0,10.0,8.0,8.0,11.0,9.0,9.0,11.0,10.0,8.0,10.0,0.0,8.0,9.0,9.0,11.0,11.0,13.0,8.0,8.0,10.0,9.0,12.0,9.0,8.0,8.0,9.0,9.0,12.0,9.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,8.0,7.0,13.0,7.0,9.0,8.0,8.0,10.0,8.0,10.0,8.0,8.0,10.0,9.0,7.0,9.0
>ENST00000529025.1,11.0,8.0,12.0,9.0,10.0,11.0,9.0,10.0,12.0,9.0,11.0,10.0,10.0,10.0,10.0,8.0,0.0,13.0,11.0,10.0,9.0,10.0,11.0,9.0,9.0,13.0,9.0,10.0,9.0,10.0,11.0,12.0,13.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,8.0,9.0,11.0,9.0,11.0,9.0,11.0,10.0,9.0,10.0,8.0,11.0,11.0,8.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0,8.0
>ENST00000437689.3,13.0,13.0,13.0,10.0,10.0,11.0,9.0,10.0,11.0,11.0,12.0,10.0,9.0,9.0,12.0,9.0,13.0,0.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,12.0,13.0,11.0,10.0,11.0,9.0,9.0,11.0,12.0,9.0,9.0,11.0,10.0,10.0,11.0,9.0,11.0,10.0,13.0,14.0,8.0,10.0,10.0,12.0,12.0,9.0,9.0,11.0,12.0,11.0,9.0,11.0,9.0,10.0,10.0
>ENST00000436102.1,11.0,9.0,11.0,9.0,9.0,9.0,11.0,8.0,10.0,10.0,10.0,10.0,12.0,9.0,9.0,9.0,11.0,11.0,0.0,11.0,10.0,12.0,12.0,10.0,9.0,10.0,7.0,10.0,9.0,9.0,9.0,9.0,13.0,10.0,11.0,10.0,9.0,10.0,8.0,9.0,9.0,12.0,10.0,9.0,11.0,10.0,10.0,14.0,12.0,10.0,10.0,10.0,10.0,9.0,9.0,12.0,11.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0
>ENST00000484903.2,14.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,13.0,13.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,0.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,8.0,10.0,11.0,9.0,11.0,10.0,8.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,8.0,10.0,10.0,9.0,11.0,11.0,9.0,8.0,10.0,10.0,10.0,7.0,11.0,10.0,10.0,9.0
>ENST00000441645.1,11.0,11.0,10.0,10.0,10.0,11.0,9.0,12.0,10.0,12.0,13.0,10.0,11.0,9.0,12.0,11.0,9.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,12.0,10.0,10.0,9.0,11.0,11.0,11.0,10.0,14.0,11.0,8.0,9.0,11.0,7.0,11.0,13.0,10.0,12.0,9.0,11.0,11.0,8.0,11.0,10.0,9.0,10.0
>ENST00000513462.1,14.0,8.0,10.0,10.0,8.0,10.0,9.0,11.0,10.0,10.0,12.0,12.0,9.0,11.0,10.0,13.0,10.0,10.0,12.0,9.0,10.0,0.0,8.0,10.0,10.0,10.0,7.0,9.0,9.0,11.0,10.0,9.0,12.0,9.0,11.0,9.0,8.0,9.0,9.0,10.0,11.0,8.0,9.0,13.0,8.0,11.0,9.0,9.0,11.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0
>ENST00000616055.1,10.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,8.0,11.0,9.0,12.0,9.0,10.0,8.0,0.0,7.0,7.0,9.0,7.0,9.0,9.0,10.0,9.0,8.0,11.0,9.0,10.0,8.0,7.0,8.0,8.0,8.0,10.0,7.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0
>ENST00000464664.2,9.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,8.0,8.0,10.0,8.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,7.0,0.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,11.0,10.0,10.0,116.0,10.0,7.0,12.0,8.0,8.0,6.0,8.0,10.0,8.0,9.0,13.0,8.0,8.0,10.0,9.0,8.0,7.0,9.0,7.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,7.0,11.0,7.0,9.0,9.0
>ENST00000312310.3,10.0,7.0,9.0,11.0,8.0,8.0,9.0,7.0,9.0,10.0,9.0,11.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,9.0,0.0,8.0,7.0,9.0,10.0,8.0,8.0,9.0,11.0,13.0,9.0,7.0,8.0,8.0,9.0,10.0,8.0,7.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,9.0,7.0,9.0,10.0,8.0,7.0,10.0,8.0,10.0,9.0
>ENST00000454247.2,11.0,10.0,9.0,8.0,8.0,11.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,13.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,0.0,9.0,9.0,9.0,9.0,8.0,11.0,10.0,9.0,11.0,9.0,9.0,8.0,8.0,10.0,12.0,8.0,8.0,10.0,10.0,9.0,10.0,8.0,11.0,10.0,11.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,10.0,10.0,10.0,8.0,9.0
>ENST00000625261.1,13.0,11.0,7.0,8.0,8.0,7.0,10.0,8.0,9.0,9.0,12.0,9.0,10.0,8.0,9.0,12.0,9.0,10.0,7.0,11.0,9.0,7.0,7.0,8.0,7.0,9.0,0.0,10.0,9.0,7.0,8.0,9.0,9.0,7.0,10.0,8.0,8.0,10.0,8.0,7.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,10.0,9.0,6.0,7.0,8.0,7.0,8.0,7.0,6.0,8.0,8.0,9.0,10.0,7.0,10.0,7.0,10.0,9.0
>ENST00000417434.1,9.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,0.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,9.0,7.0,12.0,8.0,8.0,9.0,9.0,7.0,10.0,9.0,8.0,9.0,7.0,8.0,11.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,7.0,9.0,9.0,10.0,8.0
>ENST00000484753.1,10.0,8.0,10.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,0.0,8.0,8.0,9.0,10.0,10.0,10.0,7.0,10.0,9.0,9.0,11.0,10.0,10.0,8.0,10.0,9.0,12.0,11.0,8.0,10.0,8.0,12.0,8.0,7.0,8.0,8.0,9.0,13.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0
>ENST00000430903.1,9.0,9.0,12.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,8.0,8.0,9.0,7.0,11.0,8.0,0.0,9.0,9.0,12.0,10.0,9.0,7.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,12.0,10.0,9.0,8.0,10.0,6.0,8.0,13.0,8.0,8.0,9.0,9.0,8.0,8.0,11.0,9.0,8.0,9.0
>ENST00000446218.1,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,8.0,10.0,9.0,10.0,9.0,11.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,0.0,11.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,10.0,8.0,8.0,9.0,7.0,8.0,12.0,10.0,11.0,8.0,10.0,10.0,8.0,9.0
>ENST00000439908.1,10.0,9.0,10.0,10.0,12.0,10.0,10.0,10.0,13.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,12.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,11.0,9.0,10.0,9.0,9.0,11.0,0.0,12.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0,7.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,12.0,11.0,10.0,10.0,8.0,9.0,9.0,8.0,11.0,8.0,8.0,8.0
>ENST00000448545.1,13.0,10.0,10.0,9.0,12.0,16.0,11.0,10.0,11.0,12.0,11.0,12.0,10.0,11.0,10.0,12.0,13.0,12.0,13.0,11.0,10.0,12.0,11.0,11.0,11.0,10.0,9.0,11.0,10.0,12.0,10.0,12.0,0.0,9.0,11.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0,12.0,11.0,9.0,14.0,11.0,10.0,11.0,10.0,13.0,11.0,9.0,10.0,8.0,12.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0
>ENST00000434851.1,12.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,9.0,10.0,9.0,9.0,13.0,10.0,9.0,9.0,9.0,9.0,10.0,13.0,9.0,7.0,9.0,10.0,10.0,9.0,9.0,9.0,0.0,12.0,9.0,8.0,10.0,9.0,9.0,12.0,9.0,8.0,10.0,8.0,9.0,11.0,9.0,11.0,11.0,9.0,11.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,12.0,11.0,9.0,10.0,11.0,8.0,9.0
>ENST00000457832.1,12.0,12.0,12.0,11.0,8.0,10.0,9.0,9.0,10.0,11.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,12.0,0.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,8.0,8.0,10.0,10.0,8.0,10.0,10.0,11.0,10.0,9.0,11.0,8.0,9.0,10.0
>ENST00000369177.4,12.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,116.0,7.0,9.0,8.0,9.0,7.0,7.0,8.0,8.0,11.0,9.0,9.0,0.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,11.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,7.0,8.0,8.0,8.0,10.0,7.0,8.0,8.0,10.0,8.0,7.0,11.0,8.0,8.0,8.0
>ENST00000429418.2,10.0,9.0,10.0,7.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,12.0,8.0,9.0,11.0,11.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,9.0,8.0,7.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,0.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,10.0,9.0,7.0,7.0,9.0,11.0,10.0,7.0,11.0,8.0,10.0,8.0,11.0,11.0,10.0,9.0,9.0
>ENST00000590141.1,10.0,8.0,13.0,7.0,10.0,9.0,10.0,11.0,12.0,9.0,10.0,9.0,9.0,8.0,11.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,7.0,8.0,8.0,10.0,12.0,9.0,10.0,8.0,10.0,10.0,10.0,11.0,9.0,8.0,0.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,10.0,13.0,9.0,9.0,10.0,10.0,8.0,7.0,11.0,7.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0
>ENST00000432026.1,11.0,8.0,9.0,7.0,10.0,10.0,8.0,7.0,9.0,8.0,11.0,8.0,10.0,12.0,9.0,8.0,10.0,9.0,8.0,11.0,9.0,9.0,8.0,12.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,8.0,11.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,7.0,10.0,7.0,9.0,8.0,7.0,7.0,7.0,9.0,8.0,8.0,11.0,8.0,9.0,9.0
>ENST00000449702.1,10.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,11.0,9.0,9.0,10.0,10.0,8.0,8.0,10.0,10.0,7.0,8.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,0.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,8.0,8.0,7.0,9.0,13.0,11.0,8.0,9.0,10.0,10.0,9.0,11.0,11.0,8.0,9.0
>ENST00000531655.1,11.0,8.0,10.0,9.0,10.0,10.0,11.0,10.0,12.0,9.0,10.0,12.0,9.0,10.0,10.0,8.0,10.0,12.0,9.0,10.0,11.0,11.0,10.0,8.0,8.0,12.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,12.0,10.0,9.0,9.0,9.0,9.0,9.0,0.0,8.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,12.0,7.0,10.0,8.0,13.0,11.0,9.0,10.0,9.0,9.0,9.0
>ENST00000609916.1,12.0,7.0,9.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,7.0,10.0,8.0,8.0,9.0,9.0,12.0,10.0,12.0,8.0,7.0,6.0,7.0,8.0,7.0,9.0,10.0,10.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,0.0,8.0,8.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,7.0,9.0,8.0,7.0,10.0,8.0,8.0,8.0,8.0,10.0,10.0,8.0,7.0
>ENST00000465398.1,11.0,9.0,9.0,9.0,10.0,9.0,10.0,13.0,9.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,10.0,12.0,8.0,10.0,8.0,9.0,8.0,8.0,10.0,10.0,8.0,0.0,12.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,7.0,9.0,8.0,8.0,10.0,8.0,9.0,174.0,9.0,10.0,11.0,9.0,9.0,10.0,8.0,9.0
>ENST00000401791.2,11.0,9.0,11.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,12.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,10.0,13.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,11.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,11.0,9.0,10.0,8.0,12.0,0.0,11.0,11.0,10.0,9.0,11.0,8.0,11.0,10.0,8.0,10.0,10.0,10.0,12.0,7.0,10.0,8.0,10.0,8.0,10.0,12.0,10.0,8.0,9.0
