,>ENST00000603970.1,>ENST00000406999.2,>ENST00000431203.1,>ENST00000448677.1,>ENST00000481590.1,>ENST00000423412.1,>ENST00000426107.1,>ENST00000509776.1,>ENST00000621078.1,>ENST00000452245.1,>ENST00000453565.1,ENSG00000222627.1,>ENST00000502928.1,>ENST00000613976.1,>ENST00000515565.1,>ENST00000507649.2,>ENST00000526053.1,>ENST00000422792.1,ENSG00000182327.7,ENSG00000171133.2,>ENST00000509735.1,>ENST00000444648.1,>ENST00000604292.1,ENSG00000221766.1,>ENST00000447151.1,>ENST00000447172.1,>ENST00000509840.1,>ENST00000532690.1,>ENST00000412737.1,ENSG00000252448.1,>ENST00000433288.2,>ENST00000378131.2,>ENST00000468766.1,>ENST00000518132.1,>ENST00000457220.1,ENSG00000264855.1,>ENST00000414607.2,>ENST00000454743.1,ENSG00000164379.5,>ENST00000477483.1,>ENST00000503774.1,>ENST00000447826.1,>ENST00000360806.8,>ENST00000401760.1,ENSG00000221015.1,>ENST00000511960.2,>ENST00000412546.1
>ENST00000453565.1,10.0,11.0,12.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,0.0,9.0,8.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,11.0,10.0,13.0,8.0,10.0,11.0,12.0,10.0,12.0,8.0,10.0,10.0,9.0,8.0,9.0,11.0,11.0,10.0,9.0,10.0,8.0
ENSG00000222627.1,8.0,10.0,8.0,7.0,8.0,7.0,10.0,10.0,8.0,9.0,9.0,0.0,10.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,7.0,10.0,6.0,7.0,10.0,8.0,9.0,9.0,6.0,8.0,7.0,12.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,6.0,8.0,7.0
>ENST00000502928.1,9.0,8.0,9.0,6.0,6.0,11.0,8.0,8.0,6.0,9.0,8.0,10.0,0.0,9.0,8.0,7.0,9.0,8.0,7.0,10.0,8.0,8.0,8.0,7.0,7.0,10.0,10.0,9.0,9.0,6.0,8.0,9.0,9.0,7.0,11.0,8.0,6.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,12.0,9.0,7.0
>ENST00000613976.1,8.0,11.0,9.0,7.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,0.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,11.0,7.0,9.0,9.0,11.0,12.0,9.0,6.0,9.0,8.0,10.0,33.0,9.0,6.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,7.0
>ENST00000515565.1,9.0,11.0,10.0,8.0,10.0,9.0,11.0,9.0,10.0,11.0,10.0,9.0,8.0,9.0,0.0,9.0,9.0,12.0,12.0,11.0,10.0,9.0,9.0,8.0,10.0,11.0,12.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,7.0,8.0,11.0,10.0,8.0,10.0,10.0,10.0,13.0,8.0,8.0,11.0
>ENST00000507649.2,10.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,11.0,11.0,9.0,9.0,7.0,10.0,9.0,0.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,7.0,10.0,11.0,11.0,9.0,10.0,9.0,12.0,9.0,13.0,14.0,11.0,7.0,7.0,11.0,9.0,8.0,9.0,10.0,12.0,11.0,7.0,9.0,8.0
>ENST00000526053.1,11.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,10.0,10.0,11.0,8.0,9.0,10.0,9.0,9.0,0.0,9.0,9.0,12.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,11.0,10.0,6.0,13.0,9.0,12.0,10.0,9.0,8.0,8.0,11.0,8.0,9.0,9.0,11.0,14.0,10.0,8.0,10.0,9.0
>ENST00000422792.1,9.0,9.0,9.0,7.0,10.0,8.0,8.0,10.0,8.0,8.0,10.0,8.0,8.0,8.0,12.0,9.0,9.0,0.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,8.0,7.0,9.0,10.0,11.0,7.0,10.0,6.0,9.0,10.0,10.0,9.0,9.0,9.0,15.0,8.0,8.0,8.0,9.0
ENSG00000182327.7,8.0,11.0,10.0,8.0,10.0,10.0,12.0,10.0,9.0,11.0,10.0,8.0,7.0,8.0,12.0,9.0,9.0,8.0,0.0,9.0,14.0,10.0,10.0,6.0,8.0,11.0,10.0,9.0,10.0,8.0,12.0,9.0,10.0,9.0,11.0,6.0,8.0,12.0,12.0,8.0,10.0,13.0,13.0,10.0,9.0,8.0,8.0
ENSG00000171133.2,15.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,11.0,12.0,9.0,9.0,0.0,10.0,9.0,10.0,8.0,10.0,10.0,12.0,11.0,9.0,8.0,10.0,9.0,10.0,9.0,11.0,8.0,8.0,11.0,9.0,8.0,9.0,10.0,11.0,11.0,12.0,10.0,9.0
>ENST00000509735.1,12.0,13.0,10.0,9.0,9.0,11.0,9.0,10.0,10.0,11.0,10.0,9.0,8.0,9.0,10.0,10.0,11.0,9.0,14.0,10.0,0.0,9.0,10.0,7.0,9.0,12.0,11.0,10.0,10.0,8.0,79.0,9.0,10.0,9.0,14.0,6.0,8.0,10.0,11.0,9.0,10.0,10.0,13.0,10.0,9.0,10.0,10.0
>ENST00000444648.1,9.0,9.0,10.0,7.0,8.0,8.0,11.0,9.0,9.0,8.0,10.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,0.0,8.0,7.0,8.0,10.0,9.0,9.0,9.0,6.0,9.0,9.0,11.0,8.0,9.0,7.0,6.0,9.0,11.0,7.0,9.0,12.0,9.0,10.0,10.0,8.0,7.0
>ENST00000604292.1,9.0,11.0,10.0,9.0,8.0,8.0,9.0,13.0,9.0,11.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,0.0,7.0,9.0,10.0,9.0,10.0,10.0,7.0,10.0,9.0,10.0,11.0,10.0,7.0,9.0,11.0,10.0,8.0,10.0,10.0,12.0,9.0,11.0,10.0,9.0
ENSG00000221766.1,7.0,10.0,6.0,7.0,8.0,7.0,9.0,8.0,9.0,8.0,10.0,6.0,7.0,7.0,8.0,7.0,8.0,8.0,6.0,8.0,7.0,7.0,7.0,0.0,8.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,9.0,8.0,8.0,26.0,7.0,8.0,7.0,7.0,10.0,8.0,8.0,8.0,6.0,7.0,8.0
>ENST00000447151.1,10.0,12.0,9.0,8.0,9.0,10.0,11.0,9.0,8.0,9.0,11.0,7.0,7.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,0.0,10.0,14.0,10.0,10.0,7.0,10.0,9.0,11.0,9.0,11.0,8.0,9.0,9.0,10.0,8.0,15.0,11.0,10.0,11.0,8.0,8.0,8.0
>ENST00000447172.1,7.0,12.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,11.0,9.0,10.0,10.0,9.0,11.0,11.0,9.0,10.0,11.0,10.0,12.0,10.0,10.0,9.0,10.0,0.0,11.0,11.0,9.0,7.0,13.0,9.0,10.0,9.0,9.0,8.0,8.0,12.0,10.0,8.0,10.0,11.0,11.0,9.0,10.0,9.0,9.0
>ENST00000509840.1,9.0,10.0,11.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,8.0,10.0,11.0,12.0,11.0,9.0,10.0,10.0,12.0,11.0,9.0,9.0,9.0,14.0,11.0,0.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,11.0,8.0,9.0,11.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0
>ENST00000532690.1,11.0,12.0,9.0,8.0,10.0,11.0,9.0,12.0,9.0,9.0,10.0,9.0,9.0,12.0,10.0,9.0,11.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,0.0,9.0,8.0,9.0,11.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0
>ENST00000412737.1,9.0,9.0,9.0,7.0,8.0,10.0,10.0,9.0,8.0,12.0,13.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,0.0,9.0,10.0,8.0,11.0,8.0,10.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0
ENSG00000252448.1,9.0,7.0,8.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,9.0,9.0,6.0,7.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0,7.0,9.0,8.0,9.0,0.0,8.0,7.0,9.0,7.0,7.0,6.0,7.0,10.0,8.0,10.0,8.0,9.0,8.0,8.0,6.0,8.0,6.0
>ENST00000433288.2,10.0,11.0,10.0,9.0,10.0,11.0,9.0,10.0,10.0,11.0,10.0,8.0,8.0,9.0,10.0,12.0,13.0,9.0,12.0,10.0,79.0,9.0,10.0,7.0,10.0,13.0,11.0,9.0,10.0,8.0,0.0,9.0,11.0,9.0,11.0,7.0,10.0,10.0,15.0,12.0,9.0,10.0,12.0,10.0,9.0,10.0,10.0
>ENST00000378131.2,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,10.0,11.0,8.0,7.0,9.0,0.0,10.0,7.0,10.0,7.0,7.0,13.0,10.0,7.0,12.0,9.0,10.0,8.0,9.0,10.0,8.0
>ENST00000468766.1,14.0,11.0,10.0,11.0,9.0,10.0,11.0,10.0,12.0,10.0,12.0,12.0,9.0,10.0,11.0,13.0,12.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,11.0,10.0,10.0,9.0,11.0,9.0,11.0,10.0,0.0,9.0,9.0,9.0,10.0,11.0,13.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0
>ENST00000518132.1,9.0,10.0,8.0,7.0,9.0,10.0,11.0,9.0,7.0,11.0,10.0,8.0,7.0,33.0,9.0,14.0,10.0,7.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0,11.0,8.0,7.0,9.0,7.0,9.0,0.0,9.0,10.0,7.0,12.0,10.0,7.0,8.0,9.0,9.0,9.0,6.0,8.0,8.0
>ENST00000457220.1,11.0,10.0,11.0,11.0,9.0,11.0,11.0,10.0,10.0,13.0,12.0,8.0,11.0,9.0,10.0,11.0,9.0,10.0,11.0,11.0,14.0,9.0,10.0,8.0,11.0,9.0,11.0,9.0,10.0,7.0,11.0,10.0,9.0,9.0,0.0,9.0,8.0,10.0,9.0,8.0,11.0,10.0,10.0,9.0,8.0,9.0,8.0
ENSG00000264855.1,8.0,8.0,8.0,6.0,6.0,7.0,8.0,6.0,9.0,7.0,8.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,8.0,6.0,7.0,7.0,26.0,8.0,8.0,8.0,10.0,9.0,6.0,7.0,7.0,9.0,10.0,9.0,0.0,8.0,8.0,7.0,6.0,9.0,8.0,8.0,7.0,6.0,7.0,7.0
>ENST00000414607.2,12.0,8.0,9.0,7.0,9.0,9.0,9.0,10.0,7.0,9.0,10.0,7.0,6.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,6.0,9.0,7.0,9.0,8.0,9.0,10.0,8.0,7.0,10.0,7.0,10.0,7.0,8.0,8.0,0.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,7.0,7.0,8.0
>ENST00000454743.1,11.0,10.0,11.0,9.0,9.0,9.0,10.0,11.0,8.0,10.0,10.0,8.0,8.0,10.0,11.0,11.0,11.0,10.0,12.0,11.0,10.0,9.0,11.0,8.0,9.0,12.0,11.0,9.0,10.0,10.0,10.0,13.0,11.0,12.0,10.0,8.0,9.0,0.0,9.0,9.0,9.0,11.0,9.0,12.0,10.0,10.0,11.0
ENSG00000164379.5,9.0,10.0,9.0,9.0,11.0,10.0,11.0,9.0,10.0,11.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,12.0,9.0,11.0,11.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,8.0,15.0,10.0,13.0,10.0,9.0,7.0,9.0,9.0,0.0,8.0,10.0,10.0,11.0,9.0,8.0,8.0,9.0
>ENST00000477483.1,8.0,8.0,8.0,7.0,8.0,9.0,11.0,7.0,8.0,9.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,10.0,12.0,7.0,10.0,7.0,8.0,6.0,10.0,9.0,8.0,0.0,8.0,9.0,8.0,9.0,7.0,7.0,8.0
>ENST00000503774.1,9.0,10.0,10.0,8.0,10.0,9.0,13.0,11.0,9.0,11.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,15.0,10.0,10.0,9.0,9.0,8.0,9.0,12.0,10.0,8.0,11.0,9.0,8.0,9.0,10.0,8.0,0.0,8.0,10.0,10.0,10.0,10.0,8.0
>ENST00000447826.1,12.0,11.0,10.0,8.0,8.0,11.0,10.0,9.0,10.0,9.0,11.0,8.0,9.0,8.0,10.0,10.0,11.0,9.0,13.0,10.0,10.0,12.0,10.0,8.0,11.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0,8.0,0.0,10.0,9.0,8.0,8.0,8.0
>ENST00000360806.8,9.0,12.0,11.0,12.0,9.0,12.0,11.0,11.0,10.0,10.0,11.0,9.0,8.0,9.0,10.0,12.0,14.0,15.0,13.0,11.0,13.0,9.0,12.0,8.0,10.0,11.0,10.0,9.0,10.0,8.0,12.0,10.0,11.0,9.0,10.0,8.0,9.0,9.0,11.0,8.0,10.0,10.0,0.0,10.0,9.0,9.0,9.0
>ENST00000401760.1,11.0,10.0,11.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,13.0,11.0,10.0,8.0,10.0,11.0,10.0,10.0,9.0,8.0,11.0,9.0,9.0,10.0,10.0,8.0,10.0,8.0,10.0,9.0,9.0,7.0,8.0,12.0,9.0,9.0,10.0,9.0,10.0,0.0,8.0,11.0,8.0
ENSG00000221015.1,11.0,9.0,8.0,7.0,6.0,8.0,8.0,9.0,8.0,10.0,9.0,6.0,12.0,8.0,8.0,7.0,8.0,8.0,9.0,12.0,9.0,10.0,11.0,6.0,8.0,10.0,9.0,8.0,8.0,6.0,9.0,9.0,10.0,6.0,8.0,6.0,7.0,10.0,8.0,7.0,10.0,8.0,9.0,8.0,0.0,10.0,6.0
>ENST00000511960.2,8.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,10.0,10.0,8.0,10.0,7.0,8.0,9.0,10.0,8.0,10.0,8.0,10.0,10.0,11.0,8.0,9.0,7.0,7.0,10.0,8.0,7.0,10.0,8.0,9.0,11.0,10.0,0.0,10.0
>ENST00000412546.1,9.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,7.0,7.0,11.0,8.0,9.0,9.0,8.0,9.0,10.0,7.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,6.0,10.0,8.0,10.0,8.0,8.0,7.0,8.0,11.0,9.0,8.0,8.0,8.0,9.0,8.0,6.0,10.0,0.0
